"","species","pop_cat","ohi_present","group","n_cat"
"1","Bathysolea polli","LC","Y",NA,NA
"2","Laemonema robustum","DD","Y",NA,NA
"3","Gobius roulei","LC","Y",NA,NA
"4","Gymnelus hemifasciatus",NA,"Y","Fishes","NE"
"5","Lycenchelys alba",NA,"Y",NA,NA
"6","Lycodes adolfi",NA,"Y","Fishes","LC"
"7","Lycodes raridens",NA,"Y",NA,NA
"8","Lycodes luetkenii",NA,"Y","Fishes","LC"
"9","Lasiognathus beebei",NA,"Y",NA,NA
"10","Astronesthes atlanticus","LC","Y",NA,NA
"11","Eumicrotremus andriashevi",NA,"Y",NA,NA
"12","Liparis bristolensis",NA,"Y",NA,NA
"13","Maurolicus weitzmani","LC","Y",NA,NA
"14","Rhynchactis macrothrix","DD","Y",NA,NA
"15","Gadomus dispar",NA,"Y",NA,NA
"16","Limanda limanda","LC","Y","Fishes","LC"
"17","Pseudomyrophis nimius","LC","Y",NA,NA
"18","Rajella fyllae","LC","Y","Fishes","LC"
"19","Dipturus batis","CR","Y","Fishes","CR"
"20","Dipturus oxyrinchus","NT","Y","Fishes","LC"
"21","Amblyraja hyperborea","LC","Y","Fishes","LC"
"22","Amblyraja radiata","VU","Y","Fishes","LC"
"23","Amblyraja jenseni","LC","Y",NA,NA
"24","Rajella kukujevi","LC","Y",NA,NA
"25","Lamprogrammus shcherbachevi","DD","Y",NA,NA
"26","Dipturus nidarosiensis","NT","Y","Fishes","DD"
"27","Rajella ravidula","LC","Y",NA,NA
"28","Leucoraja fullonica","VU","Y","Fishes","DD"
"29","Rajella barnardi","LC","Y",NA,NA
"30","Guttigadus latifrons",NA,"Y",NA,NA
"31","Serrivomer lanceolatoides","LC","Y",NA,NA
"32","Lagocephalus lagocephalus","LC","Y",NA,NA
"33","Arctozenus risso","LC","Y","Fishes","NE"
"34","Luciobrotula nolfi","LC","Y",NA,NA
"35","Dolopichthys allector","LC","Y",NA,NA
"36","Himantolophus compressus","DD","Y",NA,NA
"37","Phyllorhinichthys micractis","LC","Y",NA,NA
