"Binomial","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"BES",5606.5095444,5683.29859,5782.39194,5878.4562248,5909.85285866667,5997.149645,6033.7643852,6067.4389518,6033.80343416667,6111.774601,6121.91415,6136.2727406,6248.65932066667,6172.8765192,6201.37619,6228.0996534,6246.9632696,6273.85373533333,6260.7980556,6275.6362426,6107.105306
"BWH",5147090.625,4840714.128,4531304.8142,4238377.2322,4294856.55616667,4223673.3106,4198584.184,4096304.8352,3870999.91483333,3846447.5462,3763517.1626,3713352.149,3836708.99966667,4055600.821,4162051.3492,4256152.9882,4325288.728,4298702.1175,4372813.509,4312564.2018,4756353.032
"CAP",3203390.6586,3194678.5444,2842888.4638,3092838.7436,3145980.23016667,2518902.9418,2187284.2604,2623657.2278,2392188.7535,2140114.8224,2778032.004,7429472.627,5558788.45566667,3591693.9558,4873490.6494,5939055.2636,5118026.3672,4362384.62766667,4863719.0864,5628517.2066,6667326.6825
"CEP",43318008.94,34065875.736,32537673.372,31858902.546,43341302.2633333,53116227.572,37961983.502,51914381.654,40302600.27,43290875.252,48627921.868,44345987.796,45643063.735,38729709.148,37155107.162,46690129.252,43260459.612,39644424.3733333,48002049.706,45700576.17,55309940.625
"DEL",85224.925628,85087.842856,85128.5918,85095.799096,84386.5298866667,84130.991116,83982.157518,83844.146534,83797.33844,82486.127754,80987.582728,80494.971482,81377.9104716667,78854.781538,79019.401046,78275.48222,78013.185562,77218.6383,79180.409894,79407.995572,77428.023265
"DEO",1333765.983,1360663.0546,1408834.4482,1436355.9606,1467526.19166667,1478760.7584,1492075.5156,1497472.7118,1536578.51316667,1513348.318,1517419.0898,1524965.2168,1509140.53983333,1536657.4158,1541045.2336,1539288.462,1536145.7734,1527677.13,1528064.661,1526304.2594,1528494.1635
"FLA",83874.291142,84254.459928,85495.968076,86280.880992,87199.3772966667,86973.011628,87524.724254,87766.501382,89014.2086666667,87993.30244,87285.290572,87494.200006,86178.0022366667,86587.312892,86689.326972,86349.981308,85821.96437,85802.64037,86623.192974,86857.578304,88699.839605
"FWH",797770.74624,812437.38522,829586.35264,832475.09254,835431.3988,831654.43776,840368.02406,849556.88324,856038.425883333,861787.4765,864910.05506,867452.3754,869241.0946,874329.4124,878017.42254,881901.63196,884411.44432,885943.056383333,884082.34646,884138.6149,889460.0342
"GRH",607613.58928,605141.73766,600671.48438,594014.3456,582150.096516667,585302.10022,584260.84298,583694.57036,580796.768283333,581958.93462,578984.51154,579111.03492,577737.548533333,574383.0258,572500.03494,568731.32356,567383.04608,571491.456583333,569022.78856,571480.44468,565507.17745
"HAD",367805.66686,340053.09528,335328.36278,344338.99478,371616.854766667,533818.67394,706712.9113,880311.33768,980297.0847,987185.57074,1064314.60952,1201401.316,1250205.22466667,1131899.74938,1043969.4699,944520.19438,869655.86146,764804.91665,657189.109,941426.96776,1276771.644
"HAS",163587.31736,162010.67656,160920.78376,159504.50248,156892.7817,155160.06026,154130.17098,153372.39036,153764.38425,153530.92236,154312.59108,154915.7296,155219.67695,165992.18088,170445.11884,167383.36462,167877.9562,164864.715066667,163711.15432,162313.38936,161712.75965
"HOS",97674.611406,99541.547814,99992.11572,100844.718234,102943.813665,106156.5102,108899.99328,111054.23728,115141.9607,114128.5192,114192.95212,115467.632,114641.754516667,113117.00532,112081.73006,114044.13296,116623.08186,115583.930483333,115879.29984,114567.84556,116458.5835
"HWH",55599.949018,52826.116544,50069.375874,47405.778274,44667.7684033333,41604.985282,39224.134898,36982.099406,34611.5452983333,32580.855196,30710.561068,28961.089748,26967.190465,25187.090258,23548.757354,22053.568964,20728.020588,19422.0222116667,18158.651218,16914.168746,16424.76726
"KCR",4988.1878616,4907.0106708,4820.9377794,4737.56028,4656.1150825,4586.4526986,4530.9833914,4482.155514,4434.64265583333,4392.2879284,4358.3470946,4327.9926252,4298.75537033333,4272.4353216,4251.1491842,4231.4940564,4213.2809182,4194.39310916667,4176.7873378,4162.0503802,4151.903814
"KWH",114660.5693,113290.21484,109672.43426,108484.00756,108357.4849,106641.89064,103932.67716,100634.205134,95867.0297916667,88727.528458,82980.03124,77405.54895,71603.0021583333,67875.698736,64317.592446,60922.240422,58486.730862,55557.9406816667,53512.653946,52389.013266,51365.36934
"LRD",1739706.848,1783738.6052,1837570.9072,1891738.381,1981179.19866667,1997786.4768,2042185.3174,2083439.5464,2193164.91333333,2156534.5934,2181890.1394,2208465.2674,2149686.12283333,2237301.3816,2246854.2498,2258486.8416,2263774.1664,2236525.82516667,2285522.8576,2293995.2924,2422638.9335
"MAC",5322685.2228,5180505.0722,5135016.1112,4778636.45,4716844.315,4595224.1862,4646242.75,4809685.8966,4477663.54683333,4599062.502,4146250.3378,4516296.9856,4577863.90483333,3836780.2712,4111456.0898,4308911.9706,3690222.4278,4112751.33433333,4164235.0662,4218417.643,4153154.525
"MES",20733931.962,21627645.676,22531806.334,23361148.774,23893933.205,24215701.036,24892288.618,25165729.436,26141662.8083333,26697775.51,27738320.722,27979277.76,28176217.3916667,29311925.668,28670594.434,29634382.908,29715025.542,28434447.0016667,28770975.654,27520070.134,27767284.695
"MWH",746843.43288,769239.76316,795684.77636,797355.48678,798799.964066667,792916.80766,808835.30556,825048.4822,836942.74255,849532.35426,856113.28048,862421.72078,867898.673366667,876632.47248,884323.97226,892709.20638,898541.3038,904725.507633333,903550.69036,911052.67818,922076.69955
