Time,year,period
8833,1981,1
8906,1981,2
8979,1981,3
9052,1981,4
9125,1981,5
9198,1982,1
9271,1982,2
9344,1982,3
9417,1982,4
9490,1982,5
9563,1983,1
9636,1983,2
9709,1983,3
9782,1983,4
9855,1983,5
9928,1984,1
10001,1984,2
10074,1984,3
10147,1984,4
10220,1984,5
10293,1985,1
10366,1985,2
10439,1985,3
10512,1985,4
10585,1985,5
10658,1986,1
10731,1986,2
10804,1986,3
10877,1986,4
10950,1986,5
11023,1987,1
11096,1987,2
11169,1987,3
11242,1987,4
11315,1987,5
11388,1988,1
11461,1988,2
11534,1988,3
11607,1988,4
11680,1988,5
11753,1989,1
11826,1989,2
11899,1989,3
11972,1989,4
12045,1989,5
12118,1990,1
12191,1990,2
12264,1990,3
12337,1990,4
12410,1990,5
12483,1991,1
12556,1991,2
12629,1991,3
12702,1991,4
12775,1991,5
12848,1992,1
12921,1992,2
12994,1992,3
13067,1992,4
13140,1992,5
13213,1993,1
13286,1993,2
13359,1993,3
13432,1993,4
13505,1993,5
13578,1994,1
13651,1994,2
13724,1994,3
13797,1994,4
13870,1994,5
13943,1995,1
14016,1995,2
14089,1995,3
14162,1995,4
14235,1995,5
14308,1996,1
14381,1996,2
14454,1996,3
14527,1996,4
14600,1996,5
14673,1997,1
14746,1997,2
14819,1997,3
14892,1997,4
14965,1997,5
15038,1998,1
15111,1998,2
15184,1998,3
15257,1998,4
15330,1998,5
15403,1999,1
15476,1999,2
15549,1999,3
15622,1999,4
15695,1999,5
15768,2000,1
15841,2000,2
15914,2000,3
15987,2000,4
16059,2000,5
