"Binomial","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"BES",5645.434919,5717.979138,5801.450121,5913.392804,6003.72975,6064.919137,6105.453628,6141.149681,6175.474874,6200.446741,6218.765909,6230.981278,6243.467198,6257.726456,6272.883126,6301.217974,6328.152103,6351.908487,6362.647327,6369.988236,6381.236934,6393.639208
"BWH",5324061.76,4989809.738,4692322.3,4390374.501,4176735.726,4147405.365,4188686.089,4165410.528,4072764.267,3942217.974,3836023.336,3764754.972,3697351.45,3807107.674,3978314.607,4101964.741,4174516.582,4269904.87,4269869.795,4294719.691,4296882.733,4240246.884
"CAP",4137122.653,3394304.235,3700173.676,2916279.46,3727057.395,3315899.7,2832285.523,2398384.059,2947622.177,2878360.926,2312333.487,3014815.21,8545305.877,7003823.772,3795277.358,4976964.77,7087434.646,5767117.529,4897616.003,4595152.291,6657876.406,6143563.567
"CEP",32864656.73,40958504.42,29413695.12,30370469.99,29695067.46,38279176.88,51329152.84,34406626.15,48872364.4,40279401.88,35537442.79,49090456.37,39295587.32,44868252.38,38600596.54,34655320.66,38198177.75,45789344.68,36259695.83,38751044.65,46418774.22,40731203.12
"DEL",76410.44447,76334.9116,76164.22075,76238.78805,76150.93054,75767.88756,75273.01545,75231.2148,75156.86608,74496.91366,73952.07894,72808.45801,72365.60019,71597.71688,70927.87868,71069.2965,70340.92433,69887.24775,70474.53367,70504.18504,70844.44372,71234.95709
"DEO",1299619.718,1308111.561,1340026.644,1389908.292,1410097.066,1430035.805,1450222.429,1463475.784,1466791.591,1478375.947,1482376.541,1488533.639,1492911.567,1502653.446,1506304.036,1510870.063,1512003.094,1508111.145,1504791.712,1503610.79,1496097.967,1499706.647
"FLA",80792.97333,80853.02692,81385.24454,82738.6928,83250.91974,83523.62835,83830.4111,84404.33498,84584.10197,84678.7866,84819.13623,84037.73391,84283.26419,84364.77901,83422.3156,83660.61582,83161.77534,82623.77553,82992.6105,83358.56533,83564.25945,83713.54359
"FWH",793118.2932,794487.194,818795.088,835122.2473,831133.2802,838585.0423,830688.5427,843548.0246,853195.7716,859703.7725,864875.3177,868686.4907,870410.0817,874539.7611,877046.8129,880137.9608,883967.1619,887491.9198,889175.1296,889473.0818,888771.5741,888666.811
"GRH",637129.387,635652.6792,632671.9149,627033.638,620390.1289,615557.0187,611095.1245,610713.2261,609645.0858,609905.4214,607647.724,604915.4855,605522.4939,602360.7563,600113.5997,599990.5223,594283.0212,592141.4256,593433.1592,592469.494,594769.8048,597370.1293
"HAD",388549.4024,344392.4549,322826.2871,326223.8502,336317.0222,347163.8078,522188.8054,693186.0448,868964.022,955186.3746,955484.5593,1012750.621,1144577.848,1248831.417,1135541.476,1028386.405,939078.0654,860730.7149,787464.1214,693532.1319,643897.4412,1108722.23
"HAS",164778.9958,163247.3119,161646.8001,160720.4195,159020.2565,156986.9543,155241.8025,154310.8612,153566.8947,153647.622,153776.0072,154290.0652,155078.1742,155457.4815,161600.8886,168374.0784,168493.966,167732.7404,166415.879,164275.0701,163173.8067,162227.4494
