Binomial,ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102
POB,1,161.461953,161.46786,161.578127,162.116716,162.795987,163.503757,164.149301,164.912257,165.708268,166.467753,167.097125,167.713839,168.371218,168.943406,169.573762,170.282771,171.037151,171.618528,172.103288,172.651936,173.12813,173.553169,173.943516,174.309901,174.67138,175.021234,175.364257,175.706175,176.048468,176.38061,176.690941,176.986376,177.261266,177.509878,177.733125,177.950614,178.162074,178.358861,178.548367,178.729829,178.903957,179.071498,179.233056,179.389227,179.540112,179.680504,179.818186,179.95251,180.082689,180.208416,180.329815,180.446803,180.559614,180.669301,180.776159,180.880323,180.978788,181.07337,181.167665,181.26095,181.352825,181.443143,181.531915,181.619191,181.705019,181.789497,180.87327,180.351686,180.19346,180.083259,179.866817,179.590014,179.369667,179.087748,178.788337,178.387993,178.000164,177.609611,177.286798,176.984648,176.788945,176.369229,176.038317,175.712161,175.53852,175.494448,175.397517,175.282485,175.167929,175.062109,174.958661,174.870103,174.795945,174.731724,174.670601,174.623474,174.578784,174.551827,174.532523,174.533489,174.536805,174.544954,174.545619,174.54126,174.537897,174.53559,174.535152,174.536673,174.540615,174.547249,174.556473,174.567973,174.581453,174.592905,174.607322,174.624534,174.64383,174.66465,174.686703,174.709524,174.732946,182.428432
KWH,2,136275.8177,135455.5801,134614.7671,133633.4667,131760.5554,129345.5655,127683.8982,124502.2925,120889.0862,117789.6956,113466.2492,108987.7666,105689.1351,102560.769,100158.4059,98356.35001,96744.38406,95172.73708,93690.19313,93106.03172,92998.54848,93197.93391,92945.74881,92917.61456,92742.06219,92631.94289,92795.90204,93173.62624,93139.40884,93292.01708,92730.5197,92180.68761,91621.72088,90875.17551,90514.22921,89944.99858,89593.48624,88922.37879,88859.49333,88647.08793,88412.07528,87685.82832,87802.58075,87628.77798,87309.7037,86794.08139,85959.84796,85348.80744,84646.63751,83907.97328,83525.23046,83410.92836,82831.15199,82864.61783,82887.8622,82542.7984,82098.08404,82007.80956,81815.50421,80816.11778,80441.42024,80356.15262,79516.7166,79855.54198,79391.51287,78631.1244,78591.52292,78748.72196,77977.95454,77879.73904,77768.80269,77454.59345,77069.15255,76675.39756,75862.65327,75656.86881,75409.77538,75441.35508,75343.41698,75102.40111,75132.33654,75008.46012,75341.60701,75448.27664,75662.1943,75222.0784,75172.43147,75140.72394,74942.27619,75062.06487,75206.4747,75367.33206,75456.01989,75758.70161,76379.31298,76031.99177,76167.12652,76284.09145,75700.24652,76137.08088,76727.75712,76419.58395,76454.04185,76705.45624,77004.01054,77100.35851,76733.37658,77269.45348,77443.68166,76941.79219,77438.82068,77225.88225,77140.84159,77184.44188,77423.0069,76900.01483,77026.38626,76957.02594,76694.53159,77233.41488,76890.56285,77972.83185
SWH,3,73696.53038,72277.51875,70933.80443,69659.01491,68399.66015,66156.45723,64664.16267,64219.61675,63564.0346,62705.01459,61949.73921,61277.22636,61782.35698,60691.25361,60091.08714,59456.74065,59003.29703,58441.83293,57781.57288,57296.66695,56710.27432,56099.43515,56042.5627,56780.92364,55795.92349,55038.21501,54468.46833,54050.27611,54335.63705,54923.2502,53887.67161,53137.18274,52764.22193,52328.48386,52107.06623,51958.0049,51862.29845,51933.80203,52141.31131,51914.63189,51401.60715,51175.64052,50608.44781,50894.98269,50582.40456,50612.91794,50639.9125,50792.59208,50583.7725,50630.99395,50537.76734,51034.42086,50531.51225,51258.39405,50416.06095,49819.23598,49330.98182,49554.12127,50242.68043,49173.69033,48761.41262,48382.8698,47961.49833,48080.76199,47736.18469,47358.38758,47377.52282,47391.79526,47359.84785,47016.95309,47407.21774,47090.4567,47316.78937,47560.68001,47860.66705,47491.57424,47803.4607,47439.83646,47879.67208,47859.95248,48624.29472,48429.95363,49394.29793,49471.46231,49089.98404,49651.90071,48747.18396,48563.56058,48564.97842,48363.66342,48871.14836,48287.57891,47929.69512,47757.84508,47506.34192,47030.79965,47211.84672,47205.74491,47217.54992,47220.55384,46871.02532,46394.21007,46898.02897,46991.55468,46514.70729,46079.93352,45821.55023,45555.76607,45085.06619,44671.42248,44481.86622,44143.5636,43798.23629,43053.15358,42831.27538,42308.79989,41848.87274,41560.23498,41344.78265,41697.48426,41399.08123,41400.11154
MWH,4,951271.0075,957688.6523,962747.0995,964454.1966,964218.1025,943532.0101,935299.5761,948576.3949,954355.1295,959449.7978,962072.6452,962614.4628,964414.8049,964440.3844,966991.2608,971336.9791,975844.6613,974318.488,970647.8365,975231.6848,981784.0679,987074.7185,990929.9416,993708.6187,995628.0643,997073.9369,997980.6637,998802.4644,999366.5125,999683.2172,999473.4809,999559.3209,999497.364,999296.4787,998959.4181,998511.33,997955.6437,997319.3333,996591.4983,995797.9098,994929.3334,993957.954,993006.9874,992026.4477,991100.77,990260.4099,989614.2046,988899.3197,988097.9763,987196.503,986475.9405,985369.0371,984798.2981,983959.0251,983195.5177,982353.5832,981330.5412,980003.6207,978945.6333,978032.2019,977121.7427,976089.3098,974977.0788,973788.0001,972527.0091,971025.2911,959139.3118,957790.4648,956851.887,955013.8881,952214.3124,949716.7216,949832.9297,948248.329,947150.8348,942587.6366,938406.4725,936125.0363,937786.188,936561.1571,937377.0595,935293.5067,931476.2936,927789.9962,926766.2863,926497.3215,925657.0029,924055.2094,921969.666,919456.4711,916380.203,913353.6692,910330.4207,907131.3289,903557.9247,900017.6766,896450.9038,892755.0984,888619.7207,884798.9942,880831.7644,876755.9401,872577.4842,868295.8023,863934.7629,859358.4883,842953.1195,832395.1179,833167.8957,831775.4405,816361.8063,804524.9954,806696.5871,805974.1213,803519.4159,800162.0743,796258.5689,792033.8787,787587.7167,782866.8502,777863.2265,779357.5822
FWH,5,968357.0367,972883.8552,977275.7267,979143.8621,979828.7495,972263.9777,970516.0288,975728.5296,977792.3782,980202.3712,981120.7156,981087.4746,982250.7465,982582.3518,983976.1905,986213.7701,988483.5166,987013.3711,983116.7586,981092.6496,980039.0214,978415.4108,976416.7773,974205.3607,971725.2779,970635.8343,971565.4003,972970.0369,974335.5639,975498.4846,977445.9199,979161.517,980493.4387,981497.1418,982208.7502,982661.3186,982878.9231,982888.6487,982702.6658,982334.7862,981794.0967,981103.6752,980270.9989,979305.3878,978215.225,977002.0053,975681.3665,974258.8527,972741.9147,971140.3047,969457.9282,967638.1811,966007.9831,964455.5025,962983.2965,961458.9647,959898.3282,958332.099,956757.7356,955182.2257,953632.0641,952054.9372,950439.9036,948742.1402,946921.1389,944988.7646,938798.1756,937896.6239,936778.8935,935030.5852,932704.9281,930632.5204,929959.7698,928625.8999,927382.1797,924410.4745,921485.6936,919309.4757,919170.8411,917855.4233,917603.2883,916263.6838,913674.4796,911229.0526,910057.5555,909033.8113,907785.5963,906163.6271,904253.3605,902098.6578,899614.9295,897102.8762,894444.3933,891647.955,888665.6281,885641.7465,882512.9631,879286.3353,875844.4178,872465.7024,868993.6423,865439.7712,861804.3463,858093.0543,854306.7644,850395.2953,842043.9845,836089.9901,833422.7358,830255.6655,822201.5038,815207.0601,812955.9968,809984.6492,806571.569,802845.3526,798809.926,794543.6171,790151.3024,785662.1299,781020.5234,781200.7156
BES,6,5424.504092,5501.246113,5577.027066,5672.433549,5730.245817,5728.684517,5744.059527,5802.197081,5832.975105,5856.55249,5870.495965,5879.948076,5895.857458,5900.986771,5925.371321,5953.832291,5980.066825,5985.187032,5986.127186,6003.329263,6012.151947,6021.892638,6031.492725,6040.850438,6049.820467,6058.304622,6066.303032,6073.61228,6079.373206,6083.78102,6087.796288,6091.393787,6094.429273,6096.623241,6098.830829,6101.099614,6103.745768,6106.4819,6109.288796,6111.998986,6113.683643,6114.735863,6115.672834,6117.213545,6118.74866,6120.12717,6121.636412,6123.069437,6124.481706,6125.848342,6127.167992,6128.437568,6129.659934,6130.845754,6132.001015,6133.125252,6134.276251,6135.41281,6136.481465,6137.580108,6138.712618,6139.83538,6140.93643,6142.026394,6143.110202,6144.191523,6074.323705,6049.017175,6051.48783,6048.927928,6032.207768,6017.60264,6023.524528,6005.369913,5993.665996,5973.632383,5963.417776,5949.005867,5954.615187,5942.279194,5945.881271,5905.551292,5888.843321,5870.396841,5863.466845,5871.625065,5869.670526,5864.921837,5859.052208,5852.590014,5846.028801,5841.404765,5839.010283,5836.019567,5832.500211,5829.110402,5826.155689,5822.784205,5819.357554,5816.421284,5813.761678,5811.670822,5809.501271,5806.855742,5803.867901,5801.021198,5779.863911,5772.311674,5782.221189,5785.068869,5762.839488,5749.596955,5762.787718,5765.491961,5765.181007,5763.528649,5761.231029,5758.616983,5755.839222,5752.951961,5750.00879,5536.593876
HOS,7,57430.12337,58046.09815,58801.07992,59559.14736,59893.07681,59914.10194,60224.76328,60264.36192,60394.91824,60501.19311,60516.86123,60683.5474,60891.92655,61014.84425,61205.14871,61450.49853,61618.95528,61825.92706,61883.26891,61737.95076,61718.30377,61743.43338,61733.17429,61738.39126,61810.80131,61921.81501,62041.30308,62169.24085,62273.68485,62399.56074,62528.57529,62420.55529,62245.16445,62181.48457,62111.70298,62113.81371,62133.96424,62125.31268,62172.35304,62237.26165,62246.7053,62306.94826,62364.75288,62407.05568,62498.58575,62440.3321,62154.06561,62021.0527,61951.49579,61892.66572,61842.86845,61812.03334,61796.87275,61831.81491,61910.68823,61930.45601,62045.20059,62092.51894,61950.99842,61716.27203,61566.45521,61466.26367,61423.89723,61528.78204,61396.93563,61347.75628,61037.5564,61197.00341,61313.10928,61201.06976,61176.4215,61178.0859,61087.58659,60807.75319,60883.98486,60723.13944,60668.72559,60720.274,60746.57328,60789.64774,60883.71392,60940.39052,61051.5108,61159.51968,61250.99712,61209.54409,61036.37207,60884.00976,60832.20441,60851.31817,60815.23016,60897.48131,61058.17685,61067.143,61190.17938,61275.85206,61309.39611,61408.58914,61520.34065,61344.04116,61144.91196,61051.14723,60854.82556,60804.5099,60801.19192,60646.21346,60602.56884,60702.2656,60545.50842,60515.68509,60587.31302,60476.41221,60244.56192,60010.37357,59691.35195,59484.42652,59347.87914,59143.87652,59043.1266,58941.49229,58840.1359,59472.77652
RIS,8,5174.628754,5186.451964,5198.355159,5216.040704,5212.064185,5187.889411,5185.942563,5216.693905,5233.354279,5248.046614,5263.354066,5274.142733,5277.147145,5285.870525,5289.57081,5300.500162,5324.299974,5330.75855,5340.237172,5345.000247,5351.039236,5348.973773,5348.094626,5351.949777,5347.985469,5355.301112,5355.15603,5352.918037,5353.750345,5363.133795,5364.219452,5366.777567,5367.373862,5363.439944,5364.3734,5372.327647,5372.466445,5373.056461,5371.275597,5367.14983,5370.392084,5368.830385,5372.943512,5373.591326,5372.473481,5370.534507,5370.67373,5375.716767,5375.2713,5372.494827,5376.67444,5374.084918,5372.284771,5370.076914,5366.542049,5365.365223,5363.327681,5360.247564,5359.517699,5358.086318,5355.652522,5354.721418,5353.899472,5351.463268,5351.263712,5350.194598,5332.005538,5322.097101,5321.635623,5324.159656,5323.493223,5316.237282,5319.293179,5317.790187,5312.571675,5300.435966,5293.958416,5282.21796,5282.490963,5283.938159,5285.252778,5268.192107,5254.859327,5244.078504,5240.873317,5242.917152,5241.734987,5243.891038,5244.375093,5242.309625,5237.872772,5235.632351,5231.573202,5225.846681,5222.072189,5217.542633,5211.417686,5207.505686,5203.153731,5197.250004,5193.825126,5189.095322,5182.208168,5178.04033,5172.538565,5165.189303,5160.879353,5155.04086,5147.818986,5142.752024,5137.232783,5130.923663,5125.839121,5120.10535,5109.96692,5102.993192,5100.414869,5092.964011,5085.843945,5078.431865,5076.407739,3960.347555
SBA,9,24400.28638,24719.9523,25010.44439,25322.72621,25564.1852,25720.51735,25904.33054,26152.79862,26341.98458,26517.55207,26653.57137,26738.04881,26841.1384,26886.17392,26980.85415,27106.38976,27226.62469,27261.09133,27256.64066,27293.40147,27337.57181,27373.53711,27405.74839,27438.25918,27464.85023,27485.20724,27503.58336,27524.57839,27546.74887,27566.57178,27582.3289,27587.16231,27593.56903,27594.03102,27593.96799,27595.83117,27601.61342,27606.27113,27607.54284,27606.29757,27604.79033,27602.63718,27600.37138,27597.50063,27594.79213,27591.25545,27587.46229,27583.65294,27579.5496,27575.34146,27570.50492,27565.72911,27561.11213,27555.89789,27550.75029,27545.79995,27540.47609,27535.07175,27529.21433,27523.91139,27518.46347,27512.78603,27507.45421,27501.64112,27495.6346,27489.92008,27249.19404,27143.10307,27073.13178,27011.74216,26921.32546,26833.86829,26812.19369,26721.80872,26641.60103,26526.96024,26414.77073,26315.16871,26290.33592,26212.70547,26173.9324,26064.49754,25954.05824,25861.97753,25824.77948,25842.72221,25836.15217,25819.8362,25795.73003,25768.81822,25737.19041,25705.85121,25677.08021,25642.49076,25605.50159,25566.06972,25524.34572,25485.22538,25452.05296,25418.85277,25383.15358,25344.0388,25296.87364,25239.34061,25180.02236,25115.30077,25041.2167,24970.20909,24913.49053,24848.77834,24768.22713,24658.71991,24614.60682,24560.83974,24502.00604,24440.38175,24378.10044,24313.79314,24248.75036,24183.65424,24119.0407,24700.45125
SBB,10,5003.434407,5002.904533,5002.21676,5011.608662,5020.029058,5025.22824,5030.368471,5033.088536,5038.936644,5043.651795,5048.211928,5054.349047,5057.256614,5056.792361,5061.275911,5073.14089,5078.244719,5080.702432,5080.8746,5085.830292,5088.780635,5090.638885,5091.541486,5090.733438,5089.074063,5086.499364,5084.217204,5081.377162,5078.780095,5075.278954,5070.932425,5066.530476,5061.783921,5056.705463,5051.05986,5045.364427,5039.616371,5033.966015,5026.807956,5019.572318,5011.982583,5005.043802,4998.597862,4991.381377,4984.166371,4977.066259,4970.252716,4962.707602,4955.544047,4948.00152,4941.104195,4933.578596,4926.319351,4918.651536,4911.102535,4903.54987,4895.894213,4889.277813,4881.640836,4873.985379,4866.582815,4858.77434,4851.450436,4844.096113,4836.61801,4829.441848,4760.543682,4792.847119,4814.697282,4839.140303,4858.244613,4870.285238,4889.868082,4903.493609,4920.108563,4935.035432,4938.834663,4936.849012,4943.59977,4947.328366,4952.893061,4964.11891,4978.176421,4985.344126,4994.729605,5004.771128,5007.702408,5004.399646,4996.372616,4985.755851,4972.336916,4957.090772,4940.95104,4924.245212,4906.985833,4890.147593,4872.308085,4852.913671,4832.66577,4811.053648,4787.859992,4763.854078,4738.58465,4712.809931,4686.55797,4660.170327,4633.643449,4607.29316,4580.679831,4554.297257,4527.816133,4501.471598,4474.959393,4448.470415,4422.517298,4396.512848,4370.625777,4344.723255,4318.951595,4292.965552,4267.576801,4311.846254
