Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.461953,161.467859,161.578123,162.116715,162.795916,163.503455,164.14889,164.911845,165.707805,166.467272,167.096655,167.713454,168.370861,168.94308,169.573441,170.282436,171.036823,171.618207,172.102988,172.651607,173.127797,173.552803,173.943188,174.309584,174.671044,175.020905,175.363914,175.705809,176.048091,176.380248,176.690588,176.986033,177.260907,177.509559,177.732815,177.950323,178.161785,178.358557,178.54804,178.729477,178.903607,179.071117,179.232684,179.388851,179.539745,179.680184,179.817884,179.952226,180.082406,180.208123,180.329518,180.4465,180.559284,180.668953,180.775792,180.879925,180.978432,181.07303,181.167336,181.260609,181.352472,181.442787,181.531539,181.618798,181.70461,181.789068,180.872822,180.351302,180.193092,180.082884,179.866432,179.589629,179.369278,179.087337,178.787911,178.387554,177.99971,177.609144,177.28632,176.984249,176.788576,176.368884,176.037965,175.711793,175.538149,175.494086,175.397844,175.282072,175.165639,175.056986,174.949914,174.856875,174.777439,174.707144,174.639158,174.584372,174.531219,174.494965,174.465569,174.455588,174.447095,174.442741,174.430089,174.4119,174.39418,174.37712,174.361579,174.347665,174.335885,174.326516,174.319485,174.31454,174.311326,174.305666,174.302774,174.302527,174.304229,174.307309,174.311455,174.316245,174.321553,181.988667
KWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136217.9104,135336.5381,134471.9928,133475.3348,131532.5285,129047.3116,127695.4705,124814.8406,120866.5028,117247.1045,112577.4976,107872.9261,104473.6025,101592.3176,98720.50008,96707.40878,94787.42503,93282.54591,92426.45834,91980.61646,91537.96112,91085.35381,92081.15397,92428.12003,92114.76758,92056.07318,92151.32574,92311.38534,92685.76039,92884.24377,92625.05962,91973.57908,90985.14263,90540.96613,90187.30437,90100.03196,89104.12195,89001.96407,88654.91422,88616.7021,88531.24973,88176.7274,87760.11946,87456.77207,87044.74117,86156.88248,85527.36083,84776.52689,84066.72668,83579.80744,83163.19265,82830.0761,81845.81614,81936.15769,81731.39101,82008.55681,81777.50283,81966.24747,81650.29972,81643.0209,81375.41521,80442.08801,80480.5091,80393.52111,80141.5151,80041.24248,79966.15517,79311.37685,78907.39396,78850.25161,78589.11129,78286.61645,77982.69972,76922.20499,76315.58509,75870.46441,75194.96085,74942.50206,74737.30367,74320.76807,74426.11971,74258.63072,74254.09503,73752.07229,73855.33654,73700.24997,73141.00408,73089.3277,73250.38492,73349.61774,73500.10451,73743.64665,73637.58356,73998.28901,74498.22533,74585.66498,74975.73455,75205.33833,75105.94236,75146.20579,74992.76234,75183.25243,75208.31303,75184.0558,75231.73042,75669.51355,75400.43174,75635.16639,75751.20302,76044.41496,76036.28301,75848.16776,75720.88308,75336.04299,75172.41377,75212.45133,75068.2182,75047.17146,75195.17483,74728.98395,75027.07367,75965.21495
SWH,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73698.17661,72244.95422,70913.49286,69654.38926,68400.42082,66152.32888,64645.69762,64219.59334,63613.84269,62807.64226,62007.42515,61327.50389,61804.33532,60726.48368,60029.03573,59621.48857,59120.42185,58562.85141,57990.48031,57418.97054,56796.35231,56078.14993,56185.43836,56849.3608,55853.1355,55185.38345,54847.04798,54564.72449,54646.62097,55206.80715,54306.82435,53448.68286,52954.18833,52643.05465,52367.56592,52215.11707,52231.05298,52718.16077,53196.10391,52854.84528,53556.57864,53067.09579,53340.42137,53107.97618,53533.91419,52916.48884,53317.7904,53005.80184,53512.98081,53008.11456,53278.77218,52860.4401,53030.26358,52817.1856,52692.3357,51811.02877,51270.30969,50993.65343,50778.71576,51602.73142,50669.9493,49767.70434,49466.25331,49095.41579,48535.73007,48492.30339,48198.28955,47947.83039,48003.42952,47894.57965,47876.08294,47885.12674,48242.10948,48341.14138,48044.34166,47804.51135,47475.63754,47332.7435,47504.52041,48228.24583,48607.57073,47869.14687,47891.08927,47984.8424,48374.84585,48123.36814,48616.58803,47846.23023,47841.06779,47610.60798,47930.70789,47905.07445,48118.90038,48219.13234,48892.45844,48529.16549,49240.42614,49029.10351,49277.82506,48514.66952,48237.64926,47967.68879,47579.47911,47351.63409,47267.78234,47017.60593,46908.651,46892.2629,46608.26765,46667.86004,46789.80436,46539.86749,46435.3496,46194.77418,45858.01896,45787.92055,45680.50247,45829.79462,45734.52224,45358.59745,45205.0928,45181.70845
MWH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951118.7998,957619.9628,962734.3132,964454.2136,964264.3552,963272.9772,964911.7546,969769.4707,970453.0108,972654.8519,973300.4994,972412.7913,973872.5098,973232.2286,975270.3354,979231.0832,983372.2367,981368.9368,977469.0787,981897.256,988224.8364,993347.9701,997023.8485,999610.3095,1000971.198,1002371.776,1003345.587,1003917.997,993284.1219,993987.3168,996786.9905,998430.075,999191.1119,999498.6413,999402.2255,999065.5149,998578.2748,997894.6135,997105.2028,996265.6094,995333.6191,994332.1275,993301.948,992212.1567,991141.4796,990263.5094,989517.7838,988715.7119,987673.7213,986889.1973,986089.6858,984895.3832,984241.6314,983365.65,972717.8022,969599.8226,971568.6497,972493.3728,972750.9422,972679.4707,971982.9748,971471.239,970691.5992,969725.4013,968418.0068,956534.8011,947247.1695,948471.0086,949104.6221,948048.7173,945484.9679,943602.1691,944368.3852,943099.4415,941942.7371,937678.6039,934177.1375,931946.6029,933328.8868,932449.9493,933422.0012,931477.2603,927521.5181,924070.8876,922983.7743,922848.797,922452.5896,921606.2035,918634.1742,906066.3879,908226.6584,909103.195,908807.1518,908104.9751,906955.2657,905727.1995,904163.9151,902653.3104,901001.7961,897668.687,884277.8619,886394.2609,886971.3375,886395.4467,885387.9556,884030.9879,882679.3408,881316.2516,879703.8071,878152.116,876522.6572,874910.2458,873061.5034,871302.4433,869457.1584,867586.1886,865660.3717,863975.1837,862085.2256,860257.3406,858148.7449,860037.7095
FWH,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968348.6488,972885.9468,977285.4073,979140.6452,979860.6752,980195.0876,981967.5159,984514.5764,984777.9239,986024.2401,986125.6946,985480.1768,986406.9468,986436.1146,987620.9237,989702.6954,991848.8132,990241.0804,986276.2989,984201.7873,983098.467,981450.693,979422.2694,977177.3455,974511.1922,973438.8414,974376.6998,975743.9233,972645.6932,974266.5069,977140.9563,979355.1455,981026.9291,982265.765,983129.3785,983671.4689,983952.7565,983982.3581,983796.0082,983416.0196,982853.1559,982121.227,981247.8118,980227.4941,979067.8421,977795.9423,976411.5487,974919.9611,973298.8072,971642.5494,969897.5681,968014.3773,966319.201,964633.1849,959171.2738,957316.2703,956390.6164,955420.0155,954247.7542,952950.7407,951496.3974,950073.3602,948558.7357,946928.562,945014.6503,938978.5895,933613.2015,933402.5871,932796.1091,931374.8065,929152.3916,927303.2675,926846.7943,925634.6342,924345.0674,921472.8538,918784.3943,916632.9892,916382.963,915136.9994,914937.2281,913644.6311,911011.2758,908630.9336,907436.5586,906473.3123,905404.4515,904177.0949,902208.0233,897180.5456,896526.906,895622.6466,894468.4562,893149.1217,891683.0544,890166.0162,888571.2048,886924.7095,885212.2137,882840.465,877208.3158,876420.8646,875317.8799,873978.8528,872485.9492,870877.8977,869216.0755,867486.5503,865668.9275,863861.5772,862013.3223,860143.4879,858208.1386,856301.7793,854438.9996,852591.7408,850660.4186,848721.7243,846750.9145,844835.8434,842845.0914,843243.4217
BES,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5424.503766,5501.245637,5577.02251,5672.408144,5730.209023,5764.526256,5787.443931,5827.638674,5851.061337,5871.001124,5882.925084,5891.238907,5906.467728,5911.056247,5935.012444,5963.137589,5989.053142,5993.863226,5994.507103,6011.390536,6019.871147,6029.225569,6038.385069,6047.241249,6055.660291,6063.559224,6070.942884,6077.625156,6074.580225,6081.686387,6086.928983,6090.793678,6093.699887,6095.605849,6097.485206,6099.430697,6101.772496,6104.236258,6106.791283,6109.2729,6110.796034,6111.72874,6112.584964,6114.083463,6115.61682,6117.011011,6118.559411,6120.046653,6121.530587,6122.986637,6124.411777,6125.788919,6127.13144,6128.409717,6122.717274,6125.458743,6128.950001,6131.172805,6132.831049,6134.284839,6135.650324,6136.937316,6138.17253,6139.375594,6139.506077,6131.496113,6066.553901,6043.363873,6046.814339,6044.773023,6028.384765,6014.016262,6020.115932,6002.106302,5990.515665,5970.634619,5960.544522,5946.247359,5951.95798,5939.779151,5943.533426,5903.347637,5886.760771,5868.450605,5861.658402,5869.962435,5868.518368,5861.826727,5857.937187,5836.510565,5839.041008,5838.403271,5838.432383,5837.215488,5835.208514,5833.216777,5831.60726,5829.598192,5823.680798,5823.900721,5806.799104,5814.731015,5817.278433,5817.719752,5817.147552,5816.450164,5816.181877,5816.982952,5817.84776,5818.581231,5818.435068,5817.797965,5817.043955,5816.222104,5815.370266,5814.512945,5813.676586,5812.858441,5812.027906,5811.203428,5810.378154,5591.507772
HOS,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57430.15418,58046.11028,58801.00003,59558.7057,59891.52278,59910.9147,60220.20085,60258.00972,60387.02371,60491.64627,60507.93172,60676.32651,60880.83321,61001.26766,61188.69153,61431.80977,61598.5525,61802.47057,61857.31587,61710.01238,61688.11697,61714.00974,61700.28458,61700.85228,61783.70368,61898.92111,62028.78169,62162.10334,62261.53933,62383.92056,62511.11226,62403.81276,62226.30469,62161.57611,62092.16306,62093.00102,62114.1602,62105.8139,62161.30007,62225.54609,62238.08292,62300.33907,62383.55799,62426.63692,62509.10066,62441.57734,62148.94935,62021.21954,61941.63314,61852.30016,61814.86022,61818.10706,61786.63702,61876.70877,61932.84621,62025.78827,62046.80032,62119.28419,61887.24268,61667.84066,61570.6846,61431.822,61482.4742,61446.60572,61454.85064,61383.29151,61042.36365,61193.20799,61358.99317,61330.04448,61262.93333,61218.46902,61121.22952,60840.66223,60923.32765,60761.404,60697.58549,60758.94008,60747.43698,60784.37253,60867.0036,60923.39515,61036.93577,61133.50064,61212.46171,61154.23751,60991.84618,60853.89748,60837.38405,60869.89511,60851.36078,60940.73178,61039.45317,61090.98987,61209.67606,61353.54174,61440.08894,61571.2846,61729.77373,61593.20792,61389.43543,61351.35588,61242.26533,61320.81257,61342.34604,61366.27031,61355.59637,61396.6518,61379.07184,61478.61336,61533.2057,61534.68675,61471.45627,61260.73098,61028.01791,60928.45689,60893.21978,60805.37202,60793.57886,60812.96274,60752.64355,61525.47858
RIS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5174.944952,5187.06747,5199.061752,5216.549395,5233.59091,5253.611432,5268.968243,5296.863591,5324.92897,5344.824228,5357.800065,5367.138356,5374.266236,5376.030259,5382.088914,5398.105999,5416.942949,5425.998699,5431.243848,5442.514569,5446.282343,5448.293733,5451.524209,5453.341418,5454.933674,5457.985847,5460.301554,5460.689163,5462.063019,5462.315444,5461.375074,5463.847399,5465.367474,5464.345572,5465.394055,5466.313989,5465.566788,5466.603898,5466.58911,5464.402936,5465.552768,5465.200436,5463.471419,5463.943064,5462.39369,5461.716959,5462.697231,5462.769445,5460.224407,5460.07132,5460.009571,5458.013595,5458.876047,5457.873685,5454.674649,5455.32445,5454.085387,5451.444159,5452.39794,5452.656667,5450.64786,5450.234711,5449.875406,5448.484893,5448.948521,5448.184189,5429.682777,5419.261231,5420.691359,5425.317059,5425.873466,5419.978909,5424.040782,5424.720104,5420.581009,5409.203795,5401.417682,5391.42459,5392.04379,5386.752048,5386.919342,5369.294745,5356.19126,5347.45019,5340.985036,5343.869014,5343.462636,5342.588885,5343.719618,5343.072472,5337.97866,5338.311721,5337.645147,5334.270105,5334.377059,5332.821148,5330.211874,5329.420544,5327.092068,5324.487725,5324.305244,5322.193946,5317.965819,5317.393627,5315.763664,5311.494574,5311.084607,5309.651559,5306.370718,5305.019762,5302.17399,5298.825152,5298.404601,5296.914214,5292.784076,5292.093839,5290.406398,5286.946595,5285.648376,5281.944209,5278.835595,4121.626994
SBA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24400.54057,24719.98909,25010.87916,25322.96495,25565.48884,25753.69874,25947.76296,26187.30985,26371.30641,26545.51465,26680.1979,26763.86311,26868.54334,26913.13868,27008.41756,27133.16141,27252.13133,27285.2475,27279.12811,27314.56215,27356.2758,27390.54818,27421.24013,27452.15971,27477.29519,27495.98293,27513.07607,27532.38675,27550.92621,27568.59126,27581.68156,27586.01237,27590.10907,27589.47192,27588.68358,27589.37427,27594.39711,27598.75398,27599.10385,27598.52277,27597.73865,27596.42454,27594.54955,27592.25251,27589.51412,27586.9174,27584.0568,27580.74903,27577.21922,27573.35465,27569.66702,27565.37108,27561.44063,27551.10148,27544.63776,27539.45229,27534.53028,27529.62113,27523.53349,27517.07707,27510.73986,27504.58007,27497.64014,27491.92382,27482.97854,27476.29352,27235.87798,27130.42492,27061.11692,26999.1162,26909.17331,26821.74989,26800.45798,26711.76962,26632.9482,26519.25224,26407.68957,26309.66834,26285.76419,26208.72752,26170.91842,26061.96659,25952.30728,25861.13991,25824.54528,25843.2935,25840.73731,25830.36065,25816.43668,25796.48607,25778.75001,25763.22854,25751.52231,25736.40613,25720.93887,25706.85155,25690.97008,25679.85705,25674.56289,25673.62285,25667.12492,25662.65826,25651.98529,25632.27855,25610.95149,25588.63334,25567.08161,25546.74911,25525.55508,25504.11736,25482.26944,25460.70061,25438.89771,25417.37674,25394.8938,25372.86758,25351.00736,25329.09762,25306.91255,25284.39191,25261.56298,25855.67796
SBB,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5003.603986,5003.315338,5002.919769,5012.130255,5020.015047,5025.225693,5030.817082,5033.458695,5039.314164,5043.645306,5048.229688,5054.089273,5057.405728,5056.99548,5061.468869,5073.324265,5078.459297,5080.870071,5081.022596,5085.971085,5088.905027,5090.433696,5091.368524,5090.714096,5089.124144,5087.00308,5084.59105,5081.686262,5079.012392,5075.060875,5071.080629,5066.726968,5062.066521,5056.601453,5051.101748,5045.521302,5040.071099,5033.895569,5026.961848,5020.660849,5013.410599,5006.646199,4998.807608,4991.948425,4984.336909,4977.849601,4970.491574,4963.710308,4955.831721,4949.067806,4941.445486,4934.289472,4926.584438,4919.386642,4911.797659,4904.206611,4896.328099,4889.413082,4882.60558,4874.881133,4867.221975,4859.666965,4851.774475,4844.602636,4837.236706,4829.833351,4761.3663,4793.631077,4815.001858,4838.662434,4858.144878,4869.762675,4889.499822,4902.773817,4919.104056,4933.450962,4937.389857,4934.921433,4942.656928,4946.276806,4951.804547,4963.032826,4977.407701,4984.973316,4993.737981,5004.44148,5008.604333,5009.610718,5007.572477,5003.80372,4998.2984,4992.024267,4985.582152,4979.770174,4973.421001,4967.898092,4961.871634,4955.975148,4948.704132,4941.623097,4933.482365,4924.990296,4915.49512,4905.939265,4896.06772,4886.497984,4876.608877,4866.657672,4856.54544,4846.200934,4836.238987,4826.106173,4816.047578,4806.185339,4796.145755,4786.006922,4776.208507,4765.967687,4755.98351,4745.488531,4735.676311,4785.891865
