Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.461949,161.467854,161.578117,162.116713,162.795924,163.503463,164.148887,164.911845,165.707814,166.46727,167.096663,167.713452,168.370853,168.943085,169.573453,170.282433,171.036824,171.618199,172.102967,172.651597,173.127793,173.552793,173.943183,174.309581,174.671037,175.02091,175.363915,175.705801,176.048088,176.380239,176.69058,176.986045,177.260929,177.509573,177.732828,177.950345,178.161796,178.358578,178.548059,178.729498,178.903637,179.071153,179.232711,179.388883,179.539767,179.680201,179.817895,179.952235,180.082407,180.208129,180.329524,180.446489,180.559282,180.668956,180.775771,180.879916,180.97843,181.073013,181.16734,181.260624,181.352478,181.442797,181.531563,181.618812,181.704637,181.789095,180.872832,180.351346,180.193133,180.082909,179.866467,179.589671,179.369303,179.087385,178.787957,178.387592,177.999754,177.609187,177.28634,176.984295,176.788625,176.368905,176.038013,175.711842,175.538181,175.494118,175.397872,175.282092,175.165685,175.057025,174.949935,174.856901,174.777465,174.707156,174.639191,174.584404,174.53123,174.494999,174.465601,174.4556,174.447123,174.442774,174.430106,174.411926,174.394201,174.377123,174.361598,174.347694,174.335907,174.326545,174.319519,174.314555,174.311371,174.305709,174.302791,174.302549,174.304261,174.307321,174.311474,174.31626,174.321556,181.988671
KWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131526.6671,130723.8156,130637.1821,129416.7444,127104.1904,124688.3643,122570.7489,119228.7188,116267.2474,112191.9745,107990.0193,104480.2889,100352.7521,97324.97907,95149.71011,93162.23373,91761.56904,90692.14856,89564.26416,88972.76006,88044.08234,88143.74743,88063.70746,87872.2023,87818.75921,87598.52824,87231.18927,87314.86937,86693.49656,86666.89744,86745.3091,86163.21076,85855.38773,85182.96314,85168.69437,84641.2828,84329.77881,84051.02396,83664.85023,82814.92642,82572.5122,82481.59106,82057.22858,81793.19718,81228.57692,80496.18714,79604.77096,78930.75972,78391.39519,77940.36819,77465.37486,76770.40169,76439.30684,75576.90025,75783.34116,75722.78958,75857.17683,75154.1583,74880.48865,74335.13973,73996.404,73819.47067,73479.98299,72998.5114,72870.88721,72470.22973,72367.09177,71950.54929,71683.62844,71918.43647,71666.79022,71797.13936,71266.49867,70563.58953,70202.04544,69958.49073,69756.71329,69471.98685,69267.77758,68962.44736,68175.28267,68166.02257,68259.24002,67954.75258,68277.77542,68135.80558,67639.20101,67473.52752,67137.70656,66651.84629,66467.95529,66431.54238,65949.02796,65989.41635,66306.27134,66205.78936,66551.94748,67236.82313,67214.30337,67336.70522,66934.25553,66162.19129,66301.60161,66230.53787,65790.82431,66227.9373,66192.51364,66230.35516,66450.76159,66498.93702,66233.68802,66627.35648,66722.67802,65955.03405,65919.45893,66363.4617,66458.07595,66289.74738,65670.20235,66004.81574,66472.52291,67569.46109
SWH,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74285.6865,72274.32367,70202.48002,69124.83556,67739.34559,66877.36613,65343.31667,64942.10799,63506.76879,62363.05197,61743.80502,60883.43231,60708.20942,59411.78142,58744.81916,58537.68148,58233.61125,57742.69547,57485.38434,56434.86509,55915.8087,55873.15712,55927.02006,55838.11354,55576.01496,54911.64609,54595.33442,54169.96897,53620.48372,53353.69044,53368.83023,54058.08244,53227.11247,52678.61138,52414.07812,51944.74533,51957.69228,51846.58954,52014.6549,51376.98723,51056.51343,50729.14374,50559.23429,50363.2733,50523.97702,50458.92392,50749.4826,50189.75221,49800.06053,49317.9986,49305.72044,49087.97496,49144.44551,48324.32979,48684.62621,49051.78927,48952.96653,49357.9773,48722.38074,48217.26825,47767.62153,47610.64767,47591.51284,47288.53865,47185.69978,46916.17258,46653.36034,46661.9601,46783.71931,46748.30845,46805.14951,47587.77222,47779.2821,46938.24521,47060.1625,47386.29532,47883.60762,47369.22031,47960.94983,47666.05368,47566.81472,47482.7834,48246.15424,47973.30218,48630.11028,48493.16605,48765.19799,48032.04929,48207.49253,48090.98159,48775.12194,48632.04317,49261.64369,49116.75335,49700.34798,49267.78779,50039.26615,49807.27293,50291.00805,49433.61653,49049.34164,48547.3953,48311.91556,48222.73876,47909.53474,47793.46069,47647.65294,47568.80834,47413.65563,47121.44181,46954.79981,47059.8502,47059.61083,46359.60464,46198.90725,46002.15336,46035.30118,45851.50973,45431.63396,45158.32119,45231.23705,45218.93569
MWH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950900.3163,957482.0688,962452.3281,964229.9514,964072.8662,963191.1609,964781.1733,969679.5698,970276.8396,972555.0505,973173.7772,972450.2063,973812.044,973148.3623,975158.2057,979093.006,983076.1912,981307.9862,977390.5769,981760.4333,987988.6239,993099.4072,996536.9079,999251.0151,1001009.98,1002329.88,1003245.649,1003873.782,1003843.046,1004078.345,1004053.78,1003610.851,1003259.949,1002914.384,1002413.806,1001647.755,1000785.787,986709.2623,978593.4462,983601.9032,986166.0604,987206.5683,987465.5033,986809.2756,986391.981,985975.7863,985619.7212,984750.1886,984147.9708,983544.0636,982693.8514,981631.4501,981018.0972,980457.8215,979496.8108,978774.1851,977755.0849,976221.6816,972947.6268,972824.5618,972190.545,971603.2055,970653.0393,969573.6209,968613.618,967517.3532,955589.4245,954539.1124,953721.1981,951836.8697,948802.5934,946562.027,946995.6231,945570.7112,944507.5586,940009.4139,936443.41,933995.3917,935673.8399,934547.4042,935476.9968,933483.2141,929688.2341,926156.6924,925239.5748,923425.0414,923012.156,922510.1824,921567.7674,920302.2801,918808.93,917310.8253,915687.3201,914013.8021,912059.2238,910347.6249,908561.2742,906781.8624,904950.6338,902936.6334,901052.6006,899006.9702,897113.6264,895102.7384,892992.1863,891020.3152,888955.1071,887196.9064,885121.3787,883327.3119,881513.2705,879495.1479,877632.2451,875660.3776,873649.5164,871381.4379,869517.6586,867668.3628,865773.7821,863521.7346,861440.8264,863328.7871
FWH,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968167.585,972742.3471,977125.991,978993.3643,979726.3382,980074.5046,981837.2784,984383.2055,984613.9089,985875.1339,985976.6057,985379.0855,986278.0584,986300.9898,987482.5711,989559.1006,991694.2008,990137.1896,986168.6134,984082.026,982981.6275,981308.9188,979195.8887,976986.1595,974486.865,973373.0037,974290.481,975688.8228,976880.7252,978057.3596,980122.3493,981655.4016,982935.2852,983936.0133,984619.9455,984994.3642,985103.1627,979981.3891,977470.812,978642.3051,979148.9887,979147.5521,978794.1082,977986.7149,977125.9137,976062.3343,974840.7948,973332.7933,971859.0548,970274.7901,968572.1756,966699.8262,965025.3506,963446.2895,961866.5828,960317.4294,958704.232,956947.0142,954613.2911,953183.9887,951638.815,950123.0711,948510.5166,946834.877,945041.3777,943174.6591,936940.8753,936039.2031,934936.9027,933190.5524,930733.8215,928704.2832,928097.5709,926788.2948,925566.7975,922609.3905,919886.8526,917668.2521,917545.2424,916225.2519,916024.1007,914729.8743,912165.5272,909778.7101,908657.3217,907136.0208,906024.9382,904910.0613,903645.2176,902269.4672,900786.6307,899257.43,897671.1377,896036.4112,894289.0844,892600.8942,890874.586,889137.6664,887372.9771,885547.3898,883740.0879,881883.7921,880052.7571,878191.1034,876296.7875,874421.5906,872503.1434,870605.7506,868580.9754,866671.3248,864744.8031,862742.6009,860777.134,858799.9302,856877.196,854914.0843,852977.9127,850992.7351,849009.5907,846970.9467,844947.1249,845346.1263
BES,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5424.657487,5501.438444,5577.258142,5672.706204,5730.616389,5765.075999,5788.142759,5828.464649,5852.022475,5872.111171,5884.173581,5892.635546,5908.018818,5912.730475,5936.829946,5965.111867,5991.174127,5996.107227,5996.838437,6013.835314,6022.456709,6031.936785,6041.215589,6050.172672,6058.668168,6066.648866,6074.125688,6080.892944,6086.089907,6089.9113,6093.355295,6096.380805,6098.87326,6100.589083,6102.34677,6104.198079,6101.205458,6092.973362,6085.589613,6099.214721,6105.095786,6108.086506,6109.966565,6111.984769,6113.764726,6115.253103,6116.804489,6118.278345,6119.702542,6121.12472,6122.485448,6123.81746,6125.162204,6126.481248,6127.782453,6129.099075,6130.456143,6131.826065,6133.16278,6134.55449,6135.945636,6137.334186,6138.728957,6140.096749,6141.429906,6142.73384,6073.076565,6047.95672,6050.598563,6048.206749,6031.630041,6017.127894,6023.158788,6005.104321,5993.471921,5973.467399,5963.268308,5948.880957,5954.530333,5942.222681,5945.865134,5905.55916,5888.855072,5870.409787,5863.479467,5871.633242,5870.020672,5865.830456,5860.602549,5854.832547,5849.057258,5845.31177,5843.851685,5841.849458,5839.368036,5837.051229,5835.238469,5833.078782,5830.906809,5829.271371,5827.997403,5827.338626,5826.650045,5825.541115,5824.121397,5822.913167,5822.271629,5822.746542,5823.35797,5823.879245,5823.538879,5822.692212,5821.699765,5820.642144,5819.549116,5818.447181,5817.358339,5816.283927,5815.224089,5814.140099,5813.056148,5593.965094
HOS,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57448.56206,58036.73786,58784.12585,59546.52991,59886.11423,59919.85918,60252.23246,60282.35646,60417.50621,60545.00711,60555.41615,60721.37495,60924.20215,61015.26972,61203.53139,61456.57054,61606.23787,61813.61188,61860.84637,61700.89504,61694.99286,61734.20495,61708.71696,61716.59084,61797.13094,61921.91958,62053.64633,62198.68946,62275.73989,62408.52634,62554.9048,62442.65436,62275.73983,62229.08223,62140.56386,62141.7003,62180.22341,62177.07515,62225.82588,62289.8107,62287.48244,62340.59602,62404.5015,62431.42243,62523.20453,62466.82367,62172.06959,62034.75928,61982.71775,61939.98794,61891.25827,61855.58614,61821.06637,61826.65637,61932.66701,61942.43716,62100.53473,62153.63983,61995.97299,61751.23418,61575.53534,61463.52501,61431.46465,61546.61708,61406.02008,61340.92244,61049.43342,61199.61939,61355.37149,61287.84024,61214.19305,61212.6473,61120.03397,60825.75313,60895.92543,60750.59086,60683.74076,60748.03177,60784.68431,60802.26545,60882.51982,60922.03509,61026.02814,61138.73213,61243.77741,61194.43388,61029.6724,60915.70289,60894.77648,60917.44312,60924.60537,61016.96189,61142.95875,61205.86894,61303.70789,61445.09198,61553.23448,61732.58217,61885.96717,61841.55108,61597.07495,61487.1865,61394.54851,61354.38742,61353.70796,61386.6278,61391.57648,61550.21561,61514.35706,61542.08053,61593.99018,61618.39537,61456.38787,61182.2882,61004.38075,60968.56538,60917.36457,60845.37308,60793.0006,60806.75071,60768.29263,61538.98709
RIS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5177.974986,5188.971871,5201.138687,5216.865302,5232.705725,5254.296546,5271.442829,5297.4328,5325.147874,5346.178336,5357.528197,5368.808867,5376.536186,5375.574132,5382.677903,5399.336868,5416.848455,5428.929071,5434.918833,5442.546392,5446.743279,5449.813218,5451.768643,5454.737086,5456.583951,5457.919087,5460.715546,5462.145321,5462.323479,5463.835698,5463.526165,5461.97625,5464.144576,5465.485696,5464.86295,5465.103386,5466.182527,5465.527812,5465.58865,5462.783137,5461.339909,5461.211967,5459.66767,5458.339892,5458.844617,5457.613488,5457.660949,5458.716539,5458.127132,5456.835159,5458.186263,5457.861207,5456.121139,5455.583803,5455.409651,5453.872286,5454.341827,5453.306788,5450.495904,5451.42057,5451.441196,5449.80713,5449.030165,5448.702456,5447.08355,5447.593661,5431.104549,5416.861746,5418.843552,5424.665156,5424.161202,5419.201171,5423.82399,5421.660315,5419.040237,5408.72901,5400.214187,5389.42868,5392.13394,5382.27137,5384.2332,5369.361321,5350.893289,5343.752798,5339.662148,5340.384442,5342.214492,5341.695235,5338.073891,5339.539411,5339.45857,5336.831683,5333.990061,5333.599787,5329.908818,5330.297145,5328.918356,5325.129506,5324.947941,5324.337686,5321.777018,5321.333785,5317.832766,5315.429318,5315.094408,5313.805121,5310.10568,5308.51881,5304.782889,5302.086624,5301.382799,5299.306505,5293.310112,5293.380572,5292.264906,5289.460396,5287.710179,5285.149498,5282.044414,5281.404554,5279.460453,4120.31553
SBA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24401.40987,24720.75652,25011.38185,25323.01669,25565.768,25754.59646,25948.36254,26188.33577,26372.20976,26546.24455,26680.73117,26765.31281,26869.27221,26913.49912,27009.25541,27133.63223,27253.02623,27286.55315,27279.84088,27315.02898,27357.3616,27390.75738,27421.88849,27452.27838,27477.32311,27496.46158,27512.84032,27533.57256,27554.72938,27573.44396,27587.75334,27592.56222,27597.67894,27597.96662,27597.74908,27599.36975,27602.14665,27600.90874,27597.33473,27597.89902,27597.04099,27594.27213,27591.7024,27588.34116,27584.30817,27580.61999,27577.55623,27573.90973,27570.26497,27566.57744,27562.4428,27559.12264,27554.96395,27550.84957,27546.61225,27542.45446,27538.00403,27533.62375,27528.90205,27524.38928,27519.17981,27514.22932,27509.00413,27503.37264,27498.01532,27492.33893,27252.02409,27145.22979,27075.71567,27013.9944,26923.94209,26836.90193,26814.6587,26724.82382,26644.20334,26529.63033,26417.39458,26318.47955,26293.40972,26215.75721,26177.15465,26067.53306,25956.92321,25865.39686,25828.36348,25846.38086,25843.28546,25832.71817,25818.18975,25802.65583,25785.07474,25769.51701,25758.64822,25743.86623,25728.57955,25712.93301,25696.38651,25684.58728,25680.5546,25679.53127,25676.76927,25672.22819,25661.71978,25641.54519,25620.52227,25599.42158,25577.47723,25555.66321,25533.43842,25511.79365,25488.7639,25466.86642,25444.26678,25422.13253,25399.98824,25377.55997,25355.19942,25332.77367,25310.12083,25287.00406,25264.15722,25858.18394
SBB,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5003.863087,5004.06751,5003.369106,5012.416723,5021.078746,5025.777558,5031.031742,5033.336922,5039.106712,5044.146837,5048.767062,5054.523829,5057.939346,5058.116755,5063.045856,5074.459284,5079.551027,5082.289994,5082.828171,5087.853115,5090.860022,5093.109867,5093.923664,5093.073074,5091.104978,5088.743224,5085.973192,5083.056291,5079.713955,5076.167147,5072.653235,5067.89814,5062.870169,5057.437065,5051.802314,5045.536592,5039.831454,5033.943954,5026.824117,5019.564273,5012.326954,5004.685437,4997.757296,4990.950702,4983.634379,4977.02691,4969.420336,4961.864947,4954.392156,4946.578475,4939.153782,4931.797384,4924.698447,4918.041617,4910.84356,4903.238502,4896.261148,4888.622027,4880.602142,4873.209817,4865.885152,4858.616886,4850.936201,4843.597706,4836.271576,4828.975145,4760.744777,4792.869539,4814.176657,4837.978365,4858.17893,4870.105707,4889.503291,4903.078825,4920.043063,4934.704027,4938.766691,4936.355449,4943.760437,4947.306033,4952.701223,4963.875922,4977.857334,4985.617704,4994.237381,5005.020807,5009.10507,5010.065209,5007.418697,5003.62811,4998.17321,4991.871564,4985.43105,4979.492819,4973.122982,4967.938431,4961.801146,4955.727247,4948.586082,4941.306898,4933.036584,4924.505043,4915.492809,4906.077711,4896.248537,4885.994569,4876.029022,4865.714992,4855.691568,4845.477864,4835.480265,4825.431888,4815.248362,4805.274136,4795.136997,4785.050877,4775.104368,4765.059413,4754.934265,4744.950153,4734.992378,4785.149625
