Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.461952,161.46786,161.578126,162.116715,162.795918,163.503453,164.148887,164.911843,165.707813,166.467275,167.096664,167.713452,168.370861,168.943087,169.573453,170.282451,171.036832,171.618211,172.102989,172.651619,173.127813,173.552809,173.943181,174.30958,174.671042,175.020903,175.363912,175.705807,176.048079,176.380236,176.690574,176.986023,177.26091,177.509575,177.732824,177.950339,178.161796,178.358575,178.548051,178.729484,178.90361,179.071129,179.232705,179.388859,179.53974,179.680179,179.817868,179.952206,180.082384,180.208099,180.329491,180.446472,180.559254,180.668923,180.775755,180.879901,180.978406,181.073002,181.167317,181.260597,181.352464,181.442774,181.531537,181.618802,181.704629,181.789087,180.872845,180.35132,180.1931,180.0829,179.866452,179.589652,179.369302,179.087362,178.787934,178.387591,177.99975,177.609173,177.286344,176.984278,176.788606,176.368905,176.037982,175.711808,175.538161,175.494098,175.397864,175.282083,175.16566,175.057002,174.949937,174.856892,174.777454,174.707158,174.639182,174.584389,174.531233,174.494977,174.46558,174.4556,174.447109,174.44276,174.430097,174.411922,174.394198,174.377138,174.361596,174.347694,174.335906,174.326537,174.319504,174.314559,174.311343,174.305689,174.30279,174.30254,174.30425,174.307325,174.311465,174.316255,174.321563,181.988677
KWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136169.7914,135351.8066,134544.1594,133542.9599,131730.709,129314.0385,127601.2353,124402.596,120869.2263,117826.3368,113245.8184,108573.8357,105212.7655,102188.4541,99507.77439,97058.404,95415.33107,93865.51888,93001.38597,92810.09977,92188.83298,92045.63974,91412.2641,91659.50479,91540.61305,91692.31066,91941.83799,91859.55996,92062.7369,91692.47213,91759.74543,91160.76375,90482.88737,90120.79482,89809.26921,89642.4452,89008.14759,88877.62165,88455.92422,88128.48362,87409.84344,87540.48656,87364.32095,87235.48719,86137.22869,85632.71661,85130.82119,84524.29286,84107.72508,83913.703,83085.1534,82957.29199,83014.53133,82839.24021,82345.26303,82249.93727,82439.95419,81916.1819,81648.9399,81153.74362,80290.5852,80441.68749,80409.28298,80093.90907,80115.8596,79810.54205,79892.28035,79000.66282,78778.26279,78616.62337,78255.02054,78048.46574,77408.33903,76711.86032,75535.21078,75548.10555,75535.37209,74955.9908,75026.26643,74681.32483,74313.18194,73984.43992,74134.04821,74507.28645,74529.29268,74512.7045,74445.62768,74397.68014,73879.64226,74082.30164,74359.25762,74429.6983,74643.11045,74678.70785,74550.79382,74901.24142,75308.97548,75221.5925,75713.76209,75759.15344,75287.46144,75348.10192,75352.637,75622.41903,75710.97555,75922.58375,76296.47335,76450.53349,76350.14265,76733.81941,76836.81088,76905.3906,75979.22293,75686.71361,75569.51621,75742.70942,75942.90633,75790.35876,75872.71355,76231.21928,75714.58365,76668.19234
SWH,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73669.22957,72239.08647,70919.11191,69647.25869,68400.93652,66153.24537,64622.82795,64205.93653,63592.94824,62904.99993,62218.84165,61473.09586,62108.98681,60987.27694,60352.12857,59688.71731,59224.91031,58661.84383,57922.14673,57451.00555,56850.14059,56199.75327,56103.48803,56839.03107,55814.47836,55029.77772,54721.24065,54479.49599,54660.73718,54792.78648,54218.7708,53658.1913,53025.48945,52680.31371,52318.86954,51869.1066,51879.9681,51826.71685,51864.21592,51230.00058,50866.18877,50728.69209,50946.28621,51666.66905,51619.47732,51345.92613,51860.24882,51454.52201,52162.74552,51730.97507,52316.54337,51969.09703,52400.6366,51803.34187,52116.26969,51317.41298,50676.17338,50154.06099,50303.34209,50964.39211,49906.67399,49528.00536,49102.29927,48789.85623,48605.02052,48324.02861,47989.52894,47752.22532,47888.27836,47711.81847,47365.3143,47455.49891,47453.23974,47393.03752,47261.46743,47253.93235,47110.86474,47102.55804,47268.82158,47371.78065,47461.10438,47375.58683,47732.72509,47681.21345,47585.41763,48099.03156,47457.95864,47407.07108,47532.68809,48194.31369,47942.25439,47944.24779,47532.98913,47397.33991,47398.44828,47107.66346,47224.06708,47275.3349,47657.50928,47213.75174,46663.10156,46695.13493,46530.49192,46388.35563,46414.93583,46400.42393,46412.56546,46386.44223,46076.53385,45995.04365,46245.58076,46290.37058,45847.28775,45841.73473,45533.20152,45398.69359,45220.8714,45182.6157,45025.72677,44714.91602,44604.55455,44595.23397
MWH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951249.7414,957157.4513,962396.269,964239.8448,964122.3013,962824.72,964579.9769,969543.65,970097.1165,972435.268,973144.7369,972450.9458,973715.5511,973082.8122,974973.5541,978995.5501,983145.6036,981344.984,977396.1563,981818.2407,988082.4077,993193.6323,996435.8831,999178.9033,1001025.053,1002373.804,1003302.879,1003896.426,1004019.382,1004263.887,1004284.655,1004113.739,1001038.913,1001352.488,1001122.942,1000866.561,1000407.258,999554.2947,998648.7861,997821.7977,996915.6883,995910.401,994774.6646,993335.5114,977375.6222,974286.0306,978173.9925,980245.1705,980963.7849,981211.9457,981199.2324,980782.341,980423.4461,979924.6193,979298.2578,978545.0928,977585.1286,976492.0046,975406.9626,974505.1986,973676.0001,972727.5319,971674.1325,970558.6914,969384.1227,968099.3873,955834.8607,954684.9007,954020.0769,952243.2591,949552.2183,947111.0899,947551.6081,946013.2145,945048.9313,940554.8058,936878.9964,934161.9124,935957.2561,934991.0384,935870.735,933819.8014,930175.664,926346.1815,925500.372,925329.9752,924810.1578,923868.1469,922692.1318,921280.4806,919757.5688,918155.8629,916503.8579,914501.7696,912832.1124,911044.574,909245.6174,907222.9983,905436.8363,903510.3162,901626.2686,899370.5848,897526.2633,895607.0126,893621.308,891613.7037,889633.0174,887804.6093,885982.088,883807.836,881993.1587,880160.017,878263.825,876248.0974,874198.5397,872144.5753,870018.7069,868179.0602,866148.125,864117.5419,861975.5456,863858.2753
FWH,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968353.9443,972663.534,977109.3292,979013.5841,979761.0441,979975.8321,981790.6545,984365.9466,984643.9849,985916.3894,986028.3136,985441.6472,986351.8438,986377.7744,987524.7434,989615.4937,991767.5081,990204.7964,986228.1066,984151.4178,983046.3719,981386.5744,979184.5304,976984.8141,974504.8774,973417.4614,974342.9782,975740.1333,977012.26,978177.5966,980261.164,981911.413,982614.2111,983677.4042,984410.6861,984879.8607,985106.9711,985057.038,984845.011,984441.9326,983870.1274,983132.7324,982238.7945,981052.1624,974415.0168,972785.6349,972618.3074,971975.0298,970955.6115,969696.9601,968256.2126,966700.3214,965131.4634,963616.346,962163.0008,960634.3857,959049.2569,957466.0071,955849.3362,954236.3268,952650.8026,951039.946,949385.8953,947653.6372,945804.1402,943892.9874,937529.4993,936626.8707,935533.247,933761.892,931427.1524,929338.0559,928714.9952,927367.8489,926117.8114,923146.5895,920379.6522,918032.5207,917914.9692,916631.0668,916402.0452,915089.0204,912551.9341,910075.5096,908953.8025,907971.2863,906880.1487,905635.0418,904285.6564,902840.7768,901325.2475,899757.0233,898142.5529,896404.2251,894734.069,893027.825,891292.4499,889485.5768,887723.2214,885927.3896,884120.1564,882194.1991,880378.5906,878541.0964,876679.1624,874803.5949,872909.6888,871001.4375,869080.6362,867036.8373,865108.7937,863155.5118,861188.8466,859204.429,857275.0484,855367.5253,853369.8252,851376.6294,849355.6001,847375.0057,845336.8869,845734.2777
BES,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5424.504006,5501.245609,5577.025737,5672.422076,5730.244924,5764.59196,5787.547869,5827.789259,5851.262633,5871.255924,5883.235478,5891.608681,5906.898296,5911.547153,5935.566407,5963.75532,5989.735809,5994.60961,5995.30636,6012.242625,6020.77763,6030.186482,6039.397592,6048.304231,6056.773548,6064.72024,6072.148076,6078.865046,6084.02663,6087.842511,6091.26805,6094.308309,6096.488075,6098.33034,6100.148986,6102.056011,6104.374672,6106.810303,6109.346212,6111.821335,6113.307891,6114.188494,6114.982291,6116.40927,6096.232984,6105.182327,6111.922161,6115.667402,6118.201775,6120.164158,6121.85004,6123.333655,6124.664915,6125.983802,6127.229025,6128.433409,6129.699278,6130.944902,6132.14603,6133.38016,6134.656759,6135.932764,6137.207852,6138.485325,6139.775566,6141.101681,6071.483178,6046.417337,6049.118803,6046.779519,6030.264464,6015.864338,6021.996941,6004.026196,5992.486871,5972.595293,5962.501907,5948.191038,5953.88748,5941.64323,5945.338002,5905.081033,5888.424083,5870.017419,5863.124713,5871.313291,5869.748535,5865.583322,5860.380621,5854.646378,5848.884383,5845.125692,5843.666308,5841.668541,5839.207743,5836.918378,5835.117391,5832.963365,5830.800409,5829.18166,5827.901638,5827.240085,5826.561859,5825.457785,5824.05211,5822.840595,5822.186606,5822.685966,5823.311901,5823.836421,5823.48098,5822.636964,5821.637993,5820.585808,5819.502169,5818.3993,5817.319816,5816.254545,5815.178276,5814.089894,5813.005614,5593.91131
HOS,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57430.17639,58046.15134,58801.12773,59559.06156,59892.42004,59912.62471,60222.63359,60261.33102,60391.01629,60496.31504,60511.70816,60678.93748,60885.32302,61006.73795,61195.2534,61438.90174,61605.69205,61810.69496,61865.41525,61719.13333,61697.86414,61723.02561,61709.36157,61711.5004,61787.77064,61906.74546,62037.55169,62171.10776,62269.17821,62406.15183,62551.97363,62454.0167,62274.93192,62199.35161,62118.18632,62110.22964,62138.09651,62120.68037,62163.49127,62207.7755,62226.64705,62292.33991,62376.96059,62420.50049,62502.78865,62434.23303,62120.15096,61997.60935,61935.15443,61915.86958,61865.59462,61827.20274,61802.03324,61836.39898,61926.28651,61941.69742,62083.37881,62112.99731,61968.81296,61740.00272,61589.98564,61488.38641,61422.02282,61429.61581,61292.71406,61288.45568,61006.51282,61103.62514,61248.54161,61131.95611,61111.97393,61114.38702,61016.82437,60741.14127,60826.17275,60671.36652,60624.81074,60703.34672,60731.22399,60767.28885,60852.88006,60911.29334,61031.653,61134.34879,61218.93094,61173.73075,61015.28935,60880.70337,60870.62309,60906.87902,60895.08157,60989.50771,61126.44736,61170.52937,61278.44946,61416.68213,61554.203,61694.38038,61931.28776,61795.30868,61515.45747,61420.10998,61295.66777,61317.33665,61345.56842,61395.38089,61378.15921,61424.79023,61409.13023,61512.35858,61570.24301,61585.18939,61454.97256,61263.69703,61035.07633,61000.09176,60916.60345,60833.68942,60805.60378,60899.82059,60823.44271,61606.06924
RIS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5174.551653,5186.732403,5198.778392,5215.654519,5233.039876,5253.82223,5270.390954,5296.802634,5323.486615,5343.751411,5356.948959,5367.341062,5372.560832,5374.462634,5380.645699,5396.350388,5416.073196,5426.252918,5429.072427,5440.375062,5444.420523,5446.759844,5450.764885,5452.767843,5454.436854,5457.67874,5459.551538,5460.358192,5461.747442,5463.339417,5463.001486,5465.172694,5466.184438,5463.264788,5464.5879,5464.593197,5464.119153,5465.342619,5465.569677,5464.050802,5463.305302,5463.392616,5462.531347,5463.216791,5462.579061,5460.079738,5460.64904,5460.977699,5459.28605,5459.213581,5459.059424,5457.80437,5458.32747,5457.174185,5455.529852,5455.947362,5455.188264,5453.351137,5453.235087,5452.295898,5450.92422,5451.419632,5451.150756,5449.175654,5448.545453,5447.966931,5430.16885,5421.583024,5422.353187,5425.602209,5426.883104,5421.080598,5424.923909,5425.099623,5419.557993,5408.163872,5400.690203,5390.621127,5391.275132,5384.941923,5385.223755,5369.085502,5356.026825,5347.255177,5340.300312,5342.274158,5343.216028,5342.461033,5343.100893,5342.49187,5337.029878,5337.9119,5337.27994,5334.432745,5333.104405,5332.250389,5329.511184,5329.175537,5327.188106,5323.577854,5323.428136,5322.194568,5318.992138,5316.585405,5314.293216,5311.558677,5311.119814,5309.197119,5304.713983,5304.278414,5302.555926,5299.111938,5298.241755,5295.596911,5292.617803,5291.947174,5289.786656,5285.548618,5284.474194,5282.786334,5279.336741,4121.731052
SBA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24400.49322,24720.40877,25010.44568,25322.43388,25565.26136,25753.58951,25947.66524,26187.0791,26371.01573,26544.71001,26679.7205,26763.74278,26867.82318,26912.50374,27007.79864,27132.9075,27251.91798,27285.10106,27278.54911,27314.01708,27356.2374,27390.43777,27420.94413,27451.35941,27476.58741,27494.80732,27512.09668,27532.27907,27553.5374,27572.46667,27587.51344,27592.67314,27595.58592,27593.30332,27592.13347,27592.76072,27598.08737,27602.12808,27602.09638,27600.07998,27597.2831,27594.92277,27593.67961,27585.10996,27574.26638,27572.35099,27570.55223,27567.66197,27563.5017,27558.75271,27553.85593,27549.44544,27546.52654,27542.96714,27538.8096,27534.69468,27531.04974,27526.65341,27522.19831,27517.42341,27513.2191,27509.03254,27504.34581,27499.43958,27494.32893,27489.95084,27249.59074,27143.93004,27074.46082,27012.90559,26922.99925,26835.89289,26814.24016,26724.19646,26643.98302,26529.35872,26417.25118,26318.46175,26293.56152,26215.53807,26176.68115,26067.08978,25956.82671,25864.76271,25827.36707,25845.08801,25842.21574,25832.73591,25817.77022,25802.35889,25784.91491,25769.35664,25758.09587,25743.61788,25727.87587,25712.39154,25696.16698,25684.43292,25680.53639,25679.40181,25676.85412,25672.62824,25661.76416,25641.78942,25620.73484,25599.18118,25577.59856,25555.81364,25533.57861,25511.58557,25489.56774,25467.27892,25444.69447,25422.55495,25399.91594,25377.5306,25354.72232,25332.09682,25309.31228,25286.37624,25263.402,25857.46833
SBB,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5003.604261,5003.302634,5002.906572,5012.119776,5020.382728,5025.509313,5030.981645,5033.176963,5039.213541,5043.995294,5048.452144,5054.232301,5057.550189,5057.08253,5061.509168,5073.071094,5078.301506,5080.774008,5081.295658,5085.842944,5088.751328,5090.674627,5091.574281,5090.794032,5089.153417,5087.01978,5084.251902,5081.388015,5078.829726,5075.439178,5071.435899,5066.947273,5062.140997,5056.623357,5051.084965,5045.437917,5039.700984,5033.506336,5026.486343,5019.439009,5012.258684,5004.747974,4998.217067,4991.428191,4983.952647,4976.973006,4969.701278,4962.949851,4955.468735,4948.59159,4940.468214,4933.785838,4926.18746,4919.33415,4911.564972,4903.90787,4896.306833,4889.08509,4882.010741,4874.383812,4866.90241,4859.415374,4852.021646,4844.764856,4837.259344,4829.652236,4760.860432,4793.348808,4814.947658,4838.684024,4857.680992,4869.297689,4888.992547,4902.388604,4918.870696,4933.173208,4937.197586,4934.629024,4942.265088,4945.31488,4950.918574,4962.170945,4976.503971,4983.824811,4993.426457,5003.518272,5008.219928,5009.182406,5006.907803,5002.807949,4997.73386,4991.18131,4984.687057,4977.955512,4971.879401,4966.874764,4961.263988,4955.090504,4947.86261,4940.764762,4932.589273,4923.996489,4914.743164,4905.605679,4895.985129,4886.265828,4875.993141,4865.963428,4855.706539,4845.759083,4835.896341,4825.772932,4815.680497,4805.874784,4795.889479,4785.734082,4775.856372,4765.720713,4755.462474,4745.530363,4735.585065,4785.795285
