Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.461953,161.46786,161.578127,162.116716,162.795987,163.503757,164.149301,164.912257,165.708268,166.467753,167.097125,167.713839,168.371218,168.943406,169.573762,170.282771,171.037151,171.618528,172.103288,172.651936,173.12813,173.553169,173.943516,174.309901,174.67138,175.021234,175.364257,175.706175,176.048468,176.38061,176.690941,176.986376,177.261266,177.509878,177.733125,177.950614,178.162074,178.358861,178.548367,178.729829,178.903957,179.071498,179.233056,179.389227,179.540112,179.680504,179.818186,179.95251,180.082689,180.208416,180.329815,180.446803,180.559614,180.669301,180.776159,180.880323,180.978788,181.07337,181.167665,181.26095,181.352825,181.443143,181.531915,181.619191,181.705019,181.789497,180.87327,180.351686,180.19346,180.083259,179.866817,179.590014,179.369667,179.087748,178.788337,178.387993,178.000164,177.609611,177.286798,176.984648,176.788945,176.369229,176.038317,175.712161,175.53852,175.494448,175.398215,175.282435,175.166008,175.057368,174.950238,174.857188,174.777752,174.707469,174.639495,174.584729,174.531598,174.495346,174.465915,174.455922,174.447419,174.443018,174.430362,174.412163,174.394442,174.377401,174.361882,174.347995,174.336228,174.326884,174.319868,174.314935,174.311723,174.306018,174.303069,174.302802,174.304517,174.307595,174.311754,174.316564,174.321884,181.98899
KWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136275.8177,135455.5801,134614.7671,133633.4667,131760.5554,129345.5655,127683.8982,124502.2925,120889.0862,117789.6956,113466.2492,108987.7666,105689.1351,102560.769,100158.4059,98356.35001,96744.38406,95172.73708,93690.19313,93106.03172,92998.54848,93197.93391,92945.74881,92917.61456,92742.06219,92631.94289,92795.90204,93173.62624,93139.40884,93292.01708,92730.5197,92180.68761,91621.72088,90875.17551,90514.22921,89944.99858,89593.48624,88922.37879,88859.49333,88647.08793,88412.07528,87685.82832,87802.58075,87628.77798,87309.7037,86794.08139,85959.84796,85348.80744,84646.63751,83907.97328,83525.23046,83410.92836,82831.15199,82864.61783,82887.8622,82542.7984,82098.08404,82007.80956,81815.50421,80816.11778,80441.42024,80356.15262,79516.7166,79855.54198,79391.51287,78631.1244,78591.52292,78748.72196,77977.95454,77879.73904,77768.80269,77454.59345,77069.15255,76675.39756,75862.65327,75656.86881,75409.77538,75441.35508,75343.41698,75102.40111,75132.33654,75008.46012,75341.60701,75448.27664,75662.1943,75222.0784,75170.90665,75116.55664,74866.32031,74994.77517,75260.04232,75491.36276,75154.21734,75411.14654,75486.93733,75370.20448,75866.86277,76493.97328,76185.48502,76463.64358,76522.14811,76882.25071,76810.85397,76844.12808,76947.15171,77212.21283,77305.07911,76815.20541,77239.40265,77463.6444,78001.39931,77905.64049,77905.29928,76887.43045,76557.10314,76416.16952,76438.52326,76614.03995,76246.96338,76343.91682,76371.18686,77226.43816
SWH,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73696.53038,72277.51875,70933.80443,69659.01491,68399.66015,66156.45723,64664.16267,64219.61675,63564.0346,62705.01459,61949.73921,61277.22636,61782.35698,60691.25361,60091.08714,59456.74065,59003.29703,58441.83293,57781.57288,57296.66695,56710.27432,56099.43515,56042.5627,56780.92364,55795.92349,55038.21501,54468.46833,54050.27611,54335.63705,54923.2502,53887.67161,53137.18274,52764.22193,52328.48386,52107.06623,51958.0049,51862.29845,51933.80203,52141.31131,51914.63189,51401.60715,51175.64052,50608.44781,50894.98269,50582.40456,50612.91794,50639.9125,50792.59208,50583.7725,50630.99395,50537.76734,51034.42086,50531.51225,51258.39405,50416.06095,49819.23598,49330.98182,49554.12127,50242.68043,49173.69033,48761.41262,48382.8698,47961.49833,48080.76199,47736.18469,47358.38758,47377.52282,47391.79526,47359.84785,47016.95309,47407.21774,47090.4567,47316.78937,47560.68001,47860.66705,47491.57424,47803.4607,47439.83646,47879.67208,47859.95248,48624.29472,48429.95363,49394.29793,49471.46231,49089.98404,49651.90071,48758.74925,48584.77056,48473.9408,48948.03136,48830.65215,49664.83541,49367.7099,49976.39246,49668.94613,50028.32593,49917.56743,50334.3785,49871.3055,50136.96638,49978.3894,50604.42291,49789.08917,48989.52151,48833.3673,48538.61954,48241.72462,48127.85449,48056.88492,47787.02539,47459.0999,47400.20047,47129.20579,46643.83268,46591.85237,46309.70958,46045.45248,46160.77775,46029.77383,45762.89957,45329.35111,45305.10709
MWH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951271.0075,957688.6523,962747.0995,964454.1966,964218.1025,943532.0101,935299.5761,948576.3949,954355.1295,959449.7978,962072.6452,962614.4628,964414.8049,964440.3844,966991.2608,971336.9791,975844.6613,974318.488,970647.8365,975231.6848,981784.0679,987074.7185,990929.9416,993708.6187,995628.0643,997073.9369,997980.6637,998802.4644,999366.5125,999683.2172,999473.4809,999559.3209,999497.364,999296.4787,998959.4181,998511.33,997955.6437,997319.3333,996591.4983,995797.9098,994929.3334,993957.954,993006.9874,992026.4477,991100.77,990260.4099,989614.2046,988899.3197,988097.9763,987196.503,986475.9405,985369.0371,984798.2981,983959.0251,983195.5177,982353.5832,981330.5412,980003.6207,978945.6333,978032.2019,977121.7427,976089.3098,974977.0788,973788.0001,972527.0091,971025.2911,959139.3118,957790.4648,956851.887,955013.8881,952214.3124,949716.7216,949832.9297,948248.329,947150.8348,942587.6366,938406.4725,936125.0363,937786.188,936561.1571,937377.0595,935293.5067,931476.2936,927789.9962,926766.2863,926497.3215,925866.7636,924823.6919,923557.0072,922087.7805,920123.2543,918554.6056,916893.1661,915179.1991,913370.7116,911555.7121,909289.6575,907516.9442,905691.8096,903812.2294,901799.3557,899864.8034,897895.7326,895895.6262,893537.6411,891588.9497,889618.8141,887814.93,885861.6402,875426.011,873307.0309,873998.991,873201.7061,872089.8072,870678.1116,869071.0432,867029.9624,865451.3938,863725.4784,861810.771,859740.9707,861632.1608
FWH,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968357.0367,972883.8552,977275.7267,979143.8621,979828.7495,972263.9777,970516.0288,975728.5296,977792.3782,980202.3712,981120.7156,981087.4746,982250.7465,982582.3518,983976.1905,986213.7701,988483.5166,987013.3711,983116.7586,981092.6496,980039.0214,978415.4108,976416.7773,974205.3607,971725.2779,970635.8343,971565.4003,972970.0369,974335.5639,975498.4846,977445.9199,979161.517,980493.4387,981497.1418,982208.7502,982661.3186,982878.9231,982888.6487,982702.6658,982334.7862,981794.0967,981103.6752,980270.9989,979305.3878,978215.225,977002.0053,975681.3665,974258.8527,972741.9147,971140.3047,969457.9282,967638.1811,966007.9831,964455.5025,962983.2965,961458.9647,959898.3282,958332.099,956757.7356,955182.2257,953632.0641,952054.9372,950439.9036,948742.1402,946921.1389,944988.7646,938798.1756,937896.6239,936778.8935,935030.5852,932704.9281,930632.5204,929959.7698,928625.8999,927382.1797,924410.4745,921485.6936,919309.4757,919170.8411,917855.4233,917603.2883,916263.6838,913674.4796,911229.0526,910057.5555,909033.8113,907902.1297,906615.5203,905223.1767,903741.9064,902046.9156,900465.3528,898832.7802,897155.228,895431.8802,893687.6118,891784.6448,890016.2209,888225.4902,886410.2666,884539.0818,882692.2767,880828.0284,878949.5305,876932.0203,875050.1121,873139.8099,871221.5029,869231.8417,863782.4489,862030.2716,860714.6479,859043.7904,857379.6071,855684.9012,853949.8527,851976.3742,850087.8058,848168.5181,846238.4518,844229.3729,844629.7102
BES,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5424.504092,5501.246113,5577.027066,5672.433549,5730.245817,5728.684517,5744.059527,5802.197081,5832.975105,5856.55249,5870.495965,5879.948076,5895.857458,5900.986771,5925.371321,5953.832291,5980.066825,5985.187032,5986.127186,6003.329263,6012.151947,6021.892638,6031.492725,6040.850438,6049.820467,6058.304622,6066.303032,6073.61228,6079.373206,6083.78102,6087.796288,6091.393787,6094.429273,6096.623241,6098.830829,6101.099614,6103.745768,6106.4819,6109.288796,6111.998986,6113.683643,6114.735863,6115.672834,6117.213545,6118.74866,6120.12717,6121.636412,6123.069437,6124.481706,6125.848342,6127.167992,6128.437568,6129.659934,6130.845754,6132.001015,6133.125252,6134.276251,6135.41281,6136.481465,6137.580108,6138.712618,6139.83538,6140.93643,6142.026394,6143.110202,6144.191523,6074.323705,6049.017175,6051.48783,6048.927928,6032.207768,6017.60264,6023.524528,6005.369913,5993.665996,5973.632383,5963.417776,5949.005867,5954.615187,5942.279194,5945.881271,5905.551292,5888.843321,5870.396841,5863.466845,5871.625065,5870.030423,5865.815148,5860.5833,5854.841223,5849.070754,5845.302749,5843.826704,5841.816153,5839.335939,5837.04187,5835.23919,5833.075571,5830.915285,5829.293471,5828.004453,5827.339192,5826.646843,5825.533529,5824.121908,5822.91203,5822.25277,5822.738608,5823.36636,5817.191096,5818.905304,5819.90002,5819.723501,5819.045662,5818.166,5817.178647,5816.156889,5815.139031,5814.101836,5813.046363,5811.976756,5592.888341
HOS,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57430.12337,58046.09815,58801.07992,59559.14736,59893.07681,59914.10194,60224.76328,60264.36192,60394.91824,60501.19311,60516.86123,60683.5474,60891.92655,61014.84425,61205.14871,61450.49853,61618.95528,61825.92706,61883.26891,61737.95076,61718.30377,61743.43338,61733.17429,61738.39126,61810.80131,61921.81501,62041.30308,62169.24085,62273.68485,62399.56074,62528.57529,62420.55529,62245.16445,62181.48457,62111.70298,62113.81371,62133.96424,62125.31268,62172.35304,62237.26165,62246.7053,62306.94826,62364.75288,62407.05568,62498.58575,62440.3321,62154.06561,62021.0527,61951.49579,61892.66572,61842.86845,61812.03334,61796.87275,61831.81491,61910.68823,61930.45601,62045.20059,62092.51894,61950.99842,61716.27203,61566.45521,61466.26367,61423.89723,61528.78204,61396.93563,61347.75628,61037.5564,61197.00341,61313.10928,61201.06976,61176.4215,61178.0859,61087.58659,60807.75319,60883.98486,60723.13944,60668.72559,60720.274,60746.57328,60789.64774,60883.71392,60940.39052,61051.5108,61159.51968,61250.99712,61209.54409,61042.57684,60902.50729,60867.01068,60902.85157,60897.52367,61001.71915,61135.86325,61176.25701,61293.7494,61433.72982,61535.00851,61670.84155,61830.06489,61728.23659,61520.66932,61472.94579,61373.69781,61436.99478,61436.38351,61423.7009,61443.13671,61482.29259,61518.2839,61581.38122,61738.74844,61710.24018,61636.1157,61398.51695,61164.35964,61119.20007,61054.80033,60955.7952,60904.48934,60917.9089,60795.08923,61575.53652
RIS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5174.628754,5186.451964,5198.355159,5216.040704,5212.064185,5187.889411,5185.942563,5216.693905,5233.354279,5248.046614,5263.354066,5274.142733,5277.147145,5285.870525,5289.57081,5300.500162,5324.299974,5330.75855,5340.237172,5345.000247,5351.039236,5348.973773,5348.094626,5351.949777,5347.985469,5355.301112,5355.15603,5352.918037,5353.750345,5363.133795,5364.219452,5366.777567,5367.373862,5363.439944,5364.3734,5372.327647,5372.466445,5373.056461,5371.275597,5367.14983,5370.392084,5368.830385,5372.943512,5373.591326,5372.473481,5370.534507,5370.67373,5375.716767,5375.2713,5372.494827,5376.67444,5374.084918,5372.284771,5370.076914,5366.542049,5365.365223,5363.327681,5360.247564,5359.517699,5358.086318,5355.652522,5354.721418,5353.899472,5351.463268,5351.263712,5350.194598,5332.005538,5322.097101,5321.635623,5324.159656,5323.493223,5316.237282,5319.293179,5317.790187,5312.571675,5300.435966,5293.958416,5282.21796,5282.490963,5283.938159,5285.252778,5268.192107,5254.859327,5244.078504,5240.873317,5242.917152,5242.029952,5244.871404,5246.408915,5245.653832,5242.735614,5241.669734,5239.810073,5236.060635,5234.649777,5231.175143,5226.471677,5229.067628,5232.743076,5230.970166,5235.827511,5234.515838,5228.652644,5231.873419,5229.760893,5224.272045,5221.824833,5218.345413,5213.664355,5211.457795,5208.517369,5203.992664,5201.660926,5199.185526,5201.748573,5201.371784,5198.818398,5194.21285,5192.027335,5187.332558,5183.521549,4046.226376
SBA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24400.28638,24719.9523,25010.44439,25322.72621,25564.1852,25720.51735,25904.33054,26152.79862,26341.98458,26517.55207,26653.57137,26738.04881,26841.1384,26886.17392,26980.85415,27106.38976,27226.62469,27261.09133,27256.64066,27293.40147,27337.57181,27373.53711,27405.74839,27438.25918,27464.85023,27485.20724,27503.58336,27524.57839,27546.74887,27566.57178,27582.3289,27587.16231,27593.56903,27594.03102,27593.96799,27595.83117,27601.61342,27606.27113,27607.54284,27606.29757,27604.79033,27602.63718,27600.37138,27597.50063,27594.79213,27591.25545,27587.46229,27583.65294,27579.5496,27575.34146,27570.50492,27565.72911,27561.11213,27555.89789,27550.75029,27545.79995,27540.47609,27535.07175,27529.21433,27523.91139,27518.46347,27512.78603,27507.45421,27501.64112,27495.6346,27489.92008,27249.19404,27143.10307,27073.13178,27011.74216,26921.32546,26833.86829,26812.19369,26721.80872,26641.60103,26526.96024,26414.77073,26315.16871,26290.33592,26212.70547,26173.9324,26064.49754,25954.05824,25861.97753,25824.77948,25842.72221,25839.31814,25829.46828,25814.6534,25799.50327,25781.7941,25766.3364,25755.42024,25740.75175,25725.28013,25709.78346,25692.93632,25681.87007,25677.25321,25676.24325,25674.13321,25670.09949,25658.96155,25639.42371,25618.35862,25596.15018,25574.41193,25552.79716,25530.24732,25504.42535,25481.95175,25458.82788,25435.86305,25412.78262,25389.87207,25366.62145,25343.65361,25320.79411,25297.18603,25273.3701,25249.51172,25843.42354
SBB,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5003.434407,5002.904533,5002.21676,5011.608662,5020.029058,5025.22824,5030.368471,5033.088536,5038.936644,5043.651795,5048.211928,5054.349047,5057.256614,5056.792361,5061.275911,5073.14089,5078.244719,5080.702432,5080.8746,5085.830292,5088.780635,5090.638885,5091.541486,5090.733438,5089.074063,5086.499364,5084.217204,5081.377162,5078.780095,5075.278954,5070.932425,5066.530476,5061.783921,5056.705463,5051.05986,5045.364427,5039.616371,5033.966015,5026.807956,5019.572318,5011.982583,5005.043802,4998.597862,4991.381377,4984.166371,4977.066259,4970.252716,4962.707602,4955.544047,4948.00152,4941.104195,4933.578596,4926.319351,4918.651536,4911.102535,4903.54987,4895.894213,4889.277813,4881.640836,4873.985379,4866.582815,4858.77434,4851.450436,4844.096113,4836.61801,4829.441848,4760.543682,4792.847119,4814.697282,4839.140303,4858.244613,4870.285238,4889.868082,4903.493609,4920.108563,4935.035432,4938.834663,4936.849012,4943.59977,4947.328366,4952.893061,4964.11891,4978.176421,4985.344126,4994.729605,5004.771128,5009.361302,5010.067876,5007.874214,5003.55959,4998.291779,4991.577997,4985.835629,4978.98638,4973.40752,4966.903597,4961.771536,4955.251271,4949.142329,4941.90752,4934.264973,4925.189828,4915.969637,4906.261689,4896.470162,4886.605009,4876.480404,4866.590445,4856.367593,4846.273125,4836.178536,4826.118533,4815.959662,4805.914469,4796.200631,4785.93329,4775.978502,4765.944089,4755.799969,4745.697792,4735.719172,4785.979399
