Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BES,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3733.128551,3788.875647,3849.981147,3918.65257,3986.084271,4042.641603,4081.569533,4106.813878,4128.217581,4149.98385,4168.579233,4184.358266,4197.163737,4208.923118,4220.30133,4231.824127,4246.361689,4261.854059,4276.617032,4288.578481,4297.56499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6178837.866,5593208.378,5197300.793,4823820.483,4386292.599,4221442.253,4218904.807,4232818.283,4173325.351,4014899.816,3867334.262,3768641.065,3671288.957,3648919.386,3863013.408,4045688.943,4178188.924,4308551.772,4386415.709,4370250.15,4449560.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAP,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2227416.935,2129798.019,1973349.253,2032106.601,1689864.918,1746707.225,1688235.99,1480571.346,1334498.803,1436681.379,1688976.714,1584290.626,1453666.597,3032259.533,3376156.006,2598525.645,2252236.312,3157848.572,3752471.659,3156820.266,2559978.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEL,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18532.36284,18532.90778,18502.94971,18475.17489,18467.02226,18421.15882,18322.6705,18245.58648,18225.5515,18151.52823,18013.31788,17841.26647,17632.66284,17471.139,17305.81179,17219.64164,17146.52177,17011.91643,16996.89067,17070.10592,17116.4774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEL2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18532.36284,18532.90778,18502.94971,18475.17489,18467.02226,18421.15882,18322.6705,18245.58648,18225.5515,18151.52823,18013.31788,17841.26647,17632.66284,17471.139,17305.81179,17219.64164,17146.52177,17011.91643,16996.89067,17070.10592,17116.4774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEL3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18532.36284,18532.90778,18502.94971,18475.17489,18467.02226,18421.15882,18322.6705,18245.58648,18225.5515,18151.52823,18013.31788,17841.26647,17632.66284,17471.139,17305.81179,17219.64164,17146.52177,17011.91643,16996.89067,17070.10592,17116.4774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEL4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18532.36284,18532.90778,18502.94971,18475.17489,18467.02226,18421.15882,18322.6705,18245.58648,18225.5515,18151.52823,18013.31788,17841.26647,17632.66284,17471.139,17305.81179,17219.64164,17146.52177,17011.91643,16996.89067,17070.10592,17116.4774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEL5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18532.36284,18532.90778,18502.94971,18475.17489,18467.02226,18421.15882,18322.6705,18245.58648,18225.5515,18151.52823,18013.31788,17841.26647,17632.66284,17471.139,17305.81179,17219.64164,17146.52177,17011.91643,16996.89067,17070.10592,17116.4774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEO,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1383759.353,1394104.801,1416449.605,1457841.788,1499651.339,1528005.196,1549869.658,1571458.764,1585668.538,1593207.149,1600992.639,1607376.602,1611174.088,1618440.997,1625748.183,1629827.455,1632134.102,1631040.235,1629033.54,1625489.664,1621411.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16312.60966,16346.36946,16390.15395,16526.84103,16683.07337,16797.88801,16897.31947,16994.37473,17070.97304,17122.68261,17166.92644,17195.49372,17170.55126,17195.6507,17207.87739,17150.67149,17115.26723,17072.48981,17014.25644,17046.14598,17105.57998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
