Month,Year,POB,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,SCR
January,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,1958,0,0,0,84.589109,0,0,0,59433.43841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183629.8069,180061.7284,1073745.986,289564.8,243090.7504,0,3467454.194,853.425997
May,1958,233.411906,14315.83549,0,84.589109,0,0,0,59433.43841,8644.045301,2108.133594,0,0,84499.14743,1221400.565,4802.259891,86619.06913,288116.4408,0,64005.2681,174001.2145,87784.16071,3965913.522,0,278448.005,116531.1078,183629.8069,180061.7284,1073745.986,289564.8,243090.7504,0,3467454.194,853.425997
August,1958,233.411906,14315.83549,0,84.589109,0,0,3383.366644,59433.43841,8644.045301,2108.133594,5477.955691,4525.041555,84499.14743,1221400.565,4802.259891,86619.06913,288116.4408,80823.08848,64005.2681,174001.2145,87784.16071,3965913.522,0,278448.005,116531.1078,183629.8069,180061.7284,1073745.986,289564.8,243090.7504,0,3467454.194,853.425997
October,1958,233.411906,14315.83549,0,84.589109,0,0,3383.366644,59433.43841,8644.045301,2108.133594,5477.955691,4525.041555,84499.14743,1221400.565,4802.259891,86619.06913,288116.4408,80823.08848,64005.2681,174001.2145,87784.16071,3965913.522,0,278448.005,116531.1078,183629.8069,180061.7284,1073745.986,289564.8,243090.7504,0,3467454.194,853.425997
January,1959,233.411906,14315.83549,55871.13808,84.589109,207287.6213,287746.0618,3383.366644,59433.43841,8644.045301,2108.133594,5477.955691,4525.041555,84499.14743,1221400.565,4802.259891,86619.06913,288116.4408,80823.08848,64005.2681,174001.2145,87784.16071,3965913.522,55808.36251,278448.005,116531.1078,0,180061.7284,1073745.986,289564.8,243090.7504,168075.2413,3467454.194,853.425997
March,1959,233.411906,14315.83549,55871.13808,0,207287.6213,287746.0618,3383.366644,68881.82417,8644.045301,2108.133594,5477.955691,4525.041555,84499.14743,1221400.565,4802.259891,0,288116.4408,80823.08848,0,0,87784.16071,3965913.522,55808.36251,0,0,444296.731,197560.3268,1448806.263,382916.0986,142624.2368,168075.2413,1526663.431,479.712442
May,1959,198.733168,18054.16432,55871.13808,0,207287.6213,287746.0618,3383.366644,68881.82417,10328.0491,1915.087091,5477.955691,4525.041555,94502.18318,1768357.565,14615.85972,82654.99447,277764.5696,80823.08848,61491.70645,274194.4862,80491.9939,4665727.617,55808.36251,742951.1341,192909.5086,444296.731,197560.3268,1448806.263,382916.0986,142624.2368,168075.2413,1526663.431,479.712442
August,1959,198.733168,18054.16432,55871.13808,0,207287.6213,287746.0618,2999.973712,68881.82417,10328.0491,1915.087091,4700.741758,3563.33783,94502.18318,1768357.565,14615.85972,82654.99447,277764.5696,77315.92954,61491.70645,274194.4862,80491.9939,4665727.617,55808.36251,742951.1341,192909.5086,444296.731,197560.3268,1448806.263,382916.0986,142624.2368,168075.2413,1526663.431,479.712442
October,1959,198.733168,18054.16432,55871.13808,0,207287.6213,287746.0618,2999.973712,68881.82417,10328.0491,1915.087091,4700.741758,3563.33783,94502.18318,1768357.565,14615.85972,82654.99447,277764.5696,77315.92954,61491.70645,274194.4862,80491.9939,4665727.617,55808.36251,742951.1341,192909.5086,444296.731,197560.3268,1448806.263,382916.0986,142624.2368,168075.2413,1526663.431,479.712442
January,1960,198.733168,18054.16432,53091.1441,0,212062.1392,282994.8049,2999.973712,68881.82417,10328.0491,1915.087091,4700.741758,3563.33783,94502.18318,1768357.565,14615.85972,82654.99447,277764.5696,77315.92954,61491.70645,274194.4862,80491.9939,4665727.617,73181.02744,742951.1341,192909.5086,0,197560.3268,1448806.263,382916.0986,142624.2368,199680.6791,1526663.431,479.712442
March,1960,198.733168,18054.16432,53091.1441,0,212062.1392,282994.8049,2999.973712,66655.66584,10328.0491,1915.087091,4700.741758,3563.33783,94502.18318,1768357.565,14615.85972,0,277764.5696,77315.92954,0,0,80491.9939,4665727.617,73181.02744,0,0,761259.3369,207093.1495,1849904.319,475449.0282,122531.1757,199680.6791,1288647.967,386.490935
May,1960,179.418699,19786.70668,53091.1441,0,212062.1392,282994.8049,2999.973712,66655.66584,12342.90187,1798.344572,4700.741758,3563.33783,101069.6836,2230762.542,44587.0554,91304.9008,293853.9485,77315.92954,62272.86335,353365.5206,81155.64987,5516642.177,73181.02744,877537.7179,279199.9467,761259.3369,207093.1495,1849904.319,475449.0282,122531.1757,199680.6791,1288647.967,386.490935
August,1960,179.418699,19786.70668,53091.1441,0,212062.1392,282994.8049,3058.786077,66655.66584,12342.90187,1798.344572,4771.535892,3542.875925,101069.6836,2230762.542,44587.0554,91304.9008,293853.9485,75031.95158,62272.86335,353365.5206,81155.64987,5516642.177,73181.02744,877537.7179,279199.9467,761259.3369,207093.1495,1849904.319,475449.0282,122531.1757,199680.6791,1288647.967,386.490935
October,1960,179.418699,19786.70668,53091.1441,0,212062.1392,282994.8049,3058.786077,66655.66584,12342.90187,1798.344572,4771.535892,3542.875925,101069.6836,2230762.542,44587.0554,91304.9008,293853.9485,75031.95158,62272.86335,353365.5206,81155.64987,5516642.177,73181.02744,877537.7179,279199.9467,761259.3369,207093.1495,1849904.319,475449.0282,122531.1757,199680.6791,1288647.967,386.490935
January,1961,179.418699,19786.70668,51029.27966,0,219151.4992,283361.9424,3058.786077,66655.66584,12342.90187,1798.344572,4771.535892,3542.875925,101069.6836,2230762.542,44587.0554,91304.9008,293853.9485,75031.95158,62272.86335,353365.5206,81155.64987,5516642.177,99678.56775,877537.7179,279199.9467,0,207093.1495,1849904.319,475449.0282,122531.1757,231242.1251,1288647.967,386.490935
March,1961,179.418699,19786.70668,51029.27966,0,219151.4992,283361.9424,3058.786077,64756.86565,12342.90187,1798.344572,4771.535892,3542.875925,101069.6836,2230762.542,44587.0554,0,293853.9485,75031.95158,0,0,81155.64987,5516642.177,99678.56775,0,0,1175750.13,221559.9322,2420881.336,600979.4974,125575.7227,231242.1251,1661296.579,455.561994
