Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35288.03653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209463.5153,0,0,0,0,0,31095.11015,0,1682391.153,80082.11563,69600.46474,0,0,1106802.555,0,29037.94391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177706.947,0,0,0,0,0,28364.41096,0,1366074.85,75547.17624,61304.89826,0,0,853916.1513,0,35367.81427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152221.6174,0,0,0,0,0,25932.44501,0,1140076.614,70266.0708,55505.01935,0,0,732533.3171,0,30739.54698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132638.3389,0,0,0,0,0,23800.58922,0,975518.9462,65179.0869,48002.23231,0,0,655600.8683,0,64823.4251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121308.6909,0,0,0,0,0,21888.02539,0,855457.6102,59645.38,45642.9848,0,0,652480.5562,0,85662.52157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112179.5292,0,0,0,0,0,20224.0484,0,771447.6044,54902.7574,42668.75213,0,0,668012.4804,0,46702.69153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102878.7702,0,0,0,0,0,18758.40511,0,710900.3568,50832.85978,38863.23987,0,0,643406.9893,0,40269.57897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94569.58468,0,0,0,0,0,17501.80757,0,662503.1016,46734.01859,34913.04276,0,0,625347.1813,0,56729.79885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97218.17957,0,0,0,0,0,16735.02954,0,627626.0072,43352.95476,31920.99264,0,0,590626.6105,0,65014.33988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91385.47607,0,0,0,0,0,15998.60739,0,601697.7522,39983.76219,34107.28355,0,0,578161.5169,0,46366.19257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82805.67507,0,0,0,0,0,15398.26842,0,580090.3476,37116.50993,33140.49749,0,0,563568.0625,0,68403.88749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80356.90134,0,0,0,0,0,15001.41121,0,563989.6768,34527.8398,32981.02088,0,0,583458.7122,0,61009.78766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77060.98571,0,0,0,0,0,14703.58137,0,554877.4079,32527.60004,33551.88892,0,0,630463.7905,0,67140.19063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72267.56251,0,0,0,0,0,14419.78102,0,548725.9323,30815.58774,33314.0262,0,0,664758.4191,0,96030.66888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71640.88951,0,0,0,0,0,14223.47526,0,546236.8116,29298.44519,31658.72943,0,0,665290.6181,0,68879.21562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70813.63548,0,0,0,0,0,13999.40457,0,541615.7974,28354.19262,30587.03221,0,0,659646.2696,0,246786.7841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74060.72454,0,0,0,0,0,13840.05019,0,536929.4451,27841.7966,31440.09035,0,0,657977.1964,0,296196.8235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70238.54169,0,0,0,0,0,13585.38946,0,531828.4827,27183.88226,28960.62969,0,0,632821.3909,0,161187.6394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67340.48029,0,0,0,0,0,13330.10495,0,525598.2187,26772.52541,28262.46772,0,0,596753.8969,0,64748.38746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63804.39549,0,0,0,0,0,13132.68493,0,515755.2864,26441.93702,28068.69534,0,0,566787.5637,0,261916.1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63913.13016,0,0,0,0,0,12893.67417,0,511133.1434,26147.97752,30635.71865,0,0,565405.5704,0,485232.8414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66570.55578,0,0,0,0,0,12800.34747,0,510703.4403,25810.64146,29274.47054,0,0,586364.0567,0,306690.8092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66630.94592,0,0,0,0,0,12708.43373,0,509921.7918,25597.05047,27971.63356,0,0,627341.8122,0,120757.3662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69291.89359,0,0,0,0,0,12776.79337,0,510243.2288,25309.52928,27408.93458,0,0,642181.016,0,145923.5342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66970.97386,0,0,0,0,0,12796.24466,0,507280.4352,25156.76037,26398.79027,0,0,633968.6975,0,120167.2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64280.08057,0,0,0,0,0,12786.44322,0,504538.7485,24955.59755,26091.80504,0,0,611807.7577,0,84952.61234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60971.83524,0,0,0,0,0,12715.94805,0,496483.5081,24591.56434,24655.42709,0,0,598016.3058,0,93061.4668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58921.44314,0,0,0,0,0,12533.82184,0,490747.2354,24315.80218,27320.73795,0,0,594948.7285,0,92612.42336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61723.04026,0,0,0,0,0,12442.06418,0,493059.5802,24103.32625,27088.02572,0,0,613646.0733,0,66322.83941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60704.49136,0,0,0,0,0,12327.72688,0,494265.3553,23847.84751,25071.61042,0,0,625110.9547,0,58227.69469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
