Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408088.7185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180394.6751,0,0,0,0,0,28503.67015,0,1441809.407,63389.98283,46406.29906,0,0,1231600.314,0,233905.6262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160860.4978,0,0,0,0,0,26345.84072,0,1215581.871,60375.51908,42908.50268,0,0,973185.5339,0,98223.77592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139836.6096,0,0,0,0,0,24302.68068,0,1048244.251,57372.83526,40538.88194,0,0,813090.9676,0,194237.5937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123171.8566,0,0,0,0,0,22441.04301,0,920318.3413,54152.42212,37339.68476,0,0,694564.634,0,156480.5767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111625.074,0,0,0,0,0,20702.14629,0,822735.6636,50121.51662,37005.09094,0,0,654267.6978,0,87183.50666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105448.0255,0,0,0,0,0,19213.3919,0,754679.2717,47358.1349,33594.92122,0,0,641387.033,0,117760.9855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98736.47181,0,0,0,0,0,17971.01832,0,703193.6007,44437.5805,30399.54328,0,0,631454.5428,0,165257.0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90405.00808,0,0,0,0,0,16852.01891,0,659818.8348,41878.91715,28050.07844,0,0,617237.8023,0,112233.0767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89305.49559,0,0,0,0,0,16015.08842,0,626053.6534,39441.84016,28373.54779,0,0,597491.6769,0,49053.4456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
