Year,Time,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
1981,9.13E+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87009.61324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,9.49E+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139491.835,0,0,0,0,0,25900.07584,0,1133608.979,46231.61457,24129.07421,0,0,1109324.121,0,59276.12021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,9.86E+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128133.9021,0,0,0,0,0,24096.00321,0,996413.5826,44769.51917,23211.75019,0,0,884379.0522,0,73908.22365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,1.02E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114900.2495,0,0,0,0,0,22368.13019,0,890636.568,43221.74304,22701.52511,0,0,741568.4194,0,125700.8297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,1.06E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105691.44,0,0,0,0,0,20796.57476,0,806720.2801,41572.24434,21640.58468,0,0,637776.4256,0,85824.61874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1.10E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97723.56082,0,0,0,0,0,19299.33745,0,740098.2603,39003.36793,21931.23525,0,0,598507.9935,0,61440.43347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1.13E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90829.21399,0,0,0,0,0,17968.70716,0,691097.8088,37504.78676,20240.16983,0,0,577134.7441,0,70913.98077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1.17E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86611.64409,0,0,0,0,0,16885.80388,0,653822.067,35817.12597,19522.70378,0,0,561475.3769,0,54540.84851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1.20E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81366.40744,0,0,0,0,0,15905.36053,0,621293.7647,34345.12403,18724.9688,0,0,543238.533,0,37698.1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,1.24E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82949.75779,0,0,0,0,0,15202.24982,0,595205.2107,32952.64392,18948.72035,0,0,523338.8406,0,33457.87271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,1.28E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81631.70679,0,0,0,0,0,14738.82381,0,576900.15,31663.81938,18107.21297,0,0,507226.4508,0,54660.8867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,1.31E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77972.52982,0,0,0,0,0,14350.25412,0,562219.2117,30666.47858,18334.80829,0,0,533012.7802,0,50299.88572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1.35E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73475.30182,0,0,0,0,0,14028.50796,0,550511.0487,29769.74964,20189.5599,0,0,542173.0891,0,36797.83074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1.39E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70910.5742,0,0,0,0,0,13804.15036,0,542913.2065,28926.76596,20842.47011,0,0,513983.4619,0,32163.6927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1.42E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67338.56892,0,0,0,0,0,13581.19954,0,535974.1517,28376.47358,19839.15129,0,0,492948.5897,0,119164.4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1.46E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67056.50448,0,0,0,0,0,13358.04165,0,529546.1908,28037.63578,19340.20592,0,0,478626.5623,0,97931.85713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1.50E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69285.39644,0,0,0,0,0,13147.21,0,526874.5352,27788.88496,19697.53642,0,0,486236.0527,0,51705.94792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1.53E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69956.896,0,0,0,0,0,12999.56188,0,523551.8638,27948.82843,19670.14259,0,0,502185.7109,0,42891.64306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,1.57E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66673.89246,0,0,0,0,0,12823.43182,0,519103.3887,27994.27289,19707.92859,0,0,491415.2561,0,56834.15581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,1.61E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65685.00899,0,0,0,0,0,12664.08859,0,516247.7606,27772.08283,20951.42224,0,0,504956.7861,0,57737.79352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1.64E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64667.03506,0,0,0,0,0,12453.40374,0,514857.9329,27667.45868,20966.20025,0,0,515873.4681,0,42762.03079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1.68E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64485.59447,0,0,0,0,0,12255.8492,0,511746.7796,27548.89977,20040.89924,0,0,529215.9322,0,54224.91421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1.72E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62627.86905,0,0,0,0,0,12139.3377,0,506327.4897,27138.90374,19209.94658,0,0,553697.3676,0,90970.73491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,1.75E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65479.49888,0,0,0,0,0,12108.96905,0,506182.3313,27029.66357,19838.92,0,0,565957.0711,0,137149.6623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
