Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158841.7862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94712.06187,0,0,0,0,0,20137.92985,0,871154.7936,41485.04588,10551.12093,0,0,686699.3606,0,191696.7778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90208.21573,0,0,0,0,0,18937.79691,0,791586.6767,40369.86636,10338.76842,0,0,547786.9414,0,119051.2891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84557.40562,0,0,0,0,0,17869.27812,0,727519.099,39156.29851,10358.94762,0,0,466469.262,0,66597.62643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78228.36907,0,0,0,0,0,16866.36015,0,673979.1579,37845.3633,10095.73518,0,0,402949.2768,0,82280.76843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73273.53738,0,0,0,0,0,15873.0814,0,629471.9945,35673.58881,10352.58308,0,0,375875.6034,0,90133.44431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69614.40904,0,0,0,0,0,14976.93227,0,595920.176,34470.95014,9823.060672,0,0,361827.8257,0,47508.44871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69102.22669,0,0,0,0,0,14266.37698,0,570226.9923,33107.15083,9604.648109,0,0,361367.4946,0,83853.22944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66478.12744,0,0,0,0,0,13634.83128,0,546971.7293,31952.21462,9203.930898,0,0,352931.6231,0,158646.7231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67473.16313,0,0,0,0,0,13216.32507,0,529377.4982,30883.8521,9508.165261,0,0,328298.3458,0,94152.39342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64568.25207,0,0,0,0,0,12903.14439,0,514864.3635,29810.89887,9311.89065,0,0,311667.6713,0,31593.05819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62110.72362,0,0,0,0,0,12613.28391,0,502785.8353,28985.79187,9875.945891,0,0,342840.8846,0,104369.5975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61264.24473,0,0,0,0,0,12403.94112,0,493950.7951,28268.00715,10528.2075,0,0,345285.6983,0,104902.6673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59870.39867,0,0,0,0,0,12270.70912,0,487926.0874,27586.64539,10749.80437,0,0,325287.4794,0,49619.06324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56896.96327,0,0,0,0,0,12126.63887,0,481783.5677,27186.56093,10416.58796,0,0,305685.4472,0,25165.82038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56051.86212,0,0,0,0,0,11965.92735,0,476331.4143,26998.42475,10475.66994,0,0,281229.5326,0,141962.4947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57621.56667,0,0,0,0,0,11811.91633,0,472558.3697,26865.82899,10578.93034,0,0,272822.3548,0,127485.1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59638.71971,0,0,0,0,0,11738.93986,0,468948.9077,27117.53438,10723.93194,0,0,284503.9956,0,64465.65862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57160.95283,0,0,0,0,0,11621.19918,0,464676.1756,27230.12373,10625.28599,0,0,267891.4815,0,133906.4881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55379.81009,0,0,0,0,0,11454.48155,0,460653.7046,27058.17693,11382.94662,0,0,272562.7951,0,197406.7356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55160.19317,0,0,0,0,0,11264.3677,0,458175.508,26996.98548,11561.54695,0,0,283197.2304,0,93194.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55433.52946,0,0,0,0,0,11096.29432,0,454482.8014,26891.21195,11234.52521,0,0,263868.4526,0,31557.71274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55782.82705,0,0,0,0,0,11071.58738,0,449801.3655,26491.21541,11123.4052,0,0,286051.8776,0,100643.7644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56735.36756,0,0,0,0,0,11052.03866,0,449036.7206,26394.22988,11349.66887,0,0,305701.0371,0,104626.1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54715.39568,0,0,0,0,0,11052.47665,0,449241.8001,26237.38303,11129.80282,0,0,310875.9157,0,40107.60131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55135.2792,0,0,0,0,0,11100.31536,0,449124.4897,26010.02777,11749.00503,0,0,315478.592,0,105833.9855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54535.03743,0,0,0,0,0,11112.24827,0,446475.5316,25957.76262,11589.77034,0,0,301193.7419,0,93602.28802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54668.37584,0,0,0,0,0,11137.45561,0,444094.0027,25876.60755,11325.69752,0,0,302469.2316,0,44699.41909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53860.01977,0,0,0,0,0,11113.70283,0,438834.0185,25622.25848,11127.99343,0,0,282260.9192,0,33058.76074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54696.23687,0,0,0,0,0,11028.26133,0,435989.772,25634.65236,11354.82222,0,0,288584.7724,0,75648.45465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54757.4814,0,0,0,0,0,10911.00241,0,434302.9117,25660.41187,11235.96615,0,0,294892.7135,0,48180.38212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54336.56604,0,0,0,0,0,10796.67981,0,434985.3291,25547.74194,11233.19787,0,0,284136.6391,0,23297.00301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54179.43208,0,0,0,0,0,10732.37093,0,435185.9558,25577.75642,11601.53215,0,0,301621.8915,0,50056.36924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52887.72127,0,0,0,0,0,10750.3389,0,435683.8646,25666.29101,11535.2923,0,0,323097.1236,0,51000.70034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52551.69601,0,0,0,0,0,10760.84482,0,436650.6178,25576.28784,11347.29383,0,0,318015.2036,0,33279.33947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52619.81183,0,0,0,0,0,10779.10785,0,437322.5686,25609.87272,10895.971,0,0,318160.7364,0,18115.66557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53532.35949,0,0,0,0,0,10900.57242,0,435030.514,25789.33318,10348.28551,0,0,321587.0827,0,14578.44411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54048.15471,0,0,0,0,0,10902.34873,0,434877.7337,25534.51438,10771.28742,0,0,329371.2845,0,29984.50709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
