Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115328.7368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214548.137,0,0,0,0,0,30453.09948,0,1438081.479,78337.92728,64981.3574,0,0,1001723.167,0,62800.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178583.7605,0,0,0,0,0,27703.6761,0,1161144.075,72460.39417,59406.69933,0,0,761411.0131,0,71529.83193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152469.0271,0,0,0,0,0,25416.22799,0,970088.9531,68268.60368,57819.0862,0,0,659650.1929,0,103478.7743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135508.625,0,0,0,0,0,23429.34917,0,836600.067,63943.67586,52369.45961,0,0,603938.4674,0,72242.02667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121778.7438,0,0,0,0,0,21673.47978,0,735542.189,59185.27782,45320.11985,0,0,593537.6543,0,39068.85855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112762.5336,0,0,0,0,0,19907.20772,0,662970.7114,54316.79825,44358.97985,0,0,593034.4102,0,73937.34275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103409.4509,0,0,0,0,0,18480.7751,0,609197.2843,49759.93154,40868.90814,0,0,594668.5002,0,106277.8304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100721.304,0,0,0,0,0,17446.56072,0,569260.6104,45928.48306,36241.54466,0,0,615072.0152,0,139981.3181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96199.20414,0,0,0,0,0,16617.64142,0,534591.643,42212.87156,34815.3348,0,0,592722.5818,0,84318.51174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89200.85627,0,0,0,0,0,15952.34592,0,509727.3842,38997.38101,34847.2516,0,0,588703.4181,0,68943.70638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87820.04685,0,0,0,0,0,15462.30622,0,497135.8647,36397.37676,33867.14439,0,0,606456.766,0,75202.09678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84031.20744,0,0,0,0,0,15210.74653,0,486193.8016,34045.06232,30995.96208,0,0,604566.2079,0,65729.81508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78662.85848,0,0,0,0,0,14928.01083,0,469340.8988,31537.80705,28034.23663,0,0,570748.432,0,51710.24327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76884.88699,0,0,0,0,0,14704.52273,0,462584.8854,30043.00269,25658.46248,0,0,551956.5912,0,78734.27014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74866.02925,0,0,0,0,0,14415.64457,0,462376.8197,28703.02768,26392.65245,0,0,553439.9869,0,200495.7779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73270.47659,0,0,0,0,0,14196.91279,0,461881.1447,27705.97525,27407.84628,0,0,580901.8115,0,151694.7369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
