year,fmsy05,fmsy1,fmsy2
1985,89.43901726,83.35286447,59.57405136
1986,88.19686998,80.07896745,50.73085529
1987,88.31891015,78.38211986,44.86654096
1988,90.2113108,77.64624302,40.74540125
1989,90.30504317,79.39704722,37.66524461
1990,90.97069809,78.32185762,35.3275355
1991,91.63596508,77.49925968,33.51022699
1992,92.51658409,76.82255955,32.09278428
1993,93.56623209,76.29563145,30.96138173
1994,94.7688465,75.86582934,30.09531907
1995,97.86764508,75.54311819,29.43373598
1996,98.17858808,75.28800795,28.90462354
1997,98.52534418,75.08130728,28.53747485
1998,98.87898444,74.85741119,28.3131718
1999,99.50300436,74.66993461,28.1437208
2000,100,74.53942525,28.00631491
2001,100,74.43610625,27.95050898
2002,100,74.33962864,27.94231004
2003,100,74.28420252,28.02394624
2004,100,74.20471806,28.24895102
2005,100,74.09337911,28.5720877
2006,100,73.9678836,29.00581791
2007,100,73.86711462,29.58286693
2008,100,73.76245906,30.26616759
2009,100,73.71266536,31.10129388
2010,100,73.70135034,32.13837286
2011,100,73.72455538,33.39273545
2012,100,73.74994396,34.88958806
2013,100,73.79107363,36.67368071
2014,100,73.82127107,38.75235135
2015,100,73.85145067,41.06240124
