year,Scientific_Name,Common_Name,fao_rgn,stock_id,TaxonKey,Resilience,tons
1981,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,209463.5153
1982,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,177706.947
1983,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,152221.6174
1984,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,132638.3389
1985,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,121308.6909
1986,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,112179.5292
1987,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,102878.7702
1988,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,94569.58468
1989,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,97218.17957
1990,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,91385.47607
1991,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,82805.67507
1992,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,80356.90134
1993,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,77060.98571
1994,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,72267.56251
1995,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,71640.88951
1996,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,70813.63548
1997,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,74060.72454
1998,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,70238.54169
1999,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,67340.48029
2000,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,63804.39549
2001,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,63913.13016
2002,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,66570.55578
2003,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,66630.94592
2004,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,69291.89359
2005,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,66970.97386
2006,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,64280.08057
2007,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,60971.83524
2008,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,58921.44314
2009,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,61723.04026
2010,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,60704.49136
2011,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,61694.73976
2012,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,63928.66469
2013,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,60890.45379
2014,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,58437.91454
2015,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,60709.94174
1981,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,31095.11015
1982,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,28364.41096
1983,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,25932.44501
1984,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,23800.58922
1985,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,21888.02539
1986,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,20224.0484
1987,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,18758.40511
1988,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,17501.80757
1989,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,16735.02954
1990,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,15998.60739
1991,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,15398.26842
1992,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,15001.41121
1993,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,14703.58137
1994,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,14419.78102
1995,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,14223.47526
1996,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,13999.40457
1997,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,13840.05019
1998,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,13585.38946
1999,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,13330.10495
2000,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,13132.68493
2001,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12893.67417
2002,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12800.34747
2003,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12708.43373
2004,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12776.79337
2005,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12796.24466
2006,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12786.44322
2007,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12715.94805
2008,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12533.82184
2009,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12442.06418
2010,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12327.72688
2011,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12262.33337
2012,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12287.94748
2013,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12299.08212
2014,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12237.17671
2015,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12226.85496
1981,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,1682391.153
1982,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,1366074.85
1983,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,1140076.614
1984,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,975518.9462
1985,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,855457.6102
1986,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,771447.6044
1987,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,710900.3568
1988,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,662503.1016
1989,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,627626.0072
1990,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,601697.7522
1991,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,580090.3476
1992,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,563989.6768
1993,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,554877.4079
1994,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,548725.9323
1995,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,546236.8116
1996,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,541615.7974
1997,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,536929.4451
1998,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,531828.4827
1999,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,525598.2187
2000,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,515755.2864
2001,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,511133.1434
2002,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,510703.4403
2003,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,509921.7918
2004,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,510243.2288
2005,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,507280.4352
2006,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,504538.7485
2007,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,496483.5081
2008,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,490747.2354
2009,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,493059.5802
2010,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,494265.3553
2011,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,495921.035
2012,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,497100.9321
2013,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,496311.3839
2014,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,493327.6404
2015,Melanogrammus aeglefinus,Haddock,27,Melanogrammus_aeglefinus-27,601381,Medium,494919.0123
1981,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,80082.11563
1982,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,75547.17624
1983,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,70266.0708
1984,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,65179.0869
1985,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,59645.38
1986,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,54902.7574
1987,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,50832.85978
1988,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,46734.01859
1989,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,43352.95476
1990,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,39983.76219
1991,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,37116.50993
1992,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,34527.8398
1993,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,32527.60004
1994,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,30815.58774
1995,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,29298.44519
1996,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,28354.19262
1997,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,27841.7966
1998,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,27183.88226
1999,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,26772.52541
2000,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,26441.93702
2001,Pollachius virens,Saithe,27,Pollachius_virens-27,601343,Medium,26147.97752
