"","Year","total_catch","scenario"
"1",1981,1851383.44016,"fmsy05"
"2",1982,3733499.70309,"fmsy05"
"3",1983,3873864.50711,"fmsy05"
"4",1984,2158702.89456,"fmsy05"
"5",1985,1433851.95307,"fmsy05"
"6",1986,1609547.07132,"fmsy05"
"7",1987,1541582.78558,"fmsy05"
"8",1988,1264881.51341,"fmsy05"
"9",1989,1227181.62828,"fmsy05"
"10",1990,1315172.10653,"fmsy05"
"11",1991,1249460.57937,"fmsy05"
"12",1992,1169381.69025,"fmsy05"
"13",1993,1212561.02644,"fmsy05"
"14",1994,1263247.57106,"fmsy05"
"15",1995,1202510.85644,"fmsy05"
"16",1996,1149710.49173,"fmsy05"
"17",1997,1290635.97121,"fmsy05"
"18",1998,1261365.27558,"fmsy05"
"19",1999,1175955.1115,"fmsy05"
"20",2000,1112963.85294,"fmsy05"
"21",2001,1125397.699996,"fmsy05"
"22",2002,1140238.988927,"fmsy05"
"23",2003,1150109.73395,"fmsy05"
"24",2004,1141793.267876,"fmsy05"
"25",2005,1128275.620104,"fmsy05"
"26",2006,1158767.625339,"fmsy05"
"27",2007,1182332.753568,"fmsy05"
"28",2008,1142091.101463,"fmsy05"
"29",2009,1099772.90792,"fmsy05"
"30",2010,1123864.351332,"fmsy05"
"31",2011,1097669.550575,"fmsy05"
"32",2012,1040938.729372,"fmsy05"
"33",2013,1151176.595399,"fmsy05"
"34",2014,1263579.383819,"fmsy05"
"35",2015,1191133.338561,"fmsy05"
"36",1981,3208472.85773,"fmsy1"
"37",1982,2598282.24803,"fmsy1"
"38",1983,2207274.63064,"fmsy1"
"39",1984,1965563.48693,"fmsy1"
"40",1985,1842085.76906,"fmsy1"
"41",1986,1716137.86346,"fmsy1"
"42",1987,1605910.20003,"fmsy1"
"43",1988,1538298.53535,"fmsy1"
"44",1989,1472494.11409,"fmsy1"
"45",1990,1407700.59087,"fmsy1"
"46",1991,1380523.2485,"fmsy1"
"47",1992,1371325.34989,"fmsy1"
"48",1993,1410325.44507,"fmsy1"
"49",1994,1460331.97775,"fmsy1"
"50",1995,1427228.18471,"fmsy1"
"51",1996,1591803.11598,"fmsy1"
"52",1997,1638286.12668,"fmsy1"
"53",1998,1465805.9561,"fmsy1"
"54",1999,1322806.08143,"fmsy1"
"55",2000,1475906.69248,"fmsy1"
"56",2001,1695362.0557,"fmsy1"
"57",2002,1538214.32145,"fmsy1"
"58",2003,1390929.03388,"fmsy1"
"59",2004,1433134.92982,"fmsy1"
"60",2005,1392739.17906,"fmsy1"
"61",2006,1329413.04492,"fmsy1"
"62",2007,1310496.05542,"fmsy1"
"63",2008,1301400.19237,"fmsy1"
"64",2009,1298384.94932,"fmsy1"
"65",2010,1299555.68086,"fmsy1"
"66",2011,1297929.00464,"fmsy1"
"67",2012,1281886.65142,"fmsy1"
"68",2013,1928462.96754,"fmsy1"
"69",2014,1952267.67939,"fmsy1"
"70",2015,1528107.41558,"fmsy1"
"71",1981,5864701.50347,"fmsy2"
"72",1982,5878307.25986,"fmsy2"
"73",1983,5114516.49728,"fmsy2"
"74",1984,2904211.30683,"fmsy2"
"75",1985,1860244.70228,"fmsy2"
"76",1986,1734529.98482,"fmsy2"
"77",1987,1675682.72726,"fmsy2"
"78",1988,1317332.80816,"fmsy2"
"79",1989,1190551.49832,"fmsy2"
"80",1990,1152138.95631,"fmsy2"
"81",1991,1025551.44017,"fmsy2"
"82",1992,945275.09312,"fmsy2"
"83",1993,955927.22224,"fmsy2"
"84",1994,998468.72792,"fmsy2"
"85",1995,904818.04844,"fmsy2"
"86",1996,811919.5842,"fmsy2"
"87",1997,875044.78851,"fmsy2"
"88",1998,875464.429132,"fmsy2"
"89",1999,843358.893253,"fmsy2"
"90",2000,813453.15828,"fmsy2"
"91",2001,783071.593902,"fmsy2"
"92",2002,763309.329141,"fmsy2"
"93",2003,740461.555316,"fmsy2"
"94",2004,740107.188442,"fmsy2"
"95",2005,739507.560229,"fmsy2"
"96",2006,743010.149702,"fmsy2"
"97",2007,751790.972129,"fmsy2"
"98",2008,745978.363629,"fmsy2"
"99",2009,747059.198389,"fmsy2"
"100",2010,731659.846494,"fmsy2"
"101",2011,695966.01667,"fmsy2"
"102",2012,696589.33688,"fmsy2"
"103",2013,690686.671441,"fmsy2"
"104",2014,696193.557221,"fmsy2"
"105",2015,697918.680154,"fmsy2"
