"","Year","scenario","iconic_biomass"
"1",1980,"Strict Conservation",182655.787435273
"2",1981,"Strict Conservation",182434.206937636
"3",1982,"Strict Conservation",181969.949088364
"4",1983,"Strict Conservation",183653.105377182
"5",1984,"Strict Conservation",181587.285046455
"6",1985,"Strict Conservation",180257.447111364
"7",1986,"Strict Conservation",179715.6014
"8",1987,"Strict Conservation",178459.700903182
"9",1988,"Strict Conservation",177536.949479455
"10",1989,"Strict Conservation",176304.137638273
"11",1990,"Strict Conservation",175076.836396455
"12",1991,"Strict Conservation",174098.194495
"13",1992,"Strict Conservation",172988.631549545
"14",1993,"Strict Conservation",172599.371647273
"15",1994,"Strict Conservation",172329.036457455
"16",1995,"Strict Conservation",171959.097400455
"17",1996,"Strict Conservation",171138.754687909
"18",1997,"Strict Conservation",173918.140741545
"19",1998,"Strict Conservation",173863.182865364
"20",1999,"Strict Conservation",171976.470226273
"21",2000,"Strict Conservation",170880.470870636
"22",2001,"Strict Conservation",168626.090207182
"23",2002,"Strict Conservation",166934.992048273
"24",2003,"Strict Conservation",165159.995613909
"25",2004,"Strict Conservation",164354.303390909
"26",2005,"Strict Conservation",163579.129567091
"27",2006,"Strict Conservation",163751.565541727
"28",2007,"Strict Conservation",163634.655876273
"29",2008,"Strict Conservation",163308.813315182
"30",2009,"Strict Conservation",162700.352007818
"31",2010,"Strict Conservation",162238.32678
"32",2011,"Strict Conservation",161761.359029273
"33",2012,"Strict Conservation",164354.496303909
"34",2013,"Strict Conservation",163211.259539273
"35",2014,"Strict Conservation",162313.985885545
"36",2015,"Strict Conservation",162078.525740091
"37",2016,"Strict Conservation",162155.202005909
"38",2017,"Strict Conservation",160554.384149
"39",2018,"Strict Conservation",159198.925227364
"40",2019,"Strict Conservation",157805.693142818
"41",2020,"Strict Conservation",157131.910184273
"42",2021,"Strict Conservation",156833.716774818
"43",2022,"Strict Conservation",156094.916027818
"44",2023,"Strict Conservation",155202.384492091
"45",2024,"Strict Conservation",154498.088669455
"46",2025,"Strict Conservation",154199.363540182
"47",2026,"Strict Conservation",153544.267055091
"48",2027,"Strict Conservation",154619.696932727
"49",2028,"Strict Conservation",153901.592956
"50",2029,"Strict Conservation",153077.409396818
"51",2030,"Strict Conservation",152126.783670636
"52",2031,"Strict Conservation",151395.107281182
"53",2032,"Strict Conservation",150983.706739182
"54",2033,"Strict Conservation",150504.869091636
"55",2034,"Strict Conservation",149482.705134727
"56",2035,"Strict Conservation",148591.245871818
"57",2036,"Strict Conservation",147815.293661545
"58",2037,"Strict Conservation",148326.293784364
"59",2038,"Strict Conservation",148359.850364818
"60",2039,"Strict Conservation",147540.587816909
"61",2040,"Strict Conservation",146726.577386364
"62",2041,"Strict Conservation",146092.803533091
"63",2042,"Strict Conservation",145931.823661818
"64",2043,"Strict Conservation",145363.751151273
"65",2044,"Strict Conservation",145015.620913364
"66",2045,"Strict Conservation",144330.310688818
"67",2046,"Strict Conservation",144423.249815455
"68",2047,"Strict Conservation",144006.348591091
