Year,species,biomass,scenario
2015,Killer Whale,52406.68447,Strict Conservation
2016,Killer Whale,50920.98468,Strict Conservation
2017,Killer Whale,50237.16395,Strict Conservation
2018,Killer Whale,50606.43673,Strict Conservation
2019,Killer Whale,49380.518,Strict Conservation
2020,Killer Whale,48584.0295,Strict Conservation
2021,Killer Whale,48678.11753,Strict Conservation
2022,Killer Whale,49779.19326,Strict Conservation
2023,Killer Whale,49504.67767,Strict Conservation
2024,Killer Whale,49385.01102,Strict Conservation
2025,Killer Whale,48868.23375,Strict Conservation
2026,Killer Whale,48558.21956,Strict Conservation
2027,Killer Whale,48159.64608,Strict Conservation
2028,Killer Whale,47834.47082,Strict Conservation
2029,Killer Whale,47445.37392,Strict Conservation
2030,Killer Whale,47455.00205,Strict Conservation
2031,Killer Whale,47618.77322,Strict Conservation
2032,Killer Whale,47069.49488,Strict Conservation
2033,Killer Whale,46685.94665,Strict Conservation
2034,Killer Whale,47255.6225,Strict Conservation
2035,Killer Whale,46311.02098,Strict Conservation
2036,Killer Whale,45757.78106,Strict Conservation
2037,Killer Whale,45895.0198,Strict Conservation
2038,Killer Whale,44253.23407,Strict Conservation
2039,Killer Whale,43187.01788,Strict Conservation
2040,Killer Whale,42989.57123,Strict Conservation
2041,Killer Whale,41762.49904,Strict Conservation
2042,Killer Whale,41446.60293,Strict Conservation
2043,Killer Whale,40416.70936,Strict Conservation
2044,Killer Whale,40337.99506,Strict Conservation
2045,Killer Whale,39491.13295,Strict Conservation
2046,Killer Whale,39143.26506,Strict Conservation
2047,Killer Whale,37964.90359,Strict Conservation
2048,Killer Whale,37688.6743,Strict Conservation
2049,Killer Whale,36754.06265,Strict Conservation
2050,Killer Whale,36638.80857,Strict Conservation
2051,Killer Whale,34607.66048,Strict Conservation
2052,Killer Whale,33018.58604,Strict Conservation
2053,Killer Whale,31720.95293,Strict Conservation
2054,Killer Whale,31028.75163,Strict Conservation
2055,Killer Whale,29433.18661,Strict Conservation
2056,Killer Whale,28523.25382,Strict Conservation
2057,Killer Whale,27902.45723,Strict Conservation
2058,Killer Whale,26488.42211,Strict Conservation
2059,Killer Whale,26330.1745,Strict Conservation
2060,Killer Whale,26825.92842,Strict Conservation
2061,Killer Whale,25404.67975,Strict Conservation
2062,Killer Whale,25893.29832,Strict Conservation
2063,Killer Whale,27391.09997,Strict Conservation
2064,Killer Whale,27208.7672,Strict Conservation
2065,Killer Whale,26844.49615,Strict Conservation
2066,Killer Whale,25379.50437,Strict Conservation
2067,Killer Whale,24182.51512,Strict Conservation
2068,Killer Whale,23422.78814,Strict Conservation
2015,Boreal Seabirds,16703.54745,Strict Conservation
2016,Boreal Seabirds,16808.96117,Strict Conservation
2017,Boreal Seabirds,16780.77659,Strict Conservation
2018,Boreal Seabirds,16781.48351,Strict Conservation
2019,Boreal Seabirds,16698.31133,Strict Conservation
2020,Boreal Seabirds,16675.89686,Strict Conservation
2021,Boreal Seabirds,16700.9912,Strict Conservation
2022,Boreal Seabirds,16684.26936,Strict Conservation
2023,Boreal Seabirds,16633.00768,Strict Conservation
2024,Boreal Seabirds,16608.58472,Strict Conservation
2025,Boreal Seabirds,16620.93159,Strict Conservation
2026,Boreal Seabirds,16696.75263,Strict Conservation
2027,Boreal Seabirds,16766.10904,Strict Conservation
2028,Boreal Seabirds,16891.37154,Strict Conservation
2029,Boreal Seabirds,16913.91917,Strict Conservation
2030,Boreal Seabirds,16947.72549,Strict Conservation
2031,Boreal Seabirds,16868.16753,Strict Conservation
2032,Boreal Seabirds,16878.34303,Strict Conservation
2033,Boreal Seabirds,16851.88708,Strict Conservation
2034,Boreal Seabirds,16754.33176,Strict Conservation
2035,Boreal Seabirds,16621.01167,Strict Conservation
2036,Boreal Seabirds,16549.06195,Strict Conservation
2037,Boreal Seabirds,16579.59782,Strict Conservation
2038,Boreal Seabirds,16618.19815,Strict Conservation
2039,Boreal Seabirds,16621.42516,Strict Conservation
2040,Boreal Seabirds,16624.2122,Strict Conservation
2041,Boreal Seabirds,16621.64836,Strict Conservation
2042,Boreal Seabirds,16636.03549,Strict Conservation
2043,Boreal Seabirds,16557.86639,Strict Conservation
2044,Boreal Seabirds,16528.86695,Strict Conservation
2045,Boreal Seabirds,16422.45285,Strict Conservation
2046,Boreal Seabirds,16454.14711,Strict Conservation
2047,Boreal Seabirds,16436.06787,Strict Conservation
2048,Boreal Seabirds,16435.22157,Strict Conservation
2049,Boreal Seabirds,16418.55127,Strict Conservation
2050,Boreal Seabirds,16462.67423,Strict Conservation
2051,Boreal Seabirds,16474.76549,Strict Conservation
2052,Boreal Seabirds,16524.07292,Strict Conservation
2053,Boreal Seabirds,16537.65568,Strict Conservation
2054,Boreal Seabirds,16496.20747,Strict Conservation
2055,Boreal Seabirds,16535.4292,Strict Conservation
2056,Boreal Seabirds,16564.01749,Strict Conservation
2057,Boreal Seabirds,16518.64599,Strict Conservation
2058,Boreal Seabirds,16489.27257,Strict Conservation
2059,Boreal Seabirds,16448.74127,Strict Conservation
2060,Boreal Seabirds,16516.15003,Strict Conservation
2061,Boreal Seabirds,16552.90689,Strict Conservation
2062,Boreal Seabirds,16526.31534,Strict Conservation
2063,Boreal Seabirds,16557.42742,Strict Conservation
2064,Boreal Seabirds,16525.38532,Strict Conservation
2065,Boreal Seabirds,16512.7814,Strict Conservation
2066,Boreal Seabirds,16527.73621,Strict Conservation
2067,Boreal Seabirds,16436.15243,Strict Conservation
2068,Boreal Seabirds,16408.76642,Strict Conservation
2015,Other Demersals,1366487.636,Strict Conservation
2016,Other Demersals,1362660.581,Strict Conservation
2017,Other Demersals,1348809.609,Strict Conservation
2018,Other Demersals,1344602.329,Strict Conservation
2019,Other Demersals,1337134.088,Strict Conservation
2020,Other Demersals,1341460.381,Strict Conservation
2021,Other Demersals,1339399.31,Strict Conservation
2022,Other Demersals,1340771.891,Strict Conservation
2023,Other Demersals,1345557.213,Strict Conservation
2024,Other Demersals,1349225.599,Strict Conservation
2025,Other Demersals,1357711.431,Strict Conservation
2026,Other Demersals,1368127.232,Strict Conservation
2027,Other Demersals,1383616.21,Strict Conservation
2028,Other Demersals,1392348.159,Strict Conservation
2029,Other Demersals,1394771.844,Strict Conservation
2030,Other Demersals,1392371.495,Strict Conservation
2031,Other Demersals,1396043.749,Strict Conservation
2032,Other Demersals,1403285.76,Strict Conservation
2033,Other Demersals,1404186.462,Strict Conservation
2034,Other Demersals,1399451.548,Strict Conservation
2035,Other Demersals,1397336.984,Strict Conservation
2036,Other Demersals,1399561.761,Strict Conservation
2037,Other Demersals,1407114.731,Strict Conservation
2038,Other Demersals,1409712.746,Strict Conservation
2039,Other Demersals,1408139.792,Strict Conservation
2040,Other Demersals,1407065.769,Strict Conservation
2041,Other Demersals,1405313.287,Strict Conservation
2042,Other Demersals,1408916.551,Strict Conservation
2043,Other Demersals,1407344.3,Strict Conservation
2044,Other Demersals,1408563.955,Strict Conservation
2045,Other Demersals,1411296.944,Strict Conservation
2046,Other Demersals,1414384.105,Strict Conservation
2047,Other Demersals,1416483.317,Strict Conservation
2048,Other Demersals,1419923.911,Strict Conservation
2049,Other Demersals,1423607.219,Strict Conservation
2050,Other Demersals,1433318.302,Strict Conservation
2051,Other Demersals,1426649.552,Strict Conservation
2052,Other Demersals,1426614.187,Strict Conservation
2053,Other Demersals,1424920.081,Strict Conservation
2054,Other Demersals,1427121.615,Strict Conservation
2055,Other Demersals,1433755.322,Strict Conservation
2056,Other Demersals,1438166.634,Strict Conservation
2057,Other Demersals,1437237.714,Strict Conservation
2058,Other Demersals,1440904.527,Strict Conservation
2059,Other Demersals,1444573.826,Strict Conservation
2060,Other Demersals,1446147.558,Strict Conservation
2061,Other Demersals,1452702.771,Strict Conservation
2062,Other Demersals,1459700.889,Strict Conservation
2063,Other Demersals,1456553.995,Strict Conservation
2064,Other Demersals,1450698.976,Strict Conservation
2065,Other Demersals,1444817.095,Strict Conservation
2066,Other Demersals,1440367.989,Strict Conservation
2067,Other Demersals,1436566.191,Strict Conservation
2068,Other Demersals,1439537.197,Strict Conservation
2015,Large Pelagics,1439818.968,Strict Conservation
2016,Large Pelagics,1422301.146,Strict Conservation
2017,Large Pelagics,1419919.68,Strict Conservation
2018,Large Pelagics,1418815.389,Strict Conservation
2019,Large Pelagics,1416390.131,Strict Conservation
2020,Large Pelagics,1425821.759,Strict Conservation
2021,Large Pelagics,1461043.701,Strict Conservation
2022,Large Pelagics,1455015.705,Strict Conservation
2023,Large Pelagics,1424573.13,Strict Conservation
2024,Large Pelagics,1402988.954,Strict Conservation
2025,Large Pelagics,1385010.07,Strict Conservation
2026,Large Pelagics,1368262.618,Strict Conservation
2027,Large Pelagics,1354061.414,Strict Conservation
2028,Large Pelagics,1344671.19,Strict Conservation
2029,Large Pelagics,1339562.494,Strict Conservation
2030,Large Pelagics,1330722.185,Strict Conservation
2031,Large Pelagics,1318192.019,Strict Conservation
2032,Large Pelagics,1309237.842,Strict Conservation
2033,Large Pelagics,1304303.322,Strict Conservation
2034,Large Pelagics,1310649.655,Strict Conservation
2035,Large Pelagics,1309691.794,Strict Conservation
2036,Large Pelagics,1306135.759,Strict Conservation
2037,Large Pelagics,1301880.249,Strict Conservation
2038,Large Pelagics,1294156.234,Strict Conservation
2039,Large Pelagics,1283427.016,Strict Conservation
2040,Large Pelagics,1275678.66,Strict Conservation
2041,Large Pelagics,1268322.127,Strict Conservation
2042,Large Pelagics,1263075.486,Strict Conservation
2043,Large Pelagics,1257012.661,Strict Conservation
2044,Large Pelagics,1254333.063,Strict Conservation
2045,Large Pelagics,1255586.508,Strict Conservation
2046,Large Pelagics,1260021.69,Strict Conservation
2047,Large Pelagics,1267341.97,Strict Conservation
2048,Large Pelagics,1276845.54,Strict Conservation
2049,Large Pelagics,1277938.911,Strict Conservation
2050,Large Pelagics,1279093.514,Strict Conservation
2051,Large Pelagics,1278184.688,Strict Conservation
2052,Large Pelagics,1271762.023,Strict Conservation
2053,Large Pelagics,1264093.64,Strict Conservation
2054,Large Pelagics,1259188.832,Strict Conservation
2055,Large Pelagics,1263698.489,Strict Conservation
2056,Large Pelagics,1269372.62,Strict Conservation
2057,Large Pelagics,1269015.26,Strict Conservation
2058,Large Pelagics,1270777.907,Strict Conservation
2059,Large Pelagics,1271154.37,Strict Conservation
2060,Large Pelagics,1267096.187,Strict Conservation
2061,Large Pelagics,1269661.283,Strict Conservation
2062,Large Pelagics,1268988.517,Strict Conservation
2063,Large Pelagics,1264882.667,Strict Conservation
2064,Large Pelagics,1257848.318,Strict Conservation
2065,Large Pelagics,1250174.164,Strict Conservation
2066,Large Pelagics,1238810.468,Strict Conservation
2067,Large Pelagics,1231872.458,Strict Conservation
2068,Large Pelagics,1225041.912,Strict Conservation
2015,Small Pelagics,857619.0775,Strict Conservation
2016,Small Pelagics,862394.146,Strict Conservation
2017,Small Pelagics,864861.8847,Strict Conservation
2018,Small Pelagics,856728.8081,Strict Conservation
2019,Small Pelagics,837919.9176,Strict Conservation
2020,Small Pelagics,814340.6624,Strict Conservation
2021,Small Pelagics,794883.738,Strict Conservation
2022,Small Pelagics,766971.8414,Strict Conservation
2023,Small Pelagics,736755.5668,Strict Conservation
2024,Small Pelagics,703378.5371,Strict Conservation
2025,Small Pelagics,668667.5515,Strict Conservation
2026,Small Pelagics,642869.551,Strict Conservation
2027,Small Pelagics,619143.8963,Strict Conservation
2028,Small Pelagics,591975.7789,Strict Conservation
2029,Small Pelagics,565425.1943,Strict Conservation
2030,Small Pelagics,527437.9483,Strict Conservation
2031,Small Pelagics,479670.3439,Strict Conservation
2032,Small Pelagics,433557.3227,Strict Conservation
2033,Small Pelagics,395032.1383,Strict Conservation
2034,Small Pelagics,355085.6159,Strict Conservation
2035,Small Pelagics,317904.9915,Strict Conservation
2036,Small Pelagics,288470.8035,Strict Conservation
2037,Small Pelagics,275539.7623,Strict Conservation
2038,Small Pelagics,263684.444,Strict Conservation
2039,Small Pelagics,256107.9818,Strict Conservation
2040,Small Pelagics,243899.2872,Strict Conservation
2041,Small Pelagics,228925.3512,Strict Conservation
2042,Small Pelagics,201544.5644,Strict Conservation
2043,Small Pelagics,176178.7181,Strict Conservation
2044,Small Pelagics,149881.2556,Strict Conservation
2045,Small Pelagics,126323.3132,Strict Conservation
2046,Small Pelagics,102640.7062,Strict Conservation
2047,Small Pelagics,83724.35411,Strict Conservation
2048,Small Pelagics,67633.12828,Strict Conservation
2049,Small Pelagics,60804.41122,Strict Conservation
2050,Small Pelagics,61982.66175,Strict Conservation
2051,Small Pelagics,63692.9119,Strict Conservation
2052,Small Pelagics,65390.16027,Strict Conservation
2053,Small Pelagics,63903.95016,Strict Conservation
2054,Small Pelagics,57752.42674,Strict Conservation
2055,Small Pelagics,52852.07867,Strict Conservation
2056,Small Pelagics,46493.45928,Strict Conservation
2057,Small Pelagics,40612.91789,Strict Conservation
2058,Small Pelagics,37034.27696,Strict Conservation
2059,Small Pelagics,34518.01858,Strict Conservation
2060,Small Pelagics,32031.49089,Strict Conservation
2061,Small Pelagics,33405.99222,Strict Conservation
2062,Small Pelagics,36593.70416,Strict Conservation
2063,Small Pelagics,38474.00869,Strict Conservation
2064,Small Pelagics,40669.34355,Strict Conservation
2065,Small Pelagics,41139.18054,Strict Conservation
2066,Small Pelagics,37926.50327,Strict Conservation
2067,Small Pelagics,35849.84151,Strict Conservation
2068,Small Pelagics,33690.57187,Strict Conservation
2015,Golden Redfish,62184.65978,Strict Conservation
