Binomial,ID,Group,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
POB,1,Mammals,158.946911,159.051093,159.645056,160.402114,161.181895,161.888511,162.756744,163.690986,164.594485,165.337447,166.093056,166.897579,167.62142,168.42387,169.378369,170.386545,171.260347,171.934317,172.48503,173.135734,173.641319,172.617151,172.168524,172.0295,171.95965,171.887175,172.319515,173.0645,173.493816,173.866257,173.833865,173.863095,173.830369,173.665378,173.584268,173.731441,174.172266,174.327127,174.553679,174.805701,175.174141,175.607574,176.02447,175.925255,175.798166,175.86328,176.118609,176.022571,176.287145,176.221256,176.270764,176.157746,176.139642,176.269391,176.07199,175.669198,175.170322,175.18142,175.172278,174.958962,174.760361,174.186812,173.788592,173.416012,173.370034,173.298607,173.464712,173.569741,173.522732,173.388471,173.201478,172.997342,172.929079,172.832237,172.689217,172.796944,172.736477,172.581978,172.424955,172.047123,171.860731,171.841207,171.575287,171.425656,171.270872,171.155359,171.060421,170.95136,170.95356
KWH,2,Mammals,131591.4695,131668.2266,133280.7448,131079.2403,128347.5998,125888.2923,123625.1729,119586.734,115582.144,109846.5791,106416.144,100017.1297,95049.10059,93458.86744,89700.94971,85819.35338,82790.88566,80598.08822,77914.71813,74869.1332,72295.63044,70857.1118,70993.07599,68614.34122,66892.93251,65266.44513,64126.58332,62426.88704,61779.70068,61545.74967,59220.95336,56800.79317,54647.98026,53595.20203,54007.99158,52406.68447,50848.01374,50015.07516,50171.83626,48501.65185,47154.19191,46570.5287,46901.88208,45835.62882,45285.44375,45325.03953,43878.49851,42468.25226,41385.93767,40566.57661,41177.6607,39939.78217,38771.42829,38029.70335,38530.65273,37197.86024,36166.31993,34799.25206,33456.11666,31950.2089,30892.93223,29938.76875,28875.09318,27726.3765,26977.31935,26031.87674,25435.60141,24679.51375,24370.40693,23737.02385,24230.22759,23434.06536,22707.34751,22220.23513,22360.61,21217.22279,20201.44079,19426.57254,18822.3445,18449.86499,18246.46684,18749.67216,19793.09948,18966.86715,19195.08626,19865.7761,18848.58769,18385.14402,18192.45086
SWH,3,Mammals,111183.7422,109466.2792,107959.4145,106682.7082,105307.7122,103948.4576,102746.3196,101790.9603,100970.3645,100388.227,99777.34383,99250.2377,99624.18099,100077.9445,100328.974,100158.9842,99941.08401,99585.97415,99073.5101,98783.63677,98378.63548,97921.79378,97419.80983,96986.80254,96704.22474,96396.70094,96198.53149,95942.45462,95715.37286,95570.20181,95577.28938,95404.84815,95265.67894,95051.03199,94850.68676,94894.34365,94747.14524,94528.34034,94474.66434,94588.87754,94733.74522,94745.02713,94749.01377,94717.42319,94772.15695,94862.78489,94837.47892,94676.79395,94746.60789,94779.99644,94825.54261,94873.06204,95074.04905,95219.70842,95182.76777,95261.14898,95374.90167,95507.51048,95551.50305,95639.86297,95565.31535,95764.67877,95946.58196,96177.1511,96303.12109,96616.76314,96898.00064,97386.05098,97391.67103,97512.77779,97725.63626,98029.64357,98284.4897,98357.17749,98518.80938,98808.59311,99283.53375,99379.16414,99771.68617,99982.71675,100324.2672,100240.638,100360.8422,99973.91116,99221.44837,98408.4211,98321.96985,98206.54204,98018.90121
HWH,4,Mammals,111829.4758,112464.6246,112241.2751,112035.517,111949.3206,112087.3324,112518.0569,112824.6673,113359.4276,113904.6533,114324.3769,115059.0912,115715.941,116745.3317,118111.2441,119676.569,120906.3883,122504.3932,123244.0436,124360.2356,125605.83,126083.1894,126561.7545,126943.2043,127709.4022,128189.8165,128905.7129,129360.8917,129639.8194,129748.9214,130052.2475,130193.3175,130573.8467,130731.1533,130697.876,131076.818,131666.6879,131237.7533,130887.1615,130463.5171,130389.7804,130610.7785,130310.7173,130023.0767,129963.4533,130176.1597,130113.9589,130275.192,130478.2801,130584.5225,130132.387,129856.5346,129856.5604,129864.0215,129301.8873,128969.3107,128556.8228,128239.1912,127977.3433,127805.1672,127448.9273,127258.0002,127521.1776,127380.1269,127167.901,126925.3393,127028.9099,126927.0198,126702.7768,126084.7031,125648.1618,125575.9522,125369.0357,125108.1174,124679.5542,124489.9509,124581.9103,124034.947,123311.0226,123331.3699,123133.1328,122963.0615,122737.0997,122649.3309,122480.364,122194.1395,121932.0846,121698.3118,121571.4832
MWH,5,Mammals,740509.6519,741694.8013,739389.2475,752110.9946,741738.8987,736249.151,735559.7347,731578.1917,729609.0649,726851.0413,723042.4721,722693.4788,719395.0565,718706.5882,720066.3491,720780.1205,718001.827,738662.4264,740257.9279,733142.0383,731357.8373,721107.3287,713822.0177,707193.5988,706619.7231,705086.4653,707903.6941,708858.1609,707496.3033,703782.9271,701400.2518,699100.193,716890.2786,709773.9846,703876.9742,703344.1608,704953.7302,694506.6023,684760.0705,676216.7245,672316.1872,670660.4159,665124.8507,659896.161,656132.4924,654957.4425,650557.3901,647227.6352,666174.2436,658064.248,649710.6045,643925.7413,641117.2767,638763.9,631971.0962,627408.2734,622953.5464,619215.659,616840.3606,615470.4751,612237.242,610433.2153,626964.0563,619615.1233,615494.2773,610930.8642,611599.1569,609660.5644,607815.2773,602679.5685,599292.9165,596105.4529,594653.9514,592076.4686,589338.2162,592061.5055,609263.0309,598632.5926,590710.9995,588408.3249,588089.5085,584970.0885,582597.5291,580986.0178,576674.5186,576136.4138,575988.3073,573867.9804,573567.8025
FWH,6,Mammals,798008.0132,797538.469,795326.3497,805295.4229,797154.3429,792013.6604,789820.8466,784909.3471,781401.5444,776871.8197,771268.7108,767549.3709,763294.0957,760383.4786,758521.0119,756531.4687,752663.9545,764031.3871,764887.9362,753862.4808,745908.2385,733544.5818,722790.8105,712791.1601,706262.4554,701198.1777,701275.0047,700805.7162,699558.0647,697024.9323,696692.7971,696278.2879,709143.6953,705080.4355,701099.943,700244.9743,700438.0953,694872.3091,689750.2479,684758.8629,682030.1845,680113.3365,676229.2503,672162.4502,668664.1429,666769.4834,663245.6704,660021.8239,671360.1685,665598.2577,659211.5923,654266.01,651120.2188,648347.7663,643571.4892,639721.7464,636203.1286,633034.839,630483.5138,628561.801,625691.2819,623901.1437,634256.831,628871.7779,624778.3272,620611.2506,619215.6709,616972.4091,614702.8993,610295.6936,606996.1857,603863.8458,602048.816,599743.6265,597428.7185,599099.4421,609606.0348,603184.5253,597791.6812,594960.1531,593192.9179,590109.8566,587738.6469,585881.5375,582212.944,580424.2027,578977.5981,577176.8765,576465.8381
BES,7,Mammals,4829.894405,4890.439735,4978.799646,5041.101215,5085.65995,5113.410825,5155.675214,5182.699579,5204.150729,5213.776532,5221.980388,5234.936291,5236.358868,5255.850109,5284.5874,5311.026234,5328.540081,5331.209028,5330.569692,5346.530123,5350.013267,5275.871444,5259.527282,5259.898504,5251.527107,5244.974038,5280.852504,5301.29172,5279.839639,5273.081668,5239.581719,5233.034889,5221.255979,5200.275008,5184.207989,5188.717796,5209.620399,5183.847907,5175.717323,5160.770498,5174.179552,5186.979749,5189.472797,5159.055401,5145.452709,5142.776233,5141.851671,5124.936727,5136.351282,5123.676015,5113.362203,5094.293088,5094.240964,5101.008766,5077.57905,5055.098606,5020.537213,5031.526156,5031.506427,5022.622659,5014.040652,4971.710807,4964.29243,4951.467199,4962.155236,4961.210765,4994.76191,4998.48188,5005.183829,4998.904709,5003.538974,4994.344902,4996.50808,4986.748919,4972.467309,4986.603894,4978.626529,4966.311467,4953.704478,4924.501211,4928.932867,4938.599107,4919.73767,4916.185261,4910.868684,4907.598707,4920.891864,4922.048775,4922.856827
HAS,8,Mammals,22758.19817,20822.0326,18990.76504,17435.51471,16085.46406,14924.24256,14057.10365,13218.82366,12518.37574,11931.99125,11428.8251,11088.92158,10723.4221,10531.32859,10413.73405,10337.03165,10250.91504,10125.77855,9948.130702,9915.042431,9855.748464,9639.118307,9537.870976,9371.112653,9357.601772,9319.073751,9060.339561,8887.93876,8786.579544,8657.326988,8492.865853,8396.653037,8332.218968,8242.386456,8139.513757,8118.6671,8160.133244,8061.6318,7985.228603,7905.912698,7898.718888,7917.52766,7837.295247,7745.978569,7693.265479,7684.545813,7585.642138,7560.644933,7555.599987,7519.463152,7443.386138,7378.794382,7350.879579,7303.367077,7212.482373,7158.863622,7095.628442,7047.848036,7037.343978,7037.04139,6988.104316,6934.524616,6975.998095,6944.611992,6942.743817,6902.82571,6978.506502,6954.373881,6972.950805,6959.468894,6944.397967,6912.035639,6931.056404,6901.635561,6861.964165,6864.034064,6886.334063,6823.106734,6778.30215,6782.392632,6808.609088,6792.556089,6757.471638,6734.388025,6679.823816,6695.580602,6722.969121,6703.169227,6714.524691
HOS,9,Mammals,88136.80321,85780.06578,85002.55086,84309.40874,84162.65437,83805.75229,83599.08957,83318.77712,82913.17664,82380.08288,81918.041,81398.67337,80783.38306,80220.88357,79798.92839,79374.87111,78925.1847,78403.38477,77868.53535,77418.52445,76867.53728,76539.45491,76177.29517,75889.05008,75512.87534,75166.81953,74745.61298,74457.76078,74154.76698,74048.62778,73821.28796,73734.0733,73535.91254,73251.46078,73105.09762,72992.35045,72929.34365,72714.9533,72719.30853,72586.58212,72478.91585,72337.6206,72250.77173,72081.22202,71793.06598,71705.33996,71618.56892,71242.95527,71046.01295,70656.49161,70244.33587,69824.12123,69621.67493,69495.85712,69218.18082,68996.72869,68799.10916,68745.67101,68646.40843,68564.0971,68448.9847,68132.47038,68037.51095,67890.77241,67788.35017,67697.12213,67674.49221,67498.08837,67361.53533,67179.50905,67182.68283,67102.00479,66969.15338,66819.57368,66616.5796,66643.33999,66629.43963,66595.51024,66540.12435,66364.15678,66401.458,66475.18981,66425.44826,66374.32259,66377.76573,66276.17667,66401.50888,66382.20159,66360.18888
RIS,10,Mammals,4696.912686,4697.554689,4701.617406,4701.748053,4707.115943,4705.584096,4719.413907,4734.568464,4743.547365,4743.116086,4741.823559,4736.996663,4724.540934,4718.931316,4727.770165,4738.826039,4747.543616,4746.481219,4740.610024,4742.179813,4737.107818,4702.384328,4680.204347,4668.858701,4654.47189,4641.477704,4647.951077,4652.501341,4637.781097,4633.256769,4615.349775,4610.563131,4603.661672,4585.159957,4572.530888,4567.417866,4576.035612,4562.952539,4559.189235,4549.792349,4551.155302,4560.19464,4569.918148,4560.341168,4542.725696,4538.433403,4540.390416,4525.488991,4529.837873,4521.164531,4508.171479,4489.437231,4483.92232,4487.366901,4470.706689,4450.821114,4427.260747,4426.065004,4422.147647,4416.054795,4411.890115,4385.969209,4375.292681,4362.184783,4363.525039,4363.116968,4380.404713,4391.746938,4400.688641,4396.255667,4398.144997,4398.147317,4395.796672,4391.424519,4382.317622,4391.840108,4390.427403,4384.190742,4381.065864,4359.832767,4350.365093,4351.014775,4341.130516,4337.276257,4338.297638,4332.526815,4337.357767,4332.499991,4328.743253
