species,scenario,catch
REO,Historical Catch,27411.36877
REO,Precautionary Fishing,18924.70078
GRH,Historical Catch,30273.27524
GRH,Precautionary Fishing,55227.2786
MAC,Historical Catch,200418.3101
MAC,Precautionary Fishing,172390.2866
HAD,Historical Catch,87460.76741
HAD,Precautionary Fishing,92747.26253
SAI,Historical Catch,181632.6185
SAI,Precautionary Fishing,415392.2912
RED,Historical Catch,47141.95797
RED,Precautionary Fishing,81433.9075
BWH,Historical Catch,998877.0317
BWH,Precautionary Fishing,958615.2836
SSH,Historical Catch,210045.8017
SSH,Precautionary Fishing,62047.34564
NCO,Historical Catch,1596841.3
NCO,Precautionary Fishing,1364421.755
CAP,Historical Catch,373101.1046
CAP,Precautionary Fishing,121785.2899
PWN,Historical Catch,169982.2698
PWN,Precautionary Fishing,369667.1905
REO,fmsy0.8,18012.75395
GRH,fmsy0.8,66906.10651
MAC,fmsy0.8,211695.6934
HAD,fmsy0.8,75295.80283
SAI,fmsy0.8,461544.2303
RED,fmsy0.8,80094.53453
BWH,fmsy0.8,1068073.988
SSH,fmsy0.8,75976.34164
NCO,fmsy0.8,1604008.76
CAP,fmsy0.8,129099.7005
PWN,fmsy0.8,376362.8985
REO,Global Sustainability,15907.58548
GRH,Global Sustainability,75591.82431
MAC,Global Sustainability,244453.1841
HAD,Global Sustainability,73720.94712
SAI,Global Sustainability,478185.3856
RED,Global Sustainability,80112.29972
BWH,Global Sustainability,1119326.918
SSH,Global Sustainability,91802.40746
NCO,Global Sustainability,1779571.434
CAP,Global Sustainability,135367.5741
PWN,Global Sustainability,381811.5269
REO,fmsy1.1,14593.78912
GRH,fmsy1.1,78883.07395
MAC,fmsy1.1,259052.1091
HAD,fmsy1.1,65535.20266
SAI,fmsy1.1,476410.4856
RED,fmsy1.1,80012.63264
BWH,fmsy1.1,1129223.526
SSH,fmsy1.1,92070.7682
NCO,fmsy1.1,1838082.463
CAP,fmsy1.1,136991.7951
PWN,fmsy1.1,376518.6826
