year,Scientific_Name,Common_Name,fao_rgn,stock_id,TaxonKey,Resilience,tons
1980,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,47689.04042
1981,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,60174.4722
1982,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,54664.67482
1983,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,49867.13517
1984,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,45762.47484
1985,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,41644.93748
1986,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,38464.69639
1987,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,35256.09937
1988,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,32780.92873
1989,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,31310.16593
1990,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,36536.64056
1991,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,23325.72458
1992,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,19364.57392
1993,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,19977.68431
1994,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,21931.96883
1995,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,19348.50567
1996,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,23036.42189
1997,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,23258.38757
1998,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,26632.5453
1999,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,27443.05846
2000,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,21717.79211
2001,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,17232.26684
2002,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16603.57083
2003,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14437.29964
2004,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14411.67022
2005,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15312.46917
2006,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,17419.57901
2007,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18931.2776
2008,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18464.89394
2009,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,19816.3216
2010,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,22832.48753
2011,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,22001.75012
2012,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,21620.04663
2013,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,22818.15428
2014,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,17308.19104
2015,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16385.91122
2016,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,10976.68988
2017,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,11308.6623
2018,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,11588.51074
2019,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,11776.77638
2020,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,11853.17664
2021,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,11909.08652
2022,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,11980.95551
2023,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,12183.94494
2024,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,12240.82412
2025,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,12398.21109
2026,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,12501.95621
2027,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,12603.61559
2028,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,13070.61378
2029,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,13455.8077
2030,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,13932.99238
2031,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14016.35498
2032,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14200.96205
2033,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14355.46155
2034,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14436.20817
2035,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14430.28194
2036,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14469.16333
2037,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14464.10846
2038,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14396.82787
2039,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14441.89027
2040,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14485.26851
2041,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14756.86465
2042,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14890.63343
2043,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14985.80105
2044,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15088.09973
2045,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15186.87418
2046,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15556.08386
2047,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15790.13421
2048,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16056.09059
2049,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16075.86631
2050,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16129.56737
2051,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16162.64383
2052,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16281.86297
2053,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16311.80155
2054,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16315.33022
2055,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16392.05918
2056,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16459.2756
2057,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16302.44772
2058,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16199.16948
2059,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16007.84327
2060,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15891.70634
2061,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15723.05607
2062,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15920.89053
2063,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15760.32007
2064,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15780.59866
2065,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15723.18444
2066,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15956.64597
2067,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16161.352
2068,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16334.14683
1980,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,21462.4045
1981,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,32154.71845
