scenario,Year,total_usd,,
Global Sustainability,1980,4111181568,2.53011E+11,
Global Sustainability,1981,4268230142,2.14048E+11,
Global Sustainability,1982,4051423961,,
Global Sustainability,1983,3725003065,38963157146,1025346241
Global Sustainability,1984,3830052017,,
Global Sustainability,1985,4287635574,,
Global Sustainability,1986,3779447986,,
Global Sustainability,1987,3914503250,,
Global Sustainability,1988,3919829275,,
Global Sustainability,1989,3514852458,,
Global Sustainability,1990,2798556881,,
Global Sustainability,1991,2888046181,,
Global Sustainability,1992,3507111814,,
Global Sustainability,1993,3491189859,,
Global Sustainability,1994,3892859549,,
Global Sustainability,1995,4042687494,,
Global Sustainability,1996,4165299187,,
Global Sustainability,1997,4203827803,,
Global Sustainability,1998,4156633884,,
Global Sustainability,1999,4185105045,,
Global Sustainability,2000,4131152488,,
Global Sustainability,2001,3337164273,,
Global Sustainability,2002,3539467357,,
Global Sustainability,2003,3445002683,,
Global Sustainability,2004,3464601205,,
Global Sustainability,2005,3562205319,,
Global Sustainability,2006,3217581851,,
Global Sustainability,2007,2907623040,,
Global Sustainability,2008,2403712497,,
Global Sustainability,2009,2257674895,,
Global Sustainability,2010,2334774968,,
Global Sustainability,2011,2434090444,,
Global Sustainability,2012,2489803516,,
Global Sustainability,2013,2551281271,,
Global Sustainability,2014,2835958246,,
Global Sustainability,2015,2777974340,,
Global Sustainability,2016,4358627222,,
Global Sustainability,2017,4041250408,,
Global Sustainability,2018,3884898120,,
Global Sustainability,2019,3707271968,,
Global Sustainability,2020,3615956079,,
Global Sustainability,2021,3634714795,,
Global Sustainability,2022,3589515234,,
Global Sustainability,2023,3634543122,,
Global Sustainability,2024,3622611076,,
Global Sustainability,2025,3703862207,,
Global Sustainability,2026,3747483931,,
Global Sustainability,2027,3626563279,,
Global Sustainability,2028,3748950180,,
Global Sustainability,2029,3783903800,,
Global Sustainability,2030,3946496868,,
Global Sustainability,2031,3868824997,,
Global Sustainability,2032,3887183262,,
Global Sustainability,2033,3959396655,,
Global Sustainability,2034,3987959377,,
Global Sustainability,2035,4130680326,,
Global Sustainability,2036,4107841480,,
Global Sustainability,2037,4219893450,,
Global Sustainability,2038,4160629577,,
Global Sustainability,2039,4285457577,,
Global Sustainability,2040,4364108414,,
Global Sustainability,2041,4494069559,,
Global Sustainability,2042,4638161506,,
Global Sustainability,2043,4737210389,,
Global Sustainability,2044,4893493306,,
Global Sustainability,2045,5102400371,,
Global Sustainability,2046,5135848954,,
Global Sustainability,2047,5094553536,,
Global Sustainability,2048,5140085097,,
Global Sustainability,2049,5217359294,,
Global Sustainability,2050,5189773475,,
Global Sustainability,2051,5492715651,,
Global Sustainability,2052,5480598579,,
Global Sustainability,2053,5536760915,,
Global Sustainability,2054,5429215652,,
Global Sustainability,2055,5499449745,,
Global Sustainability,2056,5711494543,,
Global Sustainability,2057,5527104282,,
Global Sustainability,2058,6033634983,,
Global Sustainability,2059,5681890568,,
Global Sustainability,2060,5670385847,,
Global Sustainability,2061,5969415263,,
Global Sustainability,2062,5243783882,,
Global Sustainability,2063,5467187220,,
Global Sustainability,2064,5676231962,,
Global Sustainability,2065,5668375243,,
Global Sustainability,2066,5908886966,,
Global Sustainability,2067,5989711760,,
Global Sustainability,2068,6985050363,,
Precautionary Fishing,1980,4111181568,,
Precautionary Fishing,1981,4268230142,,
Precautionary Fishing,1982,4051423961,,
Precautionary Fishing,1983,3725003065,,
Precautionary Fishing,1984,3830052017,,
Precautionary Fishing,1985,4287635574,,
Precautionary Fishing,1986,3779447986,,
Precautionary Fishing,1987,3914503250,,
Precautionary Fishing,1988,3919829275,,
Precautionary Fishing,1989,3514852458,,
Precautionary Fishing,1990,2798556881,,
Precautionary Fishing,1991,2888046181,,
Precautionary Fishing,1992,3507111814,,
Precautionary Fishing,1993,3491189859,,
Precautionary Fishing,1994,3892859549,,
Precautionary Fishing,1995,4042687494,,
Precautionary Fishing,1996,4165299187,,
Precautionary Fishing,1997,4203827803,,
Precautionary Fishing,1998,4156633884,,
Precautionary Fishing,1999,4185105045,,
Precautionary Fishing,2000,4131152488,,
Precautionary Fishing,2001,3337164273,,
Precautionary Fishing,2002,3539467357,,
Precautionary Fishing,2003,3445002683,,
Precautionary Fishing,2004,3464601205,,
Precautionary Fishing,2005,3562205319,,
Precautionary Fishing,2006,3217581851,,
Precautionary Fishing,2007,2907623040,,
Precautionary Fishing,2008,2403712497,,
Precautionary Fishing,2009,2257674895,,
Precautionary Fishing,2010,2334774968,,
Precautionary Fishing,2011,2434090444,,
Precautionary Fishing,2012,2489803516,,
Precautionary Fishing,2013,2551281271,,
Precautionary Fishing,2014,2835958246,,
Precautionary Fishing,2015,2777974340,,
Precautionary Fishing,2016,2922266522,,
Precautionary Fishing,2017,2870375135,,
Precautionary Fishing,2018,2875610727,,
Precautionary Fishing,2019,2813487997,,
Precautionary Fishing,2020,2800323389,,
Precautionary Fishing,2021,2854372778,,
Precautionary Fishing,2022,2827275284,,
Precautionary Fishing,2023,2897597783,,
