"Year","total_catch","scenario"
2015,1630017.7119,"fmsy06"
2016,1537076.952453,"fmsy06"
2017,1544209.406945,"fmsy06"
2018,1553873.287265,"fmsy06"
2019,1530843.756133,"fmsy06"
2020,1519888.281319,"fmsy06"
2021,1545593.685691,"fmsy06"
2022,1544827.130318,"fmsy06"
2023,1571467.66899,"fmsy06"
2024,1587027.22825,"fmsy06"
2025,1582334.6604,"fmsy06"
2026,1558370.12218,"fmsy06"
2027,1564871.26708,"fmsy06"
2028,1556116.12567,"fmsy06"
2029,1583316.8213,"fmsy06"
2030,1536613.62328,"fmsy06"
2031,1533503.64332,"fmsy06"
2032,1605370.72675,"fmsy06"
2033,1650150.99424,"fmsy06"
2034,1654604.97561,"fmsy06"
2035,1655596.95583,"fmsy06"
2036,1656690.28673,"fmsy06"
2037,1634866.35683,"fmsy06"
2038,1626022.83797,"fmsy06"
2039,1626147.16849,"fmsy06"
2040,1644179.28302,"fmsy06"
2041,1689494.74353,"fmsy06"
2042,1730271.072,"fmsy06"
2043,1722954.42873,"fmsy06"
2044,1723242.66267,"fmsy06"
2045,1770438.91459,"fmsy06"
2046,1796353.25008,"fmsy06"
2047,1805880.696299,"fmsy06"
2048,1803311.922121,"fmsy06"
2049,1846508.750016,"fmsy06"
2050,1837202.466365,"fmsy06"
2051,1885478.625161,"fmsy06"
2052,1852117.032593,"fmsy06"
2053,1864398.835994,"fmsy06"
2054,1837861.099716,"fmsy06"
2055,1889403.464882,"fmsy06"
2056,1930419.423675,"fmsy06"
2057,1909722.437792,"fmsy06"
2058,1930142.444729,"fmsy06"
2059,2089782.967049,"fmsy06"
2060,1829516.08862,"fmsy06"
2061,1851346.386228,"fmsy06"
2062,1836252.646169,"fmsy06"
2063,1887536.07701,"fmsy06"
2064,1897657.069926,"fmsy06"
2065,1848316.359141,"fmsy06"
2066,2056739.435651,"fmsy06"
2067,2048531.079148,"fmsy06"
2068,1994983.467759,"fmsy06"
2015,1630017.7119,"fmsy08"
2016,1977588.463294,"fmsy08"
2017,1927101.227003,"fmsy08"
2018,1886449.816192,"fmsy08"
2019,1818141.687077,"fmsy08"
2020,1771404.94584,"fmsy08"
2021,1777366.43067,"fmsy08"
2022,1757649.91614,"fmsy08"
2023,1767642.47333,"fmsy08"
2024,1769461.67349,"fmsy08"
2025,1752619.48398,"fmsy08"
2026,1721178.6256,"fmsy08"
2027,1720645.84543,"fmsy08"
2028,1715290.66416,"fmsy08"
2029,1707086.003,"fmsy08"
2030,1688315.63902,"fmsy08"
2031,1691986.54425,"fmsy08"
2032,1729560.22412,"fmsy08"
2033,1735220.40847,"fmsy08"
2034,1691781.10038,"fmsy08"
2035,1705016.1703,"fmsy08"
2036,1737113.98062,"fmsy08"
2037,1725058.49989,"fmsy08"
2038,1704174.96055,"fmsy08"
2039,1733897.3563,"fmsy08"
2040,1750063.46016,"fmsy08"
2041,1780123.83231,"fmsy08"
2042,1813146.07817,"fmsy08"
2043,1874542.94917,"fmsy08"
2044,1904055.23247,"fmsy08"
2045,1912983.66831,"fmsy08"
2046,1908953.74462,"fmsy08"
2047,1902199.27813,"fmsy08"
2048,1910492.01221,"fmsy08"
2049,1917942.40891,"fmsy08"
2050,1940899.96037,"fmsy08"
2051,1962476.96783,"fmsy08"
2052,1989154.89734,"fmsy08"
2053,1981636.44123,"fmsy08"
2054,1973084.19782,"fmsy08"
2055,2050163.62947,"fmsy08"
2056,1999682.952544,"fmsy08"
2057,2086392.434641,"fmsy08"
2058,1995226.090526,"fmsy08"
2059,2148543.826894,"fmsy08"
2060,2146833.334673,"fmsy08"
2061,2203019.819267,"fmsy08"
2062,1998227.388734,"fmsy08"
2063,2075593.752732,"fmsy08"
2064,2195572.953803,"fmsy08"
2065,2227808.713106,"fmsy08"
2066,2121398.803451,"fmsy08"
2067,2164323.822105,"fmsy08"
2068,2409161.073319,"fmsy08"
