,scenario,Year,total_catch,,
1,Global Sustainability,2015,3356560.106,241695958.7,17.05147201
2,Global Sustainability,2016,4950230.738,200483240,
3,Global Sustainability,2017,4619672.261,,
4,Global Sustainability,2018,4422306.389,,
5,Global Sustainability,2019,4232587.072,,
6,Global Sustainability,2020,4098027.677,,
7,Global Sustainability,2021,4069736.718,,
8,Global Sustainability,2022,4022034.849,,
9,Global Sustainability,2023,4037459.517,,
10,Global Sustainability,2024,4004364.391,,
11,Global Sustainability,2025,4034380.899,,
12,Global Sustainability,2026,4099431.582,,
13,Global Sustainability,2027,4037922.227,,
14,Global Sustainability,2028,4055769.409,,
15,Global Sustainability,2029,4108549.034,,
16,Global Sustainability,2030,4238887.718,,
17,Global Sustainability,2031,4193730.321,,
18,Global Sustainability,2032,4171301.418,,
19,Global Sustainability,2033,4226770.178,,
20,Global Sustainability,2034,4229112.008,,
21,Global Sustainability,2035,4248867.61,,
22,Global Sustainability,2036,4253332.209,,
23,Global Sustainability,2037,4291662.124,,
24,Global Sustainability,2038,4246217.854,,
25,Global Sustainability,2039,4301119.269,,
26,Global Sustainability,2040,4319011.369,,
27,Global Sustainability,2041,4321682.588,,
28,Global Sustainability,2042,4339703.292,,
29,Global Sustainability,2043,4396875.32,,
30,Global Sustainability,2044,4491995.695,,
31,Global Sustainability,2045,4569813.791,,
32,Global Sustainability,2046,4573107.272,,
33,Global Sustainability,2047,4602958.776,,
34,Global Sustainability,2048,4675647.983,,
35,Global Sustainability,2049,4685007.494,,
36,Global Sustainability,2050,4651994.699,,
37,Global Sustainability,2051,4771992.436,,
38,Global Sustainability,2052,4762132.769,,
39,Global Sustainability,2053,4758402.502,,
40,Global Sustainability,2054,4712967.778,,
41,Global Sustainability,2055,4743549.248,,
42,Global Sustainability,2056,4846195.557,,
43,Global Sustainability,2057,4788244.779,,
44,Global Sustainability,2058,4904559.61,,
45,Global Sustainability,2059,4814253.787,,
46,Global Sustainability,2060,4842433.275,,
47,Global Sustainability,2061,4963002.825,,
48,Global Sustainability,2062,4721056.495,,
49,Global Sustainability,2063,4817316.033,,
50,Global Sustainability,2064,4899328.382,,
51,Global Sustainability,2065,4876791.538,,
52,Global Sustainability,2066,4963249.001,,
53,Global Sustainability,2067,5020293.254,,
54,Global Sustainability,2068,5312357.581,,
55,Precautionary Fishing,2015,3356560.106,,
56,Precautionary Fishing,2016,3229004.28,,
57,Precautionary Fishing,2017,3213926.74,,
58,Precautionary Fishing,2018,3225641.147,,
59,Precautionary Fishing,2019,3192972.964,,
60,Precautionary Fishing,2020,3169947.687,,
61,Precautionary Fishing,2021,3201959.824,,
62,Precautionary Fishing,2022,3195948.565,,
63,Precautionary Fishing,2023,3250670.059,,
64,Precautionary Fishing,2024,3267800.95,,
65,Precautionary Fishing,2025,3303163.059,,
66,Precautionary Fishing,2026,3357250.107,,
67,Precautionary Fishing,2027,3367450.868,,
68,Precautionary Fishing,2028,3342450.839,,
69,Precautionary Fishing,2029,3423993.768,,
70,Precautionary Fishing,2030,3435275.544,,
71,Precautionary Fishing,2031,3410947.928,,
72,Precautionary Fishing,2032,3472622.648,,
73,Precautionary Fishing,2033,3572549.126,,
74,Precautionary Fishing,2034,3605567.723,,
75,Precautionary Fishing,2035,3585153.739,,
76,Precautionary Fishing,2036,3598139.867,,
77,Precautionary Fishing,2037,3598046.527,,
78,Precautionary Fishing,2038,3587381.873,,
79,Precautionary Fishing,2039,3602187.825,,
80,Precautionary Fishing,2040,3639018.972,,
81,Precautionary Fishing,2041,3677671.988,,
82,Precautionary Fishing,2042,3724710.1,,
83,Precautionary Fishing,2043,3766334.969,,
84,Precautionary Fishing,2044,3816607.429,,
85,Precautionary Fishing,2045,3870473.246,,
86,Precautionary Fishing,2046,3881138.82,,
87,Precautionary Fishing,2047,3928607.796,,
88,Precautionary Fishing,2048,4003925.54,,
89,Precautionary Fishing,2049,4026414.122,,
90,Precautionary Fishing,2050,4010162.73,,
91,Precautionary Fishing,2051,4084795.389,,
92,Precautionary Fishing,2052,4027333.774,,
93,Precautionary Fishing,2053,3998606.682,,
94,Precautionary Fishing,2054,3956251.142,,
95,Precautionary Fishing,2055,4024318.99,,
96,Precautionary Fishing,2056,4128883.471,,
97,Precautionary Fishing,2057,4099929.982,,
98,Precautionary Fishing,2058,4091969.621,,
99,Precautionary Fishing,2059,4262243.933,,
100,Precautionary Fishing,2060,4003124.46,,
101,Precautionary Fishing,2061,4048628.457,,
102,Precautionary Fishing,2062,4023116.662,,
103,Precautionary Fishing,2063,4070534.157,,
104,Precautionary Fishing,2064,4075854.12,,
105,Precautionary Fishing,2065,3988843.191,,
106,Precautionary Fishing,2066,4224875.557,,
107,Precautionary Fishing,2067,4265480.963,,
108,Precautionary Fishing,2068,4196769.93,,
