"year","BioPP","scenario"
2016,0.205399159396671,"fmsy1"
2017,0.176641330739385,"fmsy1"
2018,0.14826164477337,"fmsy1"
2019,0.11417584155413,"fmsy1"
2020,0.0926208595734631,"fmsy1"
2021,0.178161071497565,"fmsy1"
2022,0.207279821182383,"fmsy1"
2023,0.218582384973418,"fmsy1"
2024,0.223677122263292,"fmsy1"
2025,0.284014447195255,"fmsy1"
2026,0.210936003927247,"fmsy1"
2027,0.280465905571292,"fmsy1"
2028,0.282469517410599,"fmsy1"
2029,0.267334243281523,"fmsy1"
2030,0.190219798716987,"fmsy1"
2031,0.178104552991199,"fmsy1"
2032,0.214333132313605,"fmsy1"
2033,0.191453141888663,"fmsy1"
2034,0.231517378753933,"fmsy1"
2035,0.274336181252133,"fmsy1"
2036,0.355093182365785,"fmsy1"
2037,0.220398281230121,"fmsy1"
2038,0.162927457867843,"fmsy1"
2039,0.224657049520534,"fmsy1"
2040,0.217960381377651,"fmsy1"
2041,0.288895204428313,"fmsy1"
2042,0.28712642555043,"fmsy1"
2043,0.327754857593965,"fmsy1"
2044,0.311066851231046,"fmsy1"
2045,0.223145424965032,"fmsy1"
2046,0.333047655480985,"fmsy1"
2047,0.267561935936702,"fmsy1"
2048,0.223052156512118,"fmsy1"
2049,0.251421047920386,"fmsy1"
2050,0.202087665143178,"fmsy1"
2051,0.185922603010156,"fmsy1"
2052,0.263777204002297,"fmsy1"
2053,0.269016907628289,"fmsy1"
2054,0.285461667443402,"fmsy1"
2055,0.248899115784151,"fmsy1"
2056,0.343029868019008,"fmsy1"
2057,0.328409513570295,"fmsy1"
2058,0.254115141669276,"fmsy1"
2059,0.223066166006507,"fmsy1"
2060,0.190552063521921,"fmsy1"
2061,0.319648765182194,"fmsy1"
2062,0.239862915680358,"fmsy1"
2063,0.173503324765909,"fmsy1"
2064,0.155511913795128,"fmsy1"
2065,0.136184507651775,"fmsy1"
2066,0.263640168751153,"fmsy1"
2067,0.228318419952349,"fmsy1"
2068,0.259145719337667,"fmsy1"
2016,0.205371453276855,"fmsy11"
2017,0.176616796474323,"fmsy11"
2018,0.148325575256861,"fmsy11"
2019,0.114024866537099,"fmsy11"
2020,0.0927795081439527,"fmsy11"
2021,0.178440358727356,"fmsy11"
2022,0.205736579780605,"fmsy11"
2023,0.283570620155581,"fmsy11"
2024,0.277209315474123,"fmsy11"
2025,0.318367043747448,"fmsy11"
2026,0.295116245694198,"fmsy11"
2027,0.378494800828918,"fmsy11"
2028,0.282595715294687,"fmsy11"
2029,0.270980429226061,"fmsy11"
2030,0.28786664312006,"fmsy11"
2031,0.364382691609767,"fmsy11"
2032,0.284880935782883,"fmsy11"
2033,0.297558953537128,"fmsy11"
2034,0.266759363047844,"fmsy11"
2035,0.243513273072707,"fmsy11"
2036,0.380612671014118,"fmsy11"
2037,0.370123918160686,"fmsy11"
2038,0.333240618965156,"fmsy11"
2039,0.300861701499847,"fmsy11"
2040,0.310430393794879,"fmsy11"
2041,0.259930565335824,"fmsy11"
2042,0.214832785079318,"fmsy11"
2043,0.185364794316895,"fmsy11"
2044,0.153961752741831,"fmsy11"
2045,0.116590124468095,"fmsy11"
2046,0.111053928607324,"fmsy11"
2047,0.0975098667592862,"fmsy11"
2048,0.42607048897302,"fmsy11"
2049,0.420107159030854,"fmsy11"
2050,0.428821632579541,"fmsy11"
2051,0.256978862259684,"fmsy11"
2052,0.344762423491038,"fmsy11"
2053,0.277965111859495,"fmsy11"
2054,0.364166451803399,"fmsy11"
2055,0.319466779905783,"fmsy11"
2056,0.301552239504897,"fmsy11"
2057,0.425677967772901,"fmsy11"
2058,0.277801239200726,"fmsy11"
2059,0.249440875962456,"fmsy11"
2060,0.269729113749898,"fmsy11"
2061,0.17602259824966,"fmsy11"
2062,0.127921419940842,"fmsy11"
2063,0.165466453453585,"fmsy11"
2064,0.173293358151856,"fmsy11"
2065,0.258621752990993,"fmsy11"
2066,0.223751492083487,"fmsy11"
2067,0.17019294436735,"fmsy11"
2068,0.180789867104276,"fmsy11"
2016,0.205443106605286,"fmsy08"
2017,0.176686765888281,"fmsy08"
2018,0.148113331047668,"fmsy08"
2019,0.113981329919011,"fmsy08"
2020,0.0927250702255035,"fmsy08"
2021,0.174430301842062,"fmsy08"
2022,0.213540942953161,"fmsy08"
2023,0.214619861078709,"fmsy08"
2024,0.253550759252805,"fmsy08"
2025,0.292142938252215,"fmsy08"
2026,0.273380808236894,"fmsy08"
2027,0.321561089558669,"fmsy08"
2028,0.248816636466985,"fmsy08"
2029,0.238271479683404,"fmsy08"
2030,0.281436976767584,"fmsy08"
2031,0.269054470466339,"fmsy08"
2032,0.293479596282054,"fmsy08"
2033,0.220421154760946,"fmsy08"
2034,0.304915142048799,"fmsy08"
2035,0.31146405255279,"fmsy08"
2036,0.251637786430282,"fmsy08"
2037,0.298423232485609,"fmsy08"
2038,0.321392005508836,"fmsy08"
2039,0.3150279675486,"fmsy08"
2040,0.371860847906517,"fmsy08"
2041,0.419913159918461,"fmsy08"
2042,0.486518882632598,"fmsy08"
2043,0.403619135995889,"fmsy08"
2044,0.582249139666548,"fmsy08"
2045,0.44406374403763,"fmsy08"
2046,0.506860131324047,"fmsy08"
2047,0.436400633383074,"fmsy08"
2048,0.451751325576254,"fmsy08"
2049,0.252843597810504,"fmsy08"
2050,0.281737175233981,"fmsy08"
2051,0.274128153474181,"fmsy08"
2052,0.174887372048448,"fmsy08"
2053,0.145244341659352,"fmsy08"
2054,0.542105078821844,"fmsy08"
2055,0.585562558007784,"fmsy08"
2056,0.562270103966262,"fmsy08"
2057,0.409670092700779,"fmsy08"
2058,0.500503240005615,"fmsy08"
2059,0.351866850198355,"fmsy08"
2060,0.440040303656526,"fmsy08"
2061,0.262645304849459,"fmsy08"
2062,0.216040574523003,"fmsy08"
2063,0.30862713068052,"fmsy08"
2064,0.439179368286774,"fmsy08"
2065,0.313635353366256,"fmsy08"
2066,0.367228584840649,"fmsy08"
2067,0.32133286568934,"fmsy08"
2068,0.24148164921822,"fmsy08"
2016,0.2054738315493,"fmsy06"
2017,0.176746161848005,"fmsy06"
2018,0.147925837354963,"fmsy06"
2019,0.113563693102166,"fmsy06"
2020,0.0933719138271011,"fmsy06"
2021,0.174553401414519,"fmsy06"
2022,0.214585449820924,"fmsy06"
2023,0.21967762766135,"fmsy06"
2024,0.2615793102042,"fmsy06"
2025,0.30963864478462,"fmsy06"
2026,0.29852643755078,"fmsy06"
2027,0.359138498974939,"fmsy06"
2028,0.249434212270295,"fmsy06"
2029,0.236304414200002,"fmsy06"
2030,0.400010701209007,"fmsy06"
