"year","DemPel","scenario"
2016,0.442105919092671,"fmsy1"
2017,0.424821962196661,"fmsy1"
2018,0.415496040066708,"fmsy1"
2019,0.417186427115317,"fmsy1"
2020,0.443730706473345,"fmsy1"
2021,0.449233306656547,"fmsy1"
2022,0.453918208005421,"fmsy1"
2023,0.420701751255214,"fmsy1"
2024,0.415480627545673,"fmsy1"
2025,0.411945276522496,"fmsy1"
2026,0.384277779584937,"fmsy1"
2027,0.384792053691879,"fmsy1"
2028,0.392295641043634,"fmsy1"
2029,0.377913775012738,"fmsy1"
2030,0.359189302354019,"fmsy1"
2031,0.367903111793152,"fmsy1"
2032,0.382187206222252,"fmsy1"
2033,0.363513204211662,"fmsy1"
2034,0.36585471937229,"fmsy1"
2035,0.366246265000972,"fmsy1"
2036,0.352670496497503,"fmsy1"
2037,0.359965214825468,"fmsy1"
2038,0.369191435132106,"fmsy1"
2039,0.353258092116359,"fmsy1"
2040,0.358314751340899,"fmsy1"
2041,0.350384728337907,"fmsy1"
2042,0.358743046469226,"fmsy1"
2043,0.343126323218256,"fmsy1"
2044,0.330100525840444,"fmsy1"
2045,0.334596429241127,"fmsy1"
2046,0.336199279296801,"fmsy1"
2047,0.333437777603597,"fmsy1"
2048,0.327127116292582,"fmsy1"
2049,0.331885681788983,"fmsy1"
2050,0.332519335927147,"fmsy1"
2051,0.337551590774361,"fmsy1"
2052,0.336454571610224,"fmsy1"
2053,0.343360831434982,"fmsy1"
2054,0.337407469406084,"fmsy1"
2055,0.338966952087756,"fmsy1"
2056,0.324014602243684,"fmsy1"
2057,0.324957284646448,"fmsy1"
2058,0.324879650279932,"fmsy1"
2059,0.336081171059748,"fmsy1"
2060,0.334974198431941,"fmsy1"
2061,0.32698768881905,"fmsy1"
2062,0.32850758177678,"fmsy1"
2063,0.32101714679143,"fmsy1"
2064,0.324065238610161,"fmsy1"
2065,0.339449682743311,"fmsy1"
2066,0.325128917297581,"fmsy1"
2067,0.316920687554904,"fmsy1"
2068,0.322866191453773,"fmsy1"
2016,0.440668411537156,"fmsy11"
2017,0.423092762717449,"fmsy11"
2018,0.413301248591341,"fmsy11"
2019,0.41467821751862,"fmsy11"
2020,0.440714342079284,"fmsy11"
2021,0.445476843878503,"fmsy11"
2022,0.449616146791481,"fmsy11"
2023,0.4116880083962,"fmsy11"
2024,0.409880926513529,"fmsy11"
2025,0.410434987086547,"fmsy11"
2026,0.383212751145238,"fmsy11"
2027,0.381829074483554,"fmsy11"
2028,0.388110779629195,"fmsy11"
2029,0.372375694019458,"fmsy11"
2030,0.354038398473928,"fmsy11"
2031,0.360102610168725,"fmsy11"
2032,0.373226791721316,"fmsy11"
2033,0.349954531128157,"fmsy11"
2034,0.361824470394831,"fmsy11"
2035,0.362787589306853,"fmsy11"
2036,0.349822758544502,"fmsy11"
2037,0.352190406154853,"fmsy11"
2038,0.357933165167279,"fmsy11"
2039,0.351780716714256,"fmsy11"
2040,0.348730047625585,"fmsy11"
2041,0.345289696042153,"fmsy11"
2042,0.349663056243278,"fmsy11"
2043,0.343692028871854,"fmsy11"
2044,0.328399766532638,"fmsy11"
2045,0.344436575328602,"fmsy11"
2046,0.349980759234158,"fmsy11"
2047,0.346855033912357,"fmsy11"
2048,0.327198835527013,"fmsy11"
2049,0.329104165921422,"fmsy11"
2050,0.322640369673949,"fmsy11"
2051,0.333129389577165,"fmsy11"
2052,0.343672004231992,"fmsy11"
2053,0.33731176208538,"fmsy11"
2054,0.337584125885523,"fmsy11"
2055,0.338627515562835,"fmsy11"
2056,0.327244873746952,"fmsy11"
2057,0.320386999053835,"fmsy11"
2058,0.329615192339549,"fmsy11"
2059,0.332923104603859,"fmsy11"
2060,0.332568106051829,"fmsy11"
2061,0.329152958588139,"fmsy11"
2062,0.32321005893829,"fmsy11"
2063,0.314141576690938,"fmsy11"
2064,0.319327891452141,"fmsy11"
2065,0.328910193392596,"fmsy11"
2066,0.326528129993057,"fmsy11"
2067,0.320636422095526,"fmsy11"
2068,0.332933423765041,"fmsy11"
2016,0.445108997893598,"fmsy08"
2017,0.428575503448523,"fmsy08"
2018,0.42022462342561,"fmsy08"
2019,0.422496693575099,"fmsy08"
2020,0.449819350789417,"fmsy08"
2021,0.456923353696679,"fmsy08"
2022,0.462897545727647,"fmsy08"
2023,0.435915656780453,"fmsy08"
2024,0.431586068117186,"fmsy08"
2025,0.431810758158747,"fmsy08"
2026,0.403532069258011,"fmsy08"
2027,0.399052369264628,"fmsy08"
2028,0.409229500583019,"fmsy08"
2029,0.387818419770639,"fmsy08"
2030,0.364199228343488,"fmsy08"
2031,0.370176206115733,"fmsy08"
2032,0.38016756878538,"fmsy08"
2033,0.367759968866527,"fmsy08"
2034,0.372594564361734,"fmsy08"
2035,0.367970922288102,"fmsy08"
2036,0.363180642462995,"fmsy08"
2037,0.370874905390666,"fmsy08"
2038,0.36877351506344,"fmsy08"
2039,0.354510963527627,"fmsy08"
2040,0.362546916404653,"fmsy08"
2041,0.353735894568944,"fmsy08"
2042,0.359049523628083,"fmsy08"
2043,0.346583830568855,"fmsy08"
2044,0.327734469572109,"fmsy08"
2045,0.330455442294578,"fmsy08"
2046,0.336341213123474,"fmsy08"
2047,0.337238138917479,"fmsy08"
2048,0.326661521041205,"fmsy08"
2049,0.334459691513971,"fmsy08"
2050,0.331408664043134,"fmsy08"
2051,0.327943319611297,"fmsy08"
2052,0.337491399655209,"fmsy08"
2053,0.345009335826579,"fmsy08"
2054,0.337281226287467,"fmsy08"
2055,0.335964139443125,"fmsy08"
2056,0.325502055811054,"fmsy08"
2057,0.324838941093208,"fmsy08"
2058,0.336304691658161,"fmsy08"
2059,0.348176006057264,"fmsy08"
2060,0.339941862073821,"fmsy08"
2061,0.347244797517907,"fmsy08"
2062,0.340227369201883,"fmsy08"
2063,0.328142163530799,"fmsy08"
2064,0.332828884614879,"fmsy08"
2065,0.341811525683836,"fmsy08"
2066,0.330552948491656,"fmsy08"
2067,0.327453425231139,"fmsy08"
2068,0.334681201745737,"fmsy08"
2016,0.44829443572006,"fmsy06"
2017,0.432715426115374,"fmsy06"
2018,0.425429576030035,"fmsy06"
2019,0.42830996992733,"fmsy06"
2020,0.456224936107991,"fmsy06"
2021,0.465472074201423,"fmsy06"
2022,0.472874261495684,"fmsy06"
2023,0.447329676506606,"fmsy06"
2024,0.444129830197038,"fmsy06"
2025,0.445794482828745,"fmsy06"
2026,0.42060583934763,"fmsy06"
2027,0.41344900197282,"fmsy06"
2028,0.420694783589185,"fmsy06"
2029,0.401059226798223,"fmsy06"
2030,0.376803666609502,"fmsy06"
2031,0.386874934170103,"fmsy06"
2032,0.39822725525176,"fmsy06"
2033,0.397682550766905,"fmsy06"
2034,0.41195687717153,"fmsy06"
2035,0.406746777308016,"fmsy06"
