"year","DemPP","scenario"
2016,0.00153422362641614,"fmsy1"
2017,0.00131117567763383,"fmsy1"
2018,0.00109541450442774,"fmsy1"
2019,0.000839642416605613,"fmsy1"
2020,0.000735130345852598,"fmsy1"
2021,0.0013249802585802,"fmsy1"
2022,0.00156262283356684,"fmsy1"
2023,0.00155341631369488,"fmsy1"
2024,0.00154999533800178,"fmsy1"
2025,0.00174094651887777,"fmsy1"
2026,0.00165626363964216,"fmsy1"
2027,0.00199631075663782,"fmsy1"
2028,0.00189928518927511,"fmsy1"
2029,0.00168879091649277,"fmsy1"
2030,0.00152077745753051,"fmsy1"
2031,0.0013178559955809,"fmsy1"
2032,0.00147081215146964,"fmsy1"
2033,0.00151750622284864,"fmsy1"
2034,0.00180174374093414,"fmsy1"
2035,0.00195043363619263,"fmsy1"
2036,0.00221940662986191,"fmsy1"
2037,0.00152726135949562,"fmsy1"
2038,0.00122316167897893,"fmsy1"
2039,0.00154496801593035,"fmsy1"
2040,0.00167661446977805,"fmsy1"
2041,0.00208124413482467,"fmsy1"
2042,0.00204953552522702,"fmsy1"
2043,0.00214404939241954,"fmsy1"
2044,0.00231095839580511,"fmsy1"
2045,0.00176282515165582,"fmsy1"
2046,0.00210105797238462,"fmsy1"
2047,0.00184922065809324,"fmsy1"
2048,0.00164108490650419,"fmsy1"
2049,0.00159474896613559,"fmsy1"
2050,0.0014792406928396,"fmsy1"
2051,0.00137543438455567,"fmsy1"
2052,0.00179388179135819,"fmsy1"
2053,0.00184557072369824,"fmsy1"
2054,0.0019680534147353,"fmsy1"
2055,0.00184824484221252,"fmsy1"
2056,0.00219353641168445,"fmsy1"
2057,0.00225139947689673,"fmsy1"
2058,0.00177185189860135,"fmsy1"
2059,0.00164705289541881,"fmsy1"
2060,0.00135891134990446,"fmsy1"
2061,0.00205934034247979,"fmsy1"
2062,0.00186238928117695,"fmsy1"
2063,0.00136654286192855,"fmsy1"
2064,0.00117328452617219,"fmsy1"
2065,0.00105584266097202,"fmsy1"
2066,0.00195760432798138,"fmsy1"
2067,0.00168953520585459,"fmsy1"
2068,0.00193235930336098,"fmsy1"
2016,0.00152147375400121,"fmsy11"
2017,0.00129515445050271,"fmsy11"
2018,0.00107897957448455,"fmsy11"
2019,0.000825703260604221,"fmsy11"
2020,0.000722546737415808,"fmsy11"
2021,0.00130030139892488,"fmsy11"
2022,0.00152340619099244,"fmsy11"
2023,0.00192725923794821,"fmsy11"
2024,0.00187726637379526,"fmsy11"
2025,0.00212951534155324,"fmsy11"
2026,0.00214629844924014,"fmsy11"
2027,0.00238550362251652,"fmsy11"
2028,0.00200623881322378,"fmsy11"
2029,0.00184554006932361,"fmsy11"
2030,0.00213113419956941,"fmsy11"
2031,0.00229170754664641,"fmsy11"
2032,0.00205991004908573,"fmsy11"
2033,0.0019398975617683,"fmsy11"
2034,0.0020948624384798,"fmsy11"
2035,0.00170875243266654,"fmsy11"
2036,0.00244617403387585,"fmsy11"
2037,0.00245593903096628,"fmsy11"
2038,0.00222490788252726,"fmsy11"
2039,0.00207827328215073,"fmsy11"
2040,0.00197693599639314,"fmsy11"
2041,0.00195270537898869,"fmsy11"
2042,0.00144433841978227,"fmsy11"
