value,scenario,PelBioPP,BioPP,PelDem,DemPP,PropPel,PropPred,
2015,Global Sustainability,0.003393502,0.192835313,2.209622861,0.001536946,0.000595724,0.000277648,
2030,Global Sustainability,0.004606887,0.265044023,2.564760307,0.001796319,0.000546988,0.000264143,-4.864085418
2050,Global Sustainability,0.00537713,0.259645644,3.00643261,0.001789788,0.000519739,0.000281884,1.52573024
2068,Global Sustainability,0.004467999,0.191431667,3.075581634,0.001448562,0.000458006,0.000248059,-10.65707718
2015,Precautionary Fishing,0.003393502,0.192835313,2.209622861,0.001536946,0.000595724,0.000277648,
2030,Precautionary Fishing,0.005468285,0.290608442,2.3819609,0.002299053,0.00056628,0.000306888,10.53145363
2050,Precautionary Fishing,0.009448088,0.415551638,2.860358813,0.003302482,0.000593912,0.000380393,37.00535286
2068,Precautionary Fishing,0.011187277,0.474747678,3.064523632,0.00364825,0.0005609,0.000352546,26.9758938
2015,Strict Conservation,0.003393502,0.192835313,2.209622861,0.001536946,0.000595724,0.000277648,
2030,Strict Conservation,0.007119765,0.34094909,2.15656588,0.003295222,0.000644864,0.000410594,47.88300592
2050,Strict Conservation,0.017379246,0.636405744,2.881730389,0.00605532,0.000743845,0.000604195,117.6119473
2068,Strict Conservation,0.021920371,0.735159342,3.099782524,0.007085368,0.000713139,0.00058687,111.3720129
