scenario,value,total_biomass_surveyed,% change biomass,proppred,% changed proppred,mean_life_span,% change mean_life_span,TL_all,% change tl_all
Global Sustainability,2015,121664806.9,,0.011256462,,8.453358182,,1.185018227,
Global Sustainability,2030,131067049.1,7.727988445,0.011804741,4.870787217,8.673563617,2.604946235,1.242147835,4.820989829
Global Sustainability,2050,125093229.4,2.817924573,0.017322382,53.8883327,8.319822305,-1.579678439,1.256970341,6.07181501
Global Sustainability,2068,116284574.7,-4.422176238,0.020068841,78.28728285,8.248215836,-2.426755634,1.252201846,5.669416508
Precautionary Fishing,2015,121664806.9,,0.011256462,,8.453358182,,1.185018227,
Precautionary Fishing,2030,122533322.5,0.713859375,0.015108633,34.2218591,9.178495381,8.578096226,1.259957037,6.323852999
Precautionary Fishing,2050,121028987.1,-0.522599599,0.023944776,112.7202621,8.722031426,3.178301905,1.36300054,15.0193735
Precautionary Fishing,2068,122274358.3,0.501008775,0.024801626,120.3323304,8.778256815,3.843426792,1.47065663,24.10413582
Strict Conservation,2015,121664806.9,,0.011256462,,8.453358182,,1.185018227,
Strict Conservation,2030,125472506.1,3.129663599,0.020931891,85.95443009,10.12903923,19.82266702,1.29659521,9.415634381
Strict Conservation,2050,122885337.9,1.003191486,0.038364541,240.8223604,10.19867518,20.64643373,1.482389373,25.09422553
Strict Conservation,2068,117313148.4,-3.576760329,0.043280208,284.4920966,10.3220323,22.10570139,1.610380564,35.8950038
