"year","PelBioPP","scenario"
2016,0.00347026257772076,"fmsy1"
2017,0.00308641217806638,"fmsy1"
2018,0.00263640179158356,"fmsy1"
2019,0.00201263119323276,"fmsy1"
2020,0.00165670379608214,"fmsy1"
2021,0.00294942569695348,"fmsy1"
2022,0.00344252071410226,"fmsy1"
2023,0.00369244080648602,"fmsy1"
2024,0.00373060796398116,"fmsy1"
2025,0.00422615968211666,"fmsy1"
2026,0.0043100687253661,"fmsy1"
2027,0.00518802490198086,"fmsy1"
2028,0.00484146391283469,"fmsy1"
2029,0.00446872019003765,"fmsy1"
2030,0.00423391634317556,"fmsy1"
2031,0.00358207352244915,"fmsy1"
2032,0.00384840760633501,"fmsy1"
2033,0.00417455598659641,"fmsy1"
2034,0.00492475194532259,"fmsy1"
2035,0.00532547038039405,"fmsy1"
2036,0.00629314516497306,"fmsy1"
2037,0.0042428026281265,"fmsy1"
2038,0.00331308248941704,"fmsy1"
2039,0.0043734823077215,"fmsy1"
2040,0.00467916674796045,"fmsy1"
2041,0.0059398825533787,"fmsy1"
2042,0.00571310174621833,"fmsy1"
2043,0.00624857158235496,"fmsy1"
2044,0.00700077162834369,"fmsy1"
2045,0.00526851154883496,"fmsy1"
2046,0.00624944222598936,"fmsy1"
2047,0.0055459242542447,"fmsy1"
2048,0.0050166581269784,"fmsy1"
2049,0.00480511529614451,"fmsy1"
2050,0.00444858548966818,"fmsy1"
2051,0.00407473826860171,"fmsy1"
2052,0.00533172066223658,"fmsy1"
2053,0.00537501821621639,"fmsy1"
2054,0.00583286854378041,"fmsy1"
2055,0.00545258123492235,"fmsy1"
2056,0.00676986900125797,"fmsy1"
2057,0.00692829360433094,"fmsy1"
2058,0.00545387160160582,"fmsy1"
2059,0.004900759213095,"fmsy1"
2060,0.00405676424114365,"fmsy1"
2061,0.00629791399767162,"fmsy1"
2062,0.0056692429170248,"fmsy1"
2063,0.00425691548126684,"fmsy1"
2064,0.00362051953243774,"fmsy1"
2065,0.00311045411042684,"fmsy1"
2066,0.00602100958675921,"fmsy1"
2067,0.00533109788095448,"fmsy1"
2068,0.00598501594316867,"fmsy1"
2016,0.00345264991582662,"fmsy11"
2017,0.00306115954852114,"fmsy11"
2018,0.00261063710347367,"fmsy11"
2019,0.00199119033921078,"fmsy11"
2020,0.00163948995625339,"fmsy11"
2021,0.00291889784349715,"fmsy11"
2022,0.00338823728165384,"fmsy11"
2023,0.00468135869552328,"fmsy11"
2024,0.00458002861895379,"fmsy11"
2025,0.00518843521764433,"fmsy11"
2026,0.00560080123332507,"fmsy11"
2027,0.00624756934956578,"fmsy11"
2028,0.00516924269699635,"fmsy11"
2029,0.00495612387962996,"fmsy11"
2030,0.00601950016934774,"fmsy11"
2031,0.00636404036497441,"fmsy11"
2032,0.00551919126594707,"fmsy11"
2033,0.00554328459618628,"fmsy11"
2034,0.00578972018170535,"fmsy11"
2035,0.00471006308658823,"fmsy11"
2036,0.0069926097548758,"fmsy11"
2037,0.00697332746164143,"fmsy11"
2038,0.00621598694685766,"fmsy11"
2039,0.00590786584768621,"fmsy11"
2040,0.00566895800879104,"fmsy11"
2041,0.00565526687118488,"fmsy11"
2042,0.00413065776893906,"fmsy11"
2043,0.00355536408224716,"fmsy11"
2044,0.00311920247915991,"fmsy11"
2045,0.00263825405744685,"fmsy11"
2046,0.00226564531283278,"fmsy11"
2047,0.00194323365502043,"fmsy11"
2048,0.00922426317272788,"fmsy11"
2049,0.00845148453338885,"fmsy11"
2050,0.00868597596509844,"fmsy11"
2051,0.0051299410804624,"fmsy11"
2052,0.00759517827259845,"fmsy11"
2053,0.00593972196483061,"fmsy11"
2054,0.00703124181132725,"fmsy11"
2055,0.00710955520791015,"fmsy11"
2056,0.0062385223046585,"fmsy11"
2057,0.00812161178067721,"fmsy11"
2058,0.00651746432807703,"fmsy11"
2059,0.00561149668477489,"fmsy11"
2060,0.00484483875707477,"fmsy11"
2061,0.00385218887071408,"fmsy11"
2062,0.00304487157356689,"fmsy11"
2063,0.0033844477109497,"fmsy11"
2064,0.00377843903878529,"fmsy11"
2065,0.0047102631913714,"fmsy11"
2066,0.00481304905440457,"fmsy11"
2067,0.00387433924658788,"fmsy11"
2068,0.00356732921400261,"fmsy11"
2016,0.00350651725801048,"fmsy08"
2017,0.0031398546781356,"fmsy08"
2018,0.00269207695424957,"fmsy08"
2019,0.00205942593862323,"fmsy08"
2020,0.00169501992302494,"fmsy08"
2021,0.00301902663403043,"fmsy08"
2022,0.00356491010512445,"fmsy08"
2023,0.00371888431653332,"fmsy08"
2024,0.00436578850915481,"fmsy08"
2025,0.00490435678571868,"fmsy08"
2026,0.00524745237915456,"fmsy08"
2027,0.00551342393681678,"fmsy08"
2028,0.00472019782839161,"fmsy08"
2029,0.00431984590673369,"fmsy08"
2030,0.00555586849218864,"fmsy08"
2031,0.00586744747210349,"fmsy08"
2032,0.00575786990770734,"fmsy08"
2033,0.00454395259021378,"fmsy08"
2034,0.0060809142417569,"fmsy08"
2035,0.00626686814697406,"fmsy08"
2036,0.00504926666747666,"fmsy08"
2037,0.00625884650729759,"fmsy08"
2038,0.00684244258617713,"fmsy08"
2039,0.00677778200517406,"fmsy08"
2040,0.00708239581638776,"fmsy08"
2041,0.009405122431583,"fmsy08"
2042,0.00975322078447752,"fmsy08"
2043,0.00918264076462679,"fmsy08"
2044,0.0121747122431494,"fmsy08"
2045,0.0104768843229395,"fmsy08"
2046,0.0104688410683175,"fmsy08"
2047,0.00921465984265789,"fmsy08"
2048,0.0100160735713085,"fmsy08"
2049,0.00593259320489872,"fmsy08"
2050,0.00644011469203516,"fmsy08"
2051,0.00594906213566845,"fmsy08"
2052,0.00398196694113861,"fmsy08"
2053,0.00325812278201096,"fmsy08"
2054,0.0119279939801656,"fmsy08"
2055,0.0127510241605905,"fmsy08"
2056,0.0123676768674459,"fmsy08"
2057,0.00885923002429102,"fmsy08"
2058,0.0118469122676118,"fmsy08"
2059,0.00803694897412143,"fmsy08"
2060,0.00890684272123493,"fmsy08"
2061,0.00628208201088376,"fmsy08"
2062,0.00551143379640064,"fmsy08"
2063,0.00658525495773227,"fmsy08"
2064,0.0104249946044579,"fmsy08"
2065,0.00736795486348844,"fmsy08"
2066,0.0077043600032414,"fmsy08"
2067,0.00763127622094866,"fmsy08"
2068,0.00559225262107499,"fmsy08"
2016,0.00354421242996531,"fmsy06"
2017,0.00319748515821325,"fmsy06"
2018,0.00275428102535021,"fmsy06"
2019,0.00211264134149224,"fmsy06"
2020,0.00174396452769806,"fmsy06"
2021,0.00309934670352364,"fmsy06"
2022,0.00370374186666582,"fmsy06"
