"year","PelDem","scenario"
1980,2.64611740349338,"Global Sustainability"
1981,2.56950008869398,"Global Sustainability"
1982,2.59414227435707,"Global Sustainability"
1983,2.5963744391732,"Global Sustainability"
1984,2.5532927863729,"Global Sustainability"
1985,2.51586829813575,"Global Sustainability"
1986,2.58138261592898,"Global Sustainability"
1987,2.55549945098976,"Global Sustainability"
1988,2.51189197260318,"Global Sustainability"
1989,2.46964834013777,"Global Sustainability"
1990,2.50181398407599,"Global Sustainability"
1991,2.4920772194769,"Global Sustainability"
1992,2.49442946629982,"Global Sustainability"
1993,2.4172952965732,"Global Sustainability"
1994,2.49700207826303,"Global Sustainability"
1995,2.64716443985909,"Global Sustainability"
1996,2.58939082031731,"Global Sustainability"
1997,2.62114853764094,"Global Sustainability"
1998,2.5055233231504,"Global Sustainability"
1999,2.53150088361636,"Global Sustainability"
2000,2.4236761568713,"Global Sustainability"
2001,2.27083747971092,"Global Sustainability"
2002,2.30705480759932,"Global Sustainability"
2003,2.35765110627032,"Global Sustainability"
2004,2.28622025333507,"Global Sustainability"
2005,2.32653735525498,"Global Sustainability"
2006,2.36005603180393,"Global Sustainability"
2007,2.33872169543698,"Global Sustainability"
2008,2.23122918409563,"Global Sustainability"
2009,2.0519623483218,"Global Sustainability"
2010,2.10698084347817,"Global Sustainability"
2011,2.19480377513398,"Global Sustainability"
2012,2.19975107737985,"Global Sustainability"
2013,2.23853418452308,"Global Sustainability"
2014,2.30804442514314,"Global Sustainability"
2015,2.24720401748028,"Global Sustainability"
2016,2.26190140600761,"Global Sustainability"
2017,2.35392726597565,"Global Sustainability"
2018,2.40676180653719,"Global Sustainability"
2019,2.39700990972936,"Global Sustainability"
2020,2.25361911044592,"Global Sustainability"
2021,2.22601482388422,"Global Sustainability"
2022,2.20304006837297,"Global Sustainability"
2023,2.37698083503665,"Global Sustainability"
2024,2.40685108691397,"Global Sustainability"
2025,2.42750689713368,"Global Sustainability"
2026,2.60228421502829,"Global Sustainability"
2027,2.59880626537249,"Global Sustainability"
2028,2.5490979133484,"Global Sustainability"
2029,2.64610624464878,"Global Sustainability"
2030,2.78404727937692,"Global Sustainability"
2031,2.7181069361605,"Global Sustainability"
2032,2.61651877331151,"Global Sustainability"
2033,2.75093170870826,"Global Sustainability"
2034,2.73332540773489,"Global Sustainability"
2035,2.73040327113601,"Global Sustainability"
2036,2.83550795978501,"Global Sustainability"
2037,2.77804620783944,"Global Sustainability"
2038,2.70862188241765,"Global Sustainability"
2039,2.83079148734861,"Global Sustainability"
2040,2.79084239835999,"Global Sustainability"
2041,2.85400566612484,"Global Sustainability"
2042,2.78751047537247,"Global Sustainability"
2043,2.91437856070262,"Global Sustainability"
2044,3.02938020911653,"Global Sustainability"
2045,2.98867505032264,"Global Sustainability"
2046,2.97442636430278,"Global Sustainability"
2047,2.99906029600772,"Global Sustainability"
2048,3.05691564592157,"Global Sustainability"
2049,3.01308569447661,"Global Sustainability"
2050,3.0073439104278,"Global Sustainability"
2051,2.96251010906495,"Global Sustainability"
2052,2.97216945281541,"Global Sustainability"
2053,2.91238810152216,"Global Sustainability"
2054,2.96377552565814,"Global Sustainability"
2055,2.95014010611013,"Global Sustainability"
2056,3.08628065857329,"Global Sustainability"
2057,3.07732753579596,"Global Sustainability"
2058,3.07806290464285,"Global Sustainability"
