"year","PropPel","scenario"
2015,0.000585281300570359,"Global Sustainability"
2016,0.000556160930634879,"Global Sustainability"
2017,0.000546861700005508,"Global Sustainability"
2018,0.000524301012507529,"Global Sustainability"
2019,0.000479104577513763,"Global Sustainability"
2020,0.00043734822956389,"Global Sustainability"
2021,0.000483210441069616,"Global Sustainability"
2022,0.000493831161588974,"Global Sustainability"
2023,0.000519407448616701,"Global Sustainability"
2024,0.000516462112494789,"Global Sustainability"
2025,0.000520030635606258,"Global Sustainability"
2026,0.00055610229583578,"Global Sustainability"
2027,0.000562925640841281,"Global Sustainability"
2028,0.000540542906729599,"Global Sustainability"
2029,0.000555337710281104,"Global Sustainability"
2030,0.000572732368358824,"Global Sustainability"
2031,0.000532337732773268,"Global Sustainability"
2032,0.000526329040310031,"Global Sustainability"
2033,0.000548854029545373,"Global Sustainability"
2034,0.000554142806941573,"Global Sustainability"
2035,0.000547631898177848,"Global Sustainability"
2036,0.000568320465701126,"Global Sustainability"
2037,0.000528163064322629,"Global Sustainability"
2038,0.00049709760768263,"Global Sustainability"
2039,0.00052789309280786,"Global Sustainability"
2040,0.000530161122338185,"Global Sustainability"
2041,0.000538525523156078,"Global Sustainability"
2042,0.000512753190831817,"Global Sustainability"
2043,0.000528818644968078,"Global Sustainability"
2044,0.000554750075161737,"Global Sustainability"
2045,0.00052650129698404,"Global Sustainability"
2046,0.000524004807345809,"Global Sustainability"
2047,0.00052524334299668,"Global Sustainability"
2048,0.000520437765590336,"Global Sustainability"
2049,0.0005025062517439,"Global Sustainability"
2050,0.000499671940852192,"Global Sustainability"
2051,0.000490692882460805,"Global Sustainability"
2052,0.000491856596406033,"Global Sustainability"
2053,0.000485998704047024,"Global Sustainability"
2054,0.000482872782856873,"Global Sustainability"
2055,0.000476175419690343,"Global Sustainability"
2056,0.000495391995989059,"Global Sustainability"
2057,0.000488237077179521,"Global Sustainability"
2058,0.000469479783951227,"Global Sustainability"
2059,0.000454050183431609,"Global Sustainability"
2060,0.000448961330258006,"Global Sustainability"
2061,0.000467908345017588,"Global Sustainability"
2062,0.000465799506431614,"Global Sustainability"
2063,0.000465880572378557,"Global Sustainability"
2064,0.000451150300629205,"Global Sustainability"
2065,0.000429986389899926,"Global Sustainability"
2066,0.000467893119005499,"Global Sustainability"
2067,0.000475120746540958,"Global Sustainability"
2068,0.00045402636607655,"Global Sustainability"
2015,0.000585281300570359,"Precautionary Fishing"
2016,0.000568009723576358,"Precautionary Fishing"
2017,0.000566503030234533,"Precautionary Fishing"
2018,0.000547781198318901,"Precautionary Fishing"
2019,0.000503725472592386,"Precautionary Fishing"
2020,0.000461196369022391,"Precautionary Fishing"
2021,0.000509873835667514,"Precautionary Fishing"
2022,0.000521341959217924,"Precautionary Fishing"
2023,0.000539733597607041,"Precautionary Fishing"
2024,0.000547119490548054,"Precautionary Fishing"
2025,0.000547522753678385,"Precautionary Fishing"
2026,0.000579646518012039,"Precautionary Fishing"
