Binomial,ID,Group,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
POB,1,Mammals,131591.4695,131668.2266,133280.7448,131079.2403,128347.5998,125888.2923,123625.1729,119586.734,115582.144,109846.5791,106416.144,100017.1297,95049.10059,93458.86744,89700.94971,85819.35338,82790.88566,80598.08822,77914.71813,74869.1332,72295.63044,70857.1118,70993.07599,68614.34122,66892.93251,65266.44513,64126.58332,62426.88704,61779.70068,61545.74967,59220.95336,56800.79317,54647.98026,53595.20203,54007.99158,52406.68447,50920.98468,50237.16395,50606.43673,49380.518,48584.0295,48678.11753,49779.19326,49504.67767,49385.01102,48868.23375,48558.21956,48159.64608,47834.47082,47445.37392,47455.00205,47618.77322,47069.49488,46685.94665,47255.6225,46311.02098,45757.78106,45895.0198,44253.23407,43187.01788,42989.57123,41762.49904,41446.60293,40416.70936,40337.99506,39491.13295,39143.26506,37964.90359,37688.6743,36754.06265,36638.80857,34607.66048,33018.58604,31720.95293,31028.75163,29433.18661,28523.25382,27902.45723,26488.42211,26330.1745,26825.92842,25404.67975,25893.29832,27391.09997,27208.7672,26844.49615,25379.50437,24182.51512,23422.78814
KWH,2,Mammals,111183.7422,109466.2792,107959.4145,106682.7082,105307.7122,103948.4576,102746.3196,101790.9603,100970.3645,100388.227,99777.34383,99250.2377,99624.18099,100077.9445,100328.974,100158.9842,99941.08401,99585.97415,99073.5101,98783.63677,98378.63548,97921.79378,97419.80983,96986.80254,96704.22474,96396.70094,96198.53149,95942.45462,95715.37286,95570.20181,95577.28938,95404.84815,95265.67894,95051.03199,94850.68676,94894.34365,94751.51437,94542.96871,94505.38345,94642.45578,94817.43716,94864.54706,94912.14476,94932.73749,95044.05943,95175.82157,95199.77486,95119.24114,95257.89065,95321.07592,95430.38113,95541.27003,95835.74685,96089.7484,96180.03413,96386.67681,96629.78368,96891.97743,97042.83237,97254.62151,97314.78732,97620.10272,97879.09657,98165.07829,98427.80152,98868.69302,99162.08679,99669.80654,99949.52157,100186.2685,100374.1907,100560.8581,100730.8718,100857.8693,101191.4637,101631.0998,102196.8974,102228.1083,102536.1695,102747.9375,103098.4186,103072.7434,103253.6608,102839.3014,102334.8362,101716.4474,101479.3372,101230.5271,101521.0178
SWH,3,Mammals,111829.4758,112464.6246,112241.2751,112035.517,111949.3206,112087.3324,112518.0569,112824.6673,113359.4276,113904.6533,114324.3769,115059.0912,115715.941,116745.3317,118111.2441,119676.569,120906.3883,122504.3932,123244.0436,124360.2356,125605.83,126083.1894,126561.7545,126943.2043,127709.4022,128189.8165,128905.7129,129360.8917,129639.8194,129748.9214,130052.2475,130193.3175,130573.8467,130731.1533,130697.876,131076.818,131667.6933,131238.6139,130868.5018,130434.9589,130372.7924,130625.1568,130608.3413,130605.4408,130521.5546,130783.6645,130718.0011,130551.4354,130558.8238,130675.8216,130604.6369,130299.2181,130177.6357,130144.2425,129858.9548,129523.6256,129212.8363,129053.0681,128745.0519,128612.6822,128206.4855,127950.3363,127897.2562,127782.2622,127635.1724,127440.6853,127611.2814,127560.5989,127397.4399,126906.5653,126393.3929,126234.1836,125982.0887,125718.4943,125277.6489,125118.7353,125036.9662,123810.7972,122739.7458,122383.4874,122218.6015,121778.3929,121928.8051,121684.5711,121586.7864,121347.3387,121146.3612,121007.4145,120735.1223
HWH,4,Mammals,740509.6519,741694.8013,739389.2475,752110.9946,741738.8987,736249.151,735559.7347,731578.1917,729609.0649,726851.0413,723042.4721,722693.4788,719395.0565,718706.5882,720066.3491,720780.1205,718001.827,738662.4264,740257.9279,733142.0383,731357.8373,721107.3287,713822.0177,707193.5988,706619.7231,705086.4653,707903.6941,708858.1609,707496.3033,703782.9271,701400.2518,699100.193,716890.2786,709773.9846,703876.9742,703344.1608,704954.0688,694507.2623,684758.3252,676205.6614,672319.0563,670664.1236,665256.6732,660012.8467,656220.4501,655027.0115,651177.6659,658630.9136,654990.6201,650729.2497,645069.682,640956.5632,639092.319,637017.7491,630534.9131,626088.9941,621877.9446,624891.7184,626387.2349,622483.227,618264.0271,615466.2694,614943.669,612323.5025,610844.2984,607641.7244,609271.3852,607661.4581,606331.8233,601697.9829,611517.8791,604473.479,601340.6252,597855.0928,594775.7766,593759.327,594574.6567,589642.9517,585334.4433,584843.3653,585261.6954,587801.5808,600446.677,594536.2358,587102.3775,585024.9757,583994.3901,581022.5286,579733.6312
MWH,5,Mammals,798008.0132,797538.469,795326.3497,805295.4229,797154.3429,792013.6604,789820.8466,784909.3471,781401.5444,776871.8197,771268.7108,767549.3709,763294.0957,760383.4786,758521.0119,756531.4687,752663.9545,764031.3871,764887.9362,753862.4808,745908.2385,733544.5818,722790.8105,712791.1601,706262.4554,701198.1777,701275.0047,700805.7162,699558.0647,697024.9323,696692.7971,696278.2879,709143.6953,705080.4355,701099.943,700244.9743,700446.0982,694902.4651,689801.8551,684806.7373,682086.1327,680160.7841,676407.8546,672361.5917,668846.7128,666958.0452,663969.1201,669327.7717,665297.1012,661088.7539,656649.801,653288.199,651203.7455,648319.4976,643608.9693,639727.2281,636360.2659,638747.3799,639486.6072,635460.0555,631398.2259,628797.5934,627757.2504,625244.1563,622978.2062,619448.008,618658.0654,616585.4413,614697.4565,610704.796,617306.96,611873.9343,608577.3565,605316.0985,602443.9739,601305.8004,601267.8087,598202.6643,595408.5109,594209.5659,593344.8622,594499.111,602242.5836,597932.3462,592011.333,588869.0221,586506.8435,583298.0547,581270.5424
FWH,6,Mammals,4829.894405,4890.439735,4978.799646,5041.101215,5085.65995,5113.410825,5155.675214,5182.699579,5204.150729,5213.776532,5221.980388,5234.936291,5236.358868,5255.850109,5284.5874,5311.026234,5328.540081,5331.209028,5330.569692,5346.530123,5350.013267,5275.871444,5259.527282,5259.898504,5251.527107,5244.974038,5280.852504,5301.29172,5279.839639,5273.081668,5239.581719,5233.034889,5221.255979,5200.275008,5184.207989,5188.717796,5209.619332,5183.84224,5175.704253,5160.742889,5174.135888,5186.920067,5189.399673,5158.975094,5145.373342,5142.683786,5141.714779,5124.762977,5136.179625,5123.522623,5113.271358,5094.214026,5094.124086,5100.900462,5077.399555,5054.800297,5020.186802,5031.187201,5031.23844,5022.359615,5013.707811,4971.312937,4963.938118,4951.132591,4961.79849,4960.844645,4994.433497,4998.222841,5005.00729,4998.748498,5003.275359,4994.023263,4996.093147,4986.328357,4972.204228,4986.484716,4978.526944,4966.079574,4953.32647,4923.818352,4927.873294,4937.289555,4918.679579,4915.269243,4910.026667,4906.939135,4920.455447,4921.697788,4922.391451
BES,7,Mammals,22758.19817,20822.0326,18990.76504,17435.51471,16085.46406,14924.24256,14057.10365,13218.82366,12518.37574,11931.99125,11428.8251,11088.92158,10723.4221,10531.32859,10413.73405,10337.03165,10250.91504,10125.77855,9948.130702,9915.042431,9855.748464,9639.118307,9537.870976,9371.112653,9357.601772,9319.073751,9060.339561,8887.93876,8786.579544,8657.326988,8492.865853,8396.653037,8332.218968,8242.386456,8139.513757,8118.6671,8160.13325,8061.631914,7985.228787,7905.906126,7898.714555,7917.524779,7837.293081,7746.023906,7693.295718,7684.567423,7585.65809,7560.724007,7555.655486,7519.504445,7443.417873,7378.861503,7350.929366,7303.40621,7213.9891,7157.295783,7094.632837,7047.172165,7036.854826,7036.824445,6987.919648,6934.363987,6975.838503,6944.471008,6942.614446,6902.486643,6978.239449,6954.152894,6972.758048,6958.648814,6943.797602,6911.568807,6927.430163,6903.652483,6863.170342,6864.79044,6886.576908,6823.252453,6778.38145,6782.30028,6808.529088,6792.482422,6757.363199,6734.295842,6679.743401,6695.515108,6722.910106,6703.11677,6714.435728
HOS,8,Mammals,88136.80321,85780.06578,85002.55086,84309.40874,84162.65437,83805.75229,83599.08957,83318.77712,82913.17664,82380.08288,81918.041,81398.67337,80783.38306,80220.88357,79798.92839,79374.87111,78925.1847,78403.38477,77868.53535,77418.52445,76867.53728,76539.45491,76177.29517,75889.05008,75512.87534,75166.81953,74745.61298,74457.76078,74154.76698,74048.62778,73821.28796,73734.0733,73535.91254,73251.46078,73105.09762,72992.35045,72929.3416,72714.93785,72719.26316,72586.48809,72478.72264,72337.32522,72250.4247,72080.85581,71792.61867,71704.84934,71617.9417,71242.37456,71045.89931,70656.21411,70244.11222,69824.23862,69621.52719,69495.45424,69217.52466,68995.87667,68798.00854,68744.31568,68644.87288,68562.40279,68447.22816,68130.94543,68035.67274,67888.73102,67786.64062,67695.73684,67673.11618,67496.31867,67359.55275,67177.85863,67181.1332,67100.14016,66967.63511,66818.60158,66615.26531,66642.00101,66627.64531,66593.52766,66538.45672,66362.06293,66399.62914,66473.12584,66423.27284,66372.66667,66375.83976,66274.86035,66400.41668,66380.94512,66359.46182
RIS,9,Mammals,4696.912686,4697.554689,4701.617406,4701.748053,4707.115943,4705.584096,4719.413907,4734.568464,4743.547365,4743.116086,4741.823559,4736.996663,4724.540934,4718.931316,4727.770165,4738.826039,4747.543616,4746.481219,4740.610024,4742.179813,4737.107818,4702.384328,4680.204347,4668.858701,4654.47189,4641.477704,4647.951077,4652.501341,4637.781097,4633.256769,4615.349775,4610.563131,4603.661672,4585.159957,4572.530888,4567.417866,4576.069204,4563.091928,4559.470128,4550.240196,4551.806145,4561.062765,4570.969366,4561.55544,4544.115817,4539.973489,4542.15258,4529.15714,4535.353544,4526.353829,4513.109599,4494.284117,4488.673092,4492.102472,4475.449393,4455.586168,4432.043648,4430.935206,4427.339187,4422.796254,4420.064139,4393.695592,4382.731156,4369.393595,4370.628327,4370.170742,4387.442897,4398.782507,4407.686806,4403.200521,4405.087886,4405.097513,4402.736938,4399.386685,4391.449121,4400.614635,4398.902134,4392.415709,4389.124807,4367.59169,4358.008974,4358.518822,4349.277561,4344.789436,4343.50238,4336.417473,4341.891208,4337.474777,4334.886952
SBA,10,Seabirds,1563.722866,1556.458647,1549.267584,1541.290887,1528.918563,1519.202903,1517.143215,1507.645706,1501.465365,1495.147176,1486.927358,1488.092602,1482.567573,1484.539445,1491.796088,1499.853507,1502.477053,1498.957173,1488.070823,1489.163709,1489.510683,1471.827596,1462.888598,1447.339688,1445.767173,1444.644451,1425.922633,1408.358718,1395.047835,1377.726072,1354.921961,1335.797917,1320.122813,1302.262419,1282.265016,1271.036918,1268.699143,1252.775943,1237.200491,1221.704997,1215.828309,1216.248616,1208.781619,1198.615771,1194.696695,1195.920931,1189.47572,1189.231854,1193.524503,1194.997083,1190.627651,1185.094336,1183.02508,1179.762104,1170.485277,1163.214876,1155.147261,1148.850324,1146.572134,1144.918472,1139.280767,1132.248031,1134.018265,1129.013706,1127.051462,1120.669769,1127.059414,1124.664215,1126.594747,1124.884957,1122.577882,1118.747772,1120.404966,1118.948047,1116.198456,1117.67594,1120.919106,1116.320351,1111.473636,1112.008774,1114.842282,1113.977998,1109.531378,1105.921809,1097.652131,1095.712926,1097.471907,1094.601566,1094.659225
