"Year","total_catch","scenario","total_biomass_landings","inversepressure"
2015,1630017.7119,"fmsy06",41259956.16158,25.3125814893668
2016,1537076.952453,"fmsy06",40806214.13675,26.5479318206079
2017,1544209.406945,"fmsy06",41263914.62554,26.7217091412329
2018,1553873.287265,"fmsy06",40920240.15827,26.3343481695952
2019,1530843.756133,"fmsy06",40839233.29997,26.6775973291568
2020,1519888.281319,"fmsy06",40945934.93022,26.9400951592876
2021,1545593.685691,"fmsy06",37838275.4712,24.4813859046554
2022,1544827.130318,"fmsy06",38703734.1846,25.0537638969565
2023,1571467.66899,"fmsy06",42210373.3109,26.8604783565347
2024,1587027.22825,"fmsy06",43506047.7288,27.4135483968815
2025,1582334.6604,"fmsy06",44684178.9247,28.2393984300415
2026,1558370.12218,"fmsy06",48474722.4286,31.1060394053172
2027,1564871.26708,"fmsy06",47000459.617,30.0347131458943
2028,1556116.12567,"fmsy06",51170626.0178,32.8835523092906
2029,1583316.8213,"fmsy06",50773647.5334,32.0679012882032
2030,1536613.62328,"fmsy06",52460003.2098,34.1400091831939
2031,1533503.64332,"fmsy06",51851491.2353,33.8124343304739
2032,1605370.72675,"fmsy06",53392115.0515,33.2584331842091
2033,1650150.99424,"fmsy06",54723106.6614,33.1624844347068
2034,1654604.97561,"fmsy06",54669050.9441,33.0405454775967
2035,1655596.95583,"fmsy06",55934565.2764,33.7851341653128
2036,1656690.28673,"fmsy06",60067981.3162,36.257821873733
2037,1634866.35683,"fmsy06",60481853.3494,36.9949831658865
2038,1626022.83797,"fmsy06",62060293.6972,38.1669262251438
2039,1626147.16849,"fmsy06",67265206.9285,41.3647720402581
2040,1644179.28302,"fmsy06",71245957.1445,43.3322313936693
2041,1689494.74353,"fmsy06",76958033.2367,45.5509160542904
2042,1730271.072,"fmsy06",75416437.6751,43.5864870513769
2043,1722954.42873,"fmsy06",76330613.313,44.3021661166417
2044,1723242.66267,"fmsy06",81479712.6311,47.2827851794564
2045,1770438.91459,"fmsy06",82009200.3579,46.3213950405579
2046,1796353.25008,"fmsy06",82928237.5378,46.16477161945
2047,1805880.696299,"fmsy06",83207321.98165,46.0757580233159
2048,1803311.922121,"fmsy06",87044642.33033,48.2693211654425
2049,1846508.750016,"fmsy06",85676090.93766,46.3989628735405
2050,1837202.466365,"fmsy06",90587231.87354,49.3071577749248
2051,1885478.625161,"fmsy06",89953316.04294,47.708478283735
2052,1852117.032593,"fmsy06",88380488.48091,47.7186305863057
2053,1864398.835994,"fmsy06",86585802.46645,46.4416737421352
2054,1837861.099716,"fmsy06",89823461.93823,48.8739121537042
2055,1889403.464882,"fmsy06",94697537.51994,50.1203365401123
2056,1930419.423675,"fmsy06",95452731.07942,49.4466279756467
2057,1909722.437792,"fmsy06",94577089.32396,49.5239975466325
2058,1930142.444729,"fmsy06",107613467.472701,55.7541583350914
2059,2089782.967049,"fmsy06",89437436.6156,42.7974761139408
2060,1829516.08862,"fmsy06",93958557.03477,51.3570542610766
2061,1851346.386228,"fmsy06",89367675.93141,48.2717208385249
2062,1836252.646169,"fmsy06",93159177.785815,50.7333116606663
2063,1887536.07701,"fmsy06",99574926.819545,52.7539197964784
2064,1897657.069926,"fmsy06",90421480.822132,47.6490100635823
2065,1848316.359141,"fmsy06",102233008.865723,55.3114234801425
2066,2056739.435651,"fmsy06",102204684.216691,49.6925777009479
2067,2048531.079148,"fmsy06",92779460.570239,45.2907263720044
2068,1994983.467759,"fmsy06",109866697.746676,55.0714828078707
2015,1630017.7119,"fmsy08",41259956.16158,25.3125814893668
2016,1977588.463294,"fmsy08",40014058.83748,20.2337642943315
2017,1927101.227003,"fmsy08",39903885.73838,20.7066889788856
2018,1886449.816192,"fmsy08",39096599.59648,20.7249613856151
2019,1818141.687077,"fmsy08",38653839.82263,21.2600811572465
2020,1771404.94584,"fmsy08",38421088.65751,21.689613517078
2021,1777366.43067,"fmsy08",35013165.80397,19.6994638808225
2022,1757649.91614,"fmsy08",35690240.90657,20.3056596076594
2023,1767642.47333,"fmsy08",39042067.97796,22.0870841061032
2024,1769461.67349,"fmsy08",40215286.13662,22.727412940966
2025,1752619.48398,"fmsy08",41230564.0267,23.5251087891994
