"Year","mean_life_span","scenario"
2015,8.50341186356638,"fmsy0"
2016,9.50281578925736,"fmsy0"
2017,9.39761490226893,"fmsy0"
2018,9.29593607115795,"fmsy0"
2019,9.43353641734079,"fmsy0"
2020,9.44868621545334,"fmsy0"
2021,8.85198924281506,"fmsy0"
2022,9.11076539110119,"fmsy0"
2023,9.71090378498784,"fmsy0"
2024,9.52256843683982,"fmsy0"
2025,9.49060142830916,"fmsy0"
2026,9.99808605835686,"fmsy0"
2027,10.3751636110041,"fmsy0"
2028,10.4061487577371,"fmsy0"
2029,10.3751962765474,"fmsy0"
2030,10.3908296811585,"fmsy0"
2031,10.6053647510488,"fmsy0"
2032,10.7318897075687,"fmsy0"
2033,10.8010991215742,"fmsy0"
2034,10.7043794321616,"fmsy0"
2035,10.4470460880369,"fmsy0"
2036,10.2585522962026,"fmsy0"
2037,10.4141421669648,"fmsy0"
2038,10.7578637726147,"fmsy0"
2039,10.8329855073413,"fmsy0"
2040,10.7550255260919,"fmsy0"
2041,10.5033932788376,"fmsy0"
2042,10.501032749168,"fmsy0"
2043,10.5364091359132,"fmsy0"
2044,10.4414886992457,"fmsy0"
2045,10.1543065342749,"fmsy0"
2046,10.1252322868863,"fmsy0"
2047,10.1648557544574,"fmsy0"
2048,10.1633593550141,"fmsy0"
2049,10.3856219543721,"fmsy0"
2050,10.2150685484589,"fmsy0"
2051,10.1423705694595,"fmsy0"
2052,10.3985761564135,"fmsy0"
2053,10.4574090440573,"fmsy0"
2054,10.2018546931504,"fmsy0"
2055,10.2377510688267,"fmsy0"
2056,10.230047374971,"fmsy0"
2057,10.0374808715264,"fmsy0"
2058,9.8443082482256,"fmsy0"
2059,9.94366303272085,"fmsy0"
2060,10.1357868275446,"fmsy0"
2061,10.1060096075753,"fmsy0"
2062,10.345653450441,"fmsy0"
2063,10.1634393795716,"fmsy0"
2064,10.2527038596211,"fmsy0"
2065,10.4374490475914,"fmsy0"
2066,10.3939161481237,"fmsy0"
2067,10.3626530609922,"fmsy0"
2068,10.1467199070492,"fmsy0"
2015,8.50341186356638,"fmsy06"
2016,9.37033846009955,"fmsy06"
2017,9.15346341511101,"fmsy06"
2018,8.94848635716586,"fmsy06"
2019,8.97340652367329,"fmsy06"
2020,8.96117600935002,"fmsy06"
2021,8.52251702691934,"fmsy06"
2022,8.80381914595668,"fmsy06"
2023,9.12028662977728,"fmsy06"
2024,8.70299938788168,"fmsy06"
2025,8.67368923449307,"fmsy06"
2026,9.04087950756787,"fmsy06"
2027,9.4384456287036,"fmsy06"
2028,9.3922135317983,"fmsy06"
2029,9.3472490020924,"fmsy06"
2030,9.20712688985025,"fmsy06"
2031,9.19314824143249,"fmsy06"
2032,9.2815756642977,"fmsy06"
2033,9.33771970385977,"fmsy06"
2034,8.65523238394434,"fmsy06"
2035,8.59494511956794,"fmsy06"
2036,8.98977329052338,"fmsy06"
2037,8.96617085140785,"fmsy06"
2038,9.25046779120967,"fmsy06"
2039,9.27113190574977,"fmsy06"
2040,9.22023230778382,"fmsy06"
2041,8.94566735688384,"fmsy06"
2042,9.05312651035437,"fmsy06"
2043,8.87392836466545,"fmsy06"
2044,8.76087746047556,"fmsy06"
2045,9.01607783798655,"fmsy06"
2046,9.0547143690394,"fmsy06"
2047,8.97672192393452,"fmsy06"
2048,8.25612154049061,"fmsy06"
2049,8.30652145814949,"fmsy06"
2050,8.81962612541498,"fmsy06"
2051,8.72595255782788,"fmsy06"
2052,8.88309145341468,"fmsy06"
2053,9.07172648064645,"fmsy06"
2054,8.81364183586926,"fmsy06"
2055,8.79669818233653,"fmsy06"
2056,8.72687271894807,"fmsy06"
2057,8.59072389268606,"fmsy06"
2058,8.41436223451154,"fmsy06"
2059,8.69029497170616,"fmsy06"
2060,8.85409324851275,"fmsy06"
2061,9.09754802007965,"fmsy06"
2062,8.89172709647715,"fmsy06"
2063,8.74505006129015,"fmsy06"
2064,8.86419168342603,"fmsy06"
2065,8.65131214689544,"fmsy06"
2066,8.7523388335015,"fmsy06"
2067,8.87839134961882,"fmsy06"
2068,8.54018395162105,"fmsy06"
2015,8.50341186356638,"fmsy08"
2016,9.32619428533731,"fmsy08"
2017,9.07712541247461,"fmsy08"
2018,8.84358703201333,"fmsy08"
2019,8.83946934356579,"fmsy08"
2020,8.81258504279643,"fmsy08"
2021,8.38571073540804,"fmsy08"
2022,8.656769864433,"fmsy08"
2023,8.91826769729282,"fmsy08"
2024,8.49828230044884,"fmsy08"
