Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.946911,159.051093,159.645056,160.402114,161.181895,161.888511,162.756744,163.690986,164.594485,165.337447,166.093056,166.897579,167.62142,168.42387,169.378369,170.386545,171.260347,171.934317,172.48503,173.135734,173.641319,172.617151,172.168524,172.0295,171.95965,171.887175,172.319515,173.0645,173.493816,173.866257,173.833865,173.863095,173.830369,173.665378,173.584268,173.731441,174.172266,174.327127,174.553679,174.805704,175.174143,175.607576,176.024469,175.925255,175.798165,175.86328,176.118609,176.02256,176.287113,176.221214,176.270726,176.157716,176.139621,176.269427,176.072134,175.669369,175.170457,175.181512,175.172343,174.95901,174.760397,174.186783,173.788473,173.415921,173.370083,173.298798,173.465025,173.570171,173.523254,173.389026,173.201999,172.997837,172.929493,172.832551,172.68947,172.79716,172.736647,172.582108,172.425057,172.047214,171.860888,171.841459,171.575624,171.426086,171.271365,171.15589,171.060985,170.951957,170.954161
KWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131591.4695,131668.2266,133280.7448,131079.2403,128347.5998,125888.2923,123625.1729,119586.734,115582.144,109846.5791,106416.144,100017.1297,95049.10059,93458.86744,89700.94971,85819.35338,82790.88566,80598.08822,77914.71813,74869.1332,72295.63044,70857.1118,70993.07599,68614.34122,66892.93251,65266.44513,64126.58332,62426.88704,61779.70068,61545.74967,59220.95336,56800.79317,54647.98026,53595.20203,54007.99158,52406.68447,50823.69508,49943.12841,50034.60567,48231.08237,46719.71091,45999.38358,46241.26668,44952.30292,44275.05432,44195.57299,42563.07244,40969.35684,39717.85865,38584.8055,38858.98556,37625.36823,36580.81036,35367.83551,34530.93781,33586.77162,33453.65551,32460.7078,31232.57499,31000.35694,32012.63562,31676.33138,32276.94657,31510.52029,32307.84801,31116.39148,30281.90319,30013.64493,29236.80777,29978.62324,29548.60365,30187.79711,29062.18548,28250.72257,26794.06269,26155.09168,25350.03583,25840.51926,27214.32346,26291.84965,25755.6532,26456.26238,26931.30671,25518.31509,25636.08633,26690.43347,25545.42496,24544.29456,23751.52177
SWH,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111183.7422,109466.2792,107959.4145,106682.7082,105307.7122,103948.4576,102746.3196,101790.9603,100970.3645,100388.227,99777.34383,99250.2377,99624.18099,100077.9445,100328.974,100158.9842,99941.08401,99585.97415,99073.5101,98783.63677,98378.63548,97921.79378,97419.80983,96986.80254,96704.22474,96396.70094,96198.53149,95942.45462,95715.37286,95570.20181,95577.28938,95404.84815,95265.67894,95051.03199,94850.68676,94894.34365,94745.7611,94523.93807,94465.80388,94574.11486,94711.79417,94713.79072,94708.85376,94667.32555,94712.13855,94797.26137,94765.51203,94596.25656,94661.81284,94709.69171,94752.7104,94804.31154,95007.20018,95142.02136,95089.94358,95154.43912,95247.12329,95363.78857,95398.30392,95474.76546,95385.42913,95561.33774,95690.38086,95868.64415,96025.73786,96447.10669,96777.90985,97288.20953,97310.85481,97419.06704,97592.84098,97852.13133,98073.72792,98128.87102,98280.79077,98574.49466,98991.20259,99031.59701,99372.69252,99567.08203,99831.41766,99446.12579,99233.96362,98778.81578,98372.52921,98404.15522,98325.6923,97754.04716,97135.05481
HWH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111829.4758,112464.6246,112241.2751,112035.517,111949.3206,112087.3324,112518.0569,112824.6673,113359.4276,113904.6533,114324.3769,115059.0912,115715.941,116745.3317,118111.2441,119676.569,120906.3883,122504.3932,123244.0436,124360.2356,125605.83,126083.1894,126561.7545,126943.2043,127709.4022,128189.8165,128905.7129,129360.8917,129639.8194,129748.9214,130052.2475,130193.3175,130573.8467,130731.1533,130697.876,131076.818,131666.9185,131238.325,130889.5771,130466.8681,130393.2758,130611.579,130312.5743,130026.2519,129967.3899,130184.5129,130138.5801,130280.4265,130689.4309,130678.3811,130184.8919,129924.0786,130184.8626,130336.083,129844.1483,129631.6206,129547.3686,129391.554,129006.3357,128832.7294,128409.2651,128113.939,128130.3034,128051.7773,128343.7114,128184.7825,128333.3601,127949.64,127734.3897,127058.7452,126672.8563,126208.2327,126219.598,125818.9283,125530.7307,125467.3906,125355.3652,124830.6617,124015.4308,123933.4396,123968.6028,124107.1991,123634.6747,123462.5336,123264.6173,123010.1368,122724.5073,122369.0198,122340.3452
MWH,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740509.6519,741694.8013,739389.2475,752110.9946,741738.8987,736249.151,735559.7347,731578.1917,729609.0649,726851.0413,723042.4721,722693.4788,719395.0565,718706.5882,720066.3491,720780.1205,718001.827,738662.4264,740257.9279,733142.0383,731357.8373,721107.3287,713822.0177,707193.5988,706619.7231,705086.4653,707903.6941,708858.1609,707496.3033,703782.9271,701400.2518,699100.193,716890.2786,709773.9846,703876.9742,703344.1608,704953.7822,694506.7416,684760.546,676218.7825,672319.1585,670662.7405,665130.3474,659907.2134,656141.269,654968.045,650567.0925,647259.5983,668194.8628,674225.6098,661074.4401,652610.2241,648246.2163,644901.2129,637554.9822,632538.6934,627919.4801,623894.8118,621496.2028,619939.881,616506.9211,614064.9991,614477.8126,611806.872,630807.8039,637189.0254,631162.2032,624818.6893,620538.5168,613636.0413,609149.1794,605133.0867,603118.9916,600081.4287,596968.8101,595667.0968,596115.7871,590875.9493,586048.6616,585505.4542,599079.6049,611676.2375,602319.8176,596532.449,589482.2213,587376.0821,586198.9066,583285.1586,582756.6785
FWH,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798008.0132,797538.469,795326.3497,805295.4229,797154.3429,792013.6604,789820.8466,784909.3471,781401.5444,776871.8197,771268.7108,767549.3709,763294.0957,760383.4786,758521.0119,756531.4687,752663.9545,764031.3871,764887.9362,753862.4808,745908.2385,733544.5818,722790.8105,712791.1601,706262.4554,701198.1777,701275.0047,700805.7162,699558.0647,697024.9323,696692.7971,696278.2879,709143.6953,705080.4355,701099.943,700244.9743,700435.6721,694863.5039,689734.535,684738.6954,682007.9454,680090.2417,676213.9932,672152.2617,668650.3849,666751.3588,663220.2543,660028.7717,672031.683,677061.1845,667916.8873,661201.0141,656874.5958,653281.0238,648038.0363,643774.2275,640131.8988,636727.7673,634196.4211,632163.9054,629172.7564,626813.7713,625790.918,623083.4079,633882.0439,639063.9724,634222.5511,629285.3886,625416.6682,619686.2984,615504.9197,611693.3147,609434.0627,606786.2802,604219.9836,602630.2547,602094.9086,598629.6403,595312.3025,593858.5544,602623.4625,609953.23,604092.8344,599768.3766,594219.847,591264.247,588985.7763,586506.45,585772.7695
BES,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4829.894405,4890.439735,4978.799646,5041.101215,5085.65995,5113.410825,5155.675214,5182.699579,5204.150729,5213.776532,5221.980388,5234.936291,5236.358868,5255.850109,5284.5874,5311.026234,5328.540081,5331.209028,5330.569692,5346.530123,5350.013267,5275.871444,5259.527282,5259.898504,5251.527107,5244.974038,5280.852504,5301.29172,5279.839639,5273.081668,5239.581719,5233.034889,5221.255979,5200.275008,5184.207989,5188.717796,5209.620744,5183.849679,5175.721288,5160.778689,5174.192328,5186.99707,5189.494033,5159.079778,5145.479876,5142.809695,5141.896587,5124.987844,5136.404029,5123.735864,5113.424566,5094.355866,5094.289719,5100.99271,5077.502442,5055.024218,5020.507815,5031.48124,5031.455358,5022.580402,5013.95301,4971.616271,4964.240049,4951.392683,4962.080807,4961.181592,4994.749134,4998.477269,5005.162659,4998.846477,5003.444334,4994.2703,4996.475727,4986.752414,4972.494509,4986.632045,4978.633834,4966.198128,4953.486724,4924.2611,4928.764051,4938.536775,4919.794734,4916.295617,4910.946711,4907.669804,4920.955773,4922.078548,4922.955005
HAS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22758.19817,20822.0326,18990.76504,17435.51471,16085.46406,14924.24256,14057.10365,13218.82366,12518.37574,11931.99125,11428.8251,11088.92158,10723.4221,10531.32859,10413.73405,10337.03165,10250.91504,10125.77855,9948.130702,9915.042431,9855.748464,9639.118307,9537.870976,9371.112653,9357.601772,9319.073751,9060.339561,8887.93876,8786.579544,8657.326988,8492.865853,8396.653037,8332.218968,8242.386456,8139.513757,8118.6671,8160.133243,8061.631799,7985.228602,7905.912246,7898.718568,7917.527375,7837.295146,7745.980794,7693.266965,7684.5468,7585.642887,7560.65642,7555.607793,7519.468892,7443.390473,7378.762776,7350.858667,7303.352605,7212.469785,7159.383957,7095.975282,7048.093946,7040.541902,7034.729775,6986.654484,6933.565661,6975.316022,6944.114909,6942.365352,6902.648514,6978.343441,6954.224613,6972.812405,6959.557042,6944.422354,6912.022197,6931.370329,6901.821327,6862.071674,6867.152575,6883.325725,6821.151376,6776.94872,6780.422612,6807.16617,6791.452378,6755.667308,6733.028414,6678.748438,6690.976436,6723.498604,6703.2735,6711.4415
HOS,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88136.80321,85780.06578,85002.55086,84309.40874,84162.65437,83805.75229,83599.08957,83318.77712,82913.17664,82380.08288,81918.041,81398.67337,80783.38306,80220.88357,79798.92839,79374.87111,78925.1847,78403.38477,77868.53535,77418.52445,76867.53728,76539.45491,76177.29517,75889.05008,75512.87534,75166.81953,74745.61298,74457.76078,74154.76698,74048.62778,73821.28796,73734.0733,73535.91254,73251.46078,73105.09762,72992.35045,72929.34429,72714.95804,72719.3218,72586.60976,72478.97212,72337.70484,72250.89537,72081.4005,71793.29506,71705.61968,71618.91662,71243.38824,71046.52809,70657.08277,70244.95487,69824.46509,69621.56402,69495.80586,69218.01954,68996.19306,68798.73891,68745.39071,68646.2364,68563.8459,68448.34854,68132.01264,68037.21414,67890.58908,67788.27672,67697.16049,67674.51607,67497.5586,67360.61314,67178.80102,67182.11988,67101.60006,66968.89879,66819.39066,66616.49762,66643.08431,66628.74719,66594.93489,66539.62638,66363.74715,66400.97251,66474.27959,66424.69195,66373.63739,66377.26671,66275.83928,66401.21182,66381.99405,66360.03329
RIS,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4696.912686,4697.554689,4701.617406,4701.748053,4707.115943,4705.584096,4719.413907,4734.568464,4743.547365,4743.116086,4741.823559,4736.996663,4724.540934,4718.931316,4727.770165,4738.826039,4747.543616,4746.481219,4740.610024,4742.179813,4737.107818,4702.384328,4680.204347,4668.858701,4654.47189,4641.477704,4647.951077,4652.501341,4637.781097,4633.256769,4615.349775,4610.563131,4603.661672,4585.159957,4572.530888,4567.417866,4576.023904,4562.903512,4559.089503,4549.628798,4550.909248,4559.853947,4569.504462,4559.883574,4542.21814,4537.893106,4539.798069,4524.785792,4529.032828,4520.301561,4507.239113,4488.345164,4482.705335,4486.144799,4469.464826,4449.577938,4426.054061,4424.865665,4420.934148,4414.833237,4410.632725,4384.691302,4373.988075,4360.895492,4362.20689,4361.797771,4379.067463,4390.413037,4399.332535,4394.877404,4396.782345,4396.77789,4394.430193,4390.063498,4380.960594,4390.480348,4389.035124,4382.784022,4379.64716,4358.445171,4348.972896,4349.61837,4339.748748,4336.011324,4337.175774,4331.554153,4336.313663,4331.393605,4327.605838
