Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.946911,159.051093,159.645056,160.402114,161.181895,161.888511,162.756744,163.690986,164.594485,165.337447,166.093056,166.897579,167.62142,168.42387,169.378369,170.386545,171.260347,171.934317,172.48503,173.135734,173.641319,172.617151,172.168524,172.0295,171.95965,171.887175,172.319515,173.0645,173.493816,173.866257,173.833865,173.863095,173.830369,173.665378,173.584268,173.731441,174.172265,174.327126,174.553678,174.805708,175.174146,175.607577,176.024469,175.925253,175.798163,175.863278,176.118607,176.022536,176.287062,176.221104,176.270618,176.157585,176.139406,176.269091,176.071734,175.66908,175.170319,175.181424,175.172242,174.958889,174.76025,174.186656,173.788403,173.415811,173.369818,173.298383,173.464562,173.569745,173.522903,173.388724,173.201733,172.997603,172.929397,172.832662,172.689747,172.797543,172.737095,172.582594,172.425478,172.047491,171.860955,171.841344,171.575404,171.425812,171.27106,171.155566,171.060745,170.951871,170.954201
KWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131591.4695,131668.2266,133280.7448,131079.2403,128347.5998,125888.2923,123625.1729,119586.734,115582.144,109846.5791,106416.144,100017.1297,95049.10059,93458.86744,89700.94971,85819.35338,82790.88566,80598.08822,77914.71813,74869.1332,72295.63044,70857.1118,70993.07599,68614.34122,66892.93251,65266.44513,64126.58332,62426.88704,61779.70068,61545.74967,59220.95336,56800.79317,54647.98026,53595.20203,54007.99158,52406.68447,50787.18601,49837.51279,49824.45948,47815.91461,46082.54158,45189.37074,45265.78386,43686.47385,42939.42945,42811.1342,41583.77236,41359.84545,39765.57183,39764.51447,39046.84094,39351.22696,38598.37238,38465.46964,36464.48744,35819.43585,35915.28974,34077.88643,32454.35959,31763.27088,32188.5268,30946.53725,30933.25887,31444.60596,30496.49693,31538.75054,30896.7677,30977.31265,29377.57987,28646.48341,27614.8379,26320.45766,25455.0021,25137.4852,25880.52501,24443.50138,23310.87034,22346.64509,21627.65867,22370.04197,23497.96469,22419.9269,21785.04546,21294.77953,22132.34241,23357.69821,24241.55463,23221.90648,22663.75215
SWH,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111183.7422,109466.2792,107959.4145,106682.7082,105307.7122,103948.4576,102746.3196,101790.9603,100970.3645,100388.227,99777.34383,99250.2377,99624.18099,100077.9445,100328.974,100158.9842,99941.08401,99585.97415,99073.5101,98783.63677,98378.63548,97921.79378,97419.80983,96986.80254,96704.22474,96396.70094,96198.53149,95942.45462,95715.37286,95570.20181,95577.28938,95404.84815,95265.67894,95051.03199,94850.68676,94894.34365,94743.74746,94517.71612,94453.87673,94555.19766,94683.75578,94677.11335,94661.96712,94609.112,94642.93759,94724.42758,94688.10549,94508.76405,94549.45487,94568.72828,94600.06193,94633.1614,94823.58124,94950.87617,94901.86383,94970.55454,95058.96249,95166.63124,95198.15516,95269.52638,95173.51984,95344.43289,95477.34174,95640.43601,95714.66909,95960.39614,96279.04101,96848.9507,97000.53365,97099.05357,97283.95864,97576.98916,97835.40256,97934.24033,98089.75048,98380.09584,98801.86758,98853.58549,99148.45982,99306.41544,99262.74738,98463.47322,98863.37696,99376.16649,98841.91963,98210.19636,96959.65915,96233.2064,96858.94525
HWH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111829.4758,112464.6246,112241.2751,112035.517,111949.3206,112087.3324,112518.0569,112824.6673,113359.4276,113904.6533,114324.3769,115059.0912,115715.941,116745.3317,118111.2441,119676.569,120906.3883,122504.3932,123244.0436,124360.2356,125605.83,126083.1894,126561.7545,126943.2043,127709.4022,128189.8165,128905.7129,129360.8917,129639.8194,129748.9214,130052.2475,130193.3175,130573.8467,130731.1533,130697.876,131076.818,131667.2554,131239.4649,130892.2642,130470.5166,130397.3335,130615.1247,130316.0248,130033.3419,129969.15,130153.203,130105.1506,129888.5067,130044.2695,129980.8508,129759.7159,129604.6577,129644.9439,129726.603,129461.1001,129522.0127,129087.2936,128912.3358,128603.0429,128432.3483,128222.6499,127848.1806,127817.1395,127464.6114,127400.389,127115.5175,127382.0937,127202.149,127002.3008,126471.634,126265.1882,126009.7542,125824.3084,125564.8732,125082.2132,124856.8891,124712.9328,123919.599,123232.8859,123477.3699,123289.4105,122806.0303,122546.9502,122506.0983,122427.2669,122496.3015,122190.9185,122252.4748,122029.6317
MWH,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740509.6519,741694.8013,739389.2475,752110.9946,741738.8987,736249.151,735559.7347,731578.1917,729609.0649,726851.0413,723042.4721,722693.4788,719395.0565,718706.5882,720066.3491,720780.1205,718001.827,738662.4264,740257.9279,733142.0383,731357.8373,721107.3287,713822.0177,707193.5988,706619.7231,705086.4653,707903.6941,708858.1609,707496.3033,703782.9271,701400.2518,699100.193,716890.2786,709773.9846,703876.9742,703344.1608,704953.8414,694506.8435,684760.8022,676220.9579,672322.8258,670665.8863,665136.8775,659922.5359,656152.2907,654975.4914,650574.1984,647107.16,655818.3836,666491.6496,655577.7055,648375.6659,644762.2271,641886.8966,634911.8571,630103.5258,625619.945,621715.6447,619424.6145,617945.4849,614601.7341,612258.5586,612714.8457,609929.9208,608613.8246,605609.529,608798.2836,625748.085,621908.4692,612633.588,606622.0687,601836.3758,600302.8381,597696.747,594923.2466,593937.1152,594697.6984,589689.2016,585127.459,584498.8775,584891.7614,582811.9188,581169.7548,580101.7694,576210.2497,576089.3953,587928.7733,601752.1367,599376.9302
FWH,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798008.0132,797538.469,795326.3497,805295.4229,797154.3429,792013.6604,789820.8466,784909.3471,781401.5444,776871.8197,771268.7108,767549.3709,763294.0957,760383.4786,758521.0119,756531.4687,752663.9545,764031.3871,764887.9362,753862.4808,745908.2385,733544.5818,722790.8105,712791.1601,706262.4554,701198.1777,701275.0047,700805.7162,699558.0647,697024.9323,696692.7971,696278.2879,709143.6953,705080.4355,701099.943,700244.9743,700432.1139,694851.0231,689712.1424,684709.9505,681974.6918,680051.4808,676182.4536,672124.25,668620.0819,666711.5883,663172.5122,659789.0435,665640.8272,672419.5345,664311.5628,658242.6061,654337.1924,651038.3411,646025.7342,641912.6035,638361.6069,635033.7166,632566.7742,630573.1491,627631.0012,625305.2769,624295.4019,621437.1628,619272.1095,616302.3727,617164.3798,627451.8211,625328.8278,618319.1396,613264.5243,608972.5815,606685.1547,604071.1145,601543.0377,600018.2341,599548.9347,596122.9743,592918.2752,591394.6539,590405.4178,588078.4955,586280.245,584823.6825,581454.3187,579966.4285,587661.0019,595931.8628,595674.0891
BES,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4829.894405,4890.439735,4978.799646,5041.101215,5085.65995,5113.410825,5155.675214,5182.699579,5204.150729,5213.776532,5221.980388,5234.936291,5236.358868,5255.850109,5284.5874,5311.026234,5328.540081,5331.209028,5330.569692,5346.530123,5350.013267,5275.871444,5259.527282,5259.898504,5251.527107,5244.974038,5280.852504,5301.29172,5279.839639,5273.081668,5239.581719,5233.034889,5221.255979,5200.275008,5184.207989,5188.717796,5209.621245,5183.852205,5175.72686,5160.790078,5174.209982,5187.020971,5189.52359,5159.11403,5145.517831,5142.851754,5141.940966,5124.995671,5136.369905,5123.72005,5113.432498,5094.291973,5094.210657,5100.975902,5077.5076,5055.071559,5020.624898,5031.551777,5031.503671,5022.641884,5014.013818,4971.676939,4964.341408,4951.476472,4962.090109,4961.173746,4994.863254,4998.674926,5005.37345,4999.038139,5003.642552,4994.498435,4996.636493,4986.856852,4972.648736,4986.926351,4978.970038,4966.386919,4953.648873,4924.391451,4928.862599,4938.498289,4919.797092,4916.328151,4910.949505,4907.713274,4921.145112,4922.304633,4923.004112
HAS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22758.19817,20822.0326,18990.76504,17435.51471,16085.46406,14924.24256,14057.10365,13218.82366,12518.37574,11931.99125,11428.8251,11088.92158,10723.4221,10531.32859,10413.73405,10337.03165,10250.91504,10125.77855,9948.130702,9915.042431,9855.748464,9639.118307,9537.870976,9371.112653,9357.601772,9319.073751,9060.339561,8887.93876,8786.579544,8657.326988,8492.865853,8396.653037,8332.218968,8242.386456,8139.513757,8118.6671,8160.133243,8061.631799,7985.2286,7905.912319,7898.718582,7917.527498,7837.295229,7745.977447,7693.264843,7684.545302,7585.641722,7560.660291,7555.610338,7519.470658,7443.39171,7378.741616,7350.844594,7303.342418,7212.461663,7159.520371,7096.065515,7048.157408,7040.761503,7034.883648,6986.767822,6933.653659,6975.702656,6944.388318,6942.572242,6903.296523,6978.817129,6954.585228,6973.104085,6959.749699,6944.598068,6912.185612,6931.548858,6901.985134,6862.226066,6867.665996,6883.658538,6821.425895,6777.186416,6781.105872,6807.68665,6791.870335,6756.604687,6733.732619,6679.305912,6694.876815,6722.423864,6702.711891,6713.882032
HOS,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88136.80321,85780.06578,85002.55086,84309.40874,84162.65437,83805.75229,83599.08957,83318.77712,82913.17664,82380.08288,81918.041,81398.67337,80783.38306,80220.88357,79798.92839,79374.87111,78925.1847,78403.38477,77868.53535,77418.52445,76867.53728,76539.45491,76177.29517,75889.05008,75512.87534,75166.81953,74745.61298,74457.76078,74154.76698,74048.62778,73821.28796,73734.0733,73535.91254,73251.46078,73105.09762,72992.35045,72929.34523,72714.96481,72719.34062,72586.64839,72479.04968,72337.81956,72251.05899,72081.63186,71793.5564,71705.87764,71619.22327,71243.84686,71046.90743,70657.08909,70245.25446,69824.94386,69622.1614,69496.37555,69218.12918,68996.50179,68799.25545,68745.99434,68646.56276,68564.42419,68449.17638,68132.8294,68037.56477,67890.6805,67788.59607,67697.74402,67675.42324,67498.68773,67362.02083,67180.353,67183.41777,67103.16926,66970.78429,66821.30987,66618.19636,66645.06576,66630.29385,66596.21523,66540.96318,66364.76196,66402.32239,66475.822,66426.46712,66375.51278,66378.88595,66277.6082,66402.82127,66383.03324,66361.24363
RIS,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4696.912686,4697.554689,4701.617406,4701.748053,4707.115943,4705.584096,4719.413907,4734.568464,4743.547365,4743.116086,4741.823559,4736.996663,4724.540934,4718.931316,4727.770165,4738.826039,4747.543616,4746.481219,4740.610024,4742.179813,4737.107818,4702.384328,4680.204347,4668.858701,4654.47189,4641.477704,4647.951077,4652.501341,4637.781097,4633.256769,4615.349775,4610.563131,4603.661672,4585.159957,4572.530888,4567.417866,4576.00603,4562.829615,4558.942603,4549.392325,4550.556034,4559.359872,4568.901281,4559.197899,4541.433189,4537.049623,4538.896263,4523.672513,4527.653349,4518.693074,4505.188187,4484.601082,4476.252683,4477.323322,4458.7154,4437.158388,4412.12079,4409.598041,4404.444369,4397.397318,4392.380608,4365.782586,4354.340119,4340.629629,4341.355574,4340.492274,4357.201863,4368.024154,4376.515624,4371.657862,4374.714862,4377.921633,4378.226826,4372.547268,4361.993233,4370.239804,4367.889392,4360.874703,4357.15287,4335.188295,4325.234289,4325.342568,4315.232002,4311.240831,4312.319843,4306.669069,4313.26373,4311.465975,4310.197524
