indicatorID,indicator_name,model_group,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
1,Greenland halibut,GRH,1070452.63,1062427.285,1053019.399,1044237.59,1033776.994,1024122.902,1021692.119,1018679.48,1017704.098,1015541.302,1013468.705,1015387.602,1010052.19,1004543.903,1012416.084,1017594.079,1019889.64,1029246.716,1032186.662,1023377.869,1024934.148,1016417.402,1016621.094,1017893.625,1008275.573,999810.5568,996344.6111,994182.5495,995182.8016,998712.5643,997190.1229,999729.2391,998071.4941,993681.1898,990656.8578,990237.3517,915988.5396,849262.3216,794937.3016,748893.4775,716268.7865,691591.1334,672271.6686,659519.4923,652971.8712,653199.3141,651645.3769,647780.4973,647544.1314,645443.0466,642515.6927,638132.3837,635359.6386,633253.2181,630373.8221,627121.6635,626873.7759,626703.9356,625863.1959,625550.064,624523.6741,622881.2387,622966.1448,623443.6602,623959.3827,624376.4457,626687.1642,630850.9647,633379.8673,632212.995,631634.6363,631938.027,632203.3889,631946.1276,631250.6788,633056.9753,633345.6379,632733.6857,630648.6544,628925.3201,626809.538,626916.5726,625221.8503,624545.7239,623313.4647,621804.2448,620914.5149,621866.5688,620515.3779
2,Blue ling,DEO,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361746.701,1345719.641,1339240.965,1328295.026,1329583.78,1325728.258,1324356.901,1329200.973,1329972.93,1336980.182,1337649.361,1340331.18,1359956.508,1378988.631,1384852.953,1377279.71,1378688.353,1377543.74,1371336.394,1365929.5,1366204.51,1365139.472,1364103.407,1364394.161,1362786.654,1371385.503,1381504.013,1380269.106,1378764.843,1383263.87,1394311.843,1416188.143,1414255.223,1412123.677,1411126.098,1412052.936,1414644.622,1413696.081,1415794.972,1421903.238,1425305.724,1422767.434,1422975.896,1424989.153,1424639.766,1423645.605,1424138.695,1426735.659,1423250.769,1420463.027,1436153.608,1452823.861,1454034.228
3,Blue mussel,BFF,9421586.993,9698665.401,9728806.873,9801631.062,9862991.081,9929745.403,10240369.07,10347061.3,10420950.74,10477707.78,10792071.91,10837711.72,10906481.09,11004083.33,11045749.49,11477260.29,11582978.33,11669455.16,11749491.03,12200948.64,12289130.86,12380790.06,12475674.1,12988841.81,13131420,13234318.57,13342774.61,13894529.15,14000028.47,14113019.03,14657766.03,14780823.14,14918622.96,15514060.94,15593876.91,15740528.1,16352801.18,16510993.83,16630240.11,17200430.42,17350596.57,17432341.1,18052743.79,18215204.89,18342972.5,19003595.37,19066221.37,19214475.97,19868039.31,20025902.22,20158535.54,20786561.68,20938374.2,21081573.59,21675474.58,21837771.21,21944062.12,22484722.16,22669012.77,22844375.14,23422508.12,23568270.87,24131695.28,24299331.94,24434158.04,24952587.67,25098640.83,25575334.85,25609096.73,25783889.64,26251287.49,26447667.19,26594424.19,27069466.35,27218092.02,27388388.05,27828108.93,27968707.62,28351442.28,28529387.1,28936321.89,29091546.53,29231203.46,29638309.78,29798625.23,30160809.02,30292072.44,30463733.52,30804337.55
4,Tusk,DEO,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361746.701,1345719.641,1339240.965,1328295.026,1329583.78,1325728.258,1324356.901,1329200.973,1329972.93,1336980.182,1337649.361,1340331.18,1359956.508,1378988.631,1384852.953,1377279.71,1378688.353,1377543.74,1371336.394,1365929.5,1366204.51,1365139.472,1364103.407,1364394.161,1362786.654,1371385.503,1381504.013,1380269.106,1378764.843,1383263.87,1394311.843,1416188.143,1414255.223,1412123.677,1411126.098,1412052.936,1414644.622,1413696.081,1415794.972,1421903.238,1425305.724,1422767.434,1422975.896,1424989.153,1424639.766,1423645.605,1424138.695,1426735.659,1423250.769,1420463.027,1436153.608,1452823.861,1454034.228
5,Fin whale,FWH,798008.0132,797538.469,795326.3497,805295.4229,797154.3429,792013.6604,789820.8466,784909.3471,781401.5444,776871.8197,771268.7108,767549.3709,763294.0957,760383.4786,758521.0119,756531.4687,752663.9545,764031.3871,764887.9362,753862.4808,745908.2385,733544.5818,722790.8105,712791.1601,706262.4554,701198.1777,701275.0047,700805.7162,699558.0647,697024.9323,696692.7971,696278.2879,709143.6953,705080.4355,701099.943,700244.9743,700432.1139,694851.0231,689712.1424,684709.9505,681974.6918,680051.4808,676182.4536,672124.25,668620.0819,666711.5883,663172.5122,659789.0435,665640.8272,672419.5345,664311.5628,658242.6061,654337.1924,651038.3411,646025.7342,641912.6035,638361.6069,635033.7166,632566.7742,630573.1491,627631.0012,625305.2769,624295.4019,621437.1628,619272.1095,616302.3727,617164.3798,627451.8211,625328.8278,618319.1396,613264.5243,608972.5815,606685.1547,604071.1145,601543.0377,600018.2341,599548.9347,596122.9743,592918.2752,591394.6539,590405.4178,588078.4955,586280.245,584823.6825,581454.3187,579966.4285,587661.0019,595931.8628,595674.0891
6,Wolffish,DEL,77588.29485,77938.13882,78230.29921,78101.08962,77715.24637,77356.28237,77641.41615,77654.87235,77619.37682,77597.03128,77399.86689,77133.8129,76774.1192,76842.88503,77094.31184,77388.22701,77747.99726,77794.16262,77556.57669,77558.75844,77620.24959,77060.55327,76435.01605,76278.66421,75969.86997,75738.00293,75946.81227,75592.56586,75085.56911,74435.56785,73927.7191,73749.3939,73608.27553,73468.01676,73325.99492,73447.72227,73917.41238,74075.92183,74166.08405,74116.36096,74528.61606,75174.40404,75440.32073,75340.39373,75246.47765,75257.16194,75339.92108,75218.62763,75382.59043,75454.70483,75352.45108,75061.79019,74947.17472,75072.71447,74896.77165,74553.6694,74313.32713,74131.1102,73950.45193,73775.62412,73603.7969,73349.37353,73528.21942,73543.92076,73713.28824,73686.0778,74119.03491,74538.84156,74902.76395,74739.10749,74484.95735,74194.70581,74185.48219,74081.69334,73955.18098,74187.15059,74293.32073,74028.45305,73905.24074,73702.45036,73597.49807,73489.44506,73386.88822,73420.48101,73343.61065,73083.23051,72806.993,72941.92767,72892.78369
7,Hooded seal,HOS,88136.80321,85780.06578,85002.55086,84309.40874,84162.65437,83805.75229,83599.08957,83318.77712,82913.17664,82380.08288,81918.041,81398.67337,80783.38306,80220.88357,79798.92839,79374.87111,78925.1847,78403.38477,77868.53535,77418.52445,76867.53728,76539.45491,76177.29517,75889.05008,75512.87534,75166.81953,74745.61298,74457.76078,74154.76698,74048.62778,73821.28796,73734.0733,73535.91254,73251.46078,73105.09762,72992.35045,72929.34523,72714.96481,72719.34062,72586.64839,72479.04968,72337.81956,72251.05899,72081.63186,71793.5564,71705.87764,71619.22327,71243.84686,71046.90743,70657.08909,70245.25446,69824.94386,69622.1614,69496.37555,69218.12918,68996.50179,68799.25545,68745.99434,68646.56276,68564.42419,68449.17638,68132.8294,68037.56477,67890.6805,67788.59607,67697.74402,67675.42324,67498.68773,67362.02083,67180.353,67183.41777,67103.16926,66970.78429,66821.30987,66618.19636,66645.06576,66630.29385,66596.21523,66540.96318,66364.76196,66402.32239,66475.822,66426.46712,66375.51278,66378.88595,66277.6082,66402.82127,66383.03324,66361.24363
8,Haddock,HAD,70493.78408,67715.77419,69555.76728,99390.38597,131244.8488,148035.8177,143840.3884,110014.009,86039.86099,76470.31694,255958.757,487428.9235,620031.4737,699467.8443,670038.6233,549582.8672,399330.6454,269414.3349,196881.7793,202493.9241,230456.8277,245244.872,242157.9862,281067.0416,321852.3753,395691.2714,530069.536,657241.3278,760058.3697,810260.4805,783965.0661,650556.6273,513324.8981,429661.8798,378184.3884,369734.7765,385040.8018,381476.2388,362596.5132,327532.6521,439415.6622,582885.6183,643700.2676,647233.3002,608501.9463,510230.6414,421038.9897,355005.4155,314849.1709,282550.2372,254480.6466,228303.1865,202619.712,184832.2727,168033.5071,151591.6639,139074.5185,128027.045,117554.2278,110394.8642,100347.2968,95315.17764,93609.68718,136519.3694,185686.015,217233.0435,231396.5802,226382.094,200104.1297,177396.6035,151200.9141,133424.3985,121974.9883,116175.9415,112462.0596,109238.0503,105169.1713,100310.2315,155287.2398,220777.2743,252668.1792,265938.7713,261927.8005,231082.3982,206231.0706,184177.8865,387782.4954,638656.9566,766419.2584
9,Blue whiting,BWH,7310678.551,6785716.398,6780900.265,6818389,6804491.942,6723963.946,6418195.189,6277518.782,6183578.598,5977879.252,6028984.515,6611151.971,7066030.158,7434117.343,7841183.105,8052800.46,8105757.643,8467209.344,8406897.468,8233977.549,7972632.346,7746794.068,7861343.42,7601044.521,7217171.172,6874029.678,6508530.4,6091912.485,5781868.811,6010290.995,6410398.139,7546831.171,8332284.486,8807379.284,8773320.704,8671927.345,7864931.086,7190895.172,6615111.327,6137765.463,5779107.411,5571155.204,5393479.747,5309980.846,5247661.045,5205255.339,5187629.538,5158305.582,5171078.434,5182830.898,5210357.748,5184760.483,5185755.633,5174453.537,5177134.633,5177380.472,5168966.945,5160429.761,5158840.589,5177124.424,5167419.586,5169490.022,5172232.936,5174766.221,5182431.626,5192004.936,5190408.696,5183994.795,5213107.649,5207386.429,5203447.962,5207046.953,5219850.96,5201427.248,5196839.875,5189360.949,5187298.287,5176139.889,5170790.138,5189731.887,5164699.756,5149632.316,5137769.815,5136207.179,5146654.269,5175037.316,5165378.632,5194585.778,5202128.265
10,Atlantic halibut,DEL,77588.29485,77938.13882,78230.29921,78101.08962,77715.24637,77356.28237,77641.41615,77654.87235,77619.37682,77597.03128,77399.86689,77133.8129,76774.1192,76842.88503,77094.31184,77388.22701,77747.99726,77794.16262,77556.57669,77558.75844,77620.24959,77060.55327,76435.01605,76278.66421,75969.86997,75738.00293,75946.81227,75592.56586,75085.56911,74435.56785,73927.7191,73749.3939,73608.27553,73468.01676,73325.99492,73447.72227,73917.41238,74075.92183,74166.08405,74116.36096,74528.61606,75174.40404,75440.32073,75340.39373,75246.47765,75257.16194,75339.92108,75218.62763,75382.59043,75454.70483,75352.45108,75061.79019,74947.17472,75072.71447,74896.77165,74553.6694,74313.32713,74131.1102,73950.45193,73775.62412,73603.7969,73349.37353,73528.21942,73543.92076,73713.28824,73686.0778,74119.03491,74538.84156,74902.76395,74739.10749,74484.95735,74194.70581,74185.48219,74081.69334,73955.18098,74187.15059,74293.32073,74028.45305,73905.24074,73702.45036,73597.49807,73489.44506,73386.88822,73420.48101,73343.61065,73083.23051,72806.993,72941.92767,72892.78369
