indicatorID,indicator_name,model_group,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
1,Greenland halibut,GRH,1070452.63,1062427.285,1053019.399,1044237.59,1033776.994,1024122.902,1021692.119,1018679.48,1017704.098,1015541.302,1013468.705,1015387.602,1010052.19,1004543.903,1012416.084,1017594.079,1019889.64,1029246.716,1032186.662,1023377.869,1024934.148,1016417.402,1016621.094,1017893.625,1008275.573,999810.5568,996344.6111,994182.5495,995182.8016,998712.5643,997190.1229,999729.2391,998071.4941,993681.1898,990656.8578,990237.3517,924875.5255,864863.067,815774.7778,773759.4549,744351.7561,722097.7863,704428.2215,692662.2458,686777.1145,687903.7674,687026.4299,683088.2561,683210.793,681533.5387,679874.0816,678274.4009,677707.4481,676108.955,672153.0587,667433.9074,666461.0162,665568.7127,664125.9682,662924.5133,660950.8994,658494.0167,658298.5029,656138.9712,656364.9703,657748.52,662548.4132,665751.8366,669402.919,667623.8891,668640.2183,669088.9086,669828.4521,669678.0537,669693.4746,670251.6294,670645.1595,669165.5057,668667.6556,667159.3979,666477.7329,665781.3929,662423.4431,660250.2244,659190.0556,657479.4067,658884.7001,655638.9768,656912.5396
2,Blue ling,DEO,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361817.384,1345947.012,1339624.698,1328934.877,1330587.391,1326817.212,1325587.868,1330498.332,1331451.103,1338928.597,1339770.99,1343288.135,1366115.209,1382330.497,1388769.907,1387981.665,1388538.107,1387035.568,1379091.987,1372242.918,1372883.238,1370645.467,1368662.148,1366688.492,1363003.599,1366071.414,1370808.5,1372593.107,1380625.027,1406939.936,1416008.216,1414440.774,1412333.266,1410253.389,1409340.782,1410341.952,1411796.062,1411880.86,1414019.592,1419226.035,1422959.484,1422704.91,1424754.63,1428095.602,1428942.734,1426371.991,1424579.338,1442956.947,1453270.902,1446252.685,1447195.827,1442551.259,1448922.465
3,Blue mussel,BFF,9421586.993,9698665.401,9728806.873,9801631.062,9862991.081,9929745.403,10240369.07,10347061.3,10420950.74,10477707.78,10792071.91,10837711.72,10906481.09,11004083.33,11045749.49,11477260.29,11582978.33,11669455.16,11749491.03,12200948.64,12289130.86,12380790.06,12475674.1,12988841.81,13131420,13234318.57,13342774.61,13894529.15,14000028.47,14113019.03,14657766.03,14780823.14,14918622.96,15514060.94,15593876.91,15740528.1,16353079.39,16511437.27,16630837.98,17215680.84,17365029.34,17443544.17,18065673.03,18225864.46,18355871.43,19022366.8,19081618.31,19232841.64,19884576.39,20040688.16,20184385.05,20792122.05,20943718.23,21087244.47,21697694.35,21834193.65,21956220.05,22498625.36,22712541.81,23244307.38,23424410.81,23553843.46,24146742.03,24259967.77,24800933.86,24946309.95,25117406.73,25602750.66,25757633.57,25884886.69,26411417.71,26536288.9,26698472.78,27158418.86,27330750.88,27736519.98,27919155.7,28052521.83,28490724.67,28640042.51,28933674.79,29119657.06,29355649.4,29610254.58,29941067.9,30151849.04,30475583.66,30662745.1,30867926.64
4,Tusk,DEO,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361817.384,1345947.012,1339624.698,1328934.877,1330587.391,1326817.212,1325587.868,1330498.332,1331451.103,1338928.597,1339770.99,1343288.135,1366115.209,1382330.497,1388769.907,1387981.665,1388538.107,1387035.568,1379091.987,1372242.918,1372883.238,1370645.467,1368662.148,1366688.492,1363003.599,1366071.414,1370808.5,1372593.107,1380625.027,1406939.936,1416008.216,1414440.774,1412333.266,1410253.389,1409340.782,1410341.952,1411796.062,1411880.86,1414019.592,1419226.035,1422959.484,1422704.91,1424754.63,1428095.602,1428942.734,1426371.991,1424579.338,1442956.947,1453270.902,1446252.685,1447195.827,1442551.259,1448922.465
5,Fin whale,FWH,798008.0132,797538.469,795326.3497,805295.4229,797154.3429,792013.6604,789820.8466,784909.3471,781401.5444,776871.8197,771268.7108,767549.3709,763294.0957,760383.4786,758521.0119,756531.4687,752663.9545,764031.3871,764887.9362,753862.4808,745908.2385,733544.5818,722790.8105,712791.1601,706262.4554,701198.1777,701275.0047,700805.7162,699558.0647,697024.9323,696692.7971,696278.2879,709143.6953,705080.4355,701099.943,700244.9743,700433.2899,694855.0915,689719.4217,684719.2601,681986.1579,680063.6763,676192.1638,672133.7479,668630.0164,666722.5395,663186.5999,659810.7217,669353.9259,674792.4715,666219.3862,659830.4141,655704.0346,652250.4733,647117.3182,642931.4858,639334.6869,635966.8858,633476.6323,631462.2341,628383.6385,626020.5052,625035.1214,622297.0557,620123.257,628451.6636,637221.5305,630987.8414,626291.7559,620030.5059,615287.0456,611210.876,609042.556,606498.2911,604011.6275,602513.7886,602052.0664,598631.6764,595431.0023,593887.6455,592917.588,590616.1748,588755.211,598763.7035,604570.5827,599068.3023,597676.0344,593136.318,590889.9486
6,Wolffish,DEL,77588.29485,77938.13882,78230.29921,78101.08962,77715.24637,77356.28237,77641.41615,77654.87235,77619.37682,77597.03128,77399.86689,77133.8129,76774.1192,76842.88503,77094.31184,77388.22701,77747.99726,77794.16262,77556.57669,77558.75844,77620.24959,77060.55327,76435.01605,76278.66421,75969.86997,75738.00293,75946.81227,75592.56586,75085.56911,74435.56785,73927.7191,73749.3939,73608.27553,73468.01676,73325.99492,73447.72227,73912.02657,74055.14973,74127.00638,74056.90903,74451.27491,75080.79422,75328.65463,75219.04908,75120.15284,75135.04277,75213.77868,75102.96836,75306.13346,75380.12879,75321.14718,75084.19268,74996.8605,75107.86457,74895.92653,74486.11144,74208.61455,74045.99799,73861.32333,73654.8467,73458.26496,73166.19365,73274.56769,73235.79437,73393.7662,73473.73863,73965.48901,74362.91351,74685.4562,74545.23205,74341.532,74048.26504,74057.81242,73910.356,73759.83032,73926.82686,74012.44612,73779.75181,73713.69528,73504.28862,73464.07479,73416.81829,73234.89505,73232.75445,73267.29657,73091.48136,73091.80233,72785.643,72749.75194
7,Hooded seal,HOS,88136.80321,85780.06578,85002.55086,84309.40874,84162.65437,83805.75229,83599.08957,83318.77712,82913.17664,82380.08288,81918.041,81398.67337,80783.38306,80220.88357,79798.92839,79374.87111,78925.1847,78403.38477,77868.53535,77418.52445,76867.53728,76539.45491,76177.29517,75889.05008,75512.87534,75166.81953,74745.61298,74457.76078,74154.76698,74048.62778,73821.28796,73734.0733,73535.91254,73251.46078,73105.09762,72992.35045,72929.34492,72714.96262,72719.33435,72586.63586,72479.02478,72337.78345,72251.00783,72081.55956,71793.49001,71705.85845,71619.20965,71243.75348,71046.93031,70657.4961,70245.39643,69825.0843,69622.56711,69496.36553,69218.07559,68996.71983,68799.09431,68745.76498,68646.61741,68564.15594,68448.7571,68132.84545,68037.68066,67890.66765,67788.84387,67697.61898,67675.20103,67498.68295,67361.66307,67179.91247,67183.22188,67102.65508,66970.11647,66820.8374,66617.38096,66644.07723,66629.65978,66595.85923,66540.42276,66364.07712,66401.61482,66475.32517,66425.89499,66375.13154,66378.28502,66276.8577,66402.064,66382.48942,66360.50391
8,Haddock,HAD,70493.78408,67715.77419,69555.76728,99390.38597,131244.8488,148035.8177,143840.3884,110014.009,86039.86099,76470.31694,255958.757,487428.9235,620031.4737,699467.8443,670038.6233,549582.8672,399330.6454,269414.3349,196881.7793,202493.9241,230456.8277,245244.872,242157.9862,281067.0416,321852.3753,395691.2714,530069.536,657241.3278,760058.3697,810260.4805,783965.0661,650556.6273,513324.8981,429661.8798,378184.3884,369734.7765,394034.9539,398917.425,387198.9768,356848.0328,473000.1992,627507.4256,700146.6565,714664.8158,683486.8194,584011.3214,489114.7476,514836.3519,591580.8508,625007.7022,623234.8128,587058.4494,503888.1908,435058.2081,366201.205,312964.0504,274066.278,243431.2436,217266.0377,198191.0629,175528.9353,161801.4486,148386.8781,134565.0148,122686.8071,115747.5247,109459.8522,98940.45289,95264.35291,93957.9416,128918.4172,171492.7158,194698.6357,200964.9801,195467.5993,172606.7524,157038.4949,145905.6924,140813.9649,135515.0071,130526.3567,125576.4356,237555.2759,376710.9601,456201.4732,486119.677,479425.0697,437114.1557,412517.0409
9,Blue whiting,BWH,7310678.551,6785716.398,6780900.265,6818389,6804491.942,6723963.946,6418195.189,6277518.782,6183578.598,5977879.252,6028984.515,6611151.971,7066030.158,7434117.343,7841183.105,8052800.46,8105757.643,8467209.344,8406897.468,8233977.549,7972632.346,7746794.068,7861343.42,7601044.521,7217171.172,6874029.678,6508530.4,6091912.485,5781868.811,6010290.995,6410398.139,7546831.171,8332284.486,8807379.284,8773320.704,8671927.345,8027948.781,7472860.59,6976739.495,6550586.665,6224451.399,6041497.149,5879636.925,5793624.3,5744894.135,5714075.901,5700064.939,5690372.942,5711210.803,5723260.615,5772221.503,5759689.856,5762454.892,5753160.763,5733566.887,5721115.813,5716255.385,5700668.556,5697789.778,5722791.694,5693640.65,5674606.232,5660201.985,5657198.866,5666308.124,5686197.266,5723395.025,5719028.009,5715667.342,5724662.638,5729647.012,5719284.503,5712888.229,5710089.452,5710178.463,5700213.942,5707315.017,5703500.496,5698309.762,5714133.326,5710450.908,5713043.152,5691819.824,5685116.777,5691690.503,5699408.598,5716502.858,5702030.997,5736671.175
10,Atlantic halibut,DEL,77588.29485,77938.13882,78230.29921,78101.08962,77715.24637,77356.28237,77641.41615,77654.87235,77619.37682,77597.03128,77399.86689,77133.8129,76774.1192,76842.88503,77094.31184,77388.22701,77747.99726,77794.16262,77556.57669,77558.75844,77620.24959,77060.55327,76435.01605,76278.66421,75969.86997,75738.00293,75946.81227,75592.56586,75085.56911,74435.56785,73927.7191,73749.3939,73608.27553,73468.01676,73325.99492,73447.72227,73912.02657,74055.14973,74127.00638,74056.90903,74451.27491,75080.79422,75328.65463,75219.04908,75120.15284,75135.04277,75213.77868,75102.96836,75306.13346,75380.12879,75321.14718,75084.19268,74996.8605,75107.86457,74895.92653,74486.11144,74208.61455,74045.99799,73861.32333,73654.8467,73458.26496,73166.19365,73274.56769,73235.79437,73393.7662,73473.73863,73965.48901,74362.91351,74685.4562,74545.23205,74341.532,74048.26504,74057.81242,73910.356,73759.83032,73926.82686,74012.44612,73779.75181,73713.69528,73504.28862,73464.07479,73416.81829,73234.89505,73232.75445,73267.29657,73091.48136,73091.80233,72785.643,72749.75194
