,year,score,scenario,type,,
1,1980,0.844584418,Strict Conservation,overall,,
2,1981,0.799630103,Strict Conservation,overall,,
3,1982,0.803470976,Strict Conservation,overall,,
4,1983,0.806380205,Strict Conservation,overall,,
5,1984,0.800021832,Strict Conservation,overall,,
6,1985,0.81880074,Strict Conservation,overall,,
7,1986,0.827198722,Strict Conservation,overall,,
8,1987,0.868226569,Strict Conservation,overall,,
9,1988,0.880384562,Strict Conservation,overall,,
10,1989,0.89401823,Strict Conservation,overall,,
11,1990,0.859702886,Strict Conservation,overall,,
12,1991,0.832467181,Strict Conservation,overall,,
13,1992,0.844051975,Strict Conservation,overall,,
14,1993,0.851468086,Strict Conservation,overall,,
15,1994,0.858897371,Strict Conservation,overall,,
16,1995,0.85607922,Strict Conservation,overall,,
17,1996,0.847535388,Strict Conservation,overall,,
18,1997,0.844989907,Strict Conservation,overall,,
19,1998,0.838077287,Strict Conservation,overall,,
20,1999,0.839375107,Strict Conservation,overall,,
21,2000,0.829935717,Strict Conservation,overall,,
22,2001,0.826218927,Strict Conservation,overall,,
23,2002,0.833328679,Strict Conservation,overall,,
24,2003,0.848831908,Strict Conservation,overall,,
25,2004,0.8589155,Strict Conservation,overall,,
26,2005,0.853221612,Strict Conservation,overall,,
27,2006,0.859259263,Strict Conservation,overall,,
28,2007,0.887426576,Strict Conservation,overall,,
29,2008,0.821392063,Strict Conservation,overall,,
30,2009,0.811192593,Strict Conservation,overall,,
31,2010,0.820489546,Strict Conservation,overall,,
32,2011,0.844730403,Strict Conservation,overall,,
33,2012,0.818616888,Strict Conservation,overall,,
34,2013,0.810571405,Strict Conservation,overall,,
35,2014,0.812066024,Strict Conservation,overall,,
36,2015,0.832655296,Strict Conservation,overall,0.821294853,
37,2016,0.848896119,Strict Conservation,overall,,
38,2017,0.852070364,Strict Conservation,overall,,
39,2018,0.86542541,Strict Conservation,overall,,
40,2019,0.883724887,Strict Conservation,overall,,
41,2020,0.895500416,Strict Conservation,overall,,
42,2021,0.863801378,Strict Conservation,overall,,
43,2022,0.837373037,Strict Conservation,overall,,
44,2023,0.847127217,Strict Conservation,overall,,
45,2024,0.867289437,Strict Conservation,overall,,
46,2025,0.836631518,Strict Conservation,overall,,
47,2026,0.845995742,Strict Conservation,overall,,
48,2027,0.854598051,Strict Conservation,overall,,
49,2028,0.863638735,Strict Conservation,overall,,
50,2029,0.85951991,Strict Conservation,overall,,
51,2030,0.847317677,Strict Conservation,overall,0.852076791,3.747976443
52,2031,0.845105633,Strict Conservation,overall,,
53,2032,0.85936957,Strict Conservation,overall,,
54,2033,0.856684529,Strict Conservation,overall,,
55,2034,0.825143979,Strict Conservation,overall,,
56,2035,0.837970774,Strict Conservation,overall,,
57,2036,0.834346171,Strict Conservation,overall,,
58,2037,0.828659753,Strict Conservation,overall,,
59,2038,0.822613569,Strict Conservation,overall,,
60,2039,0.825985502,Strict Conservation,overall,,
61,2040,0.83518871,Strict Conservation,overall,,
62,2041,0.794134292,Strict Conservation,overall,,
63,2042,0.79374794,Strict Conservation,overall,,
64,2043,0.799413909,Strict Conservation,overall,,
65,2044,0.79399385,Strict Conservation,overall,,
66,2045,0.78249686,Strict Conservation,overall,,
67,2046,0.800577223,Strict Conservation,overall,,
68,2047,0.786236564,Strict Conservation,overall,,
69,2048,0.791073914,Strict Conservation,overall,,
70,2049,0.81306779,Strict Conservation,overall,,
71,2050,0.832687924,Strict Conservation,overall,0.79469047,-3.239321811
72,2051,0.789323714,Strict Conservation,overall,,
73,2052,0.802702947,Strict Conservation,overall,,
74,2053,0.798924691,Strict Conservation,overall,,
75,2054,0.782171053,Strict Conservation,overall,,
76,2055,0.794610518,Strict Conservation,overall,,
77,2056,0.81443985,Strict Conservation,overall,,
78,2057,0.802553163,Strict Conservation,overall,,
79,2058,0.803413106,Strict Conservation,overall,,
80,2059,0.8148395,Strict Conservation,overall,,
81,2060,0.8747381,Strict Conservation,overall,,
82,2061,0.810919577,Strict Conservation,overall,,
83,2062,0.786774812,Strict Conservation,overall,,
84,2063,0.803773234,Strict Conservation,overall,,
85,2064,0.797952085,Strict Conservation,overall,,
86,2065,0.786601581,Strict Conservation,overall,,
87,2066,0.799296127,Strict Conservation,overall,,
88,2067,0.797471843,Strict Conservation,overall,,
89,2068,0.805363989,Strict Conservation,overall,0.797018974,-2.955805635
90,1980,0.844584418,Precautionary Fishing,overall,,
91,1981,0.799630103,Precautionary Fishing,overall,,
92,1982,0.803470976,Precautionary Fishing,overall,,
93,1983,0.806380205,Precautionary Fishing,overall,,
94,1984,0.800021832,Precautionary Fishing,overall,,
95,1985,0.81880074,Precautionary Fishing,overall,,
96,1986,0.827198722,Precautionary Fishing,overall,,
97,1987,0.868226569,Precautionary Fishing,overall,,
98,1988,0.880384562,Precautionary Fishing,overall,,
99,1989,0.89401823,Precautionary Fishing,overall,,
100,1990,0.859702886,Precautionary Fishing,overall,,
101,1991,0.832467181,Precautionary Fishing,overall,,
102,1992,0.844051975,Precautionary Fishing,overall,,
103,1993,0.851468086,Precautionary Fishing,overall,,
104,1994,0.858897371,Precautionary Fishing,overall,,
105,1995,0.85607922,Precautionary Fishing,overall,,
106,1996,0.847535388,Precautionary Fishing,overall,,
107,1997,0.844989907,Precautionary Fishing,overall,,
108,1998,0.838077287,Precautionary Fishing,overall,,
109,1999,0.839375107,Precautionary Fishing,overall,,
110,2000,0.829935717,Precautionary Fishing,overall,,
111,2001,0.826218927,Precautionary Fishing,overall,,
112,2002,0.833328679,Precautionary Fishing,overall,,
113,2003,0.848831908,Precautionary Fishing,overall,,
114,2004,0.8589155,Precautionary Fishing,overall,,
115,2005,0.853221612,Precautionary Fishing,overall,,
116,2006,0.859259263,Precautionary Fishing,overall,,
117,2007,0.887426576,Precautionary Fishing,overall,,
118,2008,0.821392063,Precautionary Fishing,overall,,
119,2009,0.811192593,Precautionary Fishing,overall,,
120,2010,0.820489546,Precautionary Fishing,overall,,
121,2011,0.844730403,Precautionary Fishing,overall,,
122,2012,0.818616888,Precautionary Fishing,overall,,
123,2013,0.810571405,Precautionary Fishing,overall,,
124,2014,0.812066024,Precautionary Fishing,overall,,
125,2015,0.832655296,Precautionary Fishing,overall,0.821294853,
126,2016,0.846017853,Precautionary Fishing,overall,,
127,2017,0.845643455,Precautionary Fishing,overall,,
128,2018,0.85609494,Precautionary Fishing,overall,,
129,2019,0.872088963,Precautionary Fishing,overall,,
130,2020,0.878792755,Precautionary Fishing,overall,,
131,2021,0.844283879,Precautionary Fishing,overall,,
132,2022,0.820303439,Precautionary Fishing,overall,,
133,2023,0.827989471,Precautionary Fishing,overall,,
134,2024,0.83393467,Precautionary Fishing,overall,,
135,2025,0.818792689,Precautionary Fishing,overall,,
136,2026,0.816727745,Precautionary Fishing,overall,,
137,2027,0.834504717,Precautionary Fishing,overall,,
138,2028,0.849320073,Precautionary Fishing,overall,,
139,2029,0.864555511,Precautionary Fishing,overall,,
140,2030,0.827621356,Precautionary Fishing,overall,0.836780147,1.885473102
141,2031,0.826398068,Precautionary Fishing,overall,,
142,2032,0.843819309,Precautionary Fishing,overall,,
143,2033,0.842540467,Precautionary Fishing,overall,,
144,2034,0.81386885,Precautionary Fishing,overall,,
145,2035,0.824702415,Precautionary Fishing,overall,,
146,2036,0.811264948,Precautionary Fishing,overall,,
147,2037,0.832328653,Precautionary Fishing,overall,,
148,2038,0.809252536,Precautionary Fishing,overall,,
149,2039,0.832684873,Precautionary Fishing,overall,,
150,2040,0.834329627,Precautionary Fishing,overall,,
151,2041,0.803129348,Precautionary Fishing,overall,,
152,2042,0.818556088,Precautionary Fishing,overall,,
153,2043,0.812172719,Precautionary Fishing,overall,,
154,2044,0.801962316,Precautionary Fishing,overall,,
155,2045,0.809846779,Precautionary Fishing,overall,,
156,2046,0.82286525,Precautionary Fishing,overall,,
157,2047,0.798683706,Precautionary Fishing,overall,,
158,2048,0.800400866,Precautionary Fishing,overall,,
