"year","score","scenario","type"
1980,0.875874939814752,"Strict Conservation","benthic"
1981,0.881842079733515,"Strict Conservation","benthic"
1982,0.885734761021625,"Strict Conservation","benthic"
1983,0.897579034109216,"Strict Conservation","benthic"
1984,0.905650830253413,"Strict Conservation","benthic"
1985,0.911799187571698,"Strict Conservation","benthic"
1986,0.922076455137525,"Strict Conservation","benthic"
1987,0.921170178382149,"Strict Conservation","benthic"
1988,0.918750572235107,"Strict Conservation","benthic"
1989,0.918647742821616,"Strict Conservation","benthic"
1990,0.926531711973626,"Strict Conservation","benthic"
1991,0.925546293959341,"Strict Conservation","benthic"
1992,0.926071700986252,"Strict Conservation","benthic"
1993,0.926720495299952,"Strict Conservation","benthic"
1994,0.927859317054566,"Strict Conservation","benthic"
1995,0.928797398937161,"Strict Conservation","benthic"
1996,0.93002097480242,"Strict Conservation","benthic"
1997,0.929496779855337,"Strict Conservation","benthic"
1998,0.924826375363329,"Strict Conservation","benthic"
1999,0.92460842641691,"Strict Conservation","benthic"
2000,0.926751247571539,"Strict Conservation","benthic"
2001,0.926995400626259,"Strict Conservation","benthic"
2002,0.926790231997909,"Strict Conservation","benthic"
2003,0.926920366358999,"Strict Conservation","benthic"
2004,0.92734230839134,"Strict Conservation","benthic"
2005,0.926878786183131,"Strict Conservation","benthic"
2006,0.927388591035069,"Strict Conservation","benthic"
2007,0.926770346206529,"Strict Conservation","benthic"
2008,0.926306834972995,"Strict Conservation","benthic"
2009,0.925584771519958,"Strict Conservation","benthic"
2010,0.924214176211964,"Strict Conservation","benthic"
2011,0.923419791045785,"Strict Conservation","benthic"
2012,0.922621808192246,"Strict Conservation","benthic"
2013,0.921636180075176,"Strict Conservation","benthic"
2014,0.92103057062313,"Strict Conservation","benthic"
2015,0.921031747618452,"Strict Conservation","benthic"
2016,0.924161518783054,"Strict Conservation","benthic"
2017,0.926645216945714,"Strict Conservation","benthic"
2018,0.929248996168287,"Strict Conservation","benthic"
2019,0.931725690193305,"Strict Conservation","benthic"
2020,0.934777093528151,"Strict Conservation","benthic"
2021,0.936618712720889,"Strict Conservation","benthic"
2022,0.936277675547846,"Strict Conservation","benthic"
2023,0.935536910119267,"Strict Conservation","benthic"
2024,0.934865634958987,"Strict Conservation","benthic"
2025,0.934417559029091,"Strict Conservation","benthic"
2026,0.93401336117457,"Strict Conservation","benthic"
2027,0.933769767685933,"Strict Conservation","benthic"
2028,0.933647416886337,"Strict Conservation","benthic"
