"year","score","scenario","type"
1980,0.876727691372942,"Strict Conservation","pelagic"
1981,0.784578253916433,"Strict Conservation","pelagic"
1982,0.78842716142449,"Strict Conservation","pelagic"
1983,0.789318482039967,"Strict Conservation","pelagic"
1984,0.773255521093919,"Strict Conservation","pelagic"
1985,0.804386834777071,"Strict Conservation","pelagic"
1986,0.809401091556972,"Strict Conservation","pelagic"
1987,0.883618162847688,"Strict Conservation","pelagic"
1988,0.904481859037222,"Strict Conservation","pelagic"
1989,0.928544185852377,"Strict Conservation","pelagic"
1990,0.857735083522687,"Strict Conservation","pelagic"
1991,0.807105729034031,"Strict Conservation","pelagic"
1992,0.827825522963336,"Strict Conservation","pelagic"
1993,0.840698940391952,"Strict Conservation","pelagic"
1994,0.853600390862143,"Strict Conservation","pelagic"
1995,0.847645295810351,"Strict Conservation","pelagic"
1996,0.831211401107938,"Strict Conservation","pelagic"
1997,0.825913041924912,"Strict Conservation","pelagic"
1998,0.812584094718244,"Strict Conservation","pelagic"
1999,0.814029882092394,"Strict Conservation","pelagic"
2000,0.795848620372478,"Strict Conservation","pelagic"
2001,0.78834749925399,"Strict Conservation","pelagic"
2002,0.80063250140229,"Strict Conservation","pelagic"
2003,0.828368173531107,"Strict Conservation","pelagic"
2004,0.846110037899689,"Strict Conservation","pelagic"
2005,0.834881535013442,"Strict Conservation","pelagic"
2006,0.845311769911844,"Strict Conservation","pelagic"
2007,0.896414743514993,"Strict Conservation","pelagic"
2008,0.774765685080585,"Strict Conservation","pelagic"
2009,0.755519519051431,"Strict Conservation","pelagic"
2010,0.771956688924591,"Strict Conservation","pelagic"
2011,0.815771022889368,"Strict Conservation","pelagic"
2012,0.767283958259349,"Strict Conservation","pelagic"
2013,0.751821775252222,"Strict Conservation","pelagic"
2014,0.753875223475137,"Strict Conservation","pelagic"
2015,0.790901396832254,"Strict Conservation","pelagic"
2016,0.820118575277464,"Strict Conservation","pelagic"
2017,0.825439965405587,"Strict Conservation","pelagic"
2018,0.849500914995776,"Strict Conservation","pelagic"
2019,0.882606023703,"Strict Conservation","pelagic"
2020,0.90362026793702,"Strict Conservation","pelagic"
2021,0.844693275399688,"Strict Conservation","pelagic"
2022,0.795337296093541,"Strict Conservation","pelagic"
2023,0.812332752365712,"Strict Conservation","pelagic"
2024,0.848352968221882,"Strict Conservation","pelagic"
2025,0.791155733965258,"Strict Conservation","pelagic"
2026,0.807417891176418,"Strict Conservation","pelagic"
2027,0.822288331231659,"Strict Conservation","pelagic"
2028,0.837874598932239,"Strict Conservation","pelagic"
2029,0.829235233829287,"Strict Conservation","pelagic"
2030,0.805827009999667,"Strict Conservation","pelagic"
2031,0.800658018978537,"Strict Conservation","pelagic"
2032,0.825721628948041,"Strict Conservation","pelagic"
2033,0.819622663260577,"Strict Conservation","pelagic"
2034,0.760662902257125,"Strict Conservation","pelagic"
2035,0.78304993835977,"Strict Conservation","pelagic"
2036,0.775282950692536,"Strict Conservation","pelagic"
2037,0.763851316126508,"Strict Conservation","pelagic"
2038,0.751743441177606,"Strict Conservation","pelagic"
2039,0.756827986135232,"Strict Conservation","pelagic"
2040,0.772625450853137,"Strict Conservation","pelagic"
2041,0.696280839495159,"Strict Conservation","pelagic"
2042,0.694343541123599,"Strict Conservation","pelagic"
2043,0.703490061719341,"Strict Conservation","pelagic"
2044,0.692298826304696,"Strict Conservation","pelagic"
2045,0.669962538164529,"Strict Conservation","pelagic"
2046,0.70181343192826,"Strict Conservation","pelagic"
2047,0.674242800193907,"Strict Conservation","pelagic"
2048,0.681820793954631,"Strict Conservation","pelagic"
2049,0.720966801064789,"Strict Conservation","pelagic"
2050,0.755918038023253,"Strict Conservation","pelagic"
2051,0.675265316665698,"Strict Conservation","pelagic"
2052,0.698567586401922,"Strict Conservation","pelagic"
2053,0.690419278591,"Strict Conservation","pelagic"
