"year","score","scenario","type"
1980,1,"local","overall"
1981,0.923851743637491,"local","overall"
1982,0.912482511233855,"local","overall"
1983,0.906424250312808,"local","overall"
1984,0.866505236288913,"local","overall"
1985,0.883332408377587,"local","overall"
1986,0.880524282744761,"local","overall"
1987,0.903635422034307,"local","overall"
1988,0.931950076007772,"local","overall"
1989,0.967474302730149,"local","overall"
1990,0.930559581493856,"local","overall"
1991,0.896718859833369,"local","overall"
1992,0.928482530930219,"local","overall"
1993,0.93082201587369,"local","overall"
1994,0.942163246144022,"local","overall"
1995,0.934224251101112,"local","overall"
1996,0.935122259380877,"local","overall"
1997,0.939328380570225,"local","overall"
1998,0.93732408814424,"local","overall"
1999,0.933435015380919,"local","overall"
2000,0.914565305998072,"local","overall"
2001,0.879476345409926,"local","overall"
2002,0.908824212741403,"local","overall"
2003,0.925261272211754,"local","overall"
2004,0.928910603277991,"local","overall"
2005,0.929287018634359,"local","overall"
2006,0.930279378732581,"local","overall"
2007,0.930057897611341,"local","overall"
2008,0.907140392899795,"local","overall"
2009,0.864393632229188,"local","overall"
2010,0.906551755663554,"local","overall"
2011,0.906349806824243,"local","overall"
2012,0.896826316492338,"local","overall"
2013,0.881183174337475,"local","overall"
2014,0.892778189183893,"local","overall"
2015,0.905765545580936,"local","overall"
2016,0.905488159639049,"local","overall"
2017,0.908763701729496,"local","overall"
2018,0.91487420064609,"local","overall"
2019,0.93197331411123,"local","overall"
2020,0.937859054197871,"local","overall"
2021,0.889384375047822,"local","overall"
2022,0.874030510401963,"local","overall"
2023,0.887557997661161,"local","overall"
2024,0.88494536139048,"local","overall"
2025,0.851218453033824,"local","overall"
2026,0.849777829705489,"local","overall"
2027,0.883698214896301,"local","overall"
2028,0.877442507542887,"local","overall"
2029,0.88772948233992,"local","overall"
2030,0.887478307727227,"local","overall"
2031,0.888082275626109,"local","overall"
2032,0.890151545433197,"local","overall"
2033,0.895573751863178,"local","overall"
2034,0.87271708119416,"local","overall"
2035,0.885247872043694,"local","overall"
2036,0.839138628709519,"local","overall"
2037,0.881865178043125,"local","overall"
2038,0.881920957306936,"local","overall"
2039,0.882160788369458,"local","overall"
2040,0.882769890967932,"local","overall"
2041,0.87227692313689,"local","overall"
2042,0.866037452131964,"local","overall"
2043,0.872238807324005,"local","overall"
2044,0.870979767150906,"local","overall"
2045,0.871342797785033,"local","overall"
2046,0.873897392336171,"local","overall"
2047,0.874315284639338,"local","overall"
2048,0.838828726154627,"local","overall"
2049,0.878856956917641,"local","overall"
2050,0.872365024837596,"local","overall"
2051,0.872902446920479,"local","overall"
2052,0.872694107192934,"local","overall"
2053,0.870966950640723,"local","overall"
2054,0.868165590797227,"local","overall"
2055,0.872243587694085,"local","overall"
2056,0.874070934442493,"local","overall"
2057,0.867681367158873,"local","overall"
2058,0.880638759466487,"local","overall"
2059,0.8747863205227,"local","overall"
2060,0.880641151998566,"local","overall"
2061,0.872818850379407,"local","overall"
2062,0.876893138524398,"local","overall"
2063,0.891717361426943,"local","overall"
2064,0.911439011262939,"local","overall"
2065,0.914429704309372,"local","overall"
2066,0.883597279204594,"local","overall"
2067,0.887237247334609,"local","overall"
2068,0.890447421698793,"local","overall"
1980,1,"world","overall"
1981,0.923851743637491,"world","overall"
1982,0.912482511233855,"world","overall"
1983,0.906424250312808,"world","overall"
1984,0.866505236288913,"world","overall"
1985,0.883332408377587,"world","overall"
1986,0.880524282744761,"world","overall"
1987,0.903635422034307,"world","overall"
1988,0.931950076007772,"world","overall"
1989,0.967474302730149,"world","overall"
1990,0.930559581493856,"world","overall"
1991,0.896718859833369,"world","overall"
1992,0.928482530930219,"world","overall"
1993,0.93082201587369,"world","overall"
1994,0.942163246144022,"world","overall"
1995,0.934224251101112,"world","overall"
1996,0.935122259380877,"world","overall"
1997,0.939328380570225,"world","overall"
1998,0.93732408814424,"world","overall"
1999,0.933435015380919,"world","overall"
2000,0.914565305998072,"world","overall"
2001,0.879476345409926,"world","overall"
2002,0.908824212741403,"world","overall"
2003,0.925261272211754,"world","overall"
2004,0.928910603277991,"world","overall"
2005,0.929287018634359,"world","overall"
2006,0.930279378732581,"world","overall"
2007,0.930057897611341,"world","overall"
2008,0.907140392899795,"world","overall"
2009,0.864393632229188,"world","overall"
2010,0.906551755663554,"world","overall"
2011,0.906349806824243,"world","overall"
