"","year","score","scenario","type"
"1",1980,1,"local","overall"
"2",1981,0.923851743637491,"local","overall"
"3",1982,0.912482511233855,"local","overall"
"4",1983,0.906424250312808,"local","overall"
"5",1984,0.866505236288913,"local","overall"
"6",1985,0.883332408377587,"local","overall"
"7",1986,0.880524282744761,"local","overall"
"8",1987,0.903635422034307,"local","overall"
"9",1988,0.931950076007772,"local","overall"
"10",1989,0.967474302730149,"local","overall"
"11",1990,0.930559581493856,"local","overall"
"12",1991,0.896718859833369,"local","overall"
"13",1992,0.928482530930219,"local","overall"
"14",1993,0.93082201587369,"local","overall"
"15",1994,0.942163246144022,"local","overall"
"16",1995,0.934224251101112,"local","overall"
"17",1996,0.935122259380877,"local","overall"
"18",1997,0.939328380570225,"local","overall"
"19",1998,0.93732408814424,"local","overall"
"20",1999,0.933435015380919,"local","overall"
"21",2000,0.914565305998072,"local","overall"
"22",2001,0.879476345409926,"local","overall"
"23",2002,0.908824212741403,"local","overall"
"24",2003,0.925261272211754,"local","overall"
"25",2004,0.928910603277991,"local","overall"
"26",2005,0.929287018634359,"local","overall"
"27",2006,0.930279378732581,"local","overall"
"28",2007,0.930057897611341,"local","overall"
"29",2008,0.907140392899795,"local","overall"
"30",2009,0.864393632229188,"local","overall"
"31",2010,0.906551755663554,"local","overall"
"32",2011,0.906349806824243,"local","overall"
"33",2012,0.896826316492338,"local","overall"
"34",2013,0.881183174337475,"local","overall"
"35",2014,0.892778189183893,"local","overall"
"36",2015,0.905765545580936,"local","overall"
"37",2016,0.905488159639049,"local","overall"
"38",2017,0.908763701729496,"local","overall"
"39",2018,0.91487420064609,"local","overall"
"40",2019,0.93197331411123,"local","overall"
"41",2020,0.937859054197871,"local","overall"
"42",2021,0.889384375047822,"local","overall"
"43",2022,0.874030510401963,"local","overall"
"44",2023,0.887557997661161,"local","overall"
"45",2024,0.88494536139048,"local","overall"
"46",2025,0.851218453033824,"local","overall"
"47",2026,0.849777829705489,"local","overall"
"48",2027,0.883698214896301,"local","overall"
"49",2028,0.877442507542887,"local","overall"
"50",2029,0.88772948233992,"local","overall"
"51",2030,0.887478307727227,"local","overall"
"52",2031,0.888082275626109,"local","overall"
"53",2032,0.890151545433197,"local","overall"
"54",2033,0.895573751863178,"local","overall"
"55",2034,0.87271708119416,"local","overall"
"56",2035,0.885247872043694,"local","overall"
"57",2036,0.839138628709519,"local","overall"
"58",2037,0.881865178043125,"local","overall"
"59",2038,0.881920957306936,"local","overall"
"60",2039,0.882160788369458,"local","overall"
"61",2040,0.882769890967932,"local","overall"
"62",2041,0.87227692313689,"local","overall"
"63",2042,0.866037452131964,"local","overall"
"64",2043,0.872238807324005,"local","overall"
"65",2044,0.870979767150906,"local","overall"
"66",2045,0.871342797785033,"local","overall"
"67",2046,0.873897392336171,"local","overall"
"68",2047,0.874315284639338,"local","overall"
"69",2048,0.838828726154627,"local","overall"
"70",2049,0.878856956917641,"local","overall"
"71",2050,0.872365024837596,"local","overall"
"72",2051,0.872902446920479,"local","overall"
"73",2052,0.872694107192934,"local","overall"
"74",2053,0.870966950640723,"local","overall"
"75",2054,0.868165590797227,"local","overall"
"76",2055,0.872243587694085,"local","overall"
"77",2056,0.874070934442493,"local","overall"
"78",2057,0.867681367158873,"local","overall"
"79",2058,0.880638759466487,"local","overall"
"80",2059,0.8747863205227,"local","overall"
"81",2060,0.880641151998566,"local","overall"
"82",2061,0.872818850379407,"local","overall"
"83",2062,0.876893138524398,"local","overall"
