indicatorID,indicator_name,model_group,virgin_biomass
1,Greenland halibut,GRH,1077839.00
2,Blue ling,DEO,1307465.00
3,Blue mussel,BFF,10477530.00
4,Tusk,DEO,1307465.00
5,Fin whale,FWH,775444.30
6,Wolffish,DEL,79502.72
7,Hooded seal,HOS,80402.40
8,Haddock,HAD,151057.10
9,Blue whiting,BWH,5563165.00
10,Atlantic halibut,DEL,79502.72
11,Atlantic salmon,PEL,1376319.00
12,Ling,DEO,1307465.00
13,Capelin,CAP,3120883.00
14,Jellyfish,ZG,7128751.00
15,Phytoplankton small,PS,3828883000.00
16,Phyoplankton large,PL,5578847000.00
17,Polar cod,PCO,3.455728e+06 
18,Northern deep sea shrimp,PWN,7934651.00
19,Lumpfish,PES,788903.30
20,Sand gaper,BFF,10477530.00
21,Herring,SSH,4256531.00
22,Deep sea redfish,REO,153947.40
23,Cuvie,BFF,10477530.00
24,Atlantic cod,NCO,4499481.00
25,Golden redfish,RED,2901340.00
26,Minke whale,MWH,727966.30
27,"Rays, skates",SSK,375474.90
28,Dogfish,SHO,27384.72
29,Northern fulmar,SBA,1511.78
30,Northern gannet,SBB,17454.12
31,Great cormorant,SBB,17454.12
32,European shag,SBB,17454.12
33,Great skua,SBA,1511.78
34,Black-legged kittiwake,SBB,17454.12
35,Arctic tern,SBB,17454.12
36,Razorbill,SBB,17454.12
37,Common guillemot,SBA,1511.78
38,Brünnich guillemot,SBA,1511.78
39,Atlantic puffin,SBB,17454.12
40,White-tailed eagle,SBB,17454.12
41,Common eider,SBA,1511.78
42,Hoppekreps,ZS,160811800.00
43,Caryophyllia smithii,COR,10975340.00
44,Cerianthus lloydii,BC,4362549.00
45,Filograna implexa,BC,4362549.00
46,Geodia spp,SPO,9977433.00
47,Gorgonocephalus arcticus,BD,9386541.00
48,Gorgonocephalus eucnemis,BD,9386541.00
49,Gorgonocephalus lamarcki,BD,9386541.00
50,Heliometra glacialis,BD,9386541.00
51,Lophelia sp,COR,10975340.00
52,Phakellia ventilabrum,COR,10975340.00
53,Poliometra prolixa,BD,9386541.00
54,Tentorium semisuberites,COR,10975340.00
55,Umbellula encrinus,BD,9386541.00
