Binomial	ID	year	popvalue
POB	1	1980	158.946911
KWH	2	1980	131591.4695
SWH	3	1980	111183.7422
HWH	4	1980	111829.4758
MWH	5	1980	740509.6519
FWH	6	1980	798008.0132
BES	7	1980	4829.894405
HAS	8	1980	22758.19817
HOS	9	1980	88136.80321
RIS	10	1980	4696.912686
SBA	11	1980	1563.722866
SBB	12	1980	16705.02911
SHO	13	1980	27477.98991
SHO1	14	1980	27477.98991
SHO2	15	1980	27477.98991
DEO	16	1980	1385355.82
DEO1	17	1980	1385355.82
PEL	18	1980	1271226.952
PES	19	1980	635305.0674
PES1	20	1980	635305.0674
REO	21	1980	321006.9244
DEL	22	1980	77588.29485
DEL1	23	1980	77588.29485
DEL2	24	1980	77588.29485
DEL3	25	1980	77588.29485
DEL4	26	1980	77588.29485
FLA	27	1980	88364.10231
FLA1	28	1980	88364.10231
FLA2	29	1980	88364.10231
LRD	30	1980	1460484.501
SSK	31	1980	283483.882
SSK1	32	1980	283483.882
SSK2	33	1980	283483.882
SSK3	34	1980	283483.882
SSK4	35	1980	283483.882
SSK5	36	1980	283483.882
SSK6	37	1980	283483.882
MES	38	1980	15047310.86
MES1	39	1980	15047310.86
GRH	40	1980	1070452.63
MAC	41	1980	5168298.525
HAD	42	1980	70493.78408
SAI	43	1980	2127020.385
RED	44	1980	2912984.474
BWH	45	1980	7310678.551
SSH	46	1980	2840675.949
NCO	47	1980	4201170.935
PCO	48	1980	2805796.932
CAP	49	1980	4437031.175
POB	1	1981	159.051093
KWH	2	1981	131668.2266
SWH	3	1981	109466.2792
HWH	4	1981	112464.6246
MWH	5	1981	741694.8013
FWH	6	1981	797538.469
BES	7	1981	4890.439735
HAS	8	1981	20822.0326
HOS	9	1981	85780.06578
RIS	10	1981	4697.554689
SBA	11	1981	1556.458647
SBB	12	1981	16860.30567
SHO	13	1981	27301.57823
SHO1	14	1981	27301.57823
SHO2	15	1981	27301.57823
DEO	16	1981	1386748.954
DEO1	17	1981	1386748.954
PEL	18	1981	1278799.368
PES	19	1981	674459.4954
PES1	20	1981	674459.4954
REO	21	1981	289776.4543
DEL	22	1981	77938.13882
DEL1	23	1981	77938.13882
DEL2	24	1981	77938.13882
DEL3	25	1981	77938.13882
DEL4	26	1981	77938.13882
FLA	27	1981	89047.70855
FLA1	28	1981	89047.70855
FLA2	29	1981	89047.70855
LRD	30	1981	1511067.311
SSK	31	1981	293331.9754
SSK1	32	1981	293331.9754
SSK2	33	1981	293331.9754
SSK3	34	1981	293331.9754
SSK4	35	1981	293331.9754
SSK5	36	1981	293331.9754
SSK6	37	1981	293331.9754
MES	38	1981	16297066.33
MES1	39	1981	16297066.33
GRH	40	1981	1062427.285
MAC	41	1981	5213277.659
HAD	42	1981	67715.77419
SAI	43	1981	1562826.089
RED	44	1981	3017733.298
BWH	45	1981	6785716.398
SSH	46	1981	3093564.15
NCO	47	1981	4276349.797
PCO	48	1981	2870444.274
CAP	49	1981	3489253.639
POB	1	1982	159.645056
KWH	2	1982	133280.7448
SWH	3	1982	107959.4145
HWH	4	1982	112241.2751
MWH	5	1982	739389.2475
FWH	6	1982	795326.3497
BES	7	1982	4978.799646
HAS	8	1982	18990.76504
HOS	9	1982	85002.55086
RIS	10	1982	4701.617406
SBA	11	1982	1549.267584
SBB	12	1982	17080.52782
SHO	13	1982	27305.36389
SHO1	14	1982	27305.36389
SHO2	15	1982	27305.36389
DEO	16	1982	1385068.402
DEO1	17	1982	1385068.402
PEL	18	1982	1298546.914
PES	19	1982	713906.6648
PES1	20	1982	713906.6648
REO	21	1982	263555.7906
DEL	22	1982	78230.29921
DEL1	23	1982	78230.29921
DEL2	24	1982	78230.29921
DEL3	25	1982	78230.29921
DEL4	26	1982	78230.29921
FLA	27	1982	89918.60104
FLA1	28	1982	89918.60104
FLA2	29	1982	89918.60104
LRD	30	1982	1560576.534
SSK	31	1982	303949.6161
SSK1	32	1982	303949.6161
SSK2	33	1982	303949.6161
SSK3	34	1982	303949.6161
SSK4	35	1982	303949.6161
SSK5	36	1982	303949.6161
SSK6	37	1982	303949.6161
MES	38	1982	17409271.08
MES1	39	1982	17409271.08
GRH	40	1982	1053019.399
MAC	41	1982	5254338.373
HAD	42	1982	69555.76728
SAI	43	1982	1146038.225
RED	44	1982	3099103.157
BWH	45	1982	6780900.265
SSH	46	1982	3484293.186
NCO	47	1982	4106481.496
PCO	48	1982	3041645.645
CAP	49	1982	2957412.289
POB	1	1983	160.402114
KWH	2	1983	131079.2403
SWH	3	1983	106682.7082
HWH	4	1983	112035.517
MWH	5	1983	752110.9946
FWH	6	1983	805295.4229
BES	7	1983	5041.101215
HAS	8	1983	17435.51471
HOS	9	1983	84309.40874
RIS	10	1983	4701.748053
SBA	11	1983	1541.290887
SBB	12	1983	17226.32514
SHO	13	1983	27360.77227
SHO1	14	1983	27360.77227
SHO2	15	1983	27360.77227
DEO	16	1983	1392532.845
DEO1	17	1983	1392532.845
PEL	18	1983	1320486.345
PES	19	1983	752592.9559
PES1	20	1983	752592.9559
REO	21	1983	241467.973
DEL	22	1983	78101.08962
DEL1	23	1983	78101.08962
DEL2	24	1983	78101.08962
DEL3	25	1983	78101.08962
DEL4	26	1983	78101.08962
FLA	27	1983	90379.31588
FLA1	28	1983	90379.31588
FLA2	29	1983	90379.31588
LRD	30	1983	1614266.414
SSK	31	1983	315419.9769
SSK1	32	1983	315419.9769
SSK2	33	1983	315419.9769
SSK3	34	1983	315419.9769
SSK4	35	1983	315419.9769
SSK5	36	1983	315419.9769
SSK6	37	1983	315419.9769
MES	38	1983	18241331.23
MES1	39	1983	18241331.23
GRH	40	1983	1044237.59
MAC	41	1983	5285340.736
HAD	42	1983	99390.38597
SAI	43	1983	896058.467
RED	44	1983	3000175.837
BWH	45	1983	6818389
SSH	46	1983	3782068.996
NCO	47	1983	4191518.547
PCO	48	1983	3168919.867
CAP	49	1983	2463157.327
POB	1	1984	161.181895
KWH	2	1984	128347.5998
SWH	3	1984	105307.7122
HWH	4	1984	111949.3206
MWH	5	1984	741738.8987
FWH	6	1984	797154.3429
BES	7	1984	5085.65995
HAS	8	1984	16085.46406
HOS	9	1984	84162.65437
RIS	10	1984	4707.115943
SBA	11	1984	1528.918563
SBB	12	1984	17316.73059
SHO	13	1984	27194.12199
SHO1	14	1984	27194.12199
SHO2	15	1984	27194.12199
DEO	16	1984	1388210.957
DEO1	17	1984	1388210.957
PEL	18	1984	1341272.276
PES	19	1984	786707.9341
PES1	20	1984	786707.9341
REO	21	1984	220177.2451
DEL	22	1984	77715.24637
DEL1	23	1984	77715.24637
DEL2	24	1984	77715.24637
DEL3	25	1984	77715.24637
DEL4	26	1984	77715.24637
FLA	27	1984	90429.87335
FLA1	28	1984	90429.87335
FLA2	29	1984	90429.87335
LRD	30	1984	1663362.913
SSK	31	1984	327667.1202
SSK1	32	1984	327667.1202
SSK2	33	1984	327667.1202
SSK3	34	1984	327667.1202
SSK4	35	1984	327667.1202
SSK5	36	1984	327667.1202
SSK6	37	1984	327667.1202
MES	38	1984	18477345.64
MES1	39	1984	18477345.64
GRH	40	1984	1033776.994
MAC	41	1984	5311143.859
HAD	42	1984	131244.8488
SAI	43	1984	640336.8803
RED	44	1984	3015487.425
BWH	45	1984	6804491.942
SSH	46	1984	4074862.587
NCO	47	1984	4312967.713
PCO	48	1984	3236423.356
CAP	49	1984	2133401.133
POB	1	1985	161.888511
KWH	2	1985	125888.2923
SWH	3	1985	103948.4576
HWH	4	1985	112087.3324
MWH	5	1985	736249.151
FWH	6	1985	792013.6604
BES	7	1985	5113.410825
HAS	8	1985	14924.24256
HOS	9	1985	83805.75229
RIS	10	1985	4705.584096
SBA	11	1985	1519.202903
SBB	12	1985	17339.1859
SHO	13	1985	27112.38592
SHO1	14	1985	27112.38592
SHO2	15	1985	27112.38592
DEO	16	1985	1384004.531
DEO1	17	1985	1384004.531
PEL	18	1985	1352172.313
PES	19	1985	812538.8689
PES1	20	1985	812538.8689
REO	21	1985	202013.3188
DEL	22	1985	77356.28237
DEL1	23	1985	77356.28237
DEL2	24	1985	77356.28237
DEL3	25	1985	77356.28237
DEL4	26	1985	77356.28237
FLA	27	1985	90167.35842
FLA1	28	1985	90167.35842
FLA2	29	1985	90167.35842
LRD	30	1985	1707058.381
SSK	31	1985	340435.6814
SSK1	32	1985	340435.6814
SSK2	33	1985	340435.6814
SSK3	34	1985	340435.6814
SSK4	35	1985	340435.6814
SSK5	36	1985	340435.6814
SSK6	37	1985	340435.6814
MES	38	1985	18510408.28
MES1	39	1985	18510408.28
GRH	40	1985	1024122.902
