"","SpeciesSSet","Freq","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068"
"BES","BES",89,1,-0.00149315002935291,-0.000726565896486786,0.000842193923068724,0.00101418950486432,-0.000409651725709281,-0.00153419516108055,-0.00128543642092982,-0.000564585498584069,-0.000341950412814818,-0.000365381910517826,-0.000286419110116398,-0.000492966462475319,-0.00102984082587554,-0.00105573676108106,-0.000345810236408006,-0.00012589238391536,-0.00122034971700957,-0.00238081634202292,-0.00190692092633915,-0.000272726421607139,0.00043667610796172,-0.000547719857191264,-0.00184955601818571,-0.00210563475964509,-0.00149057272168962,-0.000712776443687613,0.000161892086258053,0.00114486821775328,0.00161264035425646,0.00110168950301759,0.000209447271349639,-0.000157718892430214,-4.11385338514592e-05,-0.000145342655065939,-0.000578372261812898,-0.000713724616864919,-0.000293743719740558,6.88547018512509e-05,-0.000267374795625219,-0.0010866667017031,-0.00156627091177119,-0.00122765427825211,-0.00044616368703343,-2.94488078802502e-05,-0.000320342594958056,-0.000780620255611986,-0.000632130888654547,0.000117851317114059,0.000646954551943413,0.00044213419366157,-1.33086602254195e-05
"BWH","BWH",89,1,-0.00326161419640059,-0.00606202036478898,-0.00421878967397404,-0.00126984971049104,-0.00032080015810898,-0.000364499484549086,-7.25235330376606e-05,-0.0002065512004501,-0.000872343870121917,-0.000332403652890001,0.0016836680334027,0.00269663403657638,0.00137836541080727,-9.55266095168383e-05,0.000320375792546734,0.00114047669900508,0.000104930760967292,-0.00179949903021726,-0.00201900627232821,-0.000686121804859496,-9.42665981273905e-05,-0.000674748539094772,-0.000576630884425278,0.000801837920895387,0.0017051954612386,0.00097577281881378,-0.000236602980420386,-0.000530676193339019,-0.00012627698943124,0.000183760072807182,0.000355279691421906,0.000467565497953792,0.000129283784926493,-0.000595884318977724,-0.000810028933497797,-0.000145694884643888,0.000519081790836928,0.000444907880999601,9.91723607031147e-05,9.79682543862381e-05,0.000129511567907414,-0.000223803722620097,-0.000565157702419938,-0.000472004559299855,-0.000294225165259121,-0.000296115070907099,2.18084669540985e-05,0.000770217876645773,0.000886775688339725,-0.00027675101731095,-0.00157373367421076
"CAP","CAP",89,1,-0.0104698967937491,-0.0260178438710676,-0.0363990801131484,-0.0338594112774411,-0.0178929435763218,0.00339180819473572,0.0191866294770282,0.0238112192620719,0.0198969528936637,0.0145629628734616,0.0121676648370403,0.0107900670362291,0.00633671475510234,-0.000743374197440971,-0.0051721896760446,-0.00375340871104246,0.000240998420379945,0.00167214631407209,0.000221661652953564,-0.000757901371454928,-0.000576465103073076,-0.00192054297471156,-0.00490027679311478,-0.00504182554290988,0.0003207932351037,0.00706218081399079,0.0091575907471988,0.00659198003475314,0.00463094975330058,0.00588142210391229,0.00666357784408955,0.00183863517861216,-0.00926916002697631,-0.0221989304739862,-0.0302829447813231,-0.0280786291679318,-0.0151416826252326,0.00184174419481664,0.0130613249678637,0.0142134181445064,0.0101801126902483,0.00848818419070341,0.010524878154734,0.0115559287002656,0.00838327788180493,0.00363012514276662,0.00164580036657824,0.00282149827749478,0.00397105042847024,0.00312587199240077,0.00167934511899226
"DEL","DEL",89,1,-0.000703239316798054,-0.000306416867430492,0.00165733473908247,0.00242563243473093,0.00103260831998764,-0.000621619839489718,-0.000900946950046055,-0.000398463126146886,-0.000178895558466508,-7.9557186788648e-05,0.00021027092372794,6.17766055510671e-05,-0.000807185615282258,-0.00129905001222674,-0.000613786319756393,0.000131227310195214,-0.000473600012623976,-0.00174521500294311,-0.00191959457392255,-0.00101465757726249,-0.00071926077642015,-0.00148117806590253,-0.00172928950327478,-0.000528179437965015,0.000815938941832961,0.000837303971325198,0.000177416366275551,0.000400453573402793,0.00145429916093232,0.00182429072652646,0.000861637423274608,-0.000440659050587655,-0.00104854417361899,-0.00107236709746061,-0.00100858459771125,-0.00076182036378114,-6.17706181618161e-05,0.000700175500418787,0.000766284787380833,2.92093675398064e-05,-0.000759247640501393,-0.00089569784112431,-0.000540054150422797,-0.000419653930816999,-0.000834747063358954,-0.0012502581418703,-0.00104354888767233,-0.000447535367782415,-0.000334619859881258,-0.00101651113797985,-0.00175826884939223
"DEL1","DEL1",89,1,-0.000703239316798054,-0.000306416867430492,0.00165733473908247,0.00242563243473093,0.00103260831998764,-0.000621619839489718,-0.000900946950046055,-0.000398463126146886,-0.000178895558466508,-7.9557186788648e-05,0.00021027092372794,6.17766055510671e-05,-0.000807185615282258,-0.00129905001222674,-0.000613786319756393,0.000131227310195214,-0.000473600012623976,-0.00174521500294311,-0.00191959457392255,-0.00101465757726249,-0.00071926077642015,-0.00148117806590253,-0.00172928950327478,-0.000528179437965015,0.000815938941832961,0.000837303971325198,0.000177416366275551,0.000400453573402793,0.00145429916093232,0.00182429072652646,0.000861637423274608,-0.000440659050587655,-0.00104854417361899,-0.00107236709746061,-0.00100858459771125,-0.00076182036378114,-6.17706181618161e-05,0.000700175500418787,0.000766284787380833,2.92093675398064e-05,-0.000759247640501393,-0.00089569784112431,-0.000540054150422797,-0.000419653930816999,-0.000834747063358954,-0.0012502581418703,-0.00104354888767233,-0.000447535367782415,-0.000334619859881258,-0.00101651113797985,-0.00175826884939223
"DEL2","DEL2",89,1,-0.000703239316798054,-0.000306416867430492,0.00165733473908247,0.00242563243473093,0.00103260831998764,-0.000621619839489718,-0.000900946950046055,-0.000398463126146886,-0.000178895558466508,-7.9557186788648e-05,0.00021027092372794,6.17766055510671e-05,-0.000807185615282258,-0.00129905001222674,-0.000613786319756393,0.000131227310195214,-0.000473600012623976,-0.00174521500294311,-0.00191959457392255,-0.00101465757726249,-0.00071926077642015,-0.00148117806590253,-0.00172928950327478,-0.000528179437965015,0.000815938941832961,0.000837303971325198,0.000177416366275551,0.000400453573402793,0.00145429916093232,0.00182429072652646,0.000861637423274608,-0.000440659050587655,-0.00104854417361899,-0.00107236709746061,-0.00100858459771125,-0.00076182036378114,-6.17706181618161e-05,0.000700175500418787,0.000766284787380833,2.92093675398064e-05,-0.000759247640501393,-0.00089569784112431,-0.000540054150422797,-0.000419653930816999,-0.000834747063358954,-0.0012502581418703,-0.00104354888767233,-0.000447535367782415,-0.000334619859881258,-0.00101651113797985,-0.00175826884939223
"DEL3","DEL3",89,1,-0.000703239316798054,-0.000306416867430492,0.00165733473908247,0.00242563243473093,0.00103260831998764,-0.000621619839489718,-0.000900946950046055,-0.000398463126146886,-0.000178895558466508,-7.9557186788648e-05,0.00021027092372794,6.17766055510671e-05,-0.000807185615282258,-0.00129905001222674,-0.000613786319756393,0.000131227310195214,-0.000473600012623976,-0.00174521500294311,-0.00191959457392255,-0.00101465757726249,-0.00071926077642015,-0.00148117806590253,-0.00172928950327478,-0.000528179437965015,0.000815938941832961,0.000837303971325198,0.000177416366275551,0.000400453573402793,0.00145429916093232,0.00182429072652646,0.000861637423274608,-0.000440659050587655,-0.00104854417361899,-0.00107236709746061,-0.00100858459771125,-0.00076182036378114,-6.17706181618161e-05,0.000700175500418787,0.000766284787380833,2.92093675398064e-05,-0.000759247640501393,-0.00089569784112431,-0.000540054150422797,-0.000419653930816999,-0.000834747063358954,-0.0012502581418703,-0.00104354888767233,-0.000447535367782415,-0.000334619859881258,-0.00101651113797985,-0.00175826884939223
"DEL4","DEL4",89,1,-0.000703239316798054,-0.000306416867430492,0.00165733473908247,0.00242563243473093,0.00103260831998764,-0.000621619839489718,-0.000900946950046055,-0.000398463126146886,-0.000178895558466508,-7.9557186788648e-05,0.00021027092372794,6.17766055510671e-05,-0.000807185615282258,-0.00129905001222674,-0.000613786319756393,0.000131227310195214,-0.000473600012623976,-0.00174521500294311,-0.00191959457392255,-0.00101465757726249,-0.00071926077642015,-0.00148117806590253,-0.00172928950327478,-0.000528179437965015,0.000815938941832961,0.000837303971325198,0.000177416366275551,0.000400453573402793,0.00145429916093232,0.00182429072652646,0.000861637423274608,-0.000440659050587655,-0.00104854417361899,-0.00107236709746061,-0.00100858459771125,-0.00076182036378114,-6.17706181618161e-05,0.000700175500418787,0.000766284787380833,2.92093675398064e-05,-0.000759247640501393,-0.00089569784112431,-0.000540054150422797,-0.000419653930816999,-0.000834747063358954,-0.0012502581418703,-0.00104354888767233,-0.000447535367782415,-0.000334619859881258,-0.00101651113797985,-0.00175826884939223
"DEO","DEO",89,1,-0.0030187367755401,-0.00168133695200989,-0.000740704304693196,-0.000391762542874652,0.000209866447131724,0.00108784440262699,0.00130900845453752,0.00103744295648767,0.00185466224067188,0.00403012221814159,0.0052051143031342,0.0034478195676666,0.00033788301408233,-0.00104011438895402,-0.000368159277801539,-1.55546863300771e-06,-0.000894658892013567,-0.00132641031732028,-0.000283090873599789,0.00056597206430542,-0.000179726531597701,-0.000905928855439164,0.000542968045301961,0.00303741896549958,0.00344169524784199,0.00121374905331262,-0.00086190298036648,-0.00072734729919155,0.000567680485489497,0.00126394176652767,0.00142670239574283,0.00171147019061468,0.00144846395285292,-5.13447426948588e-05,-0.00137557595358295,-0.0004307213021848,0.00228156415458702,0.00385866682578584,0.00276745225462616,0.000647729458543189,-0.000318179606104252,-0.000228715376591637,-0.000476080998058848,-0.0011459326251595,-0.00106611100405907,-2.75406183583016e-05,0.000696307677755748,0.000301181671646944,-0.000398231493572432,-0.000380449878145228,6.03141863253498e-05
"DEO1","DEO1",89,1,-0.0030187367755401,-0.00168133695200989,-0.000740704304693196,-0.000391762542874652,0.000209866447131724,0.00108784440262699,0.00130900845453752,0.00103744295648767,0.00185466224067188,0.00403012221814159,0.0052051143031342,0.0034478195676666,0.00033788301408233,-0.00104011438895402,-0.000368159277801539,-1.55546863300771e-06,-0.000894658892013567,-0.00132641031732028,-0.000283090873599789,0.00056597206430542,-0.000179726531597701,-0.000905928855439164,0.000542968045301961,0.00303741896549958,0.00344169524784199,0.00121374905331262,-0.00086190298036648,-0.00072734729919155,0.000567680485489497,0.00126394176652767,0.00142670239574283,0.00171147019061468,0.00144846395285292,-5.13447426948588e-05,-0.00137557595358295,-0.0004307213021848,0.00228156415458702,0.00385866682578584,0.00276745225462616,0.000647729458543189,-0.000318179606104252,-0.000228715376591637,-0.000476080998058848,-0.0011459326251595,-0.00106611100405907,-2.75406183583016e-05,0.000696307677755748,0.000301181671646944,-0.000398231493572432,-0.000380449878145228,6.03141863253498e-05
