Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.461951,161.467855,161.578121,162.116719,162.795924,163.503463,164.148893,164.911882,165.707931,166.467414,167.096829,167.713634,168.371081,168.94331,169.573715,170.282712,171.037118,171.618476,172.103276,172.651887,173.12812,173.553126,173.943455,174.309866,174.671346,175.021194,175.364195,175.706092,176.048338,176.380491,176.690804,176.986208,177.26107,177.509684,177.732908,177.950404,178.161854,178.358612,178.54809,178.729528,178.903643,179.071147,179.232711,179.388877,179.53977,179.680214,179.817907,179.952244,180.082441,180.208158,180.329551,180.446534,180.559316,180.668985,180.77582,180.879951,180.978456,181.073052,181.167354,181.260627,181.3525,181.442812,181.531574,181.618852,181.704662,181.789122,180.872871,180.351349,180.193123,180.082903,179.866447,179.589652,179.369292,179.087345,178.787914,178.387558,177.999726,177.609152,177.286323,176.984252,176.788577,176.368874,176.037963,175.711781,175.538143,175.49408,175.397839,175.28206,175.165635,175.056979,174.949909,174.856871,174.777436,174.707143,174.639171,174.584379,174.531234,174.494986,174.465581,174.455597,174.447107,174.442756,174.430104,174.411915,174.394195,174.377137,174.361595,174.347683,174.335911,174.326549,174.319532,174.314581,174.311364,174.305698,174.302794,174.302543,174.304259,174.307338,174.311484,174.316262,174.321565,181.988679
KWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133636.1336,132537.2798,131484.7783,130692.1308,129019.2584,126559.2319,124282.0412,120839.7181,116954.3514,113420.5142,109045.595,104336.5011,100788.1112,97921.31945,95584.4878,93540.01003,91796.5029,90928.11466,89828.69195,88890.19599,88415.38014,87589.36355,87999.07862,87682.994,87219.33827,87433.23764,87362.07344,87033.19359,86785.13431,86632.27971,87064.39112,86313.05778,84936.32685,84477.33859,84034.59076,83563.00197,83250.27529,83250.13128,82883.77729,82642.76176,82373.95064,81929.03838,81721.28974,80700.96096,80420.02141,79642.61348,78837.20597,78086.87038,77886.39413,76886.74641,76599.66557,76130.48636,75718.45796,76122.74115,75861.75713,75881.4169,75690.93213,75920.29653,74988.50708,74493.6953,74245.53179,73395.25637,73738.62429,73711.41561,73403.47546,73374.6354,73190.75443,72695.73078,72388.30101,72186.70619,71895.50332,71520.75601,71046.74583,69939.59908,69518.77188,69103.24305,68890.71245,68712.22748,68346.24248,68265.20563,68296.75917,68493.57726,68629.45987,68608.94472,69057.53577,68750.97812,68311.51698,67405.82991,67213.02965,66795.02904,66572.02186,65984.55244,65993.66836,65895.02845,65899.94537,65943.46996,66136.99574,65904.06529,65850.29339,66054.30523,66189.54362,66260.52443,66724.44213,66288.12589,66819.35117,67372.61474,66907.18371,67067.02645,67386.5655,67964.05376,68025.81271,68042.1224,67127.13823,66845.1552,66665.00423,66916.7963,66723.71298,66207.47448,66304.73484,66348.57853,66294.05331,67285.44255
SWH,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74105.69896,72351.16819,70949.16971,69184.65154,67897.11641,66674.89369,65241.3688,64325.80456,63189.5471,62067.97852,60925.57081,60165.92618,60050.44418,59408.66109,59157.91954,59543.04529,58270.17754,57551.09463,56914.16631,56255.71206,55793.5592,55497.85276,55091.73509,54720.1251,54170.54632,54592.02073,55241.37151,54310.85086,53440.89091,53382.62749,53120.07966,52716.47343,52074.87457,51949.08319,51682.09836,51339.94141,51736.40966,52200.05132,52835.98233,52504.65205,53268.68329,52826.98023,53264.29766,52541.99801,53162.44619,52666.24794,52993.91899,52411.51571,53181.63425,52523.50833,53016.87308,52627.95851,52887.12249,51983.9175,51179.56193,50976.19576,51011.96599,51871.25938,50902.74652,50298.59751,49736.01874,49376.51965,49285.04551,49038.61368,48407.56866,48315.80574,48061.59024,48043.08486,48049.43641,47922.64928,47579.57582,47435.71026,47463.53637,47288.30462,47256.76289,47329.10608,47296.12281,47414.96908,47175.41334,47335.883,47210.9702,47267.5344,47310.42731,47175.08316,47714.2303,48116.7128,47899.33652,47410.23376,47244.80142,46967.89358,47085.09722,47562.86726,48062.30147,47621.73045,47229.59272,47074.83927,47343.80281,48317.69666,47797.79353,47415.79681,47053.98501,46955.10566,46760.8398,46361.33899,46446.43449,46374.0609,46279.51885,46509.45643,46298.94304,46127.46371,46110.58469,46121.8924,46012.83508,46126.02285,45970.72427,45695.39136,45397.8418,45398.65387,45178.48338,44891.48574,44852.02833,44840.16655
MWH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951215.7195,957686.6147,962627.8752,964277.9306,963873.5925,963050.0696,964578.0426,953900.8981,951514.7431,958987.3596,962643.8461,963982.073,966421.9576,966549.5024,969181.1985,973528.3277,978014.0441,976387.447,972489.5586,977096.3814,983610.9451,988880.4353,992549.6883,995070.5129,996999.8958,998398.311,999329.9413,1000076.464,1000411.842,1000666.716,1000855.913,1000826.125,1000633.055,1000296.799,999868.257,998931.5597,998419.3672,997718.0273,997025.5646,996227.9372,995144.3114,994087.4874,993142.1314,991768.7726,990911.5131,990107.4115,989473.3974,988453.4169,987726.3288,987035.7903,986113.0465,985339.7611,984526.4953,983866.8881,982820.0934,982007.9487,980982.009,979662.018,978590.2493,977692.8837,976752.0762,975726.7677,974583.1229,973297.9248,972117.4313,970809.8768,958866.8729,957516.3011,945753.2412,938940.501,940374.5027,940578.6354,928421.4125,922037.9071,927347.6423,926723.2538,925386.9295,924495.3185,926985.4045,926545.8942,927943.1203,926280.5838,922869.148,919377.2426,918706.6723,918688.7721,918297.6697,917521.546,916458.6004,915186.7006,912871.595,911584.4179,910187.1514,908769.3177,907168.9555,905469.2954,903770.6246,902201.1478,900343.3022,898739.0842,896825.4274,895043.5683,893326.7154,891531.8231,889751.6679,887932.3138,885983.102,884398.5244,882430.4227,880861.5664,879196.2739,877533.4586,875800.3553,873545.7132,871750.1092,869867.48,868109.0903,866274.4647,864527.7324,862466.9941,860404.4824,862294.1387
FWH,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968326.8346,972862.1345,977204.9476,979073.4446,979735.7334,980089.3906,981792.9412,978058.9089,977598.9818,980396.7227,981569.4033,981720.7908,983090.5384,983447.5865,984866.999,987119.4847,989402.145,987921.0466,984008.5924,981983.7868,980929.2697,979315.1329,977274.4387,975008.2456,972523.2719,971439.4814,972371.313,973774.8772,975073.6788,976249.1221,978354.9045,980024.9987,981316.9098,982276.1527,982957.9274,983271.9361,983498.516,983502.2897,983312.8423,982933.8856,982329.126,981622.8719,980770.117,979635.8327,978550.0052,977323.4369,975992.9506,974437.3677,972928.9759,971330.549,969624.9605,967891.8468,966211.0208,964636.6657,963073.6728,961540.2082,959959.4836,958377.2434,956783.5836,955190.7402,953609.6055,952015.9374,950375.0742,948650.0293,946826.2394,944932.0062,938711.5025,937714.7893,932308.6011,929194.6562,927911.1477,926626.5959,921415.8187,918640.4143,919174.1669,917468.9859,915583.5452,913989.6696,914229.1537,913238.624,913220.0211,912051.5373,909611.7155,907243.373,906164.6638,905200.1656,904113.5343,902878.3256,901522.1187,900069.4387,898179.7069,896662.2762,895083.1233,893460.9459,891777.7851,890076.0745,888324.4321,886591.8577,884777.4118,883016.5516,881169.9383,879376.5115,877566.3069,875746.258,873917.4839,872076.0394,870189.4741,868341.9367,866385.9512,864540.1893,862668.5973,860780.1678,858879.1802,856821.1903,854992.7989,853169.7081,851310.8631,849377.9366,847478.0281,845545.0497,843586.0909,843985.2504
BES,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5424.638713,5501.418123,5577.246757,5672.68066,5730.56264,5765.003804,5787.973042,5810.726493,5833.915572,5861.192647,5876.414553,5886.434739,5902.542074,5907.699788,5932.073481,5960.48917,5986.689033,5991.715143,5992.57873,6009.640059,6018.328484,6027.87231,6037.215218,6046.175366,6054.80597,6062.957634,6070.584733,6077.537951,6083.013279,6087.106095,6090.793925,6094.050675,6096.776303,6098.700642,6100.654031,6102.693679,6105.148791,6107.729451,6110.418703,6113.00462,6114.57614,6115.53248,6116.400605,6117.883828,6119.361019,6120.686512,6122.124815,6123.515171,6124.898174,6126.250525,6127.560735,6128.809944,6130.003085,6131.168903,6132.28957,6133.393893,6134.513722,6135.621445,6136.694769,6137.78933,6138.89446,6140.006523,6141.111721,6142.207108,6143.285987,6144.343672,6074.441077,6042.83993,6038.49887,6028.377554,6020.460113,6007.364325,5994.288159,5972.56835,5972.925346,5957.763645,5949.884248,5936.709735,5943.045648,5931.191848,5935.137109,5895.068469,5878.575371,5860.336673,5853.66923,5862.107503,5860.818415,5856.953892,5852.120714,5846.796466,5841.497568,5838.15344,5837.205352,5835.810394,5833.904675,5832.17522,5830.885681,5829.213201,5827.537755,5826.372665,5825.486526,5825.180984,5824.819648,5823.995287,5822.834422,5821.841959,5821.375117,5822.019569,5822.766165,5823.394513,5823.143686,5822.368384,5821.43726,5820.434498,5819.373314,5818.298681,5817.235097,5816.1965,5815.150689,5814.085163,5813.025319,5593.939464
HOS,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57472.33717,58067.81988,58832.2237,59594.34506,59936.28392,59953.67094,60267.31412,60309.7301,60450.46522,60553.84998,60571.33068,60746.32788,60953.99412,61059.21232,61229.09984,61466.53465,61643.61319,61851.95007,61892.44468,61739.16568,61721.17749,61743.40116,61718.47461,61725.22207,61784.50733,61913.45954,62030.13508,62160.39901,62269.04599,62408.66066,62533.06806,62429.57294,62231.56893,62171.60598,62098.70721,62108.4872,62140.13694,62129.73722,62179.46335,62248.792,62271.57443,62330.0142,62402.84921,62448.08742,62540.47305,62462.10802,62168.20071,62010.13977,61944.02809,61863.57229,61847.23404,61850.40159,61808.94992,61885.22663,61912.27199,62011.7903,62053.26182,62143.89901,61953.36695,61736.40586,61647.62632,61524.75005,61575.24843,61539.698,61550.25715,61494.10853,61140.7328,61225.95398,61337.77229,61221.4912,61193.27294,61195.70045,61090.31366,60802.82197,60876.51259,60728.94145,60668.74158,60737.77452,60749.35742,60791.49419,60879.0226,60942.8374,61063.48954,61168.44528,61255.25446,61219.61998,61062.24762,60920.30596,60901.5013,60930.92644,60925.24755,61012.89583,61140.08859,61165.67337,61292.91007,61425.82876,61517.85524,61672.41687,61836.59439,61755.19916,61489.42221,61391.84697,61276.58069,61300.32672,61336.73757,61390.36545,61381.3232,61424.37441,61417.2051,61517.13268,61581.59361,61592.24892,61472.26938,61270.73941,61048.98669,61013.41392,60909.25984,60823.80055,60792.45814,60800.44297,60749.7829,61525.12426
RIS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5176.967497,5188.33834,5199.779021,5215.224562,5232.560368,5253.306261,5269.953455,5286.072626,5296.178421,5317.503708,5325.628887,5324.884366,5320.317193,5322.314426,5318.316455,5335.321562,5348.836765,5361.223929,5358.877504,5372.970199,5368.301973,5374.351973,5376.085599,5372.524685,5369.426811,5379.655393,5382.246582,5381.429597,5391.454516,5394.126091,5401.035543,5410.314434,5414.835447,5420.324862,5425.69374,5430.298041,5433.037717,5437.55773,5440.113122,5440.067923,5442.884396,5444.883934,5445.273942,5447.215041,5447.256845,5445.620281,5448.150646,5449.342298,5446.015776,5447.802306,5449.220657,5448.519546,5449.545985,5448.94742,5448.134193,5449.440796,5449.088182,5447.718662,5447.831445,5448.660217,5445.512402,5446.770156,5445.503374,5442.815541,5444.058501,5444.244796,5427.327518,5417.404329,5418.914653,5423.736187,5424.747595,5417.540856,5421.992649,5422.158855,5417.225517,5405.714307,5396.402325,5387.268672,5388.484859,5383.751251,5383.223499,5367.207856,5353.819671,5345.30583,5338.921917,5341.017444,5342.148536,5341.438221,5342.10818,5341.925782,5338.566436,5338.971276,5336.049406,5333.812554,5332.470456,5331.749994,5326.989014,5327.170231,5326.00482,5322.470331,5322.011938,5321.214975,5317.975212,5317.511049,5314.853509,5311.985142,5311.465502,5309.564603,5304.081253,5302.416981,5298.910721,5296.336163,5296.291575,5294.813359,5290.687162,5290.429182,5286.854883,5283.939598,5282.402604,5280.581221,5277.209253,4120.39394
SBA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24400.93356,24720.28946,25010.61085,25322.77976,25565.48027,25754.36497,25946.12483,26177.95936,26360.72167,26535.39856,26670.41799,26753.98779,26856.91358,26901.04367,26996.88863,27121.53687,27240.85879,27274.84586,27268.39192,27304.66635,27346.7309,27381.63786,27412.41362,27443.21484,27469.1856,27489.06296,27505.88984,27527.12256,27549.43245,27568.18501,27583.70116,27588.8375,27595.03966,27595.45842,27595.26557,27597.11027,27603.08686,27608.2906,27609.19618,27608.14243,27606.47494,27604.64546,27602.25071,27599.35879,27596.40219,27592.9408,27589.36113,27586.05235,27581.56875,27577.34886,27572.94547,27568.74992,27563.80106,27558.65669,27553.35368,27548.4585,27543.14011,27537.85414,27531.81008,27526.40843,27521.04608,27515.50505,27510.10603,27504.38343,27498.81096,27492.81886,27252.28467,27136.91475,27064.35831,27000.32961,26912.28751,26826.15437,26786.51048,26696.16566,26620.25752,26507.81412,26396.29692,26297.46953,26273.17774,26196.49345,26158.58404,26050.09062,25940.48086,25849.59657,25814.05054,25833.11956,25831.68717,25822.95343,25809.89952,25795.8824,25779.70823,25764.53892,25754.15298,25740.61008,25725.63274,25710.99692,25694.89631,25683.67024,25679.78604,25678.82235,25675.99894,25672.17181,25661.32449,25641.25888,25620.54849,25599.08325,25577.21089,25555.71801,25533.65699,25511.61301,25489.18806,25467.39072,25444.67571,25422.40162,25399.65237,25377.106,25354.81371,25332.62768,25309.44035,25286.9905,25263.50507,25857.60182
SBB,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5003.741979,5003.991941,5003.491209,5012.890744,5021.575994,5026.45508,5031.843575,5033.656288,5039.15749,5043.031477,5047.767325,5053.332303,5056.778387,5056.06517,5061.046984,5072.748366,5077.737723,5079.687983,5080.235046,5085.158575,5088.137997,5090.099268,5090.596512,5089.904089,5088.361843,5086.221882,5083.937114,5081.014006,5077.597431,5074.291197,5070.457254,5066.365527,5061.575115,5056.428175,5050.812899,5045.143924,5039.268816,5033.576152,5026.638822,5020.316611,5012.611696,5006.029021,4998.718707,4991.99448,4984.400811,4977.741222,4970.277301,4963.450984,4955.86116,4948.61178,4940.962927,4933.871721,4926.153158,4918.528597,4910.986237,4903.719226,4896.518902,4889.005868,4881.380737,4873.865696,4866.320719,4858.962022,4851.269431,4843.885714,4836.522228,4829.175355,4760.736802,4793.15417,4814.646441,4838.428885,4857.392145,4868.974672,4888.487392,4901.947422,4918.459331,4932.856061,4936.949991,4934.695747,4942.275847,4945.274827,4950.668551,4961.442435,4975.356731,4982.929077,4991.974188,5002.503257,5006.52563,5007.050841,5004.477699,5000.197454,4995.626304,4990.21197,4983.75632,4977.102746,4970.525535,4965.112278,4960.063538,4953.557486,4946.807376,4939.789092,4931.33218,4923.053289,4914.057847,4904.749886,4895.068661,4885.126248,4875.293876,4864.81832,4854.892301,4844.909308,4835.091013,4825.136536,4815.036096,4805.265311,4795.205409,4785.084405,4775.184986,4765.229673,4755.095059,4744.72075,4734.824057,4784.916058
