Binomial,ID,Group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
POB,1,Mammals,161.570822,162.109729,162.78926,163.497137,164.142933,164.906274,165.702649,166.462537,167.092384,167.70961,168.367397,168.939946,169.570552,170.279732,171.034279,171.61581,172.100721,172.649479,173.125802,173.55094,173.94144,174.307964,174.66955,175.019536,175.36265,175.70465,176.047021,176.379269,176.689696,176.985218,177.260172,177.508893,177.732196,177.949753,178.161264
KWH,2,Mammals,134671.7327,133745.6014,131888.7948,129379.5286,126995.3295,123884.7072,120042.1552,116204.33,111900.5421,107043.0781,103288.7384,100270.85,98275.18745,96297.03834,94560.04977,93354.97289,92164.8204,92498.38204,92127.31779,92035.81872,91828.81002,92172.73553,92124.76088,92239.30528,92335.39475,92377.73279,92457.12709,92354.13332,91815.8275,91458.61057,91227.03802,90552.19013,90021.99669,89603.23199,89070.20238
SWH,3,Mammals,70554.17346,69404.14948,68336.96407,66107.51225,64645.10574,64170.04695,63482.52078,62836.35347,61767.1453,61275.85861,60509.14289,59780.18389,59307.93071,58996.73033,58567.07327,58037.5807,57259.20292,56745.86944,56730.09655,57085.77307,55830.71004,55461.49329,54980.47736,54622.69409,54386.26812,54646.18919,55103.72866,54168.38823,53476.86168,53272.96868,52919.76196,52389.67772,52064.46106,51629.20457,51830.74979
MWH,4,Mammals,961721.1781,963495.4921,963323.0945,962374.1723,964016.6331,968912.4408,969588.4735,971791.8179,972444.5999,971763.9764,973176.303,972498.6644,974517.2221,978032.096,982294.3942,980685.9474,977007.0666,981361.0726,987775.4435,992887.6432,996488.908,999190.4602,1001054.198,1002391.863,1002949.802,1003552.448,1004005.821,1004209.74,1004233.719,1004071.97,1003486.438,1003160.42,1002669.012,1002027.396,1001307.685
FWH,5,Mammals,975995.8697,977877.4768,978604.1789,978940.1765,980718.5346,983269.7881,983540.284,984790.9734,984895.8648,984320.0373,985246.1889,985276.6567,986462.958,988372.8673,990571.3165,989049.258,985105.2033,982978.8745,981910.4612,980275.8674,978212.3452,976044.8055,973610.984,972738.4935,973784.7929,975229.6087,976626.8728,977823.0965,979957.6092,981653.7413,982880.8497,983875.1055,984563.6632,984979.9716,985164.4777
BES,6,Mammals,5575.795113,5671.352846,5729.479948,5764.102976,5787.18635,5827.511592,5851.056183,5871.123913,5883.171302,5891.610364,5906.962874,5911.673308,5935.770636,5964.036718,5990.103065,5995.053961,5995.801596,6012.790911,6021.369976,6030.833456,6040.118407,6049.08624,6057.604105,6065.61391,6073.098952,6079.873819,6085.084084,6088.925004,6092.385607,6095.441779,6097.975863,6099.713817,6101.497491,6103.36,6105.655825
HOS,7,Mammals,58827.9645,59549.14659,59872.33486,59983.69871,60064.05352,60282.99562,60370.23481,60447.8098,60462.35369,60632.57767,60785.79008,60956.92133,61172.44389,61360.40378,61570.51098,61808.02698,61793.6507,61699.55233,61706.69832,61666.66471,61698.58556,61723.45725,61739.89996,61905.03136,62052.07823,62145.79978,62280.11821,62429.62925,62540.46885,62490.56458,62338.43995,62189.94247,62153.01764,62165.44378,62133.47447
RIS,8,Mammals,5198.995743,5216.50724,5233.812899,5254.443644,5271.203764,5298.079952,5324.505231,5344.782072,5357.68798,5368.195801,5375.238591,5375.640552,5379.234871,5395.306131,5415.144454,5424.810171,5429.333244,5438.521118,5442.488878,5445.435042,5449.633328,5451.978424,5452.671425,5454.341764,5455.919268,5457.221755,5459.554006,5460.767722,5460.773731,5463.237737,5461.970646,5461.28112,5463.491602,5464.273863,5463.785742
SBA,9,Seabirds,25005.87103,25318.32216,25561.67044,25750.48371,25944.83705,26184.61881,26369.20167,26543.22655,26678.65878,26762.93609,26867.52713,26912.00316,27007.3324,27132.40788,27251.01608,27285.44632,27278.84984,27314.03333,27356.31299,27390.17276,27420.97757,27451.47706,27476.72451,27495.45338,27511.90403,27532.11833,27553.94737,27572.43047,27586.93325,27591.95702,27597.19217,27596.85323,27597.41968,27598.91487,27604.67062
SBB,10,Seabirds,5002.813046,5012.165694,5020.281978,5025.431204,5030.899173,5033.148652,5039.042735,5043.606498,5049.021384,5053.931691,5057.33055,5056.913208,5061.430328,5072.891966,5078.071349,5080.647206,5081.083288,5085.86858,5088.871086,5090.639406,5091.03646,5090.37669,5088.853239,5086.885093,5083.962105,5081.472101,5078.152357,5074.206784,5070.444999,5066.344264,5061.701271,5056.583183,5050.867923,5045.313282,5039.42751
