year,LPI_final,scenario,
1981,1,fmsy0,
1982,1.002066888,fmsy0,
1983,1.001639599,fmsy0,
1984,1.000134518,fmsy0,
1985,0.999797527,fmsy0,
1986,1.001897407,fmsy0,
1987,1.005780284,fmsy0,
1988,1.009892587,fmsy0,
1989,1.012266556,fmsy0,
1990,1.011532533,fmsy0,
1991,1.007659991,fmsy0,
1992,1.002244871,fmsy0,
1993,0.998392524,fmsy0,
1994,0.99798867,fmsy0,
1995,1.000195316,fmsy0,
1996,1.002403697,fmsy0,
1997,1.003007643,fmsy0,
1998,1.002561417,fmsy0,
1999,1.002001408,fmsy0,
2000,1.001416989,fmsy0,
2001,1.000099898,fmsy0,
2002,0.998021675,fmsy0,
2003,0.996212976,fmsy0,
2004,0.995532138,fmsy0,
2005,0.99559342,fmsy0,
2006,0.995503992,fmsy0,
2007,0.995149238,fmsy0,
2008,0.994998538,fmsy0,
2009,0.994939666,fmsy0,
2010,0.993946236,fmsy0,
2011,0.991246575,fmsy0,
2012,0.987394351,fmsy0,
2013,0.983816214,fmsy0,
2014,0.981423555,fmsy0,
2015,0.979953264,fmsy0,-2.00467356
1981,1,fmsy1,
1982,0.987808659,fmsy1,
1983,0.97763253,fmsy1,
1984,0.969743742,fmsy1,
1985,0.963374851,fmsy1,
1986,0.957793385,fmsy1,
1987,0.952416406,fmsy1,
1988,0.946800508,fmsy1,
1989,0.941402177,fmsy1,
1990,0.936198963,fmsy1,
1991,0.9326876,fmsy1,
1992,0.930981772,fmsy1,
1993,0.931527274,fmsy1,
1994,0.933399744,fmsy1,
1995,0.93556189,fmsy1,
1996,0.937197969,fmsy1,
1997,0.937581332,fmsy1,
1998,0.937016657,fmsy1,
1999,0.936230413,fmsy1,
2000,0.934908104,fmsy1,
2001,0.934015993,fmsy1,
2002,0.93264072,fmsy1,
2003,0.93022293,fmsy1,
2004,0.92716323,fmsy1,
2005,0.923362264,fmsy1,
2006,0.919078178,fmsy1,
2007,0.914319513,fmsy1,
2008,0.910969735,fmsy1,
2009,0.909897666,fmsy1,
2010,0.911262184,fmsy1,
2011,0.914172409,fmsy1,
2012,0.918039698,fmsy1,
2013,0.922658275,fmsy1,
2014,0.928682531,fmsy1,
2015,0.935898192,fmsy1,-6.410180781
1981,1,fmsy2,
1982,0.966318515,fmsy2,
1983,0.937801413,fmsy2,
1984,0.913437753,fmsy2,
1985,0.893210078,fmsy2,
1986,0.877766483,fmsy2,
1987,0.865962843,fmsy2,
1988,0.854912305,fmsy2,
1989,0.843183171,fmsy2,
1990,0.832097473,fmsy2,
1991,0.823121228,fmsy2,
1992,0.815523639,fmsy2,
1993,0.807864529,fmsy2,
1994,0.80041595,fmsy2,
1995,0.794655605,fmsy2,
1996,0.790943905,fmsy2,
1997,0.788098531,fmsy2,
1998,0.7852713,fmsy2,
1999,0.782641431,fmsy2,
2000,0.780193162,fmsy2,
2001,0.77702184,fmsy2,
2002,0.772750076,fmsy2,
2003,0.768554311,fmsy2,
2004,0.765800482,fmsy2,
2005,0.764314519,fmsy2,
2006,0.762770998,fmsy2,
2007,0.76032547,fmsy2,
2008,0.75708195,fmsy2,
2009,0.75341115,fmsy2,
2010,0.749759185,fmsy2,
2011,0.746887886,fmsy2,
2012,0.745256999,fmsy2,
2013,0.744106784,fmsy2,
2014,0.742086026,fmsy2,
2015,0.738952951,fmsy2,-26.10470493
