Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.467855,161.578125,162.116716,162.79592,163.50346,164.148886,164.911836,165.707809,166.467275,167.096667,167.713458,168.370862,168.943089,169.573461,170.282446,171.036829,171.61822,172.102996,172.651623,173.127814,173.552813,173.943192,174.309586,174.671046,175.020905,175.363913,175.705807,176.048091,176.38024,176.690576,176.986023,177.26091,177.50957,177.732827,177.950337,178.1618,178.358584,178.548063,178.7295,178.903618,179.071134,179.232703,179.388871,179.539754,179.680196,179.817887,179.952235,180.082419,180.208126,180.329526,180.446509,180.559304,180.668966,180.775807,180.879944,180.978442,181.073044,181.16735,181.260624,181.35249,181.442797,181.531557,181.61882,181.704635,181.789098,180.872856,180.351344,180.193116,180.082901,179.866457,179.589656,179.369306,179.087366,178.787939,178.387583,177.999738,177.609158,177.286337,176.984276,176.788607,176.368906,176.037984,175.711809,175.538162,175.494098,175.397854,175.28208,175.165654,175.056977,174.9499,174.856872,174.777432,174.707136,174.639157,174.584373,174.53122,174.494968,174.465559,174.455572,174.447077,174.442726,174.430079,174.411892,174.394173,174.377116,174.361575,174.347664,174.335884,174.326516,174.319486,174.314544,174.311327,174.305677,174.302781,174.302533,174.304234,174.307315,174.311459,174.316239,174.321554,181.988668
KWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135232.0982,134353.7905,133529.814,131743.5989,129228.0196,126941.4127,123542.6493,119638.9862,115633.3947,110735.0159,106278.7007,102159.1873,99751.4438,97973.19019,95549.05149,93698.65972,91991.47747,90863.42445,89999.05622,89899.94914,89650.93572,89586.99913,89433.87871,89039.00292,89004.4812,89087.65776,89157.48631,89035.80258,88922.673,88713.93085,88194.05432,87973.83804,87283.51843,87028.66252,86513.49686,86209.39179,85824.48552,85339.08739,84813.41064,84483.46698,84454.27589,84398.30848,83783.27591,83391.77059,82801.16897,82170.7271,81437.32657,80982.70632,80738.83992,80202.63746,80190.98238,79485.50194,79702.52336,79398.52161,79220.982,78960.08128,78796.47026,78207.55453,77642.85405,77197.2917,76799.19732,76475.35022,76039.56676,75852.20946,75684.63428,75129.26713,75247.64392,75043.18076,75037.55217,74889.30224,74455.96756,74034.29528,73332.55712,72912.73121,72372.02131,71915.78703,71223.11422,71290.9041,71113.48048,70890.26343,70879.33591,71167.57147,71216.52304,71236.5902,70722.64216,70339.41541,70280.14719,69981.61804,69808.38189,69795.48566,69774.14169,69936.17158,70037.47223,70284.24923,71038.19577,71295.13749,71673.4658,72028.14749,72357.0004,72584.89728,73080.54203,73340.63137,74004.10181,74104.87949,74015.14334,74619.1162,74959.87414,75610.11179,75794.78424,76235.72879,76398.43152,76716.1417,76791.72691,76540.49937,76217.58257,76286.26895,76355.11311,76476.28211,76462.38805,76335.82468,77294.72502
SWH,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72272.05414,70916.56246,69691.24139,68530.9526,66299.87971,64753.55511,64291.69885,63703.50786,62859.4668,62079.52516,61456.71072,61964.86853,60793.5315,59969.69343,59639.06257,59192.35318,58730.8791,58362.30003,57677.17868,57064.78388,56303.04307,56589.53796,57159.79197,56083.00263,55492.24566,55230.03348,54766.52938,54417.17577,54078.05894,53867.52226,54098.58097,54244.70352,53126.85813,53053.4118,53178.19233,53375.50034,52645.93988,53172.12187,52427.90007,52024.37417,52077.18914,51529.6914,51365.97467,50969.28797,51056.67011,50910.64991,50967.93161,50894.30137,51298.95085,51028.85692,51652.49166,51131.78493,51685.02042,50763.33051,50421.93533,50301.79738,50216.6169,50563.91391,49838.66922,49262.22785,49046.98021,48926.15395,48623.21713,48099.09844,47950.52743,47651.06969,47678.38113,47613.02653,47608.5092,47476.80327,47748.42887,48529.68001,47763.47074,47859.68976,47503.33774,47687.5123,47681.55305,48309.93709,47657.33077,47610.93608,47931.49454,47847.81678,47766.5058,47648.39638,47817.97528,48248.13139,47520.92506,47652.91972,48030.29639,47644.22736,48193.42403,47933.04936,48007.27294,47700.44404,48262.14247,48223.9693,48574.25256,48594.95793,49091.03149,48826.36185,49603.27004,49409.85818,49821.00514,49266.72109,48640.25057,48339.0422,47903.60568,48018.12797,47926.57065,47338.85211,47309.64775,47200.68388,46913.185,46756.84951,46448.15055,46351.02512,46194.03664,46031.22287,45743.1483,45579.98471,45574.93777
MWH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957836.194,962776.811,964447.5229,964293.915,963314.6402,964934.415,969823.6796,970471.9463,972740.7571,973288.8593,972612.7161,974089.8864,973243.7115,975304.0062,979267.8198,983412.6653,981568.5431,977626.1474,981591.2856,988025.5223,993031.3678,996529.416,999240.3538,1000946.718,1002327.147,1003264.937,1003867.152,1004249.126,1004402.944,1003987.015,1003836.466,1003617.496,1003256.695,1002735.373,1002098.303,1001383.516,1000413.576,999498.561,998589.5411,997585.8458,996506.9098,994907.8804,993897.0458,992810.9058,991932.6375,991114.6335,990322.469,989441.2198,988203.8578,987290.5634,986510.5725,985777.6042,984919.0005,983658.6038,982851.9295,981797.6092,980557.3168,979391.6357,978326.6885,977408.504,976373.1336,974752.5589,973663.5985,972475.6467,971199.4541,959244.8402,957964.851,957126.7349,955188.7207,952331.0766,949634.6823,949969.8718,948367.9769,947296.3575,942502.1114,938757.1612,936374.2022,937941.4876,936755.4644,937544.9698,935416.5105,931651.111,927512.609,926620.5809,926396.2319,925815.1283,924746.5286,909330.9916,902899.2452,906136.5783,907830.1193,908179.0522,907757.8323,906685.9674,905467.0583,904020.9697,902487.4736,900827.1277,898714.2357,897052.3494,895343.1147,893542.8214,891673.5837,889734.487,887816.2158,885906.1785,884197.5311,882455.1585,880641.0922,878848.9438,877068.3352,875257.8351,873320.2951,871349.6108,869041.7644,867283.968,865559.7966,863772.4162,861446.1333,859512.3068,861397.6566
FWH,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972940.6765,977300.2012,979150.0113,979875.5021,980205.5679,981975.0878,984526.3618,984783.2317,986041.1493,986109.0592,985524.3861,986447.4429,986467.9838,987649.7531,989728.8874,991872.9984,990309.8461,986333.4504,984078.737,983009.3459,981375.6615,979281.5234,977065.0552,974523.5309,973441.8495,974367.111,975770.218,977116.5752,978260.7352,980177.5492,981865.2408,983167.3945,984140.0483,984811.0187,985217.8304,985395.3319,985301.2117,985066.4507,984653.2648,984061.363,983308.7451,982243.8279,981246.9145,980101.7919,978834.4041,977446.7545,975960.5144,974382.4627,972570.0551,970833.2226,969069.179,967355.1167,965722.8552,964032.227,962477.1826,960865.5888,959248.5877,957613.3271,955982.5529,954384.8676,952762.3003,950929.5178,949217.6111,947380.6536,945474.9319,939238.3098,938302.1912,937184.6838,935386.9787,933020.0209,930901.3495,930250.8436,928886.3923,927609.1252,924558.5359,921766.6961,919543.0893,919360.0553,918023.8932,917752.2229,916389.5738,913807.9721,911194.1938,910047.7744,909025.9334,907902.4986,906593.2398,900100.2905,896906.1758,896597.0033,896004.2151,895067.7252,893882.5983,892461.2816,890976.9551,889391.4453,887744.9874,886036.5978,884142.1878,882387.0101,880602.7263,878784.2374,876933.6604,875058.1023,873172.0142,871263.1765,869352.4025,867420.4401,865472.4836,863518.7963,861546.3428,859567.6779,857573.8871,855636.0383,853598.6702,851675.4718,849703.1576,847730.8295,845632.683,843645.5339,844043.9369
BES,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5501.251526,5577.021916,5672.370011,5730.090137,5764.282264,5787.034596,5827.024663,5850.214808,5869.894145,5881.53976,5889.568451,5904.490379,5908.771156,5932.420009,5960.238915,5985.854706,5990.433961,5990.856344,6007.502234,6015.753208,6024.914167,6033.907862,6042.590942,6050.854302,6058.631781,6065.93428,6072.538981,6077.598465,6081.322717,6084.701506,6087.796457,6090.339752,6092.09965,6093.925853,6095.876434,6098.281723,6100.842335,6103.501029,6106.094658,6107.714227,6108.746143,6109.733138,6111.384503,6113.104467,6114.64109,6116.299548,6117.899205,6119.499416,6121.052239,6122.544374,6123.996474,6125.418712,6126.805916,6128.158061,6129.49629,6130.843775,6132.153255,6133.42175,6134.688656,6135.97424,6137.24426,6138.496734,6139.733987,6140.964589,6142.193607,6072.477872,6047.301103,6049.867813,6047.402385,6030.756801,6016.239158,6022.26282,6004.218335,5992.610749,5972.644048,5962.493034,5948.138597,5953.805342,5941.521227,5945.166725,5904.893768,5888.233331,5869.824545,5862.942764,5871.15784,5869.609311,5865.439132,5837.389291,5833.261451,5836.100158,5835.991858,5836.31305,5835.24415,5833.300129,5831.328321,5829.730728,5827.712592,5825.663637,5824.150222,5822.962186,5822.413142,5821.838208,5820.857035,5819.598556,5818.567865,5818.129926,5818.8593,5819.719858,5820.49696,5820.421954,5819.859289,5819.140721,5818.350904,5817.519877,5816.670501,5815.831598,5814.980567,5814.087727,5813.153151,5812.212403,5593.234647
HOS,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58049.04341,58794.92898,59558.67037,59889.70924,59897.23757,60212.69817,60249.03835,60366.21251,60475.98072,60499.6571,60663.41455,60854.75685,60954.16864,61114.79154,61360.36054,61536.78212,61742.92281,61826.10226,61666.98634,61644.36991,61674.91503,61653.58368,61653.81741,61771.70473,61882.16873,61996.78586,62118.07932,62202.01447,62324.75355,62440.92809,62336.17822,62156.86317,62095.77006,62017.25728,62006.29862,62034.77554,61995.97515,62042.56281,62104.59065,62130.97526,62194.58862,62259.24811,62295.02137,62364.58649,62307.93903,62020.95812,61891.55772,61831.78926,61743.18308,61726.7053,61787.63141,61763.77627,61894.68512,61846.58171,61803.51213,61858.50837,61926.81101,61803.53903,61576.75424,61441.76412,61293.47414,61224.09015,61245.0185,61102.17504,61103.7776,60780.79734,60932.24986,61078.04126,60972.72741,60950.13086,60951.34571,60852.55635,60573.08024,60666.81363,60517.15034,60485.15974,60563.51802,60586.09068,60626.01527,60713.49168,60773.76253,60883.54841,60991.23857,61060.33132,61019.83349,60865.13039,60730.73812,60714.35935,60751.25706,60749.36316,60847.65248,60970.14109,61013.40328,61098.69072,61295.32349,61356.35223,61464.84936,61647.92493,61552.70226,61332.69844,61299.18353,61184.63157,61202.11379,61212.99203,61157.62949,61235.21736,61255.63501,61378.82682,61426.251,61580.81612,61565.60493,61483.31886,61221.0893,60978.61011,60884.34566,60806.42897,60717.49991,60691.46542,60712.26765,60657.78514,61438.74588
RIS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5187.15559,5197.666719,5215.490652,5232.250661,5252.49796,5270.565995,5297.775587,5324.195239,5343.875284,5356.120103,5366.4616,5374.256713,5373.620357,5379.080592,5397.257131,5415.767289,5424.949236,5429.124836,5440.147604,5443.60433,5446.385391,5449.456213,5452.748416,5454.542656,5457.056754,5459.068443,5459.585544,5460.519236,5462.125406,5462.133328,5464.500757,5465.070097,5463.832611,5465.493282,5466.45518,5465.317036,5465.442026,5466.054319,5465.120368,5465.833301,5464.618764,5463.40738,5464.092642,5464.038427,5461.784894,5462.966493,5462.879606,5461.581295,5461.405102,5460.261514,5458.272767,5458.673839,5457.863693,5454.857152,5455.534728,5455.30637,5452.504141,5452.462932,5452.52746,5451.095088,5451.228887,5449.916895,5448.326519,5448.78641,5447.929904,5429.199091,5420.807802,5421.896393,5426.062396,5426.19322,5420.442334,5424.453177,5424.893777,5419.642649,5408.490283,5402.065986,5392.000197,5392.361326,5385.930379,5386.394738,5369.952001,5356.732789,5346.793723,5340.976174,5343.799066,5344.76387,5343.185028,5342.885335,5342.629122,5338.217606,5337.650386,5337.150734,5334.858697,5332.584087,5330.704646,5327.703574,5327.622146,5326.579773,5323.686584,5322.457159,5321.542202,5318.493034,5317.458579,5315.026592,5312.020022,5311.678525,5309.804646,5305.483224,5304.87765,5302.931561,5299.552007,5297.753995,5296.557495,5293.397543,5292.670966,5290.544295,5286.137989,5285.294673,5283.489566,5279.864202,4122.138491
SBA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24720.5216,25011.00485,25323.23589,25565.83707,25754.13642,25948.05914,26187.99117,26371.79327,26545.54989,26680.42592,26764.49751,26868.48371,26913.33422,27008.552,27133.05547,27252.61568,27285.99453,27278.59877,27314.66727,27356.73616,27390.56556,27421.43474,27451.89975,27477.05872,27495.47604,27512.50706,27532.76055,27553.98097,27572.5651,27587.58326,27592.17052,27596.97869,27597.42316,27597.24366,27599.25648,27604.88805,27609.74289,27610.61137,27609.70968,27608.08023,27605.5559,27603.18243,27600.79773,27597.17859,27593.5334,27590.06138,27586.21246,27582.2241,27578.04047,27572.64783,27567.79751,27563.00143,27558.3824,27552.89781,27547.84106,27543.13335,27537.409,27531.77199,27526.46978,27521.02058,27516.01162,27510.28798,27504.63661,27499.17353,27493.18789,27251.98802,27146.27904,27076.33034,27014.5759,26924.18965,26836.53069,26814.63184,26724.78354,26644.50993,26529.45512,26417.74444,26318.49509,26293.52398,26215.88414,26177.03739,26067.55884,25957.07172,25864.80329,25827.02782,25845.22986,25842.67746,25832.91437,25793.93887,25781.61262,25767.70966,25754.54865,25743.87601,25729.46164,25713.88616,25697.6896,25681.13727,25668.38929,25664.45384,25662.94655,25661.0782,25658.57159,25649.15414,25630.55034,25610.59252,25590.22563,25569.62046,25548.82092,25527.32047,25506.39524,25485.23931,25463.85348,25441.85904,25420.51163,25398.28536,25376.18817,25353.65034,25331.00101,25308.38862,25285.77632,25262.47485,25856.61767
SBB,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5003.1245,5002.78971,5012.018956,5020.300184,5025.43016,5030.537665,5033.220687,5039.083835,5043.776851,5048.324403,5054.469867,5057.320296,5056.924867,5061.408309,5073.196124,5078.099656,5080.569132,5081.161224,5085.993213,5088.499403,5090.464055,5091.41121,5090.634174,5089.068915,5086.929124,5084.141302,5081.359159,5078.529144,5074.985497,5071.177866,5067.528446,5062.759773,5057.922381,5052.349364,5046.973902,5041.041491,5034.799957,5027.945788,5020.637289,5013.365497,5006.326376,4999.752768,4992.30195,4985.420774,4977.867719,4971.073729,4963.508485,4956.717671,4948.638671,4941.817119,4934.110436,4926.846012,4919.13468,4911.532164,4904.105273,4896.946298,4890.102894,4882.267618,4874.535481,4867.096448,4859.706365,4852.310585,4844.841719,4837.415587,4830.092139,4761.276222,4793.524724,4815.002937,4838.987654,4857.972712,4870.082853,4889.61117,4903.567606,4920.379455,4935.2021,4938.975127,4936.909085,4943.793526,4947.379494,4953.411538,4964.40491,4978.635226,4985.884234,4995.079933,5005.647072,5009.696061,5010.609563,5008.505872,5004.243604,4999.288994,4992.44684,4986.598145,4980.292463,4974.385936,4968.304611,4962.790144,4956.016987,4949.804521,4942.527699,4934.885477,4925.923382,4916.938337,4907.07569,4896.944071,4886.948828,4876.897117,4866.864366,4857.036782,4846.86798,4836.860773,4826.804196,4816.811649,4806.438855,4796.283084,4786.18212,4776.365026,4766.10917,4756.209546,4746.314355,4736.372458,4786.526611
