Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.461953,161.46786,161.578127,162.116716,162.795991,163.503772,164.149312,164.912269,165.708276,166.46776,167.097133,167.713844,168.371219,168.943401,169.573756,170.282764,171.037136,171.618519,172.103289,172.651942,173.128139,173.55318,173.943527,174.309905,174.671381,175.021233,175.364263,175.706175,176.048477,176.380667,176.691002,176.986439,177.261321,177.5099,177.733157,177.95069,178.162161,178.358938,178.548433,178.729886,178.90402,179.071542,179.233123,179.389307,179.540198,179.680572,179.818239,179.952581,180.082768,180.208485,180.329906,180.446908,180.559708,180.669384,180.776227,180.880375,180.978837,181.073419,181.167718,181.260991,181.352852,181.443165,181.531935,181.61921,181.705039,181.789516,180.873274,180.351693,180.193468,180.083268,179.866834,179.590009,179.369651,179.087725,178.788322,178.387982,178.000142,177.609585,177.28677,176.984644,176.788951,176.369242,176.038335,175.712175,175.53854,175.494459,175.398226,175.282453,175.166039,175.057394,174.950265,174.857215,174.777775,174.707482,174.639512,174.58473,174.531583,174.495342,174.465939,174.455963,174.447485,174.44307,174.430415,174.412238,174.394524,174.377473,174.361943,174.348044,174.336264,174.326915,174.319904,174.314963,174.31174,174.306022,174.303112,174.30287,174.304582,174.307663,174.311817,174.316611,174.321924,181.989036
KWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136275.8177,135455.5801,134616.1152,133646.4793,131794.2495,129474.0329,128072.224,125025.6999,121400.6528,117377.3295,113193.2008,107880.2182,103820.9718,100999.1018,98596.15217,97362.54332,96004.59722,94761.2737,93476.20177,92143.45638,91710.15622,91880.06181,92029.99645,92529.46383,92654.23866,92556.86523,92559.90422,92716.71467,92888.27348,93121.19558,92966.79679,92564.87219,92154.74403,91555.26302,90949.5228,90696.3658,90454.14446,90044.87244,89446.95443,89323.82139,89047.07504,88858.55419,87957.54086,87974.10065,87649.09339,86844.03906,86245.63851,85896.08792,85241.01801,85025.27773,84720.53824,84470.84743,83884.65373,83958.86367,83718.80933,84220.85282,83434.08979,83835.25014,83226.64294,82759.73458,81908.4787,81462.90664,81638.46818,80815.50394,81173.52767,80855.23235,80276.28641,80091.53207,79840.00133,79345.1172,79240.54671,79050.40393,78375.28773,78191.15982,77784.41449,77315.6135,76531.77642,76595.95926,76659.30594,76277.89167,76274.01869,76351.03307,76298.65147,76746.48775,76952.65243,76796.79194,76061.7106,76041.72199,75987.9443,75658.60322,76150.2355,76219.6208,75980.36518,76347.54902,76903.69345,76769.52383,77394.11896,77606.6921,77356.79789,77574.73402,77665.98766,77901.89147,77876.99113,78177.97596,77571.61028,78076.07779,78096.66205,77682.79678,77859.80014,77978.37377,77609.84449,77744.99473,77584.56033,76957.47109,76868.01641,76939.76241,76402.6436,76404.79421,76452.36705,76681.51906,76663.80336,77536.70438
SWH,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73696.53038,72277.51875,70920.512,69630.7457,68351.15585,66086.27181,64608.2468,64184.09524,63493.75638,62765.65705,61530.49094,60889.50722,60358.07686,59750.7217,59343.0903,59046.32554,58621.63529,58067.78318,57399.66447,56802.15363,56258.23253,55660.66583,55706.57927,56456.41722,55436.54404,54690.31494,54127.28276,53675.80068,53520.94245,53324.87211,52955.4683,53343.56084,53862.81572,52922.05114,52211.36252,52035.85325,51758.94672,51676.22793,51305.19538,51276.90442,50999.15022,50653.03385,50277.89091,50286.65941,50401.89128,49735.85575,49722.78592,49352.66201,49542.03084,49766.6335,50757.6683,50560.92706,50885.04121,50162.3173,49469.36669,49460.34095,49335.868,50365.85167,49631.01332,48988.59651,48345.54724,47907.8502,47938.67422,47674.75777,47397.34865,47240.48451,46914.95656,47189.07793,47332.02643,47164.31344,47155.79599,47402.99923,48074.01736,48149.32949,47891.97225,47292.01774,47058.75809,47328.59198,46975.04517,46586.30253,46771.64035,46764.13737,47064.92046,47553.55967,47246.32727,47027.64641,46651.5201,46678.40806,46578.7955,46650.40984,46559.75756,46809.20185,46510.57475,46452.44613,46356.74047,46820.2514,47902.65795,47767.45025,47942.14676,47535.94592,47161.60068,46983.42476,46660.60309,46617.88562,46356.36438,46351.50117,46088.89983,46034.16728,45977.066,45773.41568,45918.94045,46095.3397,45782.27799,45568.60185,45369.11016,45122.64323,44882.35334,45134.66131,44837.92971,44571.03271,44550.14116,44521.25001
MWH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951271.0075,957688.6523,962747.2053,964455.0524,964218.0601,943009.8439,935004.7475,948346.0677,954159.9907,959262.4411,961864.9457,962425.4509,964315.3864,964322.0953,966903.3457,970828.18,975444.5139,974019.2288,970358.417,974606.2883,981242.2484,986636.9317,990435.5189,993295.9869,995276.7211,996754.7376,997855.3826,998672.5523,998882.0734,999308.2099,999549.5041,999598.5429,999401.3658,999166.4756,998826.0476,998394.7441,997843.4984,997183.0334,996483.5614,995678.1988,994834.455,993912.0745,992953.6544,991973.2348,990903.5525,990148.2915,989508.4343,988504.8203,987841.5786,987151.0296,986418.2393,985673.3893,984987.2527,984245.8538,983455.0012,982558.3151,981094.8051,980022.2971,978844.1112,977958.8414,977072.3468,976101.2746,974714.452,973584.0116,972000.4414,960668.4919,952194.1166,952805.654,953034.3526,951650.4614,949278.9903,947072.1449,947640.3874,946192.1667,945232.5873,940689.6736,937021.5379,934656.3449,936118.4329,935110.3415,935935.7495,933838.8731,930137.1947,926238.693,925323.4789,925081.363,924513.6127,923478.8058,917293.2918,911283.1345,912419.7681,912355.7688,911804.9677,910808.4979,909517.0023,907904.3253,906337.9266,904660.336,902565.3535,900918.0553,899174.8961,897233.5667,895400.1852,893462.8324,891167.5206,889335.669,887497.0166,885773.5676,883971.8312,881766.7902,880082.6978,878350.0317,876505.5453,874586.5824,872595.4964,870603.5058,868711.5441,866865.8263,865007.019,862999.1409,860888.0357,862772.3918
FWH,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968357.0367,972883.8552,977275.7641,979144.1488,979828.422,972121.3278,970456.053,975689.3109,977763.9192,980175.0158,981087.4409,981057.8489,982255.4125,982578.4405,983979.1049,986043.5735,988348.0676,986907.8388,983016.7492,980837.6625,979830.5266,978243.6845,976231.4172,974045.0123,971582.2489,970504.2553,971447.7687,972871.046,974133.7688,975326.6033,977447.4103,979143.2342,980459.4065,981447.1325,982153.1217,982605.2712,982822.202,982824.3858,982641.0291,982273.6183,981737.0981,981041.5889,980210.1398,979245.3875,978143.8566,976936.3309,975618.0035,974073.3656,972595.8753,971019.9859,969351.1219,967655.0236,966006.7061,964449.0548,962978.4416,961450.1336,959734.1136,958208.6774,956650.2782,955087.0205,953547.4481,951988.4516,950298.2029,948610.0773,946703.5003,941728.6832,936288.5906,935867.9569,935113.7378,933586.27,931425.9947,929468.5206,928945.6429,927674.7538,926469.259,923518.9686,920778.4782,918585.3605,918423.2592,917118.2188,916867.3912,915519.8427,912960.6308,910455.0177,909302.0509,908282.538,907161.8428,905857.0513,902438.2097,899723.1009,898815.4036,897686.731,896390.6142,894959.3597,893423.5326,891810.3473,890142.5087,888426.6954,886541.1665,884798.3116,883021.3016,881212.6027,879382.0922,877528.4162,875536.4956,873685.6609,871809.9584,869919.2259,868007.7446,865940.1829,864034.0262,862099.7658,860139.6669,858172.2055,856252.9847,854356.6202,852416.8219,850426.7644,848447.2006,846480.523,844455.6537,844853.4874
BES,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5424.504092,5501.246113,5577.034157,5672.474769,5730.366196,5726.299405,5743.396683,5801.957841,5833.017722,5856.818288,5870.961886,5880.597102,5896.690967,5902.000518,5926.57503,5955.225123,5981.651578,5986.954917,5988.060512,6005.468573,6014.494659,6024.444272,6034.240436,6043.770409,6052.921863,6061.615661,6069.828674,6077.342284,6083.301738,6087.88765,6092.057449,6095.755735,6098.912547,6101.230368,6103.5602,6105.940354,6108.688335,6111.515261,6114.390564,6117.147428,6118.873991,6119.958655,6120.938223,6122.535084,6124.076841,6125.42058,6126.876791,6128.267796,6129.635243,6130.958371,6132.236654,6133.457589,6134.634332,6135.762279,6136.854065,6137.930992,6139.00289,6140.033915,6140.973706,6141.965858,6142.988506,6144.015966,6145.018097,6146.000534,6146.969307,6137.553543,6072.707393,6049.216158,6052.428918,6050.186354,6033.582433,6018.961592,6024.867448,6006.668427,5994.889676,5974.757744,5964.48601,5950.009539,5955.551807,5943.161284,5946.732192,5906.373646,5889.633309,5871.166467,5864.222116,5872.353608,5870.757577,5865.977983,5858.916102,5848.820652,5846.136138,5843.650422,5842.78377,5841.091419,5838.785104,5836.557856,5834.808115,5832.704641,5830.576812,5828.959192,5827.667863,5826.988041,5826.285135,5825.17844,5823.787068,5822.616731,5822.007457,5822.524981,5823.161367,5823.69034,5823.343131,5822.525235,5821.543646,5820.553611,5819.52571,5818.468112,5817.422986,5816.387168,5815.345477,5814.278625,5813.211564,5594.143627
HOS,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57430.12337,58046.09815,58801.43794,59561.44931,59898.76676,59922.94097,60236.38728,60279.18573,60412.10568,60520.30078,60534.68822,60697.3975,60910.27642,61035.05892,61227.55089,61474.51783,61643.67275,61852.12951,61909.6167,61764.74776,61745.25738,61763.55668,61761.77299,61794.23341,61853.01682,61968.29456,62088.503,62208.67749,62312.73818,62453.16734,62600.04075,62503.6408,62325.58555,62260.9408,62191.41905,62194.02497,62217.1623,62198.16196,62240.68126,62285.59264,62304.44969,62371.13065,62456.03828,62499.75095,62584.68374,62515.32402,62225.83485,62107.07854,62027.57564,61932.05925,61905.68708,61910.27523,61867.32163,61942.13307,61973.966,62071.16001,62110.98631,62200.41318,62010.06579,61781.69044,61680.90451,61510.2517,61571.49392,61539.63035,61561.41779,61503.80673,61163.95695,61265.87212,61417.76472,61298.30103,61258.1041,61248.30319,61118.73832,60833.12801,60901.36472,60757.26005,60706.06742,60767.26933,60787.47731,60811.59396,60897.54968,60952.94422,61079.05144,61191.48857,61272.40875,61228.41153,61063.34078,60930.45755,60907.86006,60937.37465,60914.87029,61014.4288,61141.38765,61188.78621,61318.61518,61456.41145,61551.3438,61694.50782,61854.12852,61763.7235,61548.34208,61507.81518,61403.42991,61494.19761,61498.97068,61573.04789,61499.90029,61490.22777,61489.63795,61543.14124,61612.32756,61626.76447,61507.27044,61305.90938,61083.0611,61040.4835,60938.23902,60847.93877,60828.29727,60900.49657,60827.26806,61600.90865
RIS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5174.628754,5186.451964,5198.326683,5215.989905,5210.742496,5182.477195,5179.061793,5211.006264,5227.992695,5243.274491,5258.862268,5270.907499,5273.861331,5283.196629,5288.63385,5299.874173,5324.70283,5330.401151,5337.396596,5342.317705,5348.497527,5346.05037,5345.511893,5351.080759,5347.580797,5354.357132,5351.408215,5350.757108,5351.615346,5349.677133,5352.947602,5355.653781,5357.132612,5357.787752,5355.755577,5353.456906,5353.567026,5355.110084,5355.075204,5354.691334,5355.650707,5356.025654,5354.398451,5355.020616,5354.601956,5354.103763,5354.72045,5354.508536,5352.693129,5353.397642,5351.51386,5349.645314,5349.77515,5349.701305,5348.150862,5348.796462,5347.553901,5344.101753,5341.052466,5344.195019,5342.785389,5343.529868,5342.732125,5340.819969,5341.283475,5341.008254,5323.578258,5314.338044,5313.425345,5317.058321,5314.795184,5313.542862,5316.039711,5315.498417,5310.072861,5298.749547,5291.867639,5282.074823,5282.738254,5277.673281,5277.709513,5261.520394,5248.393517,5240.30272,5233.782774,5236.864508,5237.134121,5236.257694,5236.462239,5236.554405,5232.926834,5230.801228,5232.147019,5229.321123,5227.119129,5226.141298,5223.093132,5222.935998,5220.718607,5218.538638,5218.085247,5217.28423,5210.83021,5207.93821,5208.330579,5204.990988,5204.626954,5202.605478,5199.744833,5197.15322,5196.123534,5193.220913,5193.224915,5192.183341,5186.596628,5182.842325,5182.785368,5178.669007,5178.12957,5176.307233,5173.19229,4034.06779
SBA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24400.28638,24719.9523,25010.40033,25322.59891,25564.08748,25708.16554,25895.33519,26145.89725,26336.47531,26512.77596,26649.23044,26733.73825,26836.93949,26882.1357,26977.0025,27102.67348,27223.35574,27258.14555,27253.85374,27290.92685,27335.37204,27371.75923,27404.35595,27437.08954,27463.92715,27484.47243,27502.6965,27524.26014,27546.71535,27565.71237,27581.62638,27586.71246,27592.43315,27593.26897,27593.03246,27594.33692,27600.29835,27605.00214,27606.3567,27605.26964,27603.27003,27601.57393,27599.2937,27596.7615,27593.47611,27590.55052,27587.16537,27583.30528,27579.17173,27574.66342,27570.40274,27565.45608,27560.91524,27555.85742,27551.06109,27545.66255,27540.86352,27535.25985,27529.50291,27524.17399,27518.84619,27513.23885,27507.50608,27501.87734,27496.33222,27487.83001,27246.23011,27139.68147,27068.27357,27006.05687,26914.75725,26826.55518,26804.24509,26715.22626,26635.3304,26520.69129,26408.75345,26309.79882,26285.1333,26208.01286,26169.57466,26060.63119,25950.61096,25858.98298,25821.98838,25840.51986,25837.78447,25828.25572,25812.07865,25795.6288,25777.99051,25761.39762,25749.83885,25734.34801,25718.19595,25703.67624,25687.61556,25676.56521,25673.33654,25672.30027,25669.96164,25665.91025,25655.12862,25635.16831,25614.60829,25593.44151,25572.11209,25550.4672,25528.86034,25507.08245,25485.34349,25462.8713,25441.25377,25419.03834,25396.18718,25373.60989,25351.35222,25329.02288,25306.44115,25283.56878,25260.70529,25854.72501
SBB,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5003.434407,5002.904533,5002.216674,5011.601881,5020.01931,5025.228658,5030.35494,5032.053146,5038.31754,5043.080889,5048.595332,5053.763614,5056.969215,5056.575794,5061.067808,5072.940535,5078.058339,5080.481573,5081.019292,5085.538828,5088.475143,5090.404347,5091.311406,5090.270178,5088.718124,5086.679471,5084.21192,5081.385472,5078.594385,5075.048757,5070.983081,5066.659494,5061.962984,5056.730098,5050.949459,5045.233689,5038.961647,5032.833586,5026.207159,5019.371518,5012.222992,5004.907985,4997.706965,4990.015356,4983.203951,4976.52799,4969.573548,4962.673699,4955.508744,4948.526918,4940.544179,4933.278248,4925.743076,4918.064454,4910.669673,4903.359386,4896.715067,4888.704694,4881.233202,4873.736441,4866.334423,4858.92509,4851.60751,4843.776817,4836.496619,4829.157889,4760.810084,4793.123299,4813.969649,4837.938641,4857.250081,4869.485004,4888.893183,4902.64717,4919.715199,4934.377223,4938.619242,4935.289277,4942.519818,4945.554725,4951.110793,4962.066909,4976.16611,4983.470078,4992.369802,5002.668491,5006.798867,5007.323799,5005.122162,5001.238161,4996.082688,4989.829037,4983.400862,4976.713517,4970.425019,4965.509637,4959.918118,4954.14525,4947.11013,4940.083577,4931.510152,4923.083151,4913.90149,4904.689672,4895.087342,4885.407783,4875.332984,4865.235787,4855.553874,4845.732469,4835.930704,4825.617013,4815.509526,4805.722461,4795.738243,4785.822357,4776.032103,4765.76482,4755.771722,4745.68001,4735.763081,4786.026286
