Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.46786,161.578127,162.116716,162.795984,163.503739,164.149276,164.912232,165.708245,166.467739,167.097113,167.713831,168.371214,168.943402,169.573767,170.282778,171.037151,171.618526,172.103286,172.651934,173.128094,173.553074,173.943411,174.309833,174.671302,175.021208,175.364229,175.706136,176.048442,176.380605,176.690957,176.9864,177.261284,177.509877,177.73313,177.950661,178.162147,178.358932,178.548422,178.729889,178.90401,179.071538,179.233119,179.389286,179.540169,179.680544,179.818226,179.952581,180.082756,180.208468,180.329877,180.446873,180.559671,180.669355,180.776204,180.880354,180.978809,181.073408,181.167681,181.260967,181.352834,181.44315,181.531922,181.619199,181.705029,181.78951,180.873272,180.351684,180.193475,180.083255,179.866824,179.590033,179.369683,179.087764,178.788354,178.388,178.000168,177.609604,177.286787,176.984658,176.788963,176.369253,176.038346,175.712174,175.538534,175.494462,175.398221,175.282456,175.166033,175.057391,174.950257,174.857198,174.777759,174.707465,174.639496,174.584723,174.531579,174.495338,174.465925,174.455942,174.447461,174.443055,174.430397,174.412228,174.394508,174.377453,174.361922,174.348032,174.336256,174.3269,174.319884,174.314953,174.311734,174.306018,174.3031,174.302864,174.30457,174.307648,174.311801,174.316603,174.321921,181.989032
KWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135455.5801,134613.7266,133624.0978,131727.8686,129252.5353,127402.8605,124139.16,120472.9623,116943.7193,112284.6685,107735.3747,103689.7158,100460.1432,98269.45096,96256.50078,94288.98975,93061.97873,91704.30983,91076.33328,90611.56362,90434.07779,90908.20577,90858.36064,91463.14038,91446.3468,91723.00846,91891.42388,91972.68424,91647.39512,91732.96363,91088.69251,90629.80109,90345.04983,90116.93212,89482.14665,88698.3068,88699.0872,88152.45042,87728.64726,86900.1656,86950.87741,86757.84811,86627.11903,86273.29266,85617.30449,84715.34663,83626.68107,83060.62969,82872.77965,82313.37669,81923.85072,81677.30139,81388.94817,80988.99217,80916.76276,81273.926,81355.92697,81170.35454,80838.36384,80103.46153,79308.5933,78890.97368,79079.51914,78426.22037,78525.71243,78561.45348,78710.368,78270.94719,78104.78766,77693.65132,77551.56156,77046.0334,76373.9246,75533.00566,75103.82412,74707.38149,74224.2194,74075.08504,73846.40148,73493.53464,73280.23697,73679.2109,73538.91688,73718.16086,73995.05262,73813.3695,73751.87578,72992.26959,73247.35152,73370.71499,73076.45732,73469.33318,73900.82628,73970.06833,74396.15881,75043.3143,75182.23735,75202.98856,75217.17982,75183.82927,75479.07127,75684.36292,75377.40916,75796.76803,76100.78461,76286.10589,76598.77835,76627.21166,76243.05998,76515.59346,76473.6124,76732.21943,76058.14914,75380.84783,75650.44241,75487.45514,75038.37525,75588.42241,75465.22444,75561.29943,76536.19558
SWH,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72277.51875,70940.5196,69673.97518,68427.82236,66202.23842,64709.01087,64260.06666,63627.25809,62971.58928,61754.54754,61424.58165,60701.46172,60018.41122,59550.17708,59251.03159,58810.94596,58339.46574,57633.50026,57097.2232,56533.46636,55933.43691,55580.34611,55844.16385,56082.85548,55042.92993,54613.45209,54069.54624,54318.90382,54759.54593,54094.7659,53525.05392,52938.46353,52608.49152,52253.01349,52075.22912,51959.91736,51915.4103,51990.72187,51607.74573,51095.50632,50885.39661,50790.23162,51179.71663,51732.29518,51174.14544,50729.45591,50436.04784,50078.58104,49706.09389,49182.13616,49172.27229,49306.64753,48767.39824,48877.34293,49031.49375,49586.23895,49052.02673,48665.00093,48247.73578,47748.27626,47466.50461,47378.95481,47156.70047,47008.69047,46872.45077,46731.69318,46849.08731,47164.47589,46969.67188,46685.04717,46722.51666,46704.14182,46693.48266,46642.39365,46674.03048,46551.91708,46603.9169,46485.10864,46743.07029,46951.22436,46958.22567,47340.33219,47612.60124,47506.45359,48619.70554,48449.80843,48629.72844,47937.4929,47796.68378,47580.19038,47256.11946,47679.38573,48703.61445,48633.95722,48665.33501,48529.03439,48159.14826,47938.30472,47693.16275,47223.59947,47308.12508,47242.2127,46917.91925,47082.2286,46944.79588,46606.67777,46724.69787,46649.27641,46429.64614,46120.85065,46145.0361,45984.4708,45682.41597,45460.96392,45348.08777,45076.9841,45071.9861,45265.40552,44769.75678,44745.98769,44732.63819
MWH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957688.6523,962747.0313,964453.5996,964217.259,943493.4923,935263.5527,948547.9889,954328.2276,959418.5699,962037.3088,962580.874,964714.439,964638.6488,967156.5946,971084.7427,975661.7439,974180.3229,970543.7556,974779.253,981440.3491,986829.8545,990511.1278,993387.7841,995387.5181,996890.7244,997982.2374,998698.8857,998811.3675,999301.1349,999560.1155,999533.7837,999240.1301,999081.2985,998705.865,997913.7732,997514.0862,996961.0254,996272.1552,995506.5516,994690.7922,993659.9846,982367.1875,979791.0886,982312.7014,983411.2942,984098.9155,984070.1562,983905.6074,983567.6767,982939.4972,982452.1811,981930.9073,981359.9431,980700.135,979915.1403,978533.5129,977408.8781,976489.0547,975671.4354,974575.0444,973725.5449,972571.6596,971507.1506,970384.0896,969176.0982,957309.8361,956033.6825,955176.0023,953342.3528,950305.204,947928.0508,948386.1945,946841.6455,945792.956,941283.4855,937585.8051,935145.8504,936815.0848,935696.9002,936527.6549,934497.8593,930790.4492,926736.781,925887.656,925749.2199,925198.131,924108.8422,910287.271,906829.5861,909190.7246,909961.8151,909836.2582,909127.7593,907863.6505,906453.9816,905009.9003,903445.8974,901517.9985,899776.2051,898018.2743,896225.8403,894371.4769,892510.3127,890343.7032,888472.1737,886624.9568,884906.606,882843.1732,881066.0281,879324.6996,877589.1506,875413.0426,873577.7894,871692.8993,869765.323,867582.7436,865889.7954,864104.3627,862165.3525,860112.9729,861993.9681
FWH,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972883.8552,977275.696,979143.6367,979828.6371,972253.3512,970503.6796,975719.3737,977784.6638,980194.0351,981112.4773,981078.5072,982352.8423,982656.2825,984040.4744,986109.4263,988403.3302,986947.1243,983063.3477,980964.1572,979932.0898,978336.2147,976287.3931,974098.0121,971631.8794,970559.6737,971503.2553,972916.4708,974112.9413,975326.9246,977454.9247,979150.0017,980419.8249,981429.8511,982137.8232,982445.6934,982705.7809,982741.1487,982569.6277,982210.6666,981687.3165,980939.4476,975986.7907,974920.6615,974696.1698,974081.0717,973190.5155,972031.2158,970754.5063,969326.611,967712.4262,966112.956,964531.5414,963025.5031,961598.8822,960103.1331,958409.9674,956901.2517,955367.0107,953821.3885,952217.303,950681.4943,949084.9057,947404.9372,945612.8281,943754.4461,937569.7213,936682.3487,935581.0925,933834.462,931432.5819,929391.1187,928809.3316,927493.5935,926269.8482,923318.3595,920570.2867,918353.7521,918224.5692,916931.4262,916699.1318,915388.7631,912850.0679,910301.2404,909191.6266,908217.4447,907127.0551,905819.6393,899718.8157,897852.793,897324.2085,896493.7573,895395.2288,894108.7866,892644.6397,891118.2345,889522.8979,887869.923,886058.5089,884326.5606,882563.6577,880774.7254,878956.3579,877123.8525,875192.0623,873332.9605,871456.8394,869561.5155,867525.0633,865619.8613,863695.3964,861753.4579,859658.1375,857707.2805,855810.5007,853928.1111,851870.8245,849916.5838,847954.1711,846004.8446,843993.4494,844390.861
BES,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5501.246113,5577.021731,5672.401548,5730.160174,5728.293439,5743.691684,5801.741789,5832.40483,5855.849845,5869.644136,5878.94792,5894.705021,5899.671392,5923.876145,5952.156017,5978.224119,5983.198309,5983.971357,6001.005914,6009.676501,6019.271562,6028.740156,6037.955443,6046.770668,6055.122271,6062.999413,6070.207515,6075.87903,6080.200934,6084.141384,6087.695165,6090.672402,6092.831945,6095.029949,6097.287938,6099.935331,6102.693792,6105.516706,6108.225964,6109.934078,6111.024006,6104.540646,6108.173684,6112.014127,6114.448689,6116.490779,6118.254188,6119.905767,6121.443338,6122.89879,6124.273918,6125.641657,6126.953673,6128.241449,6129.505649,6130.767741,6132.019691,6133.256888,6134.497919,6135.770477,6137.028588,6138.264394,6139.507506,6140.763716,6141.996848,6072.279414,6047.135712,6049.741166,6047.306521,6030.69438,6016.203086,6022.227468,6004.191391,5992.595534,5972.638978,5962.504242,5948.169522,5953.832018,5941.557765,5945.218261,5904.941403,5888.257633,5869.827711,5862.936302,5871.155103,5869.624672,5865.29206,5843.601211,5840.856252,5840.531441,5839.1479,5838.834759,5837.459674,5835.352226,5833.273521,5831.617894,5829.565821,5827.44365,5825.662292,5824.42058,5823.825555,5823.288969,5822.3047,5821.045016,5819.999368,5819.509108,5820.146006,5820.900013,5821.551138,5821.349237,5820.688798,5819.916453,5819.060502,5818.159066,5817.223247,5816.271146,5815.342219,5814.380775,5813.391655,5812.410065,5593.397312
HOS,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58046.09815,58800.89645,59557.91734,59889.94024,59909.09422,60218.04397,60255.27942,60383.97598,60488.47214,60505.57999,60675.19078,60879.25591,60999.7076,61188.04933,61432.37966,61600.70251,61806.05758,61862.7423,61716.27543,61695.54839,61721.27344,61710.20168,61712.27841,61788.6928,61895.93053,62010.46352,62128.50577,62230.6431,62368.38935,62514.38612,62416.12752,62235.45492,62169.57414,62097.72263,62099.31279,62120.7815,62112.60064,62167.9331,62232.27908,62244.62187,62306.89672,62389.33764,62432.43427,62514.39893,62446.16277,62145.7138,62019.29074,61942.70272,61911.04957,61818.67718,61784.60619,61761.80524,61796.45339,61883.75645,61909.83199,62064.70434,62112.17255,61961.7192,61729.59736,61549.24282,61452.36041,61413.80418,61513.54343,61438.71224,61508.56167,61123.97164,61175.2423,61319.18632,61210.69245,61190.37024,61186.87671,61083.33752,60804.67695,60886.11637,60728.23128,60668.8078,60732.42385,60732.10285,60771.03636,60855.97645,60916.42532,61033.41788,61133.66665,61216.32333,61170.52817,61010.31235,60874.50873,60863.93326,60899.07517,60886.68352,60969.82856,61094.52974,61113.92752,61233.05242,61370.32543,61524.3891,61639.49282,61759.59687,61671.54314,61409.93374,61337.67613,61224.99727,61198.56702,61276.55634,61256.08037,61383.45142,61405.16435,61384.42329,61429.19103,61514.88498,61538.52163,61557.57851,61270.16275,61037.52612,60990.72978,60904.46404,60807.4642,60769.91255,60761.8144,60723.68223,61524.48995
RIS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5186.451964,5198.366431,5216.049997,5213.222207,5191.870123,5191.013802,5220.953693,5237.061016,5251.221659,5265.969366,5276.068107,5278.830001,5287.143734,5290.174148,5301.011949,5324.555513,5331.396141,5341.294774,5346.19567,5360.980816,5366.132379,5369.175486,5363.577765,5365.66013,5361.256649,5365.549521,5364.559333,5361.734242,5365.519469,5364.997604,5366.244459,5367.223764,5366.710849,5364.155006,5362.554673,5358.100616,5361.326539,5361.789875,5357.02448,5360.146408,5359.99008,5358.705214,5359.663137,5359.359449,5358.604326,5356.043597,5352.745364,5353.981822,5354.687236,5353.90441,5352.028984,5352.743229,5352.140189,5350.405995,5350.832767,5349.954974,5344.89356,5347.329102,5345.873886,5344.4124,5344.616742,5344.197909,5342.503791,5342.944582,5342.618939,5325.008945,5315.903042,5313.457406,5319.932453,5317.82745,5309.199692,5313.715174,5312.66605,5308.134441,5296.78872,5290.993416,5281.553134,5282.582468,5277.597616,5278.008436,5261.579586,5249.15966,5240.800674,5234.940492,5237.790369,5238.355011,5237.349652,5238.188755,5238.042119,5235.717278,5235.694731,5234.142146,5231.059215,5230.14812,5228.588458,5225.519801,5224.867051,5223.745204,5221.018439,5220.996652,5219.325414,5213.861031,5210.318967,5210.900089,5207.218601,5206.557389,5204.629364,5201.161726,5200.657561,5198.461039,5195.309887,5195.268671,5194.213445,5188.47202,5184.776471,5184.607909,5181.089768,5180.210866,5178.4005,5175.003783,4035.456528
SBA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24719.9523,25010.44591,25322.72744,25564.19878,25718.2358,25901.3038,26150.54619,26340.03225,26515.92267,26652.00934,26736.35457,26839.75789,26884.46022,26979.22144,27104.25967,27225.13765,27259.82973,27254.97136,27292.2052,27336.679,27372.66845,27405.94903,27437.89941,27464.95067,27484.77653,27503.25092,27524.63886,27546.87551,27566.67199,27582.00738,27587.25937,27592.99939,27593.88532,27593.502,27594.94485,27600.76623,27605.71551,27606.72682,27605.47266,27604.36218,27598.02671,27593.35442,27590.01168,27586.28535,27583.03211,27578.2617,27573.2823,27568.6357,27564.09222,27559.36676,27555.68787,27551.6008,27547.14184,27543.04575,27538.13193,27533.40114,27528.35706,27523.50281,27518.67683,27514.57529,27509.09679,27504.07697,27498.98562,27494.01209,27488.55158,27248.34397,27142.64948,27072.62905,27011.16923,26920.91904,26833.26731,26811.56315,26721.58765,26641.47685,26526.55861,26414.77254,26315.65059,26290.9146,26213.33356,26174.25906,26064.92669,25954.46706,25862.22473,25824.81152,25843.12345,25840.17378,25830.19523,25808.43479,25792.61563,25775.82079,25760.64877,25748.77545,25733.67804,25717.11242,25700.22899,25683.62904,25671.8532,25668.293,25667.76281,25665.47086,25661.25439,25651.03606,25631.64648,25611.51133,25590.67664,25569.74404,25548.50582,25526.99932,25505.27999,25483.56163,25462.0308,25439.91435,25418.06824,25395.77739,25373.30188,25351.29266,25329.02617,25306.43248,25283.54628,25260.24438,25854.03398
SBB,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5002.904533,5002.216735,5011.615152,5020.035905,5025.238313,5030.375885,5033.111111,5038.967777,5043.593202,5048.981583,5054.105063,5057.329993,5056.87441,5061.358494,5073.237613,5078.349964,5080.814231,5080.855819,5085.887973,5088.720389,5090.672332,5091.066752,5090.228895,5088.810642,5086.663858,5083.985425,5081.166929,5078.59917,5075.186623,5071.207455,5066.735328,5061.950128,5056.507973,5050.959126,5045.302017,5039.609514,5033.499987,5026.440317,5019.360247,5012.184797,5005.002953,4998.217647,4991.775182,4983.805322,4976.637442,4969.358934,4961.882617,4954.165328,4946.855369,4939.405271,4931.840317,4924.887029,4918.246751,4911.091899,4903.982247,4895.816942,4888.356144,4880.937132,4873.450213,4866.150786,4858.372895,4851.282627,4843.945785,4836.562146,4829.269016,4760.577965,4793.108587,4814.789728,4838.598446,4857.6015,4869.094748,4888.687,4901.84124,4918.495486,4932.9081,4937.042743,4934.782878,4942.406931,4945.43473,4951.305422,4962.406375,4976.723563,4983.900693,4993.917992,5004.138579,5008.784173,5008.82663,5006.348075,5002.037782,4996.265708,4990.173065,4984.68886,4978.138855,4971.897166,4966.711885,4960.855998,4954.332762,4947.585983,4940.514493,4932.181781,4923.585255,4915.005813,4905.79061,4895.890784,4885.739358,4875.737594,4865.935803,4855.718463,4845.650463,4835.700843,4825.774028,4815.81191,4805.835787,4795.93065,4785.859569,4775.804466,4765.80063,4755.866678,4745.899736,4735.950919,4786.092881
