"year","score","scenario"
1981,0.588721364430543,"fmsy0"
1982,0.588342009024706,"fmsy0"
1983,0.592590297251322,"fmsy0"
1984,0.594306328021144,"fmsy0"
1985,0.596577876621502,"fmsy0"
1986,0.596554636740734,"fmsy0"
1987,0.600605186001891,"fmsy0"
1988,0.602660012968372,"fmsy0"
1989,0.606040009837346,"fmsy0"
1990,0.610844596578276,"fmsy0"
1991,0.617299776528619,"fmsy0"
1992,0.626923718737617,"fmsy0"
1993,0.637558626891057,"fmsy0"
1994,0.649536111241571,"fmsy0"
1995,0.660910923855569,"fmsy0"
1996,0.669394714828524,"fmsy0"
1997,0.674314905588522,"fmsy0"
1998,0.672348397558296,"fmsy0"
1999,0.66284321025506,"fmsy0"
2000,0.645888993892581,"fmsy0"
2001,0.645659983077219,"fmsy0"
2002,0.650662303093666,"fmsy0"
2003,0.657674267093835,"fmsy0"
2004,0.661366901401005,"fmsy0"
2005,0.666363489917765,"fmsy0"
2006,0.67213699871084,"fmsy0"
2007,0.676626609673378,"fmsy0"
2008,0.682566256525062,"fmsy0"
2009,0.687443815733381,"fmsy0"
2010,0.691330666546214,"fmsy0"
2011,0.693673793401457,"fmsy0"
2012,0.696683045103983,"fmsy0"
2013,0.699273318739594,"fmsy0"
2014,0.703238727555775,"fmsy0"
2015,0.706091083671045,"fmsy0"
1981,0.580618224251288,"fmsy1"
1982,0.590250850506582,"fmsy1"
1983,0.574613996448066,"fmsy1"
1984,0.562355701700421,"fmsy1"
1985,0.548533073032227,"fmsy1"
1986,0.542797987703088,"fmsy1"
1987,0.541165829952211,"fmsy1"
1988,0.540382515288314,"fmsy1"
1989,0.539654799952526,"fmsy1"
1990,0.541572123101155,"fmsy1"
1991,0.544444368647259,"fmsy1"
1992,0.555089112117192,"fmsy1"
1993,0.569901969931576,"fmsy1"
1994,0.580726530732121,"fmsy1"
1995,0.589607968435521,"fmsy1"
1996,0.594730173028311,"fmsy1"
1997,0.596701790309102,"fmsy1"
1998,0.594677385501118,"fmsy1"
1999,0.58461062461314,"fmsy1"
2000,0.567006109948877,"fmsy1"
2001,0.569685838906514,"fmsy1"
2002,0.57737160322125,"fmsy1"
2003,0.580716316831475,"fmsy1"
2004,0.586219646737029,"fmsy1"
2005,0.593716910172865,"fmsy1"
2006,0.598096099327884,"fmsy1"
2007,0.598295345633073,"fmsy1"
2008,0.606293550072542,"fmsy1"
2009,0.610981270675715,"fmsy1"
2010,0.614269311939089,"fmsy1"
2011,0.61753742404657,"fmsy1"
2012,0.620716161619729,"fmsy1"
2013,0.620125999197701,"fmsy1"
2014,0.625522018056469,"fmsy1"
2015,0.631223135946733,"fmsy1"
1981,0.582078716868677,"fmsy2"
1982,0.586458672091301,"fmsy2"
1983,0.54816984350144,"fmsy2"
1984,0.520890525269902,"fmsy2"
1985,0.506483512598168,"fmsy2"
1986,0.499595595587576,"fmsy2"
1987,0.492700888647326,"fmsy2"
1988,0.489880760321235,"fmsy2"
1989,0.488317813965259,"fmsy2"
1990,0.489512825916527,"fmsy2"
1991,0.492053962905836,"fmsy2"
1992,0.499859867946724,"fmsy2"
1993,0.508448976912285,"fmsy2"
1994,0.520435886892871,"fmsy2"
1995,0.529489639776503,"fmsy2"
1996,0.535891956215882,"fmsy2"
1997,0.539880558471117,"fmsy2"
1998,0.539123455034595,"fmsy2"
1999,0.530977678555312,"fmsy2"
2000,0.519131146629675,"fmsy2"
2001,0.523324879827721,"fmsy2"
2002,0.529587433828085,"fmsy2"
2003,0.538064926088114,"fmsy2"
2004,0.544337948482605,"fmsy2"
2005,0.549300211258862,"fmsy2"
2006,0.559100264803586,"fmsy2"
2007,0.567399637724509,"fmsy2"
2008,0.577354964766118,"fmsy2"
2009,0.585966606416752,"fmsy2"
2010,0.592826769136123,"fmsy2"
2011,0.597826295424364,"fmsy2"
2012,0.601932771358498,"fmsy2"
2013,0.60787043043353,"fmsy2"
2014,0.61253764246122,"fmsy2"
2015,0.613814644854435,"fmsy2"
