indicatorID,indicator_name,model_group,latin_name,fk_func_groupID,fk_func_group_name,scaling_code,scaling_model,key_element,fidelity_benthic,fidelity_pelagic
1,Greenland halibut,GRH,Reinhardtius hippoglossoides,8,Top predator generalist,1,Low,FALSE,60,40
2,Blue ling,DEO,Molva dypterygia,9,Top predator specialist,1,Low,FALSE,100,0
3,Blue mussel,BFF,Mytilus edulis,5,Herbivore / Filter feeder,1,Low,FALSE,100,0
4,Tusk,DEO,Brosme brosme,9,Top predator specialist,1,Low,FALSE,100,0
5,Fin whale,FWH,Balaenoptera physalus,1,Intermediate predator generalist,1,Low,FALSE,0,100
6,Wolffish,DEL,Anarhichas lupus,1,Intermediate predator generalist,1,Low,FALSE,100,0
7,Hooded seal,HOS,Halichoerus grypus ,9,Top predator specialist,1,Low,FALSE,30,70
8,Haddock,HAD,Melanogrammus aeglefinus,8,Top predator generalist,1,Low,FALSE,100,0
9,Blue whiting,BWH,Micromesistius poutassou,1,Intermediate predator generalist,1,Low,FALSE,0,100
10,Atlantic halibut,DEL,Hippoglossus hippoglossus,8,Top predator generalist,1,Low,FALSE,40,60
11,Atlantic salmon,PEL,Salmo salar,8,Top predator generalist,1,Low,FALSE,0,40
12,Ling,DEO,Molva molva,8,Top predator generalist,1,Low,FALSE,100,0
13,Capelin,CAP,Mallotus villosus,2,Intermediate predator specialist,1,Low,TRUE,0,100
14,Jellyfish,ZG,Scyphozoa sp,2,Intermediate predator specialist,1,Low,FALSE,0,100
15,Phytoplankton small,PS,,6,Primary producer generalist,2,Low,TRUE,0,100
16,Phyoplankton large,PL,,6,Primary producer generalist,2,Low,TRUE,0,100
17,Polar cod,PCO,Boreogadus saida,2,Intermediate predator specialist,1,Low,FALSE,40,60
18,Northern deep sea shrimp,PWN,Pandalus borealis,1,Intermediate predator generalist,1,Low,FALSE,70,30
19,Lumpfish,PES,Cyclopterus lumpus,2,Intermediate predator specialist,1,Low,FALSE,65,35
20,Sand gaper,BFF,Mya arenaria,5,Herbivore / Filter feeder,1,Low,FALSE,100,0
21,Herring,SSH,Clupea harengus,2,Intermediate predator specialist,1,Low,TRUE,0,100
22,Deep sea redfish,REO,Sebastes mentella,1,Intermediate predator generalist,1,Low,FALSE,25,75
23,Cuvie,BFF,Laminaria hyperborea,6,Primary producer generalist,1,Low,TRUE,100,0
24,Atlantic cod,NCO,Gadus morhua,8,Top predator generalist,1,Low,TRUE,80,20
25,Golden redfish,RED,Sebastes marinus,1,Intermediate predator generalist,1,Low,FALSE,25,75
26,Minke whale,MWH,Balaenoptera acutorostrata,1,Intermediate predator generalist,1,Low,FALSE,0,100
27,"Rays, skates",SSK,Rajiformes,8,Top predator generalist,1,Low,FALSE,100,0
28,Dogfish,SHO,Squalus acanthias,8,Top predator generalist,1,Low,FALSE,70,30
29,Northern fulmar,SBA,Fulmarus glacialis,8,Top predator generalist,1,Low,FALSE,0,100
30,Northern gannet,SBB,Morus bassanus,9,Top predator specialist,1,Low,FALSE,0,100
31,Great cormorant,SBB,Phalacrocorax carbo carbo,8,Top predator generalist,1,Low,FALSE,0,100
32,European shag,SBB,Phalacrocorax aristotelis,8,Top predator generalist,1,Low,FALSE,0,100
33,Great skua,SBA,Stercorarius skua,9,Top predator specialist,1,Low,FALSE,0,100
34,Black-legged kittiwake,SBB,Rissa tridactyla,8,Top predator generalist,1,Low,FALSE,0,100
35,Arctic tern,SBB,Sterna paradisaea,9,Top predator specialist,1,Low,FALSE,0,100
36,Razorbill,SBB,Alca torda,9,Top predator specialist,1,Low,FALSE,0,100
37,Common guillemot,SBA,Uria aalge,9,Top predator specialist,1,Low,FALSE,0,100
38,Brünnich guillemot,SBA,Uria lomvia,9,Top predator specialist,1,Low,FALSE,0,100
39,Atlantic puffin,SBB,Fratercula arctica,9,Top predator specialist,1,Low,FALSE,0,100
40,White-tailed eagle,SBB,Haliaeetus albicilla,8,Top predator generalist,1,Low,FALSE,0,100
41,Common eider,SBA,Somateria mollissima,1,Intermediate predator generalist,1,Low,FALSE,100,0
42,Hoppekreps,ZS,Calanus spp.,5,Herbivore / Filter feeder,1,Low,TRUE,0,100
43,Caryophyllia smithii,COR,Caryophyllia smithii,8,Top predator generalist,1,Low,FALSE,100,0
44,Cerianthus lloydii,BC,Cerianthus lloydii,8,Top predator generalist,1,Low,FALSE,100,0
45,Filograna implexa,BC,Filograna implexa,1,Intermediate predator generalist,1,Low,TRUE,100,0
46,Geodia spp,SPO,Geodia spp,5,Herbivore / Filter feeder,1,Low,TRUE,100,0
47,Gorgonocephalus arcticus,BD,Gorgonocephalus arcticus,5,Herbivore / Filter feeder,1,Low,FALSE,100,0
48,Gorgonocephalus eucnemis,BD,Gorgonocephalus eucnemis,5,Herbivore / Filter feeder,1,Low,FALSE,100,0
49,Gorgonocephalus lamarcki,BD,Gorgonocephalus lamarcki,5,Herbivore / Filter feeder,1,Low,FALSE,100,0
50,Heliometra glacialis,BD,Heliometra glacialis,5,Herbivore / Filter feeder,1,Low,FALSE,100,0
51,Lophelia sp,COR,Lophelia sp,8,Top predator generalist,1,Low,TRUE,100,0
52,Phakellia ventilabrum,COR,Phakellia ventilabrum,5,Herbivore / Filter feeder,1,Low,TRUE,100,0
53,Poliometra prolixa,BD,Poliometra prolixa,5,Herbivore / Filter feeder,1,Low,FALSE,100,0
54,Tentorium semisuberites,COR,Tentorium semisuberites,5,Herbivore / Filter feeder,1,Low,FALSE,100,0
55,Umbellula encrinus,BD,Umbellula encrinus,1,Intermediate predator generalist,1,Low,FALSE,100,0
