"year","score","scenario"
1981,0.972828310014578,"fmsy0"
1982,0.937815907758817,"fmsy0"
1983,0.888583928033128,"fmsy0"
1984,0.907812090692348,"fmsy0"
1985,0.93252122054601,"fmsy0"
1986,0.954238541707312,"fmsy0"
1987,0.916832971240988,"fmsy0"
1988,0.934414080142248,"fmsy0"
1989,0.877897505942834,"fmsy0"
1990,0.96425822995257,"fmsy0"
1991,0.953506030048745,"fmsy0"
1992,0.894867874178728,"fmsy0"
1993,0.945401546706598,"fmsy0"
1994,0.944706462059303,"fmsy0"
1995,0.939389318375987,"fmsy0"
1996,0.939720593618401,"fmsy0"
1997,0.901548518845529,"fmsy0"
1998,0.917840001154566,"fmsy0"
1999,0.92618277799633,"fmsy0"
2000,0.932165730109432,"fmsy0"
2001,0.983290449666591,"fmsy0"
2002,0.929557216389122,"fmsy0"
2003,0.952028060881415,"fmsy0"
2004,0.942871565024739,"fmsy0"
2005,0.913182032147141,"fmsy0"
2006,0.896163624921412,"fmsy0"
2007,0.898445314099778,"fmsy0"
2008,0.861631743380912,"fmsy0"
2009,0.933638855734463,"fmsy0"
2010,0.924391437509301,"fmsy0"
2011,0.914711711103444,"fmsy0"
2012,0.848764657690841,"fmsy0"
2013,0.922816788502846,"fmsy0"
2014,0.915869401196687,"fmsy0"
2015,0.902023857675957,"fmsy0"
1981,0.886325644061143,"fmsy1"
1982,0.884816521491989,"fmsy1"
1983,0.881913689919779,"fmsy1"
1984,0.928001754510116,"fmsy1"
1985,0.906519742533701,"fmsy1"
1986,0.891356696686135,"fmsy1"
1987,0.864793588123822,"fmsy1"
1988,0.943530605595384,"fmsy1"
1989,0.924146994515226,"fmsy1"
1990,0.941275499125603,"fmsy1"
1991,0.972208436491963,"fmsy1"
1992,0.957202346933368,"fmsy1"
1993,0.974216615199143,"fmsy1"
1994,0.976090949313181,"fmsy1"
1995,0.962364429685644,"fmsy1"
1996,0.95446251647565,"fmsy1"
1997,0.862118050691644,"fmsy1"
1998,0.93883562136506,"fmsy1"
1999,0.902451292857954,"fmsy1"
2000,0.920094500282332,"fmsy1"
2001,0.922482591721887,"fmsy1"
2002,0.872250119693992,"fmsy1"
2003,0.949435830609211,"fmsy1"
2004,0.885057595315292,"fmsy1"
2005,0.962197395947127,"fmsy1"
2006,0.955729506990297,"fmsy1"
2007,0.873667806179746,"fmsy1"
2008,0.922118814755418,"fmsy1"
2009,0.880251383587516,"fmsy1"
2010,0.901919509325554,"fmsy1"
2011,0.960782218418795,"fmsy1"
2012,0.880720189777876,"fmsy1"
2013,0.851514490421408,"fmsy1"
2014,0.898689771048322,"fmsy1"
2015,0.894058561073172,"fmsy1"
1981,0.952940508639721,"fmsy2"
1982,0.885236472785785,"fmsy2"
1983,0.941497128011686,"fmsy2"
1984,0.87791563466672,"fmsy2"
1985,0.909733401675616,"fmsy2"
1986,0.918502381485755,"fmsy2"
1987,0.911303490051505,"fmsy2"
1988,0.906149564944538,"fmsy2"
1989,0.826005563120599,"fmsy2"
1990,0.867960002800756,"fmsy2"
1991,0.858674836050803,"fmsy2"
1992,0.82477153802463,"fmsy2"
1993,0.841551047860196,"fmsy2"
1994,0.758079284236972,"fmsy2"
1995,0.8782491322122,"fmsy2"
1996,0.773780972035226,"fmsy2"
1997,0.853712236261484,"fmsy2"
1998,0.800729776558298,"fmsy2"
1999,0.766163182028772,"fmsy2"
2000,0.813482426832124,"fmsy2"
2001,0.813928063851496,"fmsy2"
2002,0.792268024028441,"fmsy2"
2003,0.845643077355972,"fmsy2"
2004,0.813476655568604,"fmsy2"
2005,0.861303972515972,"fmsy2"
2006,0.856333824967913,"fmsy2"
2007,0.82484216667731,"fmsy2"
2008,0.756357543019458,"fmsy2"
2009,0.796452503526542,"fmsy2"
2010,0.84357207582309,"fmsy2"
2011,0.720055184850574,"fmsy2"
2012,0.852796459967434,"fmsy2"
2013,0.762164080392973,"fmsy2"
2014,0.82287143918546,"fmsy2"
2015,0.77388763692375,"fmsy2"
