"year","score","scenario"
1981,0.632496231465064,"fmsy0"
1982,0.649720762582507,"fmsy0"
1983,0.674019487203342,"fmsy0"
1984,0.643649735104183,"fmsy0"
1985,0.640677869749176,"fmsy0"
1986,0.643837523103513,"fmsy0"
1987,0.641458960271393,"fmsy0"
1988,0.682325782079118,"fmsy0"
1989,0.695829782465868,"fmsy0"
1990,0.676091102931173,"fmsy0"
1991,0.662065298827568,"fmsy0"
1992,0.674913734516701,"fmsy0"
1993,0.689722472142241,"fmsy0"
1994,0.703492299393466,"fmsy0"
1995,0.700478579709725,"fmsy0"
1996,0.712469279655503,"fmsy0"
1997,0.721853212053503,"fmsy0"
1998,0.709299614240132,"fmsy0"
1999,0.703597554618225,"fmsy0"
2000,0.704966531318923,"fmsy0"
2001,0.697005946885273,"fmsy0"
2002,0.693062233400901,"fmsy0"
2003,0.71518972192009,"fmsy0"
2004,0.694657732400805,"fmsy0"
2005,0.709133621637319,"fmsy0"
2006,0.705223905619515,"fmsy0"
2007,0.704260755745806,"fmsy0"
2008,0.719572972976538,"fmsy0"
2009,0.718172555756293,"fmsy0"
2010,0.720674299404512,"fmsy0"
2011,0.739471002618965,"fmsy0"
2012,0.732642356752284,"fmsy0"
2013,0.724200552528448,"fmsy0"
2014,0.720214534911189,"fmsy0"
2015,0.732303333504441,"fmsy0"
1981,0.660920724927125,"fmsy1"
1982,0.676881050222201,"fmsy1"
1983,0.665691116774972,"fmsy1"
1984,0.62723565922018,"fmsy1"
1985,0.641777467526905,"fmsy1"
1986,0.626234523799872,"fmsy1"
1987,0.61244295719613,"fmsy1"
1988,0.664553851149433,"fmsy1"
1989,0.635855758115347,"fmsy1"
1990,0.618612441022944,"fmsy1"
1991,0.610435324287469,"fmsy1"
1992,0.631739043762273,"fmsy1"
1993,0.645882721078676,"fmsy1"
1994,0.648191356868618,"fmsy1"
1995,0.697230313704996,"fmsy1"
1996,0.663440364375777,"fmsy1"
1997,0.664039148488839,"fmsy1"
1998,0.660475774753779,"fmsy1"
1999,0.652066715352461,"fmsy1"
2000,0.630435725037454,"fmsy1"
2001,0.634372947480111,"fmsy1"
2002,0.653410279397159,"fmsy1"
2003,0.706714019075877,"fmsy1"
2004,0.659228054331698,"fmsy1"
2005,0.664203617739708,"fmsy1"
2006,0.664294215802119,"fmsy1"
2007,0.662028304489092,"fmsy1"
2008,0.666056658908815,"fmsy1"
2009,0.680683453803659,"fmsy1"
2010,0.723260810168228,"fmsy1"
2011,0.713179124362883,"fmsy1"
2012,0.716383859689203,"fmsy1"
2013,0.715914329146048,"fmsy1"
2014,0.689084980516823,"fmsy1"
2015,0.731087178837452,"fmsy1"
1981,0.68669907940388,"fmsy2"
1982,0.659756011234796,"fmsy2"
1983,0.61479356434771,"fmsy2"
1984,0.630236225115117,"fmsy2"
1985,0.626515916430561,"fmsy2"
1986,0.618347212415816,"fmsy2"
1987,0.589029168532017,"fmsy2"
1988,0.652759914985691,"fmsy2"
1989,0.631879160891597,"fmsy2"
1990,0.633143320816551,"fmsy2"
1991,0.638948522908866,"fmsy2"
1992,0.609861555849464,"fmsy2"
1993,0.606472642374406,"fmsy2"
1994,0.611730677239528,"fmsy2"
1995,0.63109480352408,"fmsy2"
1996,0.646639310635212,"fmsy2"
1997,0.68184771521316,"fmsy2"
1998,0.626040792687065,"fmsy2"
1999,0.63811525059317,"fmsy2"
2000,0.623724672031649,"fmsy2"
2001,0.630835082828213,"fmsy2"
2002,0.625227182857777,"fmsy2"
2003,0.652945338979117,"fmsy2"
2004,0.631797708864393,"fmsy2"
2005,0.645194300522023,"fmsy2"
2006,0.647225479070563,"fmsy2"
2007,0.661575288368577,"fmsy2"
2008,0.692254044535943,"fmsy2"
2009,0.678253172903971,"fmsy2"
2010,0.678463456367718,"fmsy2"
2011,0.689139824446727,"fmsy2"
2012,0.693040671883616,"fmsy2"
2013,0.659177680518946,"fmsy2"
2014,0.698111266534966,"fmsy2"
2015,0.688906994322291,"fmsy2"
