indicatorID,indicator_name,model_group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,Greenland halibut,GRH,279387.7647,279254.724,256777.1139,237523.2319,218696.0341,201999.5404,186834.2969,174158.8501,162894.6573,153735.3137,146890.8925,142848.4387,138737.7845,135568.3809,133205.8503,130829.8168,128510.2499,126796.4626,125548.8181,123784.1941,121701.9356,119290.0004,117936.7704,116853.8713,116792.9715,117451.3133,117595.42,117480.1281,117571.1649,116599.0697,115103.7495,113819.9929,112401.3018,111571.3256,112155.8695
2,Blue ling,DEO,1555666.977,1552475.806,1563250.67,1564305.495,1550647.656,1538385.089,1532207.782,1525858.581,1510884.055,1501503.893,1514262.366,1523902.244,1511556.016,1518576.385,1522440.511,1518491.234,1512337.124,1513955.564,1529197.575,1530443.545,1519643.16,1512607.684,1509113.634,1497957.698,1505129.242,1521497.192,1524279.392,1514688.67,1500364.871,1486529.003,1479481.789,1482047.113,1482123.924,1485920.381,1500819.205
3,Blue mussel,BFF,4689450.729,4644550.004,4628857.641,4593239.452,4568731.803,4553229.385,4532039.285,4463963.306,4428572.668,4437184.341,4424843.684,4369479.749,4241341.492,4170873.961,4132859.223,4115823.725,4095882.403,4100805.223,4027083.817,4023184.427,3990060.589,3968873.073,3964147.022,3942746.718,3888021.433,3884705.451,3873618.191,3860214.591,3854695.72,3792625.347,3779800.495,3749429.35,3692351.723,3645128.96,3569153.521
4,Tusk,DEO,1555666.977,1552475.806,1563250.67,1564305.495,1550647.656,1538385.089,1532207.782,1525858.581,1510884.055,1501503.893,1514262.366,1523902.244,1511556.016,1518576.385,1522440.511,1518491.234,1512337.124,1513955.564,1529197.575,1530443.545,1519643.16,1512607.684,1509113.634,1497957.698,1505129.242,1521497.192,1524279.392,1514688.67,1500364.871,1486529.003,1479481.789,1482047.113,1482123.924,1485920.381,1500819.205
5,Fin whale,FWH,968353.9443,972663.534,977109.3292,979013.5841,979761.0441,979975.8321,981790.6545,984365.9466,984643.9849,985916.3894,986028.3136,985441.6472,986351.8438,986377.7744,987524.7434,989615.4937,991767.5081,990204.7964,986228.1066,984151.4178,983046.3719,981386.5744,979184.5304,976984.8141,974504.8774,973417.4614,974342.9782,975740.1333,977012.26,978177.5966,980261.164,981911.413,982614.2111,983677.4042,984410.6861
6,Wolffish,DEL,63987.15608,63846.70552,63979.67534,63897.02484,63584.07256,63083.58508,63123.442,63254.28824,63293.48906,63281.66976,62968.84119,63082.30342,62206.55313,61462.90723,61011.57709,60971.79035,61065.80947,61023.30195,60760.38054,60624.2092,60608.48536,60392.8215,61164.72325,61021.46532,60629.15351,60244.58801,60095.59731,59946.48675,60785.75493,60485.88551,60151.37661,59894.54804,59574.69511,59450.58161,59289.05901
7,Hooded seal,HOS,57430.17639,58046.15134,58801.12773,59559.06156,59892.42004,59912.62471,60222.63359,60261.33102,60391.01629,60496.31504,60511.70816,60678.93748,60885.32302,61006.73795,61195.2534,61438.90174,61605.69205,61810.69496,61865.41525,61719.13333,61697.86414,61723.02561,61709.36157,61711.5004,61787.77064,61906.74546,62037.55169,62171.10776,62269.17821,62406.15183,62551.97363,62454.0167,62274.93192,62199.35161,62118.18632
8,Haddock,HAD,7946073.373,8007707.586,6642522.523,5668955.51,4927552.59,4352336.009,3934133.642,3639804.593,3396596.347,3199975.211,3055344.046,2963968.336,2892210.724,2834695.913,2797914.196,2763900.591,2736950.003,2714087.205,2691699.112,2670239.852,2643845.587,2627388.31,2604940.109,2583432.379,2579285.319,2572657.605,2559346.705,2547949.252,2522162.445,2502111.998,2487768.2,2487475.551,2491274.693,2495882.213,2506502.91
9,Blue whiting,BWH,887382.1158,892791.1365,891959.9086,892585.6714,900850.8152,899926.2594,910902.5908,918056.9638,921676.1377,926312.4892,935971.4784,941319.5604,955822.5775,950100.3068,946941.9456,948235.6116,944380.8259,947340.7618,952781.4074,947860.1409,947812.2573,951866.1325,954325.1894,956900.4963,949169.5763,951761.7744,957045.184,956678.5873,962748.6285,964359.0995,956508.5114,955304.3341,949651.4759,949342.5244,946570.6603
10,Atlantic halibut,DEL,63987.15608,63846.70552,63979.67534,63897.02484,63584.07256,63083.58508,63123.442,63254.28824,63293.48906,63281.66976,62968.84119,63082.30342,62206.55313,61462.90723,61011.57709,60971.79035,61065.80947,61023.30195,60760.38054,60624.2092,60608.48536,60392.8215,61164.72325,61021.46532,60629.15351,60244.58801,60095.59731,59946.48675,60785.75493,60485.88551,60151.37661,59894.54804,59574.69511,59450.58161,59289.05901
