indicatorID,indicator_name,model_group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102
1,Greenland halibut,GRH,279223.0307,279240.6218,281920.9341,284700.9039,284639.6249,283953.708,281895.6234,280545.3531,278440.2134,276966.0945,277182.8043,278334.1545,277439.9651,277075.068,276651.273,276677.0575,276635.5273,276569.785,275808.471,273926.2995,271514.9792,268859.5576,269750.8807,270134.3201,269954.8808,271061.172,271888.3522,272101.9092,271042.9269,269600.0563,269009.348,268655.3143,268775.9496,270304.3763,272257.5524,273878.421,274789.2849,274348.6308,271642.197,269135.6185,268327.4503,269424.2992,270600.8838,270500.4819,269984.6419,269111.355,270267.5938,269481.093,270725.5849,269963.1062,269382.6321,268149.635,268794.8499,268657.3691,267424.0425,265290.3772,265205.48,266572.4487,263993.5503,261941.3949,263170.5819,263557.3556,261957.8216,260721.8631,259810.1798,258316.6252,256594.1445,256844.339,258371.3317,260519.5897,260237.0301,261991.9967,264675.6392,266043.0824,267708.6744,267686.0124,266763.4111,267676.0621,267249.0196,268336.9685,271659.4411,272773.0249,271849.6321,268586.7667,266831.2741,269467.5872,272142.6391,272450.7715,270731.5948,268475.4963,266981.8459,266416.4184,268475.7004,270209.6581,270842.1653,269303.3328,268909.4319,266533.7483,264709.4517,263019.1979,263491.0559,264089.8205,265933.5078,264809.4342,260985.1705,258350.6881,257537.0273,256755.6812,256545.0712,256156.4511,255038.5222,254549.9429,253749.0649,252515.6318,250688.7516,249669.9014,251288.9699,251677.0507,252749.8371,252421.7805,250407.9315,265690.6142
2,Blue ling,DEO,1517601.271,1527853.756,1547764.88,1556519.269,1548823.471,1543010.205,1541780.714,1535004.977,1524093.599,1520569.218,1535606.231,1543207.497,1533271.051,1531817.896,1534882.17,1534997.228,1530684.187,1533780.235,1546300.976,1546882.064,1535108.866,1533899.309,1526832.198,1517105.817,1523885.566,1539846.754,1539991.042,1529451.574,1519168.931,1513140.789,1505092.022,1491355.155,1490543.212,1500469.449,1495342.91,1484799.969,1479492.834,1476045.963,1460529.877,1463470.53,1482362.007,1482748.301,1467505.08,1458032.835,1447734.38,1442389.072,1447635.095,1451059.117,1447395.21,1437092.321,1427340.846,1409192.267,1400991.59,1398100.494,1424062.831,1425116.157,1418374.832,1415756.665,1407720.758,1410502.089,1429557.753,1425668.501,1408433.855,1403035.418,1400270.215,1389925.651,1388459.711,1408205.252,1414432.83,1412540.173,1412935.637,1407123.998,1406626.296,1425762.741,1431371.648,1429273.96,1424594.457,1421630.565,1413800.941,1426511.245,1451120.309,1455753.056,1453984.128,1450918.799,1449594.558,1467732.993,1504609.75,1517656.852,1484290.24,1466157.542,1464709.433,1454335.581,1444739.966,1451138.839,1457528.089,1439546.118,1429448.919,1415314.999,1406537.674,1407027.785,1425265.005,1416178.202,1412835.474,1400791.098,1400522.914,1407320.374,1420956.197,1419660.252,1400865.24,1391908.071,1388082.348,1383974.397,1390105.959,1394920.871,1390530.64,1378954.169,1374059.048,1370298.05,1376829.196,1369685.325,1351185.398,1470265.392
3,Blue mussel,BFF,4693638.991,4651851.255,4636175.845,4601155.707,4571689.677,4552446.059,4526762.171,4454419.504,4413346.22,4417883.84,4390329.735,4365027.358,4342685.778,4314893.903,4288002.328,4282596.29,4256859.746,4193910.703,4296796.635,4270798.443,4257865.367,4370959.726,4340767.361,4327262.974,4242414.79,3824879.91,3729038.576,3684486.863,3650689.981,3637300.852,3617185.353,3576104.647,3595154.064,3592951.312,3579678.932,3541266.425,3521417.359,3472204.347,3442761.881,3452041.726,3457988.321,3447144.056,3429019.476,3422065.43,3404147.636,3420269.139,3376032.077,3364197.987,3349843.344,3338289.531,3322223.299,3308084.055,3308033.625,3325850.243,3338522.814,3350828.256,3292141.275,3284929.503,3297935.861,3316940.584,3333310.661,3353780.964,3344648.574,3344709.732,3362150.506,3324937.243,3339727.984,3375207.865,3373087.308,3369479.787,3360374.952,3351314.873,3380235.773,3403181.722,3392519.521,3392857.852,3374342.464,3365308.724,3363048.287,3398714.342,3421050.243,3431652.854,3422751.521,3419822.75,3409430.607,3425816.878,3437790.261,3454531.104,3452520.418,3393740.9,3334270.741,3261413.948,3236868.896,3211877.539,3205169.171,3096116.746,2888565.206,2853798.871,2847732.149,2878541.606,2904382.016,2904209.7,2909611.788,2904854.622,2885836.189,2922640.557,2956772.425,2966661.711,2962907.609,2958680.43,2953032.702,2989767.382,3032153.62,3037106.68,3019461.972,3006251.698,2996854.499,3056427.875,3093910.922,3098519.112,3093075.221,3092588.538
4,Tusk,DEO,1517601.271,1527853.756,1547764.88,1556519.269,1548823.471,1543010.205,1541780.714,1535004.977,1524093.599,1520569.218,1535606.231,1543207.497,1533271.051,1531817.896,1534882.17,1534997.228,1530684.187,1533780.235,1546300.976,1546882.064,1535108.866,1533899.309,1526832.198,1517105.817,1523885.566,1539846.754,1539991.042,1529451.574,1519168.931,1513140.789,1505092.022,1491355.155,1490543.212,1500469.449,1495342.91,1484799.969,1479492.834,1476045.963,1460529.877,1463470.53,1482362.007,1482748.301,1467505.08,1458032.835,1447734.38,1442389.072,1447635.095,1451059.117,1447395.21,1437092.321,1427340.846,1409192.267,1400991.59,1398100.494,1424062.831,1425116.157,1418374.832,1415756.665,1407720.758,1410502.089,1429557.753,1425668.501,1408433.855,1403035.418,1400270.215,1389925.651,1388459.711,1408205.252,1414432.83,1412540.173,1412935.637,1407123.998,1406626.296,1425762.741,1431371.648,1429273.96,1424594.457,1421630.565,1413800.941,1426511.245,1451120.309,1455753.056,1453984.128,1450918.799,1449594.558,1467732.993,1504609.75,1517656.852,1484290.24,1466157.542,1464709.433,1454335.581,1444739.966,1451138.839,1457528.089,1439546.118,1429448.919,1415314.999,1406537.674,1407027.785,1425265.005,1416178.202,1412835.474,1400791.098,1400522.914,1407320.374,1420956.197,1419660.252,1400865.24,1391908.071,1388082.348,1383974.397,1390105.959,1394920.871,1390530.64,1378954.169,1374059.048,1370298.05,1376829.196,1369685.325,1351185.398,1470265.392
5,Fin whale,FWH,968407.347,972940.6765,977300.2012,979150.0113,979875.5021,980205.5679,981975.0878,984526.3618,984783.2317,986041.1493,986109.0592,985524.3861,986447.4429,986467.9838,987649.7531,989728.8874,991872.9984,990309.8461,986333.4504,984078.737,983009.3459,981375.6615,979281.5234,977065.0552,974523.5309,973441.8495,974367.111,975770.218,977116.5752,978260.7352,980177.5492,981865.2408,983167.3945,984140.0483,984811.0187,985217.8304,985395.3319,985301.2117,985066.4507,984653.2648,984061.363,983308.7451,982243.8279,981246.9145,980101.7919,978834.4041,977446.7545,975960.5144,974382.4627,972570.0551,970833.2226,969069.179,967355.1167,965722.8552,964032.227,962477.1826,960865.5888,959248.5877,957613.3271,955982.5529,954384.8676,952762.3003,950929.5178,949217.6111,947380.6536,945474.9319,939238.3098,938302.1912,937184.6838,935386.9787,933020.0209,930901.3495,930250.8436,928886.3923,927609.1252,924558.5359,921766.6961,919543.0893,919360.0553,918023.8932,917752.2229,916389.5738,913807.9721,911194.1938,910047.7744,909025.9334,907902.4986,906593.2398,900100.2905,896906.1758,896597.0033,896004.2151,895067.7252,893882.5983,892461.2816,890976.9551,889391.4453,887744.9874,886036.5978,884142.1878,882387.0101,880602.7263,878784.2374,876933.6604,875058.1023,873172.0142,871263.1765,869352.4025,867420.4401,865472.4836,863518.7963,861546.3428,859567.6779,857573.8871,855636.0383,853598.6702,851675.4718,849703.1576,847730.8295,845632.683,843645.5339,844043.9369
6,Wolffish,DEL,63990.03939,63847.32595,63997.42849,63928.53158,63649.0272,63116.69547,63200.69673,63337.37175,63325.63176,63334.98779,62995.59096,63116.91521,62227.37732,61574.2243,61161.33172,61197.74578,61238.62101,61165.79437,60935.51962,60737.30808,60735.77699,60512.94161,61332.50222,61134.55122,60727.40604,60343.60385,60189.63185,60066.35046,60003.19212,59925.63547,60648.63713,61201.63125,61309.19734,61059.40572,61463.12272,61471.85025,61305.0337,61068.23878,60817.42426,60058.79334,59467.43232,59770.65941,59679.96279,59765.55571,60116.8063,60229.2504,60403.89128,60021.93948,60273.01904,60004.70232,60230.91884,59892.10867,59944.31489,59270.19329,58432.56575,58151.68725,58575.00951,58895.80813,58196.93368,57852.84796,57431.44116,57308.74296,57219.36749,56957.00653,56765.46278,56782.51405,56328.657,56246.63871,56539.24446,56818.06086,56938.21296,57850.75197,58499.96037,58287.83997,59197.04035,59228.64523,59447.28113,59706.89463,59794.92482,59758.94594,60019.75831,59995.81555,59508.8034,59064.7478,59121.75705,59589.32329,59311.79104,59188.54779,59542.77482,59565.4473,59345.22345,59046.0205,59210.44264,59153.16783,59123.27901,58790.31122,58940.61341,58483.78824,58690.3532,58367.78239,58282.81664,57966.38228,58178.42965,57480.72081,56641.16231,56015.3128,55559.11205,55440.82072,55516.64121,55351.91448,55220.16349,55202.88596,54963.54248,54571.44444,54311.46494,54067.9896,54218.14188,53907.16765,53749.18357,53847.20894,53608.57147,58629.6041
7,Hooded seal,HOS,57433.36579,58049.04341,58794.92898,59558.67037,59889.70924,59897.23757,60212.69817,60249.03835,60366.21251,60475.98072,60499.6571,60663.41455,60854.75685,60954.16864,61114.79154,61360.36054,61536.78212,61742.92281,61826.10226,61666.98634,61644.36991,61674.91503,61653.58368,61653.81741,61771.70473,61882.16873,61996.78586,62118.07932,62202.01447,62324.75355,62440.92809,62336.17822,62156.86317,62095.77006,62017.25728,62006.29862,62034.77554,61995.97515,62042.56281,62104.59065,62130.97526,62194.58862,62259.24811,62295.02137,62364.58649,62307.93903,62020.95812,61891.55772,61831.78926,61743.18308,61726.7053,61787.63141,61763.77627,61894.68512,61846.58171,61803.51213,61858.50837,61926.81101,61803.53903,61576.75424,61441.76412,61293.47414,61224.09015,61245.0185,61102.17504,61103.7776,60780.79734,60932.24986,61078.04126,60972.72741,60950.13086,60951.34571,60852.55635,60573.08024,60666.81363,60517.15034,60485.15974,60563.51802,60586.09068,60626.01527,60713.49168,60773.76253,60883.54841,60991.23857,61060.33132,61019.83349,60865.13039,60730.73812,60714.35935,60751.25706,60749.36316,60847.65248,60970.14109,61013.40328,61098.69072,61295.32349,61356.35223,61464.84936,61647.92493,61552.70226,61332.69844,61299.18353,61184.63157,61202.11379,61212.99203,61157.62949,61235.21736,61255.63501,61378.82682,61426.251,61580.81612,61565.60493,61483.31886,61221.0893,60978.61011,60884.34566,60806.42897,60717.49991,60691.46542,60712.26765,60657.78514,61438.74588
8,Haddock,HAD,7943514.398,8007878.776,8072676.678,8131293.548,8146352.509,8126730.154,8126077.1,8135282.639,8122348.389,8109348.787,8119773.426,8127489.553,8135588.683,8118396.008,8116192.064,8138516.645,8159671.175,8129464.815,8094740.662,8078100.579,8033971.302,8026017.583,7983208.022,7947007.496,7926252.375,7889852.351,7869062.68,7859808.103,7803167.021,7752951.529,7688882.505,7642573.255,7608969.738,7563617.653,7525328.858,7508891.025,7521126.592,7491506.106,7449390.442,7433692.567,7399134.273,7346022.081,7296785.209,7299159.036,7227020.861,7200132.803,7166936.669,7165564.638,7184154.495,7167098.11,7098018.818,7043575.803,7041388.379,7040634.58,7061485.83,7036149.338,7006020.63,7023299.753,7057879.601,7036030.989,7038914.253,7012862.824,6966231.404,6976793.859,6969035.625,6941656.36,6920838.45,6959844.584,7033780.104,7089663.13,7123111.737,7155747.223,7202640.443,7209376.388,7239825.558,7260900.391,7233143.035,7228844.77,7226776.66,7259503.886,7327938.571,7337871.458,7338047.461,7313510.551,7269570.799,7273153.639,7343550.117,7318635.192,7283538.238,7237414.378,7238622.926,7274121.066,7250009.327,7207983.037,7214367.697,7185434.267,7185749.347,7181678.553,7123174.67,7098750.993,7075815.413,7052983.802,7056878.085,7056952.179,7079350.657,7121359.316,7109865.39,7079792.929,7034481.774,7002510.012,6992326.87,6962560.571,6956566.687,6993984.257,6998323.959,6976487.041,6939289.943,6911878.575,6868542.568,6818304.06,6781858.144,5707170.926
9,Blue whiting,BWH,896739.6406,897337.7649,899409.2633,893445.4652,898395.9649,890202.7415,894297.9279,896097.3143,891022.5735,895306.7363,891732.3407,891763.1773,894937.7291,894896.0827,888093.7665,880713.7845,883960.127,884970.8899,883007.4324,883843.6859,883701.4218,878849.5334,892234.8197,891370.5404,884749.7386,885300.3261,892692.9961,891703.7351,886034.8944,882637.7526,888530.0368,892569.8318,895545.468,889212.1013,894006.5688,901889.583,904414.9431,900604.1689,904473.4371,903257.2365,893783.4977,890344.7204,886262.2675,886442.5364,887199.4728,890598.693,888830.8032,889132.2885,899859.2028,905345.6011,904855.4229,906644.6438,900695.3992,917011.0596,898342.2493,893325.0941,900077.5765,903218.3606,905981.0825,910850.6976,903433.0172,908649.3575,908000.9782,908262.7073,898240.5215,898069.803,896067.3631,897940.7087,890725.645,886274.3676,885004.2317,892770.0612,899211.7294,887373.728,894024.1917,890521.0913,897236.1702,895336.0165,892907.8107,896025.7016,893986.847,896417.7479,891366.4335,887717.425,884810.7452,890862.5244,890100.2088,882772.1797,893289.3131,890706.3906,884832.1694,886006.8371,887843.946,888721.3266,885444.4132,899212.8886,896071.9475,895411.6345,907945.2919,911047.9523,897565.6468,911093.757,907755.895,907300.7257,892681.0604,886074.1181,880494.7941,875759.2899,884482.1874,876824.4569,873331.2122,878132.7734,878770.2136,880585.3076,880968.7987,878341.5924,877126.3432,872658.3326,870533.8157,869850.9983,867949.6045,669490.9532
10,Atlantic halibut,DEL,63990.03939,63847.32595,63997.42849,63928.53158,63649.0272,63116.69547,63200.69673,63337.37175,63325.63176,63334.98779,62995.59096,63116.91521,62227.37732,61574.2243,61161.33172,61197.74578,61238.62101,61165.79437,60935.51962,60737.30808,60735.77699,60512.94161,61332.50222,61134.55122,60727.40604,60343.60385,60189.63185,60066.35046,60003.19212,59925.63547,60648.63713,61201.63125,61309.19734,61059.40572,61463.12272,61471.85025,61305.0337,61068.23878,60817.42426,60058.79334,59467.43232,59770.65941,59679.96279,59765.55571,60116.8063,60229.2504,60403.89128,60021.93948,60273.01904,60004.70232,60230.91884,59892.10867,59944.31489,59270.19329,58432.56575,58151.68725,58575.00951,58895.80813,58196.93368,57852.84796,57431.44116,57308.74296,57219.36749,56957.00653,56765.46278,56782.51405,56328.657,56246.63871,56539.24446,56818.06086,56938.21296,57850.75197,58499.96037,58287.83997,59197.04035,59228.64523,59447.28113,59706.89463,59794.92482,59758.94594,60019.75831,59995.81555,59508.8034,59064.7478,59121.75705,59589.32329,59311.79104,59188.54779,59542.77482,59565.4473,59345.22345,59046.0205,59210.44264,59153.16783,59123.27901,58790.31122,58940.61341,58483.78824,58690.3532,58367.78239,58282.81664,57966.38228,58178.42965,57480.72081,56641.16231,56015.3128,55559.11205,55440.82072,55516.64121,55351.91448,55220.16349,55202.88596,54963.54248,54571.44444,54311.46494,54067.9896,54218.14188,53907.16765,53749.18357,53847.20894,53608.57147,58629.6041
