model_group,virgin_biomass
POB,165.3007
KWH,121401.1
SWH,63834.78
HWH,79165.84
MWH,968188
FWH,982692.6
BES,5830.692
HAS,197685.4
HOS,60268.52
RIS,5308.45
SBA,26245.17
SBB,5036.858
SHO,611500.9
DEO,1513225
PEL,93602.68
PES,472804.6
REO,551326
DEL,63034.27
FLA,89590.61
LRD,506127.7
SSK,102002.6
MES,4125267
GRH,165887.1
MAC,2442112
HAD,3042028
SAI,794566.4
RED,289310.6
BWH,921790.3
SSH,1696618
NCO,1286051
PCO,207054.6
CAP,1485039
PWN,48000192
CEP,17188606
KCR,36649643
SCR,4020.612
ZG,6830615
ZL,328086723
ZM,248552667
ZS,26364732
DF,145277.2
PS,28824101
PL,4497212
BC,9689780
BD,130905797
BFF,4482734
SPO,9972999
COR,10827684
PB,2120797194
BB,22252695578
DR,7234581498
DL,41167407557
DC,0
