Atlantis species code,POB,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
 CommonName,polar bear,killer whale,sperm whale,Humpback whale,Minke whale,Fin whale,Bearded seal,Harp seal,Hooded seal,Ringed seal,Arctic seabirds,Boreal seabirds,Other sharks,Other demersals,Large pelagics,Small pelagics,Other redfish (golden redfish),Large demersals,Other flatfish,Long rough dab,Skates and rays,Mesopelagic fish,Greenland halibut,Mackerel,Haddock,Saithe,Redfish,Blue whiting,Norwegian spring spawning herring,Northeast arctic cod,Polar cod,Capelin,Prawns,Squid,Red king crab,Snow crab,Gelatinous zooplankton,Large zooplankton,Medium zooplankton,Small zooplankton,Dinoflagellates,Small phytoplankton,Large phytoplankton,Predatory benthos,Detrivore benthos,Benthic filter feeders,Sponges,Corals,Pelagic bacteria,Sediment bacteria,Refractory detritus,Labile detritus,Carrion
TrophicLevel,>5,4.5,4.4,3.6,3.4,3.4,3.4,4,4.2,3.8,NA,NA,4.4,4.4,4.5,3.9,4,3.8,3.2,4.1,4.3,3,4.5,3.6,4.1,4.4,3.7,4,3,4.4,3.1,3.2,2.6,3.2,NA,NA,NA,2,2.2,2.2,1,1,1,NA,2.2,2.2,NA,NA,NA,NA,NA,NA,NA
VirginBiomass from 100 years No Fishing (mean over year 30-35,165.3007,121401.1,63834.78,79165.84,968188,982692.6,5830.692,197685.4,60268.52,5308.45,26245.17,5036.858,611500.9,1513225,93602.68,472804.6,551326,63034.27,89590.61,506127.7,102002.6,4125267,165887.1,2442112,3042028,794566.4,289310.6,921790.3,1696618,1286051,207054.6,1485039,48000192,17188606,36649643,4020.612,6830615,328086723,248552667,26364732,145277.2,28824101,4497212,9689780,130905797,4482734,9972999,10827684,2120797194,22252695578,7234581498,41167407557,0
ManagementThreshold (target reference point relative to Bunfished),0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
IsAssessedByFisheriesAssessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsNonAssessed (exclude bacteria,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
USDollarsPerTon,NA,NA,NA,NA,5562.130178,NA,NA,NA,3431.952663,NA,NA,NA,NA,NA,NA,NA,1114.792899,NA,NA,NA,NA,NA,1826.035503,1005.91716,915.9763314,711.2426036,1218.934911,355.0295858,355.0295858,1152.662722,NA,236.6863905,3313.609467,NA,14674.55621,7100.591716,NA,NA,1183.431953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_infinity (TL from fishbase),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.4,166,120,52.7,75.6,104,81.6,70.4,108.9,8.6,109,47.3,58.1,101,44.3,40.5,28.3,106,31.1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MaxAge (in model),20,50,50,50,50,60,30,40,30,30,20,20,30,20,10,10,40,20,20,20,20,10,20,20,20,20,40,10,20,20,10,5,5,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Intrinsic Vulnerability Index (""vulnerability"" from Fishbase)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,77,62,47,71,78,71 (26),66,61,27,70,44,47,59,56,33,39,65,45,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IsSurveyed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IsFish,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsPredatoryFish,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsPelagic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsDemersal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsPrimaryProducer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
IsBird,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsMammal,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsJellyfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsForageFish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsKrill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsShark,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsSquid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsFilterFeeder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
IsEpibenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsZooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IsInfauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
IsPiscivore,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsTarget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
